feature	LjRoot221	LjRoot149	G37_LjNodule209	LjRoot228	LjRoot223	G21_LjRoot111	G3_LjRoot129	LjRoot196	G8_LjRoot126	LjRoot259	G32_LjRoot291	G11_LjRoot25	G16_LjRoot125	LjRoot17	LjRoot82	G2_LjRoot102	G20_LjRoot162	LjRoot183	G1_LjRoot134	LjRoot71	LjRoot289	LjRoot3	G4_LjRoot26	LjRoot18	G6_LjRoot130	G17_LjRoot232	LjRoot227	LjRoot219	LjRoot243	LjRoot122	G12_LjRoot70	G29_LjRoot226	LjRoot237	G22_LjRoot238	LjRoot10	G7_LjRoot117	LjRoot229	LjRoot11	G36_LjRoot142	G5_LjRoot105	G14_LjRoot22	LjRoot285	LjRoot240	LjRoot248	LjRoot89	LjRoot1	G35_LjRoot145	G30_LjRoot2	LjRoot277	LjRoot152	G33_LjRoot104	G27_LjRoot78	LjRoot30	LjRoot296	G24_LjRoot12	LjRoot295	LjRoot257	G9_LjRoot131	LjRoot258	G15_LjRoot29	LjRoot244	LjRoot230	LjRoot220	G34_LjRoot233	LjRoot261	LjRoot28	G31_LjRoot101	LjRoot288	LjRoot231
Lj_Gifu_LjSC_1_endo	-3.0228719627044	-3.55567254886948	-5.11487011307513	-2.290196550644	-3.89554529876493	-4.56883458174128	-5.48842601387946	-3.9143558393994	-5.14521768279687	-4.85684951114598	-4.81194298011782	-5.85224434484239	-5.29478877920936	-5.73551015061379	-6.10631535248462	-5.87075387224515	-6.34135412830805	-6.87282522226485	-5.13399527930477	-11.3157687181136	-6.09176704391547	-6.24162725536107	-8.50841379605597	-8.27137459875512	-7.84816316803058	-8.26048628261238	-7.30174824779864	-7.4797183630555	-7.52786615872214	-7.65399062034159	-8.09660019765141	-8.19682764539007	-7.8239156217839	-7.84409350372153	-8.32141528125472	-9.4702786671692	-8.84816316803058	-8.76117986643594	-8.18648570116861	-8.76251262511041	-7.48604598302752	-8.22830587686323	-8.94072928676665	-9.03964431283934	-10.4088781225051	-9.61532899997248	-9.85633709947628	-9.53440900458891	-10.8239156217839	-11.3157687181136	-10.2283058768632	-11.3157687181136	-9.70105887399836	-10.6719125283388	-9.95821671349549	-12.508413796056	-10.0869500276177	-9.70105887399836	-9.58784826355037	-11.2283058768632	-13.9938406232262	-11.4088781225051	-13.8503333661308	-11.9234512953348	-12.4088781225051	-13.0434136945563	-12.1458437166713	-16.8748613101254	-13.9214380664922
Lj_Gifu_LjSC_2_endo	-3.01705432649424	-4.6727198185586	-2.68442733173222	-2.49464917189662	-3.15767241298226	-4.667984491416	-5.78872414414694	-5.84640467478336	-4.88434874775696	-5.56095673083543	-4.93086132037881	-4.42026434218603	-5.84818908446154	-5.76999863589505	-6.88069172414887	-6.64841957208577	-6.418937725963	-7.24901272452069	-6.56682135289865	-10.418937725963	-6.96724175610531	-6.7716909469875	-9.16655056432871	-9.14884856259525	-7.9907007289293	-10.7332865432012	-7.11408314443458	-6.87340537007038	-7.33647556577103	-8.57566322965045	-9.04696894857604	-8.3264914771984	-8.08854805232744	-8.31657600833332	-8.38745949448983	-9.6735105530486	-8.83397522524184	-8.57566322965045	-8.69904564515573	-8.76251262511041	-9.03066713624694	-8.77848011265014	-9.25847305376975	-8.12269627473929	-10.5995099716048	-9.39787611043517	-11.6670712112239	-10.0145474708837	-10.9828386111563	-12.9679707145169	-11.5719139781836	-10.8625443774386	-10.184472472326	-11.5064005672133	-10.8625443774386	-11.9214380664922	-9.75151306504987	-11.2310051203507	-8.92143806649218	-12.184472472326	-7.2302761619391	-12.6990456451557	-11.336475565771	-10.9214380664922	-13.4088781225051	-13.0434136945563	-13.8598016758068	-16.8748613101254	-12.9214380664922
Lj_Gifu_LjSC_3_endo	-3.15434783010785	-4.02620355142953	-1.44806929709915	-4.23248449014408	-5.27779492257277	-5.35755200461808	-5.8516219238809	-5.96775179683826	-5.51450537541717	-5.08367108413783	-4.83895380092355	-6.76243288886076	-5.43316281863223	-5.98697377677578	-7.40559917902519	-6.03284682506015	-6.74414753583301	-5.47929727697045	-5.97413070940097	-12.2072177315337	-6.38562088690027	-5.43169889659805	-7.96775179683826	-7.50062578641097	-7.6222552308125	-9.73328654320124	-6.83024827308833	-7.18238587855372	-7.40559917902519	-8.96775179683826	-10.0871953865842	-8.71893125022417	-7.92593162114364	-7.79971390494022	-8.64922227841276	-9.85358077691895	-7.65604354426878	-9.6222552308125	-9.01959072835788	-8.76251262511041	-7.99343844050191	-8.60895840819904	-9.67670301483487	-8.64922227841276	-10.7332865432012	-9.247859716031	-9.09174051411372	-9.67670301483487	-10.6222552308125	-12.9679707145169	-11.5719139781836	-11.9177111143387	-10.9177111143387	-9.91771111433867	-11.377142732976	-9.70471739100447	-11.2898988094043	-11.2310051203507	-8.76243288886076	-12.0552146380886	-14.9938406232262	-11.7921802322548	-13.8503333661308	-12.377142732976	-13.4088781225051	-13.0434136945563	-13.8598016758068	-16.8748613101254	-13.9214380664922
Lj_Gifu_LjSC_4_endo	-2.64134355978105	-4.32322665036737	-1.35865367261759	-6.4234120402278	-5.41369688539459	-5.51540782430857	-6.11603978129561	-4.6089130841123	-5.73286119583347	-4.97771805531709	-4.72683381297732	-5.93838314301206	-6.47732432257709	-6.57603418326007	-6.60416997285628	-6.72597481024823	-6.97669595464317	-6.54540256460641	-6.03720830433936	-11.118292233027	-5.90883886739804	-7.11379084079205	-8.8552578271932	-8.37413113745658	-7.90883886739804	-9.11829223302699	-6.8703647195834	-7.01395557321225	-7.50358238891178	-9.37413113745658	-8.22105180745219	-8.16409592264012	-8.53332973230583	-8.81086370783474	-7.08266832329627	-9.55757727855251	-8.54540256460641	-8.91665837185734	-8.62004136549916	-8.76251262511041	-7.98078870927706	-8.48602401752748	-8.99727683206562	-8.93242568771566	-10.7397806097733	-9.76779498594286	-11.6670712112239	-9.82551048379914	-10.5333297323058	-10.7397806097733	-9.8552578271932	-10.6853328257509	-10.9807887092771	-12.5183253076909	-10.6328654058567	-13.508413796056	-11.2898988094043	-11.2310051203507	-9.08266832329627	-11.4402203279144	-12.6328654058567	-12.6328654058567	-11.4402203279144	-11.7397806097733	-12.270295326472	-13.0434136945563	-13.8598016758068	-16.8748613101254	-13.9214380664922
Lj_symrk_LjSC_1_endo	-2.79217248173211	-4.28047775779985	-10.9879327391444	-9.87305344263088	-1.99293547442951	-2.71542579999195	-4.67229103726598	-5.25787632886272	-6.90488952975289	-5.39809212569998	-4.30392117101145	-4.23378452235181	-6.84470881693692	-7.20287493967588	-7.16733878244912	-6.07719415941111	-4.5155014380128	-5.76287052488046	-6.46231608078566	-11.9434427705223	-6.82242736956091	-7.75757622521095	-8.31895190561448	-8.28809094190973	-7.61192862680572	-8.66050880725078	-7.49718654063272	-8.48401115188498	-7.29191265286213	-9.52840527124344	-10.0871953865842	-7.9314701288562	-8.33463352784675	-8.97996864654739	-9.66050880725078	-10.458015943352	-8.25787632886272	-9.66050880725078	-9.49278136151271	-8.76251262511041	-9.26537086540964	-6.2522808659692	-9.1498936479897	-9.25042052394367	-11.0429784440732	-9.74180890935263	-9.52840527124344	-10.2957445144532	-10.8059392467723	-11.0954458639673	-10.3584802698011	-13.8503333661308	-11.1498936479897	-12.5183253076909	-14.34554385411	-10.4240686114287	-11.2898988094043	-11.2310051203507	-9.45801594335204	-12.2653708654096	-14.9938406232262	-11.7628705248805	-12.8503333661308	-14.107544031976	-13.4088781225051	-13.0434136945563	-13.8598016758068	-16.8748613101254	-13.9214380664922
Lj_symrk_LjSC_2_endo	-2.47662531637285	-4.25216803402236	-9.24319215652556	-10.8503504033609	-2.35551806995622	-2.92968596195976	-4.29861978945005	-5.86510417005094	-7.60065812512126	-5.45643619564782	-5.03642010408308	-4.1904789330357	-6.6692848443134	-7.70296797056969	-7.06229603726224	-5.51257294075642	-4.54359983637705	-4.10543836041124	-5.85035040336091	-11.8842977352842	-8.14733214111804	-6.89723679099175	-8.03344117459006	-6.86298722903884	-7.49198031250549	-8.46283396684597	-7.45324791801677	-8.32241884767613	-6.63999053751936	-9.70675954973206	-8.86722422192531	-8.83367166221428	-8.24319215652556	-8.33410065272377	-9.21052596760524	-10.6619053139478	-7.61127924087783	-9.93676515517839	-10.1680907012848	-8.76251262511041	-7.55551596935582	-9.1066901566207	-9.63275896828828	-9.17858307510248	-10.5761754399219	-9.91906315344493	-9.49525544453835	-10.8171835394257	-11.4186341629354	-12.9679707145169	-9.23222103870456	-14.276615158063	-11.8842977352842	-10.2993352345631	-12.6916526573419	-10.0286876446194	-11.2898988094043	-11.2310051203507	-10.2542473450346	-10.4692602360054	-8.46283396684597	-12.6916526573419	-13.8503333661308	-14.107544031976	-13.4088781225051	-13.0434136945563	-13.8598016758068	-16.8748613101254	-13.9214380664922
Lj_symrk_LjSC_3_endo	-2.69118846957377	-4.022914391948	-8.5385031896285	-8.93336280696971	-1.82619417566372	-3.42302597220856	-4.87553817690607	-4.13590141915343	-6.58496250072116	-5.31321087778625	-4.65620458220237	-4.6338721012021	-6.24530681328445	-6.49349345471093	-6.11586587449149	-5.63568225832902	-5.98665504824638	-5.16730430128318	-7.03242147769238	-11.185749968604	-6.63296787363199	-7.02766010359865	-8.15947064380515	-8.43400902175739	-7.92891690193852	-8.38446956095608	-7.26478418778375	-7.79747937888794	-7.64385618977472	-8.92448465562326	-8.39056976049249	-8.23429382056203	-8.37839504654639	-9.01582496716168	-9.37839504654639	-8.95128471496697	-8.185749968604	-8.96943206167723	-9.70335720152339	-8.76251262511041	-9.41523181472676	-8.7186239581767	-9.35434957257974	-9.17518072689381	-10.6007874678828	-9.60078746788284	-9.62935662007961	-10.9156608052363	-11.2732128098543	-10.0637594442254	-9.91566080523625	-12.6882503091332	-10.951284714967	-11.5183253076909	-12.5727730917132	-10.4918530963297	-11.2898988094043	-11.2310051203507	-11.2542473450346	-11.3190164994675	-14.9938406232262	-12.4658578877967	-12.5727730917132	-11.8808953870756	-13.4088781225051	-13.0434136945563	-13.8598016758068	-14.6882503091332	-13.9214380664922
Lj_symrk_LjSC_4_endo	-2.42104350479277	-3.02551598655802	-10.9879327391444	-11.1407108959112	-5.08820603113752	-4.57262221375443	-4.04930626247947	-5.61132574308491	-5.45910473633367	-6.55016736292673	-5.46237689704892	-5.79136536985375	-4.04267881295066	-3.68356866422491	-4.87305316253227	-4.60407964527602	-5.67367411975272	-5.03024276077787	-6.84929922754689	-4.37345029011207	-8.88047512343006	-6.45845119383511	-6.18003540528897	-8.47951280936294	-7.69353153809791	-7.3920499681126	-8.92311946083856	-7.66008505500476	-8.3048808052431	-5.06215666298044	-8.17895836526815	-8.02008119072565	-7.98577506868833	-7.64811241333869	-7.382100307705	-8.02394383035805	-9.22712564772866	-8.02008119072565	-8.6421631470075	-7.45583998037858	-10.6362383130504	-9.45845119383512	-10.0591810104146	-10.1746582278345	-8.43769263366832	-9.95226580649808	-8.91592395943436	-9.81208814844982	-10.4584511938351	-8.74042716332237	-10.107544031976	-11.1407108959112	-10.9820131498921	-10.0751225542836	-10.0912422196469	-10.1575847144756	-9.7467966881981	-10.107544031976	-11.2542473450346	-13.5669756506133	-10.8945503086418	-13.6990456451557	-12.0434136945563	-13.107544031976	-13.4088781225051	-12.0434136945563	-12.397050649171	-16.8748613101254	-13.9214380664922
Lj_ccamk_LjSC_1_endo	-2.43537664793898	-2.74196066511072	-9.98793273914443	-12.5225815312548	-5.83938138849468	-4.80043510825417	-3.6836149743816	-4.64076735275804	-6.24567284530871	-6.60372036600272	-5.09668512128841	-5.64913082569267	-3.89859910224717	-4.83579705114565	-5.02418663948	-4.33140271933459	-5.67879079921291	-3.8967307293883	-6.45701007813616	-8.30721125561784	-9.64913082569267	-5.5795405535076	-7.36115006272865	-10.683078157616	-7.39591548088932	-8.41718409764297	-9.29403586687011	-7.07539558039477	-8.10961129573268	-5.883102765924	-8.38889505321155	-7.18057781708683	-7.61596396175747	-7.98793273914443	-7.46806526664516	-6.80860903969987	-8.49043307967361	-8.20503086081136	-11.7689508252431	-7.76251262511041	-12.397050649171	-10.4584511938351	-9.19275253103293	-9.90547057895246	-9.009306389937	-9.98793273914443	-7.90547057895246	-9.3205080782313	-12.2680406583372	-9.7534674855074	-9.09811565689485	-15.276615158063	-10.0753955803948	-9.90547057895246	-10.7534674855074	-8.47548273820764	-9.34747512583157	-8.44603896031516	-11.2542473450346	-14.5669756506133	-14.9938406232262	-13.6990456451557	-13.8503333661308	-10.2680406583372	-13.4088781225051	-11.2680406583372	-13.8598016758068	-16.8748613101254	-13.9214380664922
Lj_ccamk_LjSC_2_endo	-2.71262146406129	-3.43755020021946	-8.98615807484637	-12.5225815312548	-2.59002903811759	-3.15116039771964	-4.2150354699481	-4.65225733829293	-5.82069272159476	-4.69665145765138	-4.41799081666819	-5.28571835670528	-5.58622746795773	-6.51222688651396	-5.64038323800464	-4.8939882309185	-6.06862023503834	-4.36004346745891	-6.72145484865196	-10.5711205755675	-7.28571835670528	-6.51222688651396	-7.68034964532228	-7.20188676590181	-6.99621173951029	-8.45564335814759	-6.87995867101444	-8.60149422461105	-7.41461608988753	-8.27344002692684	-10.0871953865842	-7.87068085742643	-8.08999388583091	-9.40119557412521	-8.83415498140132	-9.11168895693023	-7.27344002692684	-9.57112057556752	-11.7689508252431	-8.76251262511041	-9.15608307628868	-10.4584511938351	-11.0591810104146	-9.9081555628451	-10.4556433581476	-11.7455782931805	-8.11168895693023	-10.3487281542311	-13.2680406583372	-12.9679707145169	-9.15608307628868	-15.276615158063	-13.0751225542836	-9.83415498140132	-14.34554385411	-10.2491924806802	-11.2898988094043	-11.2310051203507	-11.2542473450346	-14.5669756506133	-14.9938406232262	-11.1560830762887	-13.8503333661308	-14.107544031976	-13.4088781225051	-13.0434136945563	-13.8598016758068	-16.8748613101254	-13.9214380664922
