feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
G37_LjNodule209	Genotype	ccamk	-7.58598396943889	0.906432988993346	20	12	4.91975169217815e-07	6.78925733520585e-05
G37_LjNodule209	Genotype	nsp2	-7.91643694466918	0.906432988993346	20	12	2.87575723096028e-07	6.78925733520585e-05
G37_LjNodule209	Genotype	symrk	-7.28788510247971	0.906432988993346	20	12	8.09523516022143e-07	7.44761634740372e-05
G37_LjNodule209	Genotype	nsp1	-6.68761390780775	0.906432988993346	20	12	2.29930271704598e-06	0.000158651887476173
G3_LjRoot129	Genotype	ccamk	1.98151477396886	0.293646932335062	20	20	6.54716237746092e-06	0.000361403363235843
LjRoot228	Genotype	ccamk	-7.63596513020252	1.23498382646507	20	15	1.7517975213014e-05	0.000805826859798642
G3_LjRoot129	Genotype	nsp2	1.75454973794981	0.293646932335062	20	20	2.54498975259718e-05	0.0010034531024526
LjRoot183	Genotype	ccamk	2.45924894672299	0.433214413052127	20	20	4.39304768724119e-05	0.00151560145209821
LjRoot228	Genotype	nsp1	-6.85904854028184	1.23498382646507	20	15	5.519261532913e-05	0.00169257353675999
LjRoot228	Genotype	symrk	-6.33918382399005	1.23498382646507	20	15	0.000122520578758534	0.00307415270339593
LjRoot228	Genotype	nsp2	-6.3658293166451	1.23498382646507	20	15	0.000117548792730802	0.00307415270339593
G20_LjRoot162	Genotype	symrk	1.44042622558957	0.303523013434172	20	20	0.000260216240491002	0.00598497353129305
G3_LjRoot129	Genotype	symrk	1.33726414927533	0.293646932335062	20	20	0.000380171864985349	0.00755402238690007
G2_LjRoot102	Genotype	ccamk	1.62199639868997	0.359180292474062	20	20	0.000410157979480116	0.00755402238690007
LjRoot258	Genotype	ccamk	-2.16565045948466	0.479619119925582	20	8	0.000410544694940222	0.00755402238690007
LjRoot183	Genotype	nsp2	1.85174868839924	0.433214413052127	20	20	0.000665157742968987	0.011473971066215
G14_LjRoot22	Genotype	ccamk	-2.8779227148316	0.683010532397345	20	19	0.000751989845385038	0.01220877631331
LjRoot89	Genotype	nsp1	-2.11913084678165	0.545961355534385	20	19	0.00147599622712518	0.0226319421492528
G21_LjRoot111	Genotype	symrk	1.61725473854231	0.42247136522545	20	20	0.00164599465640365	0.0237182640036911
G20_LjRoot162	Genotype	nsp2	1.15549014641488	0.303523013434172	20	20	0.00171871478287617	0.0237182640036911
LjRoot258	Genotype	nsp1	-1.77751053930985	0.479619119925582	20	8	0.00211258378402269	0.0277653868757267
LjRoot149	Genotype	ccamk	1.43642639958505	0.395364217272405	20	20	0.0024530136742058	0.0282096572533667
G32_LjRoot291	Genotype	nsp1	0.992664308517557	0.272954247348464	20	20	0.00243512732300213	0.0282096572533667
LjRoot10	Genotype	nsp1	-1.88374857086148	0.516145752570765	20	19	0.0023715717430071	0.0282096572533667
G20_LjRoot162	Genotype	nsp1	1.07667726254722	0.303523013434172	20	20	0.0029255868185988	0.0301147454786078
LjRoot183	Genotype	symrk	1.52017046025241	0.433214413052127	20	20	0.00316423050318705	0.0301147454786078
