SampleID	Genotype	Compartment	Inoculum	Description	Bio_rep
Hv_WT_HvSC_only_rhizo_1	WT	Rhizosphere	SC	Hv_WT_HvSC_only_rhizo_1	1
Hv_WT_HvSC_only_rhizo_2	WT	Rhizosphere	SC	Hv_WT_HvSC_only_rhizo_2	2
Hv_WT_HvSC_only_rhizo_3	WT	Rhizosphere	SC	Hv_WT_HvSC_only_rhizo_3	3
Hv_WT_HvSC_only_rhizo_4	WT	Rhizosphere	SC	Hv_WT_HvSC_only_rhizo_4	4
Hv_WT_HvSC_only_rhizo_5	WT	Rhizosphere	SC	Hv_WT_HvSC_only_rhizo_5	5
Hv_WT_HvSC_only_rhizo_6	WT	Rhizosphere	SC	Hv_WT_HvSC_only_rhizo_6	6
Hv_symrk_HvSC_only_rhizo_1	symrk	Rhizosphere	SC	Hv_symrk_HvSC_only_rhizo_1	1
Hv_symrk_HvSC_only_rhizo_2	symrk	Rhizosphere	SC	Hv_symrk_HvSC_only_rhizo_2	2
Hv_symrk_HvSC_only_rhizo_3	symrk	Rhizosphere	SC	Hv_symrk_HvSC_only_rhizo_3	3
Hv_symrk_HvSC_only_rhizo_4	symrk	Rhizosphere	SC	Hv_symrk_HvSC_only_rhizo_4	4
Hv_symrk_HvSC_only_rhizo_5	symrk	Rhizosphere	SC	Hv_symrk_HvSC_only_rhizo_5	5
Hv_symrk_HvSC_only_rhizo_6	symrk	Rhizosphere	SC	Hv_symrk_HvSC_only_rhizo_6	6
Hv_ccamk_HvSC_only_rhizo_1	ccamk	Rhizosphere	SC	Hv_ccamk_HvSC_only_rhizo_1	1
Hv_ccamk_HvSC_only_rhizo_2	ccamk	Rhizosphere	SC	Hv_ccamk_HvSC_only_rhizo_2	2
Hv_ccamk_HvSC_only_rhizo_3	ccamk	Rhizosphere	SC	Hv_ccamk_HvSC_only_rhizo_3	3
Hv_ccamk_HvSC_only_rhizo_4	ccamk	Rhizosphere	SC	Hv_ccamk_HvSC_only_rhizo_4	4
Hv_ccamk_HvSC_only_rhizo_5	ccamk	Rhizosphere	SC	Hv_ccamk_HvSC_only_rhizo_5	5
Hv_ccamk_HvSC_only_rhizo_6	ccamk	Rhizosphere	SC	Hv_ccamk_HvSC_only_rhizo_6	6
Hv_nsp1_HvSC_only_rhizo_1	nsp1	Rhizosphere	SC	Hv_nsp1_HvSC_only_rhizo_1	1
Hv_nsp1_HvSC_only_rhizo_2	nsp1	Rhizosphere	SC	Hv_nsp1_HvSC_only_rhizo_2	2
Hv_nsp1_HvSC_only_rhizo_3	nsp1	Rhizosphere	SC	Hv_nsp1_HvSC_only_rhizo_3	3
Hv_nsp1_HvSC_only_rhizo_4	nsp1	Rhizosphere	SC	Hv_nsp1_HvSC_only_rhizo_4	4
Hv_nsp1_HvSC_only_rhizo_5	nsp1	Rhizosphere	SC	Hv_nsp1_HvSC_only_rhizo_5	5
Hv_nsp1_HvSC_only_rhizo_6	nsp1	Rhizosphere	SC	Hv_nsp1_HvSC_only_rhizo_6	6
Hv_nsp2_HvSC_only_rhizo_1	nsp2	Rhizosphere	SC	Hv_nsp2_HvSC_only_rhizo_1	1
Hv_nsp2_HvSC_only_rhizo_2	nsp2	Rhizosphere	SC	Hv_nsp2_HvSC_only_rhizo_2	2
Hv_nsp2_HvSC_only_rhizo_3	nsp2	Rhizosphere	SC	Hv_nsp2_HvSC_only_rhizo_3	3
Hv_nsp2_HvSC_only_rhizo_4	nsp2	Rhizosphere	SC	Hv_nsp2_HvSC_only_rhizo_4	4
Hv_nsp2_HvSC_only_rhizo_5	nsp2	Rhizosphere	SC	Hv_nsp2_HvSC_only_rhizo_5	5
Hv_nsp2_HvSC_only_rhizo_6	nsp2	Rhizosphere	SC	Hv_nsp2_HvSC_only_rhizo_6	6
Hv_WT_HvSC_only_endo_1	WT	Root	SC	Hv_WT_HvSC_only_endo_1	1
Hv_WT_HvSC_only_endo_2	WT	Root	SC	Hv_WT_HvSC_only_endo_2	2
Hv_WT_HvSC_only_endo_3	WT	Root	SC	Hv_WT_HvSC_only_endo_3	3
Hv_WT_HvSC_only_endo_4	WT	Root	SC	Hv_WT_HvSC_only_endo_4	4
Hv_WT_HvSC_only_endo_5	WT	Root	SC	Hv_WT_HvSC_only_endo_5	5
Hv_symrk_HvSC_only_endo_1	symrk	Root	SC	Hv_symrk_HvSC_only_endo_1	1
Hv_symrk_HvSC_only_endo_2	symrk	Root	SC	Hv_symrk_HvSC_only_endo_2	2
Hv_symrk_HvSC_only_endo_3	symrk	Root	SC	Hv_symrk_HvSC_only_endo_3	3
Hv_symrk_HvSC_only_endo_4	symrk	Root	SC	Hv_symrk_HvSC_only_endo_4	4
Hv_symrk_HvSC_only_endo_5	symrk	Root	SC	Hv_symrk_HvSC_only_endo_5	5
Hv_symrk_HvSC_only_endo_6	symrk	Root	SC	Hv_symrk_HvSC_only_endo_6	6
Hv_ccamk_HvSC_only_endo_1	ccamk	Root	SC	Hv_ccamk_HvSC_only_endo_1	1
