Original_ID	Seq_ID	SampleID	Genotype	Compartment	Inoculum	Description	Bio_rep			
1	AM_1	Hv_WT_HvSC_only_rhizo_1	WT	rhizo	SC	Hv_WT_HvSC_only_rhizo_1	1			
2	AM_2	Hv_WT_HvSC_only_rhizo_2	WT	rhizo	SC	Hv_WT_HvSC_only_rhizo_2	2			
3	AM_3	Hv_WT_HvSC_only_rhizo_3	WT	rhizo	SC	Hv_WT_HvSC_only_rhizo_3	3			
4	AM_4	Hv_WT_HvSC_only_rhizo_4	WT	rhizo	SC	Hv_WT_HvSC_only_rhizo_4	4			
5	AM_5	Hv_WT_HvSC_only_rhizo_5	WT	rhizo	SC	Hv_WT_HvSC_only_rhizo_5	5		incl. OX	95
6	AM_6	Hv_WT_HvSC_only_rhizo_6	WT	rhizo	SC	Hv_WT_HvSC_only_rhizo_6	6			
7	AM_7	Hv_symrk_HvSC_only_rhizo_1	symrk	rhizo	SC	Hv_symrk_HvSC_only_rhizo_1	1		excl. OX	59
8	AM_8	Hv_symrk_HvSC_only_rhizo_2	symrk	rhizo	SC	Hv_symrk_HvSC_only_rhizo_2	2			
9	AM_9	Hv_symrk_HvSC_only_rhizo_3	symrk	rhizo	SC	Hv_symrk_HvSC_only_rhizo_3	3			
10	AM_10	Hv_symrk_HvSC_only_rhizo_4	symrk	rhizo	SC	Hv_symrk_HvSC_only_rhizo_4	4			
11	AM_11	Hv_symrk_HvSC_only_rhizo_5	symrk	rhizo	SC	Hv_symrk_HvSC_only_rhizo_5	5			
12	AM_12	Hv_symrk_HvSC_only_rhizo_6	symrk	rhizo	SC	Hv_symrk_HvSC_only_rhizo_6	6			
12	AM_13	Hv_ccamk_HvSC_only_rhizo_1	ccamk	rhizo	SC	Hv_ccamk_HvSC_only_rhizo_1	1			
13	AM_14	Hv_ccamk_HvSC_only_rhizo_2	ccamk	rhizo	SC	Hv_ccamk_HvSC_only_rhizo_2	2			
14	AM_15	Hv_ccamk_HvSC_only_rhizo_3	ccamk	rhizo	SC	Hv_ccamk_HvSC_only_rhizo_3	3			
15	AM_16	Hv_ccamk_HvSC_only_rhizo_4	ccamk	rhizo	SC	Hv_ccamk_HvSC_only_rhizo_4	4			
16	AM_17	Hv_ccamk_HvSC_only_rhizo_5	ccamk	rhizo	SC	Hv_ccamk_HvSC_only_rhizo_5	5			
17	AM_18	Hv_ccamk_HvSC_only_rhizo_6	ccamk	rhizo	SC	Hv_ccamk_HvSC_only_rhizo_6	6			
18	AM_19	Hv_nsp1_HvSC_only_rhizo_1	nsp1	rhizo	SC	Hv_nsp1_HvSC_only_rhizo_1	1			
19	AM_20	Hv_nsp1_HvSC_only_rhizo_2	nsp1	rhizo	SC	Hv_nsp1_HvSC_only_rhizo_2	2			
20	AM_21	Hv_nsp1_HvSC_only_rhizo_3	nsp1	rhizo	SC	Hv_nsp1_HvSC_only_rhizo_3	3			
21	AM_22	Hv_nsp1_HvSC_only_rhizo_4	nsp1	rhizo	SC	Hv_nsp1_HvSC_only_rhizo_4	4			
22	AM_23	Hv_nsp1_HvSC_only_rhizo_5	nsp1	rhizo	SC	Hv_nsp1_HvSC_only_rhizo_5	5			
23	AM_24	Hv_nsp1_HvSC_only_rhizo_6	nsp1	rhizo	SC	Hv_nsp1_HvSC_only_rhizo_6	6			
24	AM_25	Hv_nsp2_HvSC_only_rhizo_1	nsp2	rhizo	SC	Hv_nsp2_HvSC_only_rhizo_1	1			
25	AM_26	Hv_nsp2_HvSC_only_rhizo_2	nsp2	rhizo	SC	Hv_nsp2_HvSC_only_rhizo_2	2			
26	AM_27	Hv_nsp2_HvSC_only_rhizo_3	nsp2	rhizo	SC	Hv_nsp2_HvSC_only_rhizo_3	3			
27	AM_28	Hv_nsp2_HvSC_only_rhizo_4	nsp2	rhizo	SC	Hv_nsp2_HvSC_only_rhizo_4	4			
28	AM_29	Hv_nsp2_HvSC_only_rhizo_5	nsp2	rhizo	SC	Hv_nsp2_HvSC_only_rhizo_5	5			
30	AM_30	Hv_nsp2_HvSC_only_rhizo_6	nsp2	rhizo	SC	Hv_nsp2_HvSC_only_rhizo_6	6			
31	AM_31	Hv_OXNSP1_HvSC_only_rhizo_1	OXNSP1	rhizo	SC	Hv_OXNSP1_HvSC_only_rhizo1	1			
32	AM_32	Hv_OXNSP1_HvSC_only_rhizo_2	OXNSP1	rhizo	SC	Hv_OXNSP1_HvSC_only_rhizo2	2			
33	AM_33	Hv_OXNSP1_HvSC_only_rhizo_3	OXNSP1	rhizo	SC	Hv_OXNSP1_HvSC_only_rhizo3	3			
34	AM_34	Hv_OXNSP1_HvSC_only_rhizo_4	OXNSP1	rhizo	SC	Hv_OXNSP1_HvSC_only_rhizo4	4			
35	AM_35	Hv_OXNSP1_HvSC_only_rhizo_5	OXNSP1	rhizo	SC	Hv_OXNSP1_HvSC_only_rhizo5	5			
36	AM_36	Hv_OXNSP1_HvSC_only_rhizo_6	OXNSP1	rhizo	SC	Hv_OXNSP1_HvSC_only_rhizo6	6			
37	AM_37	Hv_OXNSP2_HvSC_only_rhizo_1	OXNSP2	rhizo	SC	Hv_OXNSP2_HvSC_only_rhizo1	1			
38	AM_38	Hv_OXNSP2_HvSC_only_rhizo_2	OXNSP2	rhizo	SC	Hv_OXNSP2_HvSC_only_rhizo2	2			
39	AM_39	Hv_OXNSP2_HvSC_only_rhizo_3	OXNSP2	rhizo	SC	Hv_OXNSP2_HvSC_only_rhizo3	3			
40	AM_40	Hv_OXNSP2_HvSC_only_rhizo_4	OXNSP2	rhizo	SC	Hv_OXNSP2_HvSC_only_rhizo4	4			
41	AM_41	Hv_OXNSP2_HvSC_only_rhizo_5	OXNSP2	rhizo	SC	Hv_OXNSP2_HvSC_only_rhizo5	5			
42	AM_42	Hv_OXNSP2_HvSC_only_rhizo_6	OXNSP2	rhizo	SC	Hv_OXNSP2_HvSC_only_rhizo6	6			
43	AM_43	Hv_OXNSP1NSP2_HvSC_only_rhizo_1	OXNSP1NSP2	rhizo	SC	Hv_OXNSP1NSP2_HvSC_only_rhizo1	1			
44	AM_44	Hv_OXNSP1NSP2_HvSC_only_rhizo_2	OXNSP1NSP2	rhizo	SC	Hv_OXNSP1NSP2_HvSC_only_rhizo2	2			
45	AM_45	Hv_OXNSP1NSP2_HvSC_only_rhizo_3	OXNSP1NSP2	rhizo	SC	Hv_OXNSP1NSP2_HvSC_only_rhizo3	3			
46	AM_46	Hv_OXNSP1NSP2_HvSC_only_rhizo_4	OXNSP1NSP2	rhizo	SC	Hv_OXNSP1NSP2_HvSC_only_rhizo4	4			
47	AM_47	Hv_OXNSP1NSP2_HvSC_only_rhizo_5	OXNSP1NSP2	rhizo	SC	Hv_OXNSP1NSP2_HvSC_only_rhizo5	5			
48	AM_48	Hv_OXNSP1NSP2_HvSC_only_rhizo_6	OXNSP1NSP2	rhizo	SC	Hv_OXNSP1NSP2_HvSC_only_rhizo6	6			
97	AM_95	Hv_WT_HvSC_only_endo_1	WT	endo	SC	Hv_WT_HvSC_only_endo_1	1			
