"","ASVid","Hv_WT_HvSC_only_endo_1","Hv_WT_HvSC_only_endo_2","Hv_WT_HvSC_only_endo_3","Hv_WT_HvSC_only_endo_4","Hv_WT_HvSC_only_endo_5","Hv_WT_HvSC_only_rhizo_1","Hv_WT_HvSC_only_rhizo_2","Hv_WT_HvSC_only_rhizo_3","Hv_WT_HvSC_only_rhizo_4","Hv_WT_HvSC_only_rhizo_5","Hv_WT_HvSC_only_rhizo_6","Hv_ccamk_HvSC_only_endo_1","Hv_ccamk_HvSC_only_endo_2","Hv_ccamk_HvSC_only_endo_3","Hv_ccamk_HvSC_only_endo_4","Hv_ccamk_HvSC_only_endo_5","Hv_ccamk_HvSC_only_endo_6","Hv_ccamk_HvSC_only_rhizo_2","Hv_ccamk_HvSC_only_rhizo_3","Hv_ccamk_HvSC_only_rhizo_4","Hv_ccamk_HvSC_only_rhizo_5","Hv_ccamk_HvSC_only_rhizo_6","Hv_nsp1_HvSC_only_endo_1","Hv_nsp1_HvSC_only_endo_2","Hv_nsp1_HvSC_only_endo_3","Hv_nsp1_HvSC_only_endo_4","Hv_nsp1_HvSC_only_endo_5","Hv_nsp1_HvSC_only_endo_6","Hv_nsp1_HvSC_only_rhizo_1","Hv_nsp1_HvSC_only_rhizo_2","Hv_nsp1_HvSC_only_rhizo_3","Hv_nsp1_HvSC_only_rhizo_4","Hv_nsp1_HvSC_only_rhizo_5","Hv_nsp1_HvSC_only_rhizo_6","Hv_nsp2_HvSC_only_endo_1","Hv_nsp2_HvSC_only_endo_2","Hv_nsp2_HvSC_only_endo_3","Hv_nsp2_HvSC_only_endo_4","Hv_nsp2_HvSC_only_endo_5","Hv_nsp2_HvSC_only_endo_6","Hv_nsp2_HvSC_only_rhizo_1","Hv_nsp2_HvSC_only_rhizo_2","Hv_nsp2_HvSC_only_rhizo_3","Hv_nsp2_HvSC_only_rhizo_4","Hv_nsp2_HvSC_only_rhizo_5","Hv_nsp2_HvSC_only_rhizo_6","Hv_symrk_HvSC_only_endo_1","Hv_symrk_HvSC_only_endo_2","Hv_symrk_HvSC_only_endo_3","Hv_symrk_HvSC_only_endo_4","Hv_symrk_HvSC_only_endo_5","Hv_symrk_HvSC_only_endo_6","Hv_symrk_HvSC_only_rhizo_1","Hv_symrk_HvSC_only_rhizo_2","Hv_symrk_HvSC_only_rhizo_3","Hv_symrk_HvSC_only_rhizo_4","Hv_symrk_HvSC_only_rhizo_5","Hv_symrk_HvSC_only_rhizo_6"
"P2_H11","P2_H11",4408,2357,2550,2978,2653,1744,1781,2734,1554,1835,2505,2336,1379,2884,2382,1198,2221,1814,1389,529,661,810,4556,1872,4365,3194,3661,2372,497,571,976,2652,1455,1937,1959,1355,1757,1496,2003,2708,976,1765,1032,2687,3692,2531,3471,6200,4614,2809,4687,3722,1411,2478,2123,1968,2756,1982
"P5_A1","P5_A1",1458,2820,2877,2453,3205,83,81,115,107,70,121,6052,5472,3098,4061,6058,4652,180,247,75,142,120,2769,4186,3146,3414,3208,3158,90,72,96,161,155,106,1331,4148,2592,3634,3603,2822,43,62,51,101,64,40,2759,2118,2427,4946,1815,2596,71,78,52,99,102,103
"P4_H10","P4_H10",661,671,307,839,467,1308,1488,1200,1229,832,1412,452,386,2522,2583,1822,2112,2760,1436,2189,2851,2049,1118,1088,1694,1095,1785,3129,1166,668,1884,1568,1672,1111,3634,851,1269,1387,485,1312,869,1598,2644,2837,2282,1850,575,894,439,559,808,1147,952,1028,880,1265,1683,1470
"P1_A1","P1_A1",855,246,74,27,30,2066,2448,372,231,186,128,111,79,181,113,157,129,1298,2634,2115,1557,2351,213,219,244,604,164,184,2388,3680,1812,1778,1468,2229,365,152,228,209,116,93,1511,1996,1986,1054,1320,1615,205,114,165,132,137,177,2308,2655,2152,1929,1768,1979
"P1_A8","P1_A8",611,791,1347,976,428,705,585,686,865,563,780,349,1033,314,159,255,209,750,644,510,512,501,304,798,155,350,269,358,303,449,764,624,629,502,813,1074,1495,798,1125,1186,288,664,676,670,540,638,1059,412,852,580,962,939,489,564,467,498,677,641
"P4_A8","P4_A8",906,726,68,19,114,871,555,196,82,177,29,162,266,191,106,104,121,539,770,394,781,533,160,356,85,202,98,88,2874,1303,2120,742,2471,2097,252,167,262,184,77,132,5713,867,671,1350,1147,1081,190,84,244,201,448,150,2519,877,1286,1552,873,980
"P4_B4","P4_B4",99,111,17,15,8,1018,1359,196,148,85,45,8,41,88,74,83,59,432,600,1687,1270,1463,38,42,35,95,40,31,886,903,949,839,636,838,88,21,36,37,36,10,594,1112,1269,575,523,1031,46,12,37,56,47,70,902,1046,1287,1029,909,1062
"P4_C7","P4_C7",540,398,40,429,50,1724,1360,219,193,126,148,18,57,163,194,111,95,624,788,1415,1214,1561,193,115,117,351,102,115,1221,989,948,1010,744,773,228,47,108,285,82,190,622,963,1085,605,746,1138,145,92,116,205,161,210,1063,1256,1316,1108,996,1007
"P1_F10","P1_F10",187,484,323,247,220,19,34,13,16,8,16,729,723,327,358,664,485,45,55,28,37,40,558,748,406,349,627,307,21,43,39,38,60,41,229,1288,467,451,950,660,19,43,34,33,32,34,797,463,669,587,409,469,24,36,23,42,24,42
"P1_E1","P1_E1",336,445,612,370,323,197,198,132,242,154,147,190,323,352,278,352,370,241,187,170,211,192,270,480,188,302,210,277,128,197,262,283,235,240,443,476,866,518,595,518,88,172,172,248,182,163,446,225,427,280,477,451,117,130,104,140,163,186
