ASVid	Hv_WT_HvSC_only_endo_1	Hv_WT_HvSC_only_endo_2	Hv_WT_HvSC_only_endo_3	Hv_WT_HvSC_only_endo_4	Hv_WT_HvSC_only_endo_5	Hv_WT_HvSC_only_rhizo_1	Hv_WT_HvSC_only_rhizo_2	Hv_WT_HvSC_only_rhizo_3	Hv_WT_HvSC_only_rhizo_4	Hv_WT_HvSC_only_rhizo_5	Hv_WT_HvSC_only_rhizo_6	Hv_ccamk_HvSC_only_endo_1	Hv_ccamk_HvSC_only_endo_2	Hv_ccamk_HvSC_only_endo_3	Hv_ccamk_HvSC_only_endo_4	Hv_ccamk_HvSC_only_endo_5	Hv_ccamk_HvSC_only_endo_6	Hv_ccamk_HvSC_only_rhizo_2	Hv_ccamk_HvSC_only_rhizo_3	Hv_ccamk_HvSC_only_rhizo_4	Hv_ccamk_HvSC_only_rhizo_5	Hv_ccamk_HvSC_only_rhizo_6	Hv_nsp1_HvSC_only_endo_1	Hv_nsp1_HvSC_only_endo_2	Hv_nsp1_HvSC_only_endo_3	Hv_nsp1_HvSC_only_endo_4	Hv_nsp1_HvSC_only_endo_5	Hv_nsp1_HvSC_only_endo_6	Hv_nsp1_HvSC_only_rhizo_1	Hv_nsp1_HvSC_only_rhizo_2	Hv_nsp1_HvSC_only_rhizo_3	Hv_nsp1_HvSC_only_rhizo_4	Hv_nsp1_HvSC_only_rhizo_5	Hv_nsp1_HvSC_only_rhizo_6	Hv_nsp2_HvSC_only_endo_1	Hv_nsp2_HvSC_only_endo_2	Hv_nsp2_HvSC_only_endo_3	Hv_nsp2_HvSC_only_endo_4	Hv_nsp2_HvSC_only_endo_5	Hv_nsp2_HvSC_only_endo_6	Hv_nsp2_HvSC_only_rhizo_1	Hv_nsp2_HvSC_only_rhizo_2	Hv_nsp2_HvSC_only_rhizo_3	Hv_nsp2_HvSC_only_rhizo_4	Hv_nsp2_HvSC_only_rhizo_5	Hv_nsp2_HvSC_only_rhizo_6	Hv_symrk_HvSC_only_endo_1	Hv_symrk_HvSC_only_endo_2	Hv_symrk_HvSC_only_endo_3	Hv_symrk_HvSC_only_endo_4	Hv_symrk_HvSC_only_endo_5	Hv_symrk_HvSC_only_endo_6	Hv_symrk_HvSC_only_rhizo_1	Hv_symrk_HvSC_only_rhizo_2	Hv_symrk_HvSC_only_rhizo_3	Hv_symrk_HvSC_only_rhizo_4	Hv_symrk_HvSC_only_rhizo_5	Hv_symrk_HvSC_only_rhizo_6
P2_H11	2650	1414	1729	2168	2121	1118	1091	2647	2029	2614	2839	1408	862	1775	1434	724	1390	1171	801	287	449	467	2814	1155	2626	2044	2261	1600	295	373	641	1682	884	1232	1336	862	1111	916	1215	1689	585	1054	654	1675	2222	1588	2103	3915	2867	1667	2991	2399	872	1489	1284	1174	1675	1251
P5_A1	918	1707	1982	1817	2600	49	59	131	122	102	109	3769	3511	1954	2509	3658	2809	109	158	43	79	83	1683	2677	2040	2000	2026	1989	55	66	67	80	71	52	898	2617	1660	2458	2306	1807	11	44	24	61	44	22	1701	1296	1428	3011	1155	1548	44	52	34	81	58	65
P4_H10	362	422	213	638	387	800	899	1221	1586	1151	1650	299	268	1566	1559	1082	1284	1724	902	1318	1730	1225	606	642	1065	714	1150	1986	704	381	1127	948	1021	737	2311	582	799	883	333	815	566	952	1553	1769	1358	1109	390	567	310	344	453	696	595	599	563	767	987	848
P1_A1	521	153	73	14	33	1187	1441	346	266	284	133	58	50	98	64	87	95	836	1697	1210	947	1405	136	118	146	323	130	115	1440	2226	1059	1080	925	1348	217	80	170	144	78	58	930	1227	1241	619	766	919	120	75	96	76	68	114	1398	1605	1267	1091	981	1170
P1_A8	364	531	916	699	362	428	354	668	988	838	835	221	648	194	95	158	132	457	420	333	292	285	214	471	118	227	166	237	171	229	418	357	405	272	539	675	1014	525	667	785	159	404	431	430	352	373	686	224	552	353	590	601	275	284	308	347	415	351
P4_A8	564	433	51	11	105	544	323	215	90	305	37	104	166	110	71	78	67	330	475	290	465	356	84	225	49	121	54	64	1719	725	1344	454	1448	1297	144	102	179	139	59	81	3388	537	438	761	697	694	106	52	119	122	232	107	1418	559	734	944	521	606
P4_B4	44	55	14	6	11	612	873	155	176	97	43	6	10	47	58	34	44	289	387	1012	737	935	26	25	19	56	26	19	543	547	569	527	338	519	55	20	27	21	24	14	382	637	691	294	323	623	17	18	24	26	33	54	556	607	741	624	588	645
P4_C7	356	242	37	342	37	1046	783	195	233	209	170	9	33	118	124	90	80	405	512	884	737	912	124	68	80	214	56	56	735	625	581	586	501	479	147	48	49	145	46	122	382	632	679	359	443	678	76	68	64	119	121	118	620	764	828	684	649	682
P1_F10	118	279	269	178	137	13	21	9	15	11	21	458	450	188	244	417	338	37	35	25	14	16	370	431	245	247	390	243	19	18	21	20	29	19	148	793	264	285	587	462	12	21	19	20	23	24	518	289	379	366	266	302	18	16	14	48	21	28
P1_E1	239	252	432	244	274	115	140	131	259	231	153	146	204	238	163	224	202	151	109	104	106	129	150	315	108	197	147	172	93	116	157	170	145	134	289	303	551	372	374	323	60	115	106	161	124	93	284	138	259	189	314	309	65	61	57	87	113	97
