"Comparison","diff","lwr","upr","p adj","Order","Compartment"
"symrk-WT",-0.000141046091316674,-0.000351061577466578,6.89693948332309e-05,0.306053661206037,"Bacillales","Root"
"ccamk-WT",-9.80075922175807e-05,-0.000308023078367485,0.000112007893932324,0.648841239048955,"Bacillales","Root"
"nsp1-WT",-8.79084136520123e-05,-0.000297923899801917,0.000122107072497892,0.732616165884762,"Bacillales","Root"
"nsp2-WT",-1.17817476263327e-06,-0.000211193660912538,0.000208837311387271,0.999999981691016,"Bacillales","Root"
"ccamk-symrk",4.30384990990931e-05,-0.000157203410107067,0.000243280408305253,0.968104908256586,"Bacillales","Root"
"nsp1-symrk",5.31376776646615e-05,-0.000147104231541498,0.000253379586870821,0.933422020258782,"Bacillales","Root"
"nsp2-symrk",0.000139867916554041,-6.03739926521194e-05,0.0003401098257602,0.270380285917927,"Bacillales","Root"
"nsp1-ccamk",1.00991785655684e-05,-0.000190142730640591,0.000210341087771728,0.999881802836053,"Bacillales","Root"
"nsp2-ccamk",9.68294174549474e-05,-0.000103412491751212,0.000297071326661107,0.618513183472657,"Bacillales","Root"
"nsp2-nsp1",8.6730238889379e-05,-0.000113511670316781,0.000286972148095539,0.707839208924824,"Bacillales","Root"
"symrk-WT",-0.0167752391294263,-0.199680214876783,0.16612973661793,0.998742558747268,"Burkholderiales","Root"
"ccamk-WT",0.16312153015185,-0.0197834455955066,0.346026505899207,0.0967108141854034,"Burkholderiales","Root"
"nsp1-WT",0.0287708603050583,-0.154134115442298,0.211675836052415,0.989913738936334,"Burkholderiales","Root"
"nsp2-WT",0.0403192914799918,-0.142585684267365,0.223224267227349,0.965085966437046,"Burkholderiales","Root"
"ccamk-symrk",0.179896769281276,0.00550371751929943,0.354289821043253,0.0408819871211128,"Burkholderiales","Root"
"nsp1-symrk",0.0455460994344846,-0.128846952327492,0.219939151196462,0.936929395663255,"Burkholderiales","Root"
"nsp2-symrk",0.0570945306094181,-0.117298521152559,0.231487582371395,0.868223396639564,"Burkholderiales","Root"
"nsp1-ccamk",-0.134350669846792,-0.308743721608769,0.0400423819151852,0.189414673225577,"Burkholderiales","Root"
"nsp2-ccamk",-0.122802238671858,-0.297195290433835,0.0515908130901187,0.263227005536599,"Burkholderiales","Root"
"nsp2-nsp1",0.0115484311749335,-0.162844620587043,0.18594148293691,0.999651747903771,"Burkholderiales","Root"
"symrk-WT",0.0062846366588212,-0.117611781332494,0.130181054650136,0.999879077137256,"Caulobacterales","Root"
"ccamk-WT",0.0806688387980177,-0.0432275791932974,0.204565256789333,0.335162121108567,"Caulobacterales","Root"
"nsp1-WT",0.0839714445490346,-0.0399249734422805,0.20786786254035,0.297632196768405,"Caulobacterales","Root"
"nsp2-WT",0.0753298086341623,-0.0485666093571527,0.199226226625477,0.401393813469219,"Caulobacterales","Root"
"ccamk-symrk",0.0743842021391965,-0.0437463973570569,0.19251480163545,0.367270920787175,"Caulobacterales","Root"
"nsp1-symrk",0.0776868078902134,-0.0404437916060401,0.195817407386467,0.325705373024131,"Caulobacterales","Root"
"nsp2-symrk",0.0690451719753411,-0.0490854275209123,0.187175771471595,0.440109658084842,"Caulobacterales","Root"
"nsp1-ccamk",0.00330260575101685,-0.114827993745237,0.12143320524727,0.999988746974205,"Caulobacterales","Root"
"nsp2-ccamk",-0.00533903016385537,-0.123469629660109,0.112791569332398,0.999923597407666,"Caulobacterales","Root"
"nsp2-nsp1",-0.00864163591487221,-0.126772235411126,0.109488963581381,0.999483725372883,"Caulobacterales","Root"
"symrk-WT",2.82573372018547e-07,-9.38240155065707e-05,9.43891622506078e-05,0.999999998497134,"Corynebacteriales","Root"
"ccamk-WT",-3.96382487054503e-05,-0.00013374483758404,5.4468340173139e-05,0.728190495963159,"Corynebacteriales","Root"
"nsp1-WT",3.78530991832939e-06,-9.03212789602599e-05,9.78918987969187e-05,0.999951970983224,"Corynebacteriales","Root"
"nsp2-WT",-7.70675548508661e-07,-9.48772644270979e-05,9.33359133300806e-05,0.999999916868838,"Corynebacteriales","Root"
"ccamk-symrk",-3.99208220774688e-05,-0.000129647933974719,4.98062898197814e-05,0.687358481769368,"Corynebacteriales","Root"
"nsp1-symrk",3.50273654631084e-06,-8.62243753509393e-05,9.3229848443561e-05,0.999957370940036,"Corynebacteriales","Root"
"nsp2-symrk",-1.05324892052721e-06,-9.07803608177774e-05,8.8673862976723e-05,0.999999649214301,"Corynebacteriales","Root"
