feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Sphingomonadales	Genotype	ccamk	-3.69179051284834	0.452763430964067	29	29	2.24872413962421e-08	1.25928551818956e-06
Sphingomonadales	Genotype	nsp1	-2.59924574844423	0.452763430964068	29	29	6.4652558518476e-06	0.000181027163851733
Xanthomonadales	Genotype	ccamk	-1.45432107387789	0.302886872735526	29	29	6.87882487903032e-05	0.00128404731075233
Sphingomonadales	Genotype	symrk	-1.9798346552824	0.452763430964068	29	29	0.000204701285434953	0.00286581799608935
Sphingomonadales	Genotype	nsp2	-1.85884186499972	0.452763430964068	29	29	0.00040341948730634	0.00451829825783101
Rhizobiales	Genotype	nsp1	-0.921047847838685	0.281111117177398	29	29	0.00318986567027692	0.0297720795892513
Rhizobiales	Genotype	ccamk	-0.893191542032283	0.281111117177398	29	29	0.00405684161140534	0.0313010933161036
Xanthomonadales	Genotype	nsp1	-0.950157502149376	0.302886872735526	29	29	0.00447158475944337	0.0313010933161036
Sphingobacteriales	Genotype	nsp2	-0.778567048091706	0.263451098205732	29	29	0.00689999893732683	0.0429333267211447
Rhodobacterales	Genotype	ccamk	-1.528747349749	0.532494010387123	29	29	0.00841525463211298	0.0471254259398327
Sphingobacteriales	Genotype	ccamk	-0.713038770312886	0.263451098205732	29	29	0.0123207045041968	0.0627235865668203
Micrococcales	Genotype	nsp2	1.52383240707002	0.619225443384268	29	29	0.0214371137874529	0.100039864341447
Caulobacterales	Genotype	nsp1	1.14185662021006	0.474285604028742	29	29	0.0241089104714528	0.103204153384629
Xanthomonadales	Genotype	symrk	-0.719811392992423	0.302886872735526	29	29	0.0258010383461572	0.103204153384629
Burkholderiales	Genotype	ccamk	0.542972786032598	0.236559974675789	29	29	0.0307596629269743	0.114836074927371
Bacillales	Genotype	symrk	-1.69034626607014	0.850253513402313	29	12	0.0583285097315903	0.194924292066438
Caulobacterales	Genotype	ccamk	0.92598028738489	0.474285604028742	29	29	0.0626542367356408	0.194924292066438
Caulobacterales	Genotype	nsp2	0.938608723154387	0.474285604028742	29	29	0.0594005587988079	0.194924292066438
Propionibacteriales	Genotype	nsp1	-1.43060919350441	0.803630170524609	29	18	0.0877115071777996	0.258518126418778
Propionibacteriales	Genotype	ccamk	-1.37216886126803	0.803630170524609	29	18	0.10064233351151	0.281798533832227
Rhodobacterales	Genotype	nsp2	-0.88457884866669	0.532494010387123	29	29	0.109682870056284	0.292487653483425
Propionibacteriales	Genotype	symrk	-1.28502657945568	0.803630170524609	29	18	0.122897960979851	0.299229818037897
Rhodospirillales	Genotype	nsp1	-1.16293339725815	0.720969035659823	29	29	0.119814811100413	0.299229818037897
Rhodospirillales	Genotype	nsp2	1.08307145087197	0.720969035659823	29	29	0.146078507936697	0.340849851852294
Micrococcales	Genotype	ccamk	-0.890172396849474	0.619225443384267	29	29	0.163470950384793	0.366174928861936
Sphingobacteriales	Genotype	symrk	0.36339533302525	0.263451098205732	29	29	0.180500817582309	0.388770991715741
Rhodobacterales	Genotype	nsp1	-0.706165579147565	0.532494010387123	29	29	0.197274053904742	0.409161000691317
Corynebacteriales	Genotype	ccamk	-0.639075458956901	0.507438302335406	29	9	0.219991481823139	0.428913879050617
Rhizobiales	Genotype	nsp2	0.352358450269482	0.281111117177398	29	29	0.222116115936927	0.428913879050617
Bacillales	Genotype	ccamk	-1.01453865324188	0.850253513402313	29	12	0.244446261808753	0.456299688709673
Bacillales	Genotype	nsp1	-0.921469076695184	0.850253513402313	29	12	0.289240037255024	0.522498131815527
Pseudomonadales	Genotype	ccamk	-0.443896060875343	0.457361944462537	29	29	0.34144917191211	0.579428897790248
Rhodobacterales	Genotype	symrk	-0.526890749304345	0.532494010387123	29	29	0.332301219076335	0.579428897790248
Rhizobiales	Genotype	symrk	-0.256561346567937	0.281111117177398	29	29	0.370494218186681	0.610225771131005
Rhodospirillales	Genotype	ccamk	-0.609777471263706	0.720969035659823	29	29	0.406032194899911	0.649651511839858
Micrococcales	Genotype	symrk	0.439483260704009	0.619225443384268	29	29	0.484710261233227	0.753993739696131
Burkholderiales	Genotype	nsp1	0.147233502430879	0.236559974675789	29	29	0.539551754391709	0.816618871511775
Propionibacteriales	Genotype	nsp2	-0.471495373531493	0.803630170524609	29	18	0.562879206931761	0.829506199688911
Burkholderiales	Genotype	nsp2	0.127393090044834	0.236559974675789	29	29	0.595175805263924	0.85461141268666
Pseudomonadales	Genotype	symrk	-0.219313272773286	0.457361944462537	29	29	0.635911016310079	0.890275422834111
Enterobacterales	Genotype	symrk	0.265851879986089	0.680555588963656	29	29	0.699509736265534	0.932679648354045
Pseudomonadales	Genotype	nsp2	-0.184560126669225	0.457361944462537	29	29	0.690129803399123	0.932679648354045
Caulobacterales	Genotype	symrk	0.151407895770416	0.474285604028742	29	29	0.752311431178292	0.979754421999636
Burkholderiales	Genotype	symrk	-0.064134005167577	0.236559974675789	29	29	0.788623877497744	0.981398603108304
Enterobacterales	Genotype	nsp1	-0.192260031176188	0.680555588963656	29	29	0.779978774310003	0.981398603108304
Bacillales	Genotype	nsp2	-0.0375076717666878	0.850253513402313	29	12	0.965178903994109	0.986763030178272
Corynebacteriales	Genotype	symrk	0.0110630084463208	0.507438302335406	29	9	0.982786403085683	0.986763030178272
Corynebacteriales	Genotype	nsp1	0.046264232625242	0.507438302335406	29	9	0.928112517789557	0.986763030178272
Corynebacteriales	Genotype	nsp2	-0.0212090951046494	0.507438302335406	29	9	0.967006782991616	0.986763030178272
Enterobacterales	Genotype	ccamk	-0.131593733417027	0.680555588963656	29	29	0.848302430334658	0.986763030178272
Enterobacterales	Genotype	nsp2	0.0976978604148397	0.680555588963656	29	29	0.887049618766556	0.986763030178272
Micrococcales	Genotype	nsp1	0.0103810455076102	0.619225443384268	29	29	0.986763030178272	0.986763030178272
Pseudomonadales	Genotype	nsp1	0.0651066067925964	0.457361944462537	29	29	0.887989909673342	0.986763030178272
Rhodospirillales	Genotype	symrk	0.0235569758568483	0.720969035659823	29	29	0.974204740389929	0.986763030178272
Sphingobacteriales	Genotype	nsp1	-0.0169535772610734	0.263451098205732	29	29	0.94922304280569	0.986763030178272
Xanthomonadales	Genotype	nsp2	-0.0449546225490967	0.302886872735526	29	29	0.883250926738979	0.986763030178272
