feature	P2_H11	P5_A1	P4_H10	P1_A1	P1_A8	P4_A8	P4_B4	P4_C7	P1_F10	P1_E1	P5_B3.P4_C1	P1_C1	P2_D12	P2_C12	P1_E8	P1_D3	P5_A10	P1_A6	P4_C9	P4_B10	P4_E5	P4_B2	P4_F10	P4_G1	P4_D7	P4_G3	P2_B12	P5_B10	P4_E4	P5_E7	P1_B10	P1_C2	P4_B5	P2_A1	P2_B1	P5_C1	P2_C2.P4_E2	P5_C5	P1_A9	P3_A2	P2_H12	P2_A8	P5_D10	P2_E10	P2_G8	P1_D2	P2_D3	P3_C6	P5_D4.P4_F1	P4_B11	P4_H6	P4_H7	P4_G10	P2_D9	P2_H9
Hv_WT_HvSC_only_rhizo_1	2743	133	1989	3300	1111	1429	1520	2744	34	280	1321	447	26	54	186	184	128	38	203	181	78	67	78	50	22	33	16	19	5	35	0	35	22	0	30	9	6	0	0	0	0	0	4	41	0	0	0	8	8	0	0	0	0	0	0
Hv_WT_HvSC_only_rhizo_2	2353	105	1917	3137	807	674	1752	1822	43	284	1254	384	30	43	147	79	107	53	179	93	49	50	31	22	0	10	13	0	8	37	12	27	6	0	12	14	0	0	10	0	0	5	13	34	0	0	0	0	0	0	0	0	0	0	0
Hv_WT_HvSC_only_rhizo_3	2683	118	1243	372	673	200	170	217	12	128	82	258	26	9	224	85	118	37	7	178	39	71	27	15	58	18	15	0	3	40	12	16	0	0	7	0	8	0	0	25	0	0	7	0	4	0	0	0	4	0	0	0	0	0	0
Hv_WT_HvSC_only_rhizo_4	3022	192	2356	431	1539	145	249	369	22	408	208	464	26	36	230	186	92	54	37	224	72	82	34	52	0	29	17	35	0	49	0	41	5	0	34	13	0	0	22	24	0	9	12	17	9	0	6	13	16	0	0	0	0	0	0
Hv_WT_HvSC_only_rhizo_5	4356	179	1940	482	1322	437	187	305	25	343	140	537	52	40	195	234	121	56	27	281	86	85	20	23	54	54	11	0	0	41	24	54	3	21	41	24	0	0	14	11	0	11	6	0	10	0	9	10	0	0	0	0	0	0	0
Hv_WT_HvSC_only_rhizo_6	5497	255	3073	264	1594	66	90	329	40	291	95	662	26	32	312	24	234	69	0	190	112	67	12	56	0	32	30	43	17	151	16	38	6	3	24	8	7	0	8	0	0	0	4	0	0	0	4	2	23	0	0	0	0	0	0
Hv_symrk_HvSC_only_rhizo_1	3449	191	2320	5594	1116	5899	2172	2433	75	298	1721	410	61	107	223	681	140	61	280	260	138	92	137	56	460	103	0	33	9	97	14	68	9	3	72	15	76	0	6	0	0	10	10	0	9	0	7	10	21	0	0	0	0	4	0
Hv_symrk_HvSC_only_rhizo_2	7698	253	3172	8165	1622	2784	3322	3797	101	412	2539	622	49	51	283	356	211	97	403	168	127	86	119	82	123	66	37	35	31	76	24	55	25	10	29	20	31	0	13	0	0	6	18	0	6	0	7	5	8	0	0	6	0	0	0
Hv_symrk_HvSC_only_rhizo_3	5466	141	2380	5552	1293	3271	3272	3480	50	266	3352	318	22	13	268	226	171	60	234	169	128	71	89	59	102	32	21	78	20	69	17	66	48	4	15	12	0	0	0	0	0	1	14	15	0	39	12	0	13	0	6	0	0	0	0
Hv_symrk_HvSC_only_rhizo_4	3175	193	2051	3158	849	2613	1716	1868	82	249	1867	319	35	22	187	292	123	60	139	128	78	63	76	43	28	40	21	0	0	27	6	21	56	7	11	8	18	0	6	0	0	0	3	0	0	0	1	0	14	0	0	0	0	0	0
Hv_symrk_HvSC_only_rhizo_5	5060	170	3026	3086	1267	1562	1607	1870	42	343	1350	522	18	43	189	135	67	60	156	118	73	78	62	55	208	44	29	0	11	80	16	57	45	8	22	13	21	0	3	6	0	8	14	0	13	0	1	6	0	0	0	7	0	0	0
Hv_symrk_HvSC_only_rhizo_6	3683	195	2769	3626	1114	1828	1947	1991	81	368	1585	603	55	63	258	110	78	75	217	198	102	94	88	48	288	44	30	105	15	133	25	78	19	10	18	20	40	1	16	0	0	0	8	12	0	34	8	16	7	0	6	0	0	0	0
Hv_ccamk_HvSC_only_rhizo_1	129	15	13	73	71	8	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hv_ccamk_HvSC_only_rhizo_2	3931	349	5730	2745	1605	1138	987	1301	112	500	674	1604	63	57	184	105	119	250	274	150	87	179	360	166	303	82	50	287	142	198	64	62	72	24	0	26	23	11	8	5	28	8	25	29	13	48	8	0	11	35	0	15	6	5	0
Hv_ccamk_HvSC_only_rhizo_3	2930	536	3100	5767	1427	1672	1337	1761	136	411	949	1080	68	82	180	163	113	232	323	199	43	125	481	146	676	60	52	469	195	86	23	44	25	26	17	23	0	7	11	27	51	13	40	0	14	100	9	0	19	15	0	19	10	4	0
Hv_ccamk_HvSC_only_rhizo_4	966	134	4050	3918	976	851	3139	2658	47	307	3223	319	21	16	147	121	48	136	191	62	49	41	145	59	121	23	30	96	8	103	25	48	42	17	0	17	29	0	8	0	0	10	22	10	0	30	8	0	9	0	5	13	0	0	0
Hv_ccamk_HvSC_only_rhizo_5	869	178	3852	2144	704	1054	1734	1613	39	269	1816	326	14	40	91	42	81	95	133	57	23	46	110	43	153	14	30	74	11	86	0	28	54	9	13	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0
Hv_ccamk_HvSC_only_rhizo_6	1466	220	3629	4110	892	965	2650	2692	52	370	1568	472	12	26	146	407	91	162	265	76	44	37	107	49	100	29	32	68	36	80	23	68	29	15	14	8	4	0	0	10	0	0	10	0	9	29	0	0	11	0	10	6	0	0	0
Hv_nsp1_HvSC_only_rhizo_1	793	139	2006	4081	512	4910	1532	2071	36	245	1093	377	21	24	125	918	111	67	283	112	31	48	183	38	318	11	23	34	27	46	14	24	2	16	18	8	32	0	6	0	33	0	13	8	18	0	3	0	40	5	0	0	0	0	0
Hv_nsp1_HvSC_only_rhizo_2	1673	249	1736	9761	1147	3415	2454	2731	95	498	2012	688	44	173	253	1369	962	137	348	205	73	86	667	96	104	89	30	58	42	68	38	109	25	30	38	20	93	13	14	9	55	5	12	0	19	0	15	10	24	26	0	0	12	0	7
Hv_nsp1_HvSC_only_rhizo_3	2058	188	3553	3486	1426	4134	1834	1885	70	537	1114	693	30	45	209	325	155	120	160	137	41	84	237	66	16	27	32	68	21	46	20	71	24	0	28	25	0	0	9	14	10	10	11	0	7	0	6	0	17	0	8	0	4	0	4
Hv_nsp1_HvSC_only_rhizo_4	4483	246	2559	2931	951	1267	1445	1724	67	463	848	962	35	75	97	196	66	122	136	104	44	66	202	48	19	30	36	84	32	65	22	58	12	11	41	19	24	5	0	23	0	15	25	0	15	0	6	1	0	0	0	0	0	3	5
Hv_nsp1_HvSC_only_rhizo_5	1877	185	2085	1968	842	3054	763	952	72	303	463	722	31	98	106	393	104	123	116	140	41	46	150	33	46	23	21	33	17	44	31	98	17	15	28	10	41	0	10	0	0	4	10	19	0	0	10	7	0	0	0	0	0	0	0
Hv_nsp1_HvSC_only_rhizo_6	2846	141	1761	3190	693	3043	1207	1139	65	323	582	473	29	22	163	279	113	95	87	101	43	67	159	44	142	31	14	65	17	49	26	33	36	0	30	0	13	0	6	15	0	6	5	0	0	0	8	7	0	0	0	0	0	0	0
Hv_nsp2_HvSC_only_rhizo_1	2104	88	1936	3201	619	12295	1214	1286	46	211	603	346	27	25	154	435	186	41	99	60	47	43	98	46	48	24	0	76	23	32	18	40	16	0	20	16	28	0	6	10	6	5	9	0	0	0	0	0	12	0	0	0	0	0	4
Hv_nsp2_HvSC_only_rhizo_2	3109	113	2777	3500	1100	1566	1882	1670	66	307	1465	376	55	65	251	701	135	81	173	162	157	87	115	49	123	40	28	77	18	114	8	46	13	11	36	11	17	0	12	0	19	2	12	7	5	0	0	2	2	0	0	0	0	0	5
Hv_nsp2_HvSC_only_rhizo_3	1235	60	3070	2256	816	797	1400	1270	37	198	1199	223	35	29	129	165	46	53	104	61	70	63	63	15	73	22	0	0	4	61	0	26	9	0	16	6	0	0	8	0	0	0	0	0	0	0	1	0	9	0	0	0	0	2	0
Hv_nsp2_HvSC_only_rhizo_4	5022	196	5204	1930	1273	2436	981	1098	59	428	619	389	28	34	325	339	101	85	109	95	80	74	128	48	123	36	18	94	38	52	15	30	79	0	0	17	8	0	21	10	0	7	0	0	0	0	7	24	8	0	0	0	0	0	0
Hv_nsp2_HvSC_only_rhizo_5	9075	173	5671	3267	1416	2930	1257	1876	80	467	715	517	45	14	389	135	101	107	143	145	123	87	90	89	370	53	26	121	10	64	21	41	67	0	19	9	0	0	8	10	0	0	8	0	0	0	8	15	8	0	0	0	0	4	0
Hv_nsp2_HvSC_only_rhizo_6	5611	97	4158	3545	1409	2464	2245	2569	90	324	1482	418	36	27	207	296	111	91	151	137	91	70	130	75	263	38	31	75	35	146	11	32	30	9	32	8	36	0	12	0	0	0	0	10	4	0	0	7	13	0	0	0	0	0	2
