feature	P2_H11	P5_A1	P4_H10	P1_A1	P1_A8	P4_A8	P4_B4	P4_C7	P1_F10	P1_E1	P5_B3.P4_C1	P1_C1	P2_D12	P2_C12	P1_E8	P1_D3	P5_A10	P1_A6	P4_C9	P4_B10	P4_E5	P4_B2	P4_F10	P4_G1	P4_D7	P4_G3	P2_B12	P5_B10	P4_E4	P5_E7	P1_B10	P1_C2	P4_B5	P2_A1	P2_B1	P5_C1	P2_C2.P4_E2	P5_C5	P1_A9	P3_A2	P2_H12	P2_A8	P5_D10	P2_E10	P2_G8	P1_D2	P2_D3	P3_C6	P5_D4.P4_F1	P4_B11	P4_H6	P4_H7	P4_G10	P2_D9	P2_H9
Hv_WT_HvSC_only_rhizo_1	0.14733845410109	0.00714400816458076	0.106837836386099	0.177257345436966	0.0596766396304453	0.0767578020089166	0.0816458075952087	0.147392168448193	0.00182628780147177	0.0150400171885911	0.0709566525218886	0.0240103131546436	0.00139657302465489	0.00290057474351399	0.00999086856099264	0.00988343986678842	0.0068754364290702	0.00204114518988022	0.0109040124617285	0.00972229682548209	0.00418971907396466	0.00359886125584144	0.00418971907396466	0.00268571735510555	0.00118171563624644	0.00177257345436966	0.000859429553633776	0.00102057259494011	0.000268571735510555	0.00188000214857388	0	0.00188000214857388	0.00118171563624644	0	0.00161143041306333	0.000483429123918999	0.000322286082612666	0	0	0	0	0	0.000214857388408444	0.00220228823118655	0	0	0	0.000429714776816888	0.000429714776816888	0	0	0	0	0	0
Hv_WT_HvSC_only_rhizo_2	0.150678790983607	0.00672387295081967	0.122758709016393	0.200883709016393	0.0516777663934426	0.0431608606557377	0.11219262295082	0.116675204918033	0.00275358606557377	0.0181864754098361	0.0803022540983607	0.0245901639344262	0.00192110655737705	0.00275358606557377	0.00941342213114754	0.00505891393442623	0.00685194672131148	0.00339395491803279	0.0114626024590164	0.00595543032786885	0.00313780737704918	0.00320184426229508	0.00198514344262295	0.00140881147540984	0	0.000640368852459016	0.000832479508196721	0	0.000512295081967213	0.00236936475409836	0.00076844262295082	0.00172899590163934	0.00038422131147541	0	0.00076844262295082	0.000896516393442623	0	0	0.000640368852459016	0	0	0.000320184426229508	0.000832479508196721	0.00217725409836066	0	0	0	0	0	0	0	0	0	0	0
Hv_WT_HvSC_only_rhizo_3	0.37217367179914	0.0163684283534471	0.172423359689277	0.0516021639617145	0.0933555278124567	0.0277430989041476	0.0235816340685255	0.0301012623110001	0.00166458593424886	0.0177555832986545	0.0113746705507005	0.0357885975863504	0.00360660285753919	0.00124843945068664	0.0310722707726453	0.0117908170342627	0.0163684283534471	0.0051324732972673	0.000971008461645166	0.0246913580246914	0.00540990428630878	0.0098488001109724	0.00374531835205993	0.00208073241781107	0.0080454986822028	0.00249687890137328	0.00208073241781107	0	0.000416146483562214	0.00554861978082952	0.00166458593424886	0.00221944791233181	0	0	0.000971008461645166	0	0.0011097239561659	0	0	0.00346788736301845	0	0	0.000971008461645166	0	0.000554861978082952	0	0	0	0.000554861978082952	0	0	0	0	0	0
Hv_WT_HvSC_only_rhizo_4	0.277731826118923	0.0176454370002757	0.216524216524217	0.0396103299329106	0.141439205955335	0.0133259810679166	0.0228839261097326	0.0339123242349049	0.00202187298961493	0.0374965536255859	0.019115890083632	0.042643139417333	0.002389486260454	0.0033085194375517	0.0211377630732469	0.0170940170940171	0.00845510522929878	0.00496277915632754	0.00340042275526147	0.0205863431669883	0.00661703887510339	0.00753607205220108	0.00312471280213216	0.004778972520908	0	0.00266519621358331	0.00156235640106608	0.00321661611984193	0	0.0045032625677787	0	0.00376803602610054	0.000459516588548847	0	0.00312471280213216	0.001194743130227	0	0	0.00202187298961493	0.00220567962503446	0	0.000827129859387924	0.00110283981251723	0.00156235640106608	0.000827129859387924	0	0.000551419906258616	0.001194743130227	0.00147045308335631	0	0	0	0	0	0
Hv_WT_HvSC_only_rhizo_5	0.366944655041698	0.0150787633729256	0.163423468957965	0.040603150534917	0.111363827815685	0.0368123999663044	0.0157526745851234	0.0256928649650409	0.0021059725381181	0.0288939432229804	0.0117934462134614	0.0452362901187768	0.00438042287928565	0.00336955606098896	0.0164265857973212	0.0197119029567854	0.0101929070844916	0.00471737848538455	0.00227445034116755	0.0236711313284475	0.00724454553112627	0.00716030662960155	0.00168477803049448	0.00193749473506865	0.0045489006823351	0.0045489006823351	0.000926627916771965	0	0	0.00345379496251369	0.00202173363659338	0.0045489006823351	0.000252716704574172	0.00176901693201921	0.00345379496251369	0.00202173363659338	0	0	0.00117934462134614	0.000926627916771965	0	0.000926627916771965	0.000505433409148345	0	0.000842389015247241	0	0.000758150113722517	0.000842389015247241	0	0	0	0	0	0	0
Hv_WT_HvSC_only_rhizo_6	0.398160220194119	0.0184702303346371	0.222584383601333	0.0191221208170361	0.115457047660437	0.00478053020425902	0.00651890482398957	0.023830218745473	0.00289729103288425	0.0210777922642329	0.0068810662031001	0.0479501665942344	0.00188323917137476	0.0023178328263074	0.0225988700564972	0.00173837461973055	0.0169491525423729	0.00499782703172534	0	0.0137621324062002	0.00811241489207591	0.00485296248008112	0.000869187309865276	0.00405620744603795	0	0.0023178328263074	0.00217296827466319	0.00311458786035057	0.00123134868897581	0.0109372736491381	0.0011589164131537	0.00275242648124004	0.000434593654932638	0.000217296827466319	0.00173837461973055	0.000579458206576851	0.000507025930754744	0	0.000579458206576851	0	0	0	0.000289729103288425	0	0	0	0.000289729103288425	0.000144864551644213	0.00166594234390845	0	0	0	0	0	0
Hv_symrk_HvSC_only_rhizo_1	0.119136442141623	0.00659758203799655	0.0801381692573402	0.193229706390328	0.0385492227979275	0.203765112262522	0.0750259067357513	0.0840414507772021	0.00259067357512953	0.010293609671848	0.059447322970639	0.0141623488773748	0.00210708117443869	0.00369602763385147	0.00770293609671848	0.0235233160621762	0.00483592400690846	0.00210708117443869	0.00967184801381693	0.00898100172711572	0.00476683937823834	0.00317789291882556	0.00473229706390328	0.00193436960276339	0.0158894645941278	0.00355785837651123	0	0.00113989637305699	0.000310880829015544	0.00335060449050086	0.000483592400690846	0.00234887737478411	0.000310880829015544	0.000103626943005181	0.00248704663212435	0.000518134715025907	0.00262521588946459	0	0.000207253886010363	0	0	0.000345423143350604	0.000345423143350604	0	0.000310880829015544	0	0.000241796200345423	0.000345423143350604	0.00072538860103627	0	0	0	0	0.000138169257340242	0
Hv_symrk_HvSC_only_rhizo_2	0.20721399730821	0.00681022880215343	0.0853835800807537	0.21978465679677	0.0436608344549125	0.0749394347240915	0.089421265141319	0.102207267833109	0.00271870794078062	0.0110901749663526	0.0683445491251682	0.016742934051144	0.00131897711978466	0.00137281292059219	0.00761776581426649	0.00958277254374159	0.00567967698519515	0.00261103633916555	0.0108479138627187	0.00452220726783311	0.0034185733512786	0.00231493943472409	0.00320323014804845	0.00220726783310902	0.00331090174966353	0.00177658142664872	0.000995962314939435	0.000942126514131898	0.000834454912516824	0.00204576043068641	0.000646029609690444	0.00148048452220727	0.000672947510094213	0.000269179004037685	0.000780619111709287	0.00053835800807537	0.000834454912516824	0	0.000349932705248991	0	0	0.000161507402422611	0.000484522207267833	0	0.000161507402422611	0	0.00018842530282638	0.000134589502018843	0.000215343203230148	0	0	0.000161507402422611	0	0	0
Hv_symrk_HvSC_only_rhizo_3	0.176693066106352	0.00455794407628899	0.0769355099401972	0.179473088734443	0.0417973169549054	0.105737837401002	0.105770163245515	0.112493938904154	0.00161629222563439	0.00859867464037498	0.10835623080653	0.0102796185550347	0.000711168579279134	0.000420235978664943	0.00866332632940035	0.00730564085986746	0.00552771941166963	0.00193955067076127	0.00756424761596897	0.00546306772264425	0.00413770809762405	0.00229513496040084	0.00287700016162922	0.00190722482624859	0.00329723614029417	0.00103442702440601	0.000678842734766446	0.00252141587198966	0.000646516890253758	0.00223048327137546	0.000549539356715694	0.0021335057378374	0.00155164053660902	0.000129303378050752	0.000484887667690318	0.000387910134152255	0	0	0	0	0	3.23258445126879e-05	0.00045256182317763	0.000484887667690318	0	0.00126070793599483	0.000387910134152255	0	0.000420235978664943	0	0.000193955067076127	0	0	0	0
Hv_symrk_HvSC_only_rhizo_4	0.161552943570956	0.00982038365643922	0.104360657405994	0.160687935684119	0.043199511524958	0.132956800488475	0.0873149137536254	0.0950491019182822	0.00417239098356485	0.0126698214013128	0.0949982191014095	0.0162316185824047	0.00178089859054597	0.00111942197120033	0.00951508675520277	0.0148577825268407	0.00625858647534728	0.00305296901236452	0.00707271154531115	0.00651300055971099	0.00396885971607388	0.00320561746298275	0.0038670940823284	0.00218796112552791	0.00142471887243678	0.00203531267490968	0.00106853915432758	0	0	0.00137383605556404	0.000305296901236452	0.00106853915432758	0.00284943774487356	0.000356179718109195	0.000559710985600163	0.000407062534981937	0.000915890703709357	0	0.000305296901236452	0	0	0	0.000152648450618226	0	0	0	5.08828168727421e-05	0	0.000712359436218389	0	0	0	0	0	0
