feature	P2_H11	P5_A1	P4_H10	P1_A1	P1_A8	P4_A8	P4_B4	P4_C7	P1_F10	P1_E1	P5_B3.P4_C1	P1_C1	P2_D12	P2_C12	P1_E8	P1_D3	P5_A10	P1_A6	P4_C9	P4_B10	P4_E5	P4_B2	P4_F10	P4_G1	P4_D7	P4_G3	P2_B12	P5_B10	P4_E4	P5_E7	P1_B10	P1_C2	P4_B5	P2_A1	P2_B1	P5_C1	P2_C2.P4_E2	P5_C5	P1_A9	P3_A2	P2_H12	P2_A8	P5_D10	P2_E10	P2_G8	P1_D2	P2_D3	P3_C6	P5_D4.P4_F1	P4_B11	P4_H6	P4_H7	P4_G10	P2_D9	P2_H9
Hv_WT_HvSC_only_rhizo_1	-2.76279408406059	-7.12905055540768	-3.22650543007512	-2.49608268177569	-4.06668988951977	-3.70354278981305	-3.61447738257792	-2.76226822473605	-9.09687014965853	-6.0550499739639	-3.81691823966204	-5.38020196972555	-9.48389327276777	-8.4294454887454	-6.64517417980083	-6.66077103485185	-7.18433299090887	-8.93640547746528	-6.51899707372369	-6.68448710382566	-7.89893077204662	-8.11824380045109	-7.89893077204662	-8.54047680113414	-9.72490137227157	-9.13993887155041	-10.1843329909089	-9.93640547746528	-11.8624048960215	-9.0550499739639	-12.6774994332851	-9.0550499739639	-9.72490137227157	-14.2363132270428	-9.27744239530035	-11.0144079894666	-11.5993704901877	-15.4323461524346	-13.8118429381083	-13.2442448941055	-13.0590627449732	-15.916952413501	-12.1843329909089	-8.82678098629078	-13.7006564529182	-10.6315501946388	-15.3968054388294	-11.1843329909089	-11.1843329909089	-12.998237821888	-13.3319899127798	-13.5961120895922	-13.493417671953	-13.8617654335912	-14.7006564529182
Hv_WT_HvSC_only_rhizo_2	-2.73045173233859	-7.21649181989676	-3.02610271589474	-2.31556752371928	-4.27431247428511	-4.53413255638103	-3.15595027796171	-3.09943009376084	-8.50447258286079	-5.7809902180582	-3.63841570476085	-5.34577483684173	-9.02384674195437	-8.50447258286079	-6.73106499272652	-7.62695658938578	-7.18927035116174	-8.20281688299969	-6.44692156029863	-7.39157852645485	-8.31602749344768	-8.28688114778816	-8.97654102717601	-9.47130571892559	-11.493417671953	-10.6088092426755	-10.2302976194218	-11.0517915733684	-10.9307373375629	-8.72128397193394	-10.3457748368417	-9.17584983539942	-11.3457748368417	-14.2363132270428	-10.3457748368417	-10.1233824155053	-13.3648870026891	-15.4323461524346	-10.6088092426755	-13.2442448941055	-13.0590627449732	-11.6088092426755	-10.2302976194218	-8.84327449631255	-13.7006564529182	-10.6315501946388	-15.3968054388294	-15.2650289424582	-14.3282541734123	-12.998237821888	-13.3319899127798	-13.5961120895922	-13.493417671953	-13.8617654335912	-14.7006564529182
Hv_WT_HvSC_only_rhizo_3	-1.4259520945905	-5.93294038448918	-2.53597285279854	-4.27642462274299	-3.4211207392407	-5.1717272440763	-5.40619249771332	-5.05403220140654	-9.23062093312987	-5.81558343385102	-6.45803142923294	-4.80435617842777	-8.11514371570993	-9.64565843240871	-5.00822851179342	-6.40619249771332	-5.93294038448918	-7.60613006822207	-10.0082285117934	-5.33985000288463	-7.53018121498877	-6.66583631434634	-8.06069593168755	-8.9086928382425	-6.95760243872345	-8.64565843240871	-8.9086928382425	-11.0517915733684	-11.2306209331299	-7.49365533896366	-9.23062093312987	-8.81558343385102	-14.3201659167754	-14.2363132270428	-10.0082285117934	-12.7006564529182	-9.81558343385102	-15.4323461524346	-13.8118429381083	-8.1717272440763	-13.0590627449732	-15.916952413501	-10.0082285117934	-12.5208992513547	-10.815583433851	-10.6315501946388	-15.3968054388294	-15.2650289424582	-10.815583433851	-12.998237821888	-13.3319899127798	-13.5961120895922	-13.493417671953	-13.8617654335912	-14.7006564529182
Hv_WT_HvSC_only_rhizo_4	-1.84823558552661	-5.82456102997028	-2.20739970686098	-4.65797947160234	-2.82174601436323	-6.2296144406765	-5.44952159862336	-4.88204652463104	-8.95009191205414	-4.73709818871994	-5.70908381255034	-4.55154253556386	-8.70908381255034	-8.23959852924912	-5.56403347974706	-5.8703647195834	-6.88596157463442	-7.65463602852797	-8.20007016506249	-5.60216860863383	-7.23959852924912	-7.05197152607335	-8.3220606894411	-7.70908381255034	-11.493417671953	-8.55154253556386	-9.3220606894411	-8.28024051374647	-12.8624048960215	-7.79481368657623	-12.6774994332851	-8.05197152607335	-11.0875954358041	-14.2363132270428	-8.3220606894411	-9.70908381255034	-13.3648870026891	-15.4323461524346	-8.95009191205414	-8.82456102997028	-13.0590627449732	-10.2395985292491	-9.82456102997028	-9.3220606894411	-10.2395985292491	-10.6315501946388	-10.8245610299703	-9.70908381255034	-9.40952353069144	-12.998237821888	-13.3319899127798	-13.5961120895922	-13.493417671953	-13.8617654335912	-14.7006564529182
Hv_WT_HvSC_only_rhizo_5	-1.44636561197695	-6.0513380734296	-2.61331291361937	-4.6222645144639	-3.16664738918617	-4.76366438119326	-5.98825939080622	-5.28248841824361	-8.89129766091913	-5.11308908452104	-6.40587083374889	-4.46637557270844	-7.83471413255277	-8.21322575580649	-5.92782353694425	-5.66478913111045	-6.61629061341926	-7.72779892863625	-8.78026634853039	-5.40072753047293	-7.10888909599176	-7.12576291455616	-9.21322575580649	-9.01159189463684	-7.78026634853039	-7.78026634853039	-10.0757222320566	-11.0517915733684	-12.8624048960215	-8.17760184607577	-8.9501913499727	-7.78026634853039	-11.9501913499727	-9.1428364279151	-8.17760184607577	-8.9501913499727	-13.3648870026891	-15.4323461524346	-9.72779892863625	-10.0757222320566	-13.0590627449732	-10.0757222320566	-10.9501913499727	-12.5208992513547	-10.2132257558065	-10.6315501946388	-10.3652288492515	-10.2132257558065	-14.3282541734123	-12.998237821888	-13.3319899127798	-13.5961120895922	-13.493417671953	-13.8617654335912	-14.7006564529182
Hv_WT_HvSC_only_rhizo_6	-1.32857900490748	-5.75865433208639	-2.16757571735228	-5.70861364958679	-3.11457185495477	-7.70861364958679	-7.26115467261557	-5.39106399521	-8.43107967405788	-5.56813242603696	-7.1831521606143	-4.38232036213803	-9.05256805080415	-8.75300776894525	-5.467605550083	-9.16804526822409	-5.88264304936184	-7.64448331216708	-11.0082285117934	-6.1831521606143	-6.94565284688764	-7.68691857848747	-10.1680452682241	-7.94565284688764	-11.493417671953	-8.75300776894525	-8.84611717333673	-8.32674301424315	-9.66554492769491	-6.51460302962017	-9.75300776894525	-8.50508025550166	-11.1680452682241	-12.1680452682241	-9.16804526822409	-10.7530077689452	-10.9456528468876	-15.4323461524346	-10.7530077689452	-13.2442448941055	-13.0590627449732	-15.916952413501	-11.7530077689452	-12.5208992513547	-13.7006564529182	-10.6315501946388	-11.7530077689452	-12.7530077689452	-9.22944581288823	-12.998237821888	-13.3319899127798	-13.5961120895922	-13.493417671953	-13.8617654335912	-14.7006564529182
Hv_symrk_HvSC_only_rhizo_1	-3.06931331430311	-7.24384689972821	-3.64136663774903	-2.37161118928777	-4.69715441593477	-2.29502103393536	-3.7364673399596	-3.57275512282553	-8.59245703726808	-6.6021072073018	-4.07224434572376	-6.14179562825852	-8.89053839020107	-8.07980874136281	-7.02037582784366	-5.40976473975189	-7.691992710819	-8.89053839020107	-6.691992710819	-6.79890791473551	-7.71275127098579	-8.29771377170695	-7.72324364480343	-9.01392080570636	-5.97578567681959	-8.13477520058074	-11.5246349907222	-9.77688160840551	-11.6513507263216	-8.22136288557683	-11.0139208057064	-8.73381288651362	-11.6513507263216	-13.2363132270428	-8.65135072632165	-10.9143851321554	-8.57334821432038	-15.4323461524346	-12.2363132270428	-13.2442448941055	-13.0590627449732	-11.4993476328766	-11.4993476328766	-12.5208992513547	-11.6513507263216	-10.6315501946388	-12.0139208057064	-11.4993476328766	-10.4289583049852	-12.998237821888	-13.3319899127798	-13.5961120895922	-13.493417671953	-12.821275727764	-14.7006564529182
Hv_symrk_HvSC_only_rhizo_2	-2.27080663450248	-7.19808101561901	-3.54989753460934	-2.18583741986426	-4.51751648609605	-3.73813109446459	-3.48323823235094	-3.29043030669423	-8.52286310756153	-6.4945740631301	-3.87102991066582	-5.90030382018272	-9.56636474619811	-9.50864924834183	-7.03641634748144	-6.70534115934692	-7.45997540160614	-8.58116174812619	-6.52643856178535	-7.78875716753456	-8.19238990354116	-8.75480983561122	-8.28625682700538	-8.82352258569524	-8.23856008497408	-9.13668047095487	-9.97162122468437	-10.0517915733684	-10.2268782799264	-8.93314707686974	-10.5961120895922	-9.39971487678866	-10.5372184005386	-11.859146495426	-10.3230935951857	-10.859146495426	-10.2268782799264	-15.4323461524346	-11.4806348721722	-13.2442448941055	-13.0590627449732	-12.5961120895922	-11.011149588871	-12.5208992513547	-12.5961120895922	-10.6315501946388	-12.3737196682557	-12.859146495426	-12.1810745903133	-12.998237821888	-13.3319899127798	-12.5961120895922	-13.493417671953	-13.8617654335912	-14.7006564529182
Hv_symrk_HvSC_only_rhizo_3	-2.50068266897779	-7.77740106110221	-3.70020655530569	-2.47816056092274	-4.58044585369074	-3.24143636941822	-3.24099538055925	-3.15208082276491	-9.27309622372628	-6.86166997799981	-3.20614597980165	-6.60406945821664	-10.4575207948637	-11.2165126953599	-6.85086322304323	-7.09677345108581	-7.4990998986151	-9.01006181789248	-7.0465876939176	-7.51607297721882	-7.916952413501	-8.76720529399632	-8.4412189825346	-9.03430936413916	-8.2445270715295	-9.916952413501	-10.5246349907222	-8.63155019463875	-10.5950243186136	-8.80842795672283	-10.8294895722507	-8.87255829414255	-9.33198991277984	-12.916952413501	-11.0100618178925	-11.3319899127798	-13.3648870026891	-15.4323461524346	-13.8118429381083	-13.2442448941055	-13.0590627449732	-14.916952413501	-11.1095974914434	-11.0100618178925	-13.7006564529182	-9.63155019463875	-11.3319899127798	-15.2650289424582	-11.2165126953599	-12.998237821888	-12.3319899127798	-13.5961120895922	-13.493417671953	-13.8617654335912	-14.7006564529182
Hv_symrk_HvSC_only_rhizo_4	-2.62992105745937	-6.67000489673818	-3.26035015752641	-2.63766647814603	-4.53284119045322	-2.91097052468624	-3.51762809650672	-3.3951831942966	-7.90490992938818	-6.30246000193818	-3.39595572178006	-5.94504932024139	-9.1331789170613	-9.80303031536897	-6.71556747411863	-6.07263737512625	-7.31994742866702	-8.35557133839774	-7.14352086128276	-7.26246193400626	-7.97705971514401	-8.28518201050635	-8.01453442056268	-8.83619717930416	-9.45510701194866	-8.9405338391189	-9.8701445112275	-11.0517915733684	-12.8624048960215	-9.5075744318428	-11.6774994332851	-9.8701445112275	-8.45510701194866	-11.4551070119487	-10.803030315369	-11.2624619340063	-10.092536932564	-15.4323461524346	-11.6774994332851	-13.2442448941055	-13.0590627449732	-15.916952413501	-12.6774994332851	-12.5208992513547	-13.7006564529182	-10.6315501946388	-14.2624619340063	-15.2650289424582	-10.4551070119487	-12.998237821888	-13.3319899127798	-13.5961120895922	-13.493417671953	-13.8617654335912	-14.7006564529182
