feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
P1_E8	Genotype	ccamk	-1.56054264174997	0.291055673256913	30	29	1.4662608720097e-05	0.0013750350595829
P4_B10	Genotype	ccamk	-2.03158169429843	0.379761583670839	30	29	1.51234817339348e-05	0.0013750350595829
P4_E5	Genotype	ccamk	-1.64624854649656	0.312613408686838	30	29	1.87504780852214e-05	0.0013750350595829
P4_A8	Genotype	nsp1	2.59786160263925	0.537841365077489	30	30	5.7860248359011e-05	0.0031823136597456
P4_B10	Genotype	nsp2	-1.67422413594667	0.379761583670839	30	29	0.000172573916738932	0.00689007830884468
P4_E5	Genotype	nsp1	-1.36791464361576	0.312613408686837	30	29	0.000187911226604855	0.00689007830884468
P4_A8	Genotype	nsp2	2.21826167157901	0.537841365077489	30	30	0.000359759996316863	0.00810307205428661
P1_E8	Genotype	nsp1	-1.21916006210581	0.291055673256913	30	29	0.000304724279576256	0.00810307205428661
P2_B1	Genotype	ccamk	-2.01329188983034	0.477785332859601	30	26	0.000285642359063492	0.00810307205428661
P4_H7	Genotype	ccamk	1.80372672467334	0.438302821583624	30	6	0.000368321457013028	0.00810307205428661
P1_A1	Genotype	nsp1	1.5332088259667	0.391477320122697	30	30	0.000613808132202651	0.0103875222372756
P5_A10	Genotype	ccamk	-1.66256632626738	0.422690065174247	30	29	0.000587907503573593	0.0103875222372756
P4_F10	Genotype	nsp1	2.27230159085536	0.573071583069651	30	29	0.000541836977332004	0.0103875222372756
P4_A8	Genotype	symrk	2.09030225685975	0.537841365077489	30	30	0.000662801021344905	0.0104154446211342
P1_A1	Genotype	symrk	1.49836513012017	0.391477320122697	30	30	0.000770646627005064	0.0113028171960743
P5_A1	Genotype	nsp2	-1.32063253000812	0.357116721681215	30	30	0.00107121898378469	0.0138628339078019
P1_A1	Genotype	ccamk	1.45587397171771	0.391477320122697	30	30	0.00101592536497587	0.0138628339078019
P1_D2	Genotype	ccamk	1.086263786924	0.303428385145084	30	6	0.00144393927536612	0.0176481466989192
P1_A8	Genotype	nsp1	-1.07290054434583	0.322244682577568	30	30	0.00270096896445837	0.0312743774832022
P4_B10	Genotype	nsp1	-1.21947063515016	0.379761583670839	30	29	0.00361577445085676	0.0397735189594243
P1_E8	Genotype	symrk	-0.922495755501931	0.291055673256913	30	29	0.00400412215208015	0.0419479463551254
P4_B10	Genotype	symrk	-1.18023133040526	0.379761583670839	30	29	0.00465329265873176	0.0465329265873176
P2_H11	Genotype	nsp1	-1.43726720578392	0.473615149569817	30	30	0.0055546782724563	0.0511825410150403
P1_A8	Genotype	symrk	-0.977214474901374	0.322244682577568	30	30	0.00558354992891349	0.0511825410150403
P2_H11	Genotype	ccamk	-1.37448173072787	0.473615149569818	30	30	0.00762949250331562	0.0621662352122013
P4_C7	Genotype	ccamk	1.04972177923893	0.359974666733336	30	30	0.00737980301961223	0.0621662352122013
