feature	P2_H11	P5_A1	P4_H10	P1_A1	P1_A8	P4_A8	P4_B4	P4_C7	P1_F10	P1_E1	P5_B3.P4_C1	P1_C1	P2_D12	P2_C12	P1_E8	P1_D3	P5_A10	P1_A6	P4_C9	P4_B10	P4_E5	P4_B2	P4_F10	P4_G1	P4_D7	P4_G3	P2_B12	P2_H2	P5_B10	P4_E4	P5_E7	P1_B10	P1_C2	P4_B5	P2_A1	P2_B1	P5_C1	P2_C2.P4_E2	P5_C5	P1_A9	P3_A2	P2_H12	P2_A8	P5_D10	P2_E10	P2_G8	P2_D3	P3_C6	P5_D4.P4_F1	P4_B11	P2_E3	P2_D8	P5_A5	P4_H6	P2_F5	P5_D12	P4_G10	P2_H3	P2_D9
Hv_WT_HvSC_only_endo_1	58789	19232	8595	10858	7996	12162	1199	7217	2432	4733	523	2595	2294	2991	1564	1402	3193	1228	267	1611	898	1419	167	582	256	979	241	0	207	11	84	226	69	108	191	160	88	34	38	111	114	40	36	11	0	36	34	39	18	0	0	23	0	0	25	16	7	0	0
Hv_WT_HvSC_only_endo_2	10065	12100	2866	1029	3456	3088	454	1700	2009	1875	255	1678	1490	2057	859	937	800	451	88	467	472	508	281	305	64	538	126	90	0	0	37	120	78	33	109	51	51	0	30	72	0	18	20	10	56	56	24	39	11	0	0	22	13	0	0	10	0	0	0
Hv_WT_HvSC_only_endo_3	7604	8645	836	260	4157	209	52	163	998	1891	13	686	1474	256	611	114	687	497	55	253	242	282	140	109	27	170	140	167	0	0	12	88	20	50	46	5	32	0	10	24	9	44	15	6	91	3	6	15	6	0	0	14	0	4	7	9	0	0	0
Hv_WT_HvSC_only_endo_4	8888	7624	2559	63	2938	57	38	1270	753	1027	0	601	652	381	511	170	150	454	0	281	283	275	21	137	7	156	90	0	0	0	90	75	12	35	48	14	15	0	12	17	0	0	0	0	65	7	0	5	0	0	0	0	0	0	0	0	0	0	0
Hv_WT_HvSC_only_endo_5	5859	7008	1128	79	936	249	24	98	437	649	0	432	468	293	178	323	192	137	0	148	86	155	17	24	74	128	31	0	0	0	0	22	10	10	70	67	28	0	0	20	0	0	5	3	47	25	0	4	8	0	0	0	4	0	0	0	0	0	3
Hv_symrk_HvSC_only_endo_1	24975	19910	4260	1571	7970	1371	293	1012	5854	3472	153	1262	2714	2522	1492	913	652	648	133	518	926	547	268	226	53	296	161	238	81	0	50	122	39	31	98	74	56	123	68	42	23	33	28	8	69	21	18	18	0	32	0	0	30	0	10	10	0	0	4
Hv_symrk_HvSC_only_endo_2	24815	8384	3645	472	1608	347	90	327	1776	806	63	661	744	309	278	134	358	414	22	83	181	83	43	100	42	40	58	114	0	0	0	34	9	12	0	0	16	0	20	12	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hv_symrk_HvSC_only_endo_3	31537	16468	3121	1216	5840	1441	233	775	4265	2728	141	1136	2529	1275	1087	734	1042	516	97	429	646	358	438	255	84	163	219	204	67	5	28	149	42	42	70	24	43	92	70	87	32	0	10	7	10	11	27	11	0	0	9	13	39	0	14	9	0	0	5
Hv_symrk_HvSC_only_endo_4	17992	31613	3456	873	3426	1300	277	1299	4029	1931	373	1119	2145	683	686	667	908	471	73	262	457	235	141	167	85	91	163	226	19	0	0	86	38	119	35	26	12	44	53	33	14	0	7	0	0	5	12	10	4	0	0	0	17	5	7	6	3	0	0
Hv_symrk_HvSC_only_endo_5	27892	10645	4652	803	5856	2482	255	997	2608	2755	262	1098	880	740	661	465	492	797	49	449	671	281	139	244	552	109	165	219	0	0	51	138	26	266	78	17	46	37	62	38	42	0	16	5	0	12	15	12	0	0	0	9	21	0	0	6	0	4	0
Hv_symrk_HvSC_only_endo_6	21479	13901	6044	940	5261	902	374	1131	2509	2660	210	1280	838	688	485	201	737	1005	75	413	523	204	71	185	61	92	201	156	0	0	71	133	48	84	81	23	21	15	76	28	29	20	7	0	8	11	7	16	0	32	0	0	0	7	0	6	0	0	6
Hv_ccamk_HvSC_only_endo_1	14024	37270	2973	680	2132	834	53	122	4571	1335	33	673	2022	395	381	88	1021	645	29	435	139	316	57	80	91	34	76	210	83	0	42	48	5	15	29	16	11	30	32	6	29	0	7	9	0	19	0	0	0	0	0	0	9	0	3	0	0	0	0
Hv_ccamk_HvSC_only_endo_2	5122	21045	1596	282	3727	992	107	207	2795	1165	34	499	1359	486	331	190	391	542	28	343	153	182	180	90	384	49	131	153	42	3	34	103	19	56	41	9	15	0	27	22	32	10	0	3	13	8	4	5	8	4	0	0	10	0	14	7	1	0	0
Hv_ccamk_HvSC_only_endo_3	14104	15311	12149	890	1512	861	372	810	1571	1687	455	1443	732	298	487	118	269	615	86	279	369	102	31	141	598	25	174	88	113	0	134	50	8	40	23	0	8	0	11	8	8	13	15	4	0	5	2	7	7	0	0	0	0	0	0	0	0	0	0
Hv_ccamk_HvSC_only_endo_4	7439	12794	7834	306	515	349	252	602	1199	848	265	892	753	354	279	90	115	560	23	77	251	94	24	87	88	9	63	70	32	0	140	33	14	61	23	0	0	18	8	0	14	0	25	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0
Hv_ccamk_HvSC_only_endo_5	5282	26984	8254	651	1140	498	303	576	3232	1519	185	1022	732	108	422	282	328	552	44	198	179	140	27	81	61	18	121	68	17	0	56	65	12	46	46	0	0	15	0	11	23	0	29	0	17	7	6	0	0	0	0	0	0	0	0	0	0	0	0
Hv_ccamk_HvSC_only_endo_6	6572	13523	6212	434	613	351	191	320	1548	998	116	857	591	201	308	144	64	357	0	93	103	90	20	61	42	29	109	151	0	0	53	48	9	4	37	0	0	0	9	5	0	0	18	0	29	9	0	0	0	0	0	0	0	0	0	0	0	0	0
Hv_nsp1_HvSC_only_endo_1	16564	10047	3775	820	1183	508	126	694	2186	1017	85	745	859	722	412	256	901	454	53	362	211	134	50	83	18	65	93	103	97	0	28	45	13	12	31	54	5	20	0	15	18	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hv_nsp1_HvSC_only_endo_2	9372	22033	5421	1081	4022	1887	249	580	3927	2532	156	1212	1251	545	620	632	899	886	70	385	328	293	337	232	23	108	183	148	89	8	35	104	39	15	53	10	18	70	49	45	43	14	25	6	0	20	16	0	0	0	0	0	15	0	0	8	0	11	0
Hv_nsp1_HvSC_only_endo_3	16449	12378	6552	971	755	305	139	428	1541	682	117	1149	543	573	257	205	194	311	27	129	190	163	73	82	27	45	55	57	0	0	71	30	19	10	31	46	14	11	5	8	22	0	15	0	0	11	3	8	9	0	0	0	0	0	0	0	0	0	0
Hv_nsp1_HvSC_only_endo_4	19548	20499	6619	3551	2214	1180	602	2178	2254	1806	597	1542	1284	1584	724	527	381	762	207	244	257	349	294	246	211	168	151	137	42	0	46	76	33	23	85	45	40	82	22	20	41	35	5	0	14	18	31	7	12	9	8	0	0	9	11	0	0	0	0
Hv_nsp1_HvSC_only_endo_5	21728	19115	10961	1071	1602	572	246	574	3786	1241	171	1596	1842	403	411	288	391	830	31	168	285	154	60	160	139	49	113	78	118	0	75	73	9	39	28	25	9	33	13	0	25	0	0	4	0	5	0	0	0	0	0	0	0	0	11	0	0	0	0
Hv_nsp1_HvSC_only_endo_6	9551	12515	12650	724	1410	353	165	423	1365	1091	99	1202	434	159	232	217	167	557	42	73	185	63	68	127	17	19	118	41	157	0	86	71	17	43	35	0	5	47	0	11	19	0	0	5	0	6	0	6	0	0	0	0	0	0	3	0	0	4	0
Hv_nsp2_HvSC_only_endo_1	6185	4161	11031	1092	2434	691	267	700	696	1217	184	1047	193	341	263	706	415	791	30	72	179	133	278	149	26	49	135	40	92	3	43	80	19	25	50	9	9	53	11	15	27	0	17	0	9	0	3	13	2	0	8	0	0	0	5	0	0	0	0
