feature	P2_H11	P5_A1	P4_H10	P1_A1	P1_A8	P4_A8	P4_B4	P4_C7	P1_F10	P1_E1	P5_B3.P4_C1	P1_C1	P2_D12	P2_C12	P1_E8	P1_D3	P5_A10	P1_A6	P4_C9	P4_B10	P4_E5	P4_B2	P4_F10	P4_G1	P4_D7	P4_G3	P2_B12	P2_H2	P5_B10	P4_E4	P5_E7	P1_B10	P1_C2	P4_B5	P2_A1	P2_B1	P5_C1	P2_C2.P4_E2	P5_C5	P1_A9	P3_A2	P2_H12	P2_A8	P5_D10	P2_E10	P2_G8	P2_D3	P3_C6	P5_D4.P4_F1	P4_B11	P2_E3	P2_D8	P5_A5	P4_H6	P2_F5	P5_D12	P4_G10	P2_H3	P2_D9
Hv_WT_HvSC_only_endo_1	0.374097194382401	0.122380670573787	0.05469331653399	0.0690936627022762	0.0508816473537853	0.0773915201496669	0.00762970174802258	0.0459245684032351	0.0154757586748882	0.0301179135724694	0.00332805172161452	0.016512990855812	0.0145976111842901	0.0190328923505718	0.00995233822677841	0.0089214694334676	0.0203182966484037	0.00781423998880044	0.00169902449267892	0.0102514174445908	0.00571432207650065	0.00902964702288911	0.00106268573137596	0.00370349159078327	0.0016290272289356	0.00622975647315605	0.00153357641474015	0	0.00131722123589714	6.99972637433264e-05	0.000534524559494492	0.00143812560054471	0.000439073745299047	0.000687245862207205	0.00121540703408867	0.00101814201808475	0.000559978109946611	0.000216355178843009	0.000241808729295128	0.000706336025046294	0.000725426187885383	0.000254535504521187	0.000229081954069068	6.99972637433264e-05	0	0.000229081954069068	0.000216355178843009	0.000248172116908157	0.000114540977034534	0	0	0.000146357915099682	0	0	0.000159084690325742	0.000101814201808475	4.45437132912077e-05	0	0
Hv_WT_HvSC_only_endo_2	0.19747684821849	0.237403861246272	0.0562313608538691	0.0201891382828441	0.0678072516088526	0.0605870350023544	0.00890754983519071	0.0333542614974101	0.03941688902841	0.0367877884162612	0.00500313922461152	0.032922618113326	0.0292340291947889	0.0403586564118663	0.0168537121331031	0.0183840841312196	0.0156961230576048	0.00884868937372469	0.00172657353633652	0.00916261183487679	0.00926071260398681	0.00996703814157903	0.00551326322398368	0.00598414691571182	0.00125568984460838	0.0105556427562392	0.00247213938157275	0.00176581384398054	0	0	0.000725945691414221	0.00235441845864072	0.00153037199811647	0.000647465076126197	0.00213859676659865	0.0010006278449223	0.0010006278449223	0	0.000588604614660179	0.00141265107518443	0	0.000353162768796107	0.000392403076440119	0.00019620153822006	0.00109872861403233	0.00109872861403233	0.000470883691728143	0.000765185999058233	0.000215821692042066	0	0	0.000431643384084131	0.000255061999686078	0	0	0.00019620153822006	0	0	0
Hv_WT_HvSC_only_endo_3	0.243296858002176	0.27660459461189	0.0267485761822487	0.00831893517629743	0.133006975107186	0.00668714404556217	0.00166378703525949	0.00521533243744801	0.0319319127151725	0.0605042554553017	0.000415946758814872	0.0219491905036155	0.0471619632687016	0.00819095155820055	0.019549497664299	0.00364753311576118	0.0219811864081398	0.0159019645485378	0.00175977474883215	0.00809496384462789	0.00774300889486146	0.00902284507583029	0.00447942663339093	0.00348755359314008	0.000863889422153964	0.00543930376911755	0.00447942663339093	0.00534331605554489	0	0	0.000383950854290651	0.00281563959813144	0.000639918090484418	0.00159979522621104	0.00147181160811416	0.000159979522621104	0.00102386894477507	0	0.000319959045242209	0.000767901708581302	0.000287963140717988	0.00140781979906572	0.000479938567863314	0.000191975427145325	0.0029116273117041	9.59877135726627e-05	0.000191975427145325	0.000479938567863314	0.000191975427145325	0	0	0.000447942663339093	0	0.000127983618096884	0.000223971331669546	0.000287963140717988	0	0	0
Hv_WT_HvSC_only_endo_4	0.298445317484302	0.256002149021188	0.0859272690641684	0.00211544273194319	0.0986535039118901	0.00191397199556764	0.00127598133037843	0.0426446391994896	0.0252845774151305	0.0344850743762802	0	0.0201806520936167	0.0218931533528088	0.0127933917598469	0.0171585910479836	0.00570833753064034	0.00503676840938854	0.015244619052416	0	0.00943554615358786	0.00950270306571304	0.00923407541721232	0.000705147577314395	0.00460024848057486	0.000235049192438132	0.00523823914576408	0.00302206104563312	0	0	0	0.00302206104563312	0.00251838420469427	0.000402941472751083	0.00117524596219066	0.00161176589100433	0.000470098384876263	0.000503676840938854	0	0.000402941472751083	0.000570833753064034	0	0	0	0	0.00218259964406837	0.000235049192438132	0	0.000167892280312951	0	0	0	0	0	0	0	0	0	0	0
Hv_WT_HvSC_only_endo_5	0.300785461265979	0.359772062220853	0.0579085168643154	0.00405564967400791	0.0480517480363468	0.0127829970737718	0.00123209610349607	0.00503105908927563	0.0224344165511577	0.0333179321320396	0	0.0221777298629293	0.0240258740181734	0.0150418399301812	0.00913804610092921	0.0165819600595513	0.00985676882796858	0.00703321525745675	0	0.00759792597155911	0.00441501103752759	0.0079572873350788	0.000872734739976385	0.00123209610349607	0.00379896298577956	0.00657117921864572	0.00159145746701576	0	0	0	0	0.00112942142820473	0.000513373376456697	0.000513373376456697	0.00359361363519688	0.00343960162225987	0.00143744545407875	0	0	0.00102674675291339	0	0	0.000256686688228348	0.000154012012937009	0.00241285486934648	0.00128343344114174	0	0.000205349350582679	0.000410698701165358	0	0	0	0.000205349350582679	0	0	0	0	0	0.000154012012937009
Hv_symrk_HvSC_only_endo_1	0.292112096189385	0.232870944349575	0.0498257269175887	0.0183746988233643	0.0932185548199958	0.0160354628178437	0.00342698074808767	0.0118365341879342	0.0684694378815879	0.0406091370558376	0.00178951554422326	0.014760579194835	0.0317434325949145	0.0294977660296147	0.0174507006011837	0.0106786123652015	0.00762590937799715	0.00757912465788673	0.0015555919436712	0.00605862125429835	0.0108306627055604	0.00639781047509883	0.0031345762473976	0.00264333668623827	0.000619897541462958	0.00346206928817048	0.00188308498444408	0.00278369084656951	0.000947390582235842	0	0.000584809001380149	0.00142693396336756	0.000456151021076516	0.000362581580855693	0.00114622564270509	0.000865517322042621	0.000654986081545767	0.00143863014339517	0.000795340241877003	0.000491239561159325	0.000269012140634869	0.000385973940910899	0.000327493040772884	9.35694402208239e-05	0.000807036421904606	0.000245619780579663	0.000210531240496854	0.000210531240496854	0	0.000374277760883296	0	0	0.00035088540082809	0	0.00011696180027603	0.00011696180027603	0	0	4.67847201104119e-05
Hv_symrk_HvSC_only_endo_2	0.538157923272104	0.18182212487259	0.0790483832491163	0.0102361692437813	0.0348723731864414	0.00752531933811889	0.00195181193207694	0.0070915833532129	0.0385157554596517	0.0174795601917113	0.00136626835245386	0.0143349743011429	0.0161349786385027	0.00670122096679751	0.00602893019019323	0.00290603109887012	0.00776387412981718	0.00897833488755395	0.000477109583396586	0.00180000433735985	0.00392531066339919	0.00180000433735985	0.000932532367547874	0.00216867992452994	0.000910845568302574	0.000867471969811975	0.00125783435622736	0.00247229511396413	0	0	0	0.000737351174340179	0.000195181193207694	0.000260241590943593	0	0	0.00034698878792479	0	0.000433735984905988	0.000260241590943593	0	0	0.000238554791698293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hv_symrk_HvSC_only_endo_3	0.394740465372436	0.206125693114541	0.0390647491019238	0.0152203572277922	0.0730977682650545	0.0180366239845794	0.00291640068591741	0.00970047438448925	0.0533839009675441	0.0341456698334022	0.00176486050091998	0.0142190179364901	0.0316548383462882	0.0159588449551275	0.0136056976205675	0.00918728799769692	0.0130424442692101	0.00645863842889865	0.00121412389070382	0.0053696819496076	0.00808581477726459	0.00448099332857697	0.00548233261987909	0.0031917689910255	0.00105140625586722	0.00204022880602806	0.00274116630993954	0.0025534151928204	0.000838621656465523	6.25837057063823e-05	0.000350468751955741	0.00186499443005019	0.000525703127933611	0.000525703127933611	0.000876171879889352	0.000300401787390635	0.000538219869074888	0.00115154018499743	0.000876171879889352	0.00108895647929105	0.000400535716520847	0	0.000125167411412765	8.76171879889352e-05	0.000125167411412765	0.000137684152554041	0.000337952010814464	0.000137684152554041	0	0	0.000112650670271488	0.000162717634836594	0.000488152904509782	0	0.00017523437597787	0.000112650670271488	0	0	6.25837057063823e-05
Hv_symrk_HvSC_only_endo_4	0.237665614308548	0.417592433589158	0.0456520877640252	0.0115319075862251	0.0452558022799625	0.0171723709760511	0.00365903596951244	0.0171591614599157	0.0532211405096231	0.0255075756575037	0.00492714951851314	0.0147814485555394	0.0283344121104844	0.00902209952049456	0.00906172806890084	0.00881074726232778	0.011994240650965	0.00622168209978468	0.000964294677885949	0.00346089322748108	0.00603674887388875	0.00310423629182463	0.00186254177509478	0.0022059891946158	0.00112280887151104	0.00120206596832358	0.00215315113007411	0.00298535064660581	0.000250980806573055	0	0	0.00113601838764646	0.00050196161314611	0.00157193242011545	0.000462333064739839	0.000343447419521023	0.000158514193625088	0.000581218709958654	0.00070010435517747	0.000435914032468991	0.000184933225895935	0	9.24666129479677e-05	0	0	6.60475806771198e-05	0.000158514193625088	0.00013209516135424	5.28380645416958e-05	0	0	0	0.000224561774302207	6.60475806771198e-05	9.24666129479677e-05	7.92570968125438e-05	3.96285484062719e-05	0	0
Hv_symrk_HvSC_only_endo_5	0.409459915735698	0.156270644020024	0.0682922532626727	0.01178819418958	0.0859672044510342	0.0364362365859745	0.00374344896431245	0.0146361514408608	0.0382859407801054	0.0404439290065914	0.00384621030843083	0.0161188508345689	0.0129185689748822	0.0108633420925146	0.00970360692317855	0.00682628928786389	0.0072226544723205	0.0117001130374785	0.000719329408828668	0.0065914062155933	0.00985040884334767	0.00412513395675215	0.00204054669035071	0.00358196685212643	0.00810346599333519	0.00160014092984336	0.00242223168279041	0.00321496205170364	0	0	0.000748689792862491	0.0020258664983338	0.000381684992439701	0.00390493107649848	0.0011450549773191	0.000249563264287497	0.000675288832777933	0.000543167104625729	0.000910171905048518	0.00055784729664264	0.000616568064710286	0	0.000234883072270585	7.34009600845579e-05	0	0.000176162304202939	0.000220202880253674	0.000176162304202939	0	0	0	0.000132121728152204	0.000308284032355143	0	0	8.80811521014695e-05	0	5.87207680676463e-05	0
