feature	P2_H11	P5_A1	P4_H10	P1_A1	P1_A8	P4_A8	P4_B4	P4_C7	P1_F10	P1_E1	P5_B3.P4_C1	P1_C1	P2_D12	P2_C12	P1_E8	P1_D3	P5_A10	P1_A6	P4_C9	P4_B10	P4_E5	P4_B2	P4_F10	P4_G1	P4_D7	P4_G3	P2_B12	P2_H2	P5_B10	P4_E4	P5_E7	P1_B10	P1_C2	P4_B5	P2_A1	P2_B1	P5_C1	P2_C2.P4_E2	P5_C5	P1_A9	P3_A2	P2_H12	P2_A8	P5_D10	P2_E10	P2_G8	P2_D3	P3_C6	P5_D4.P4_F1	P4_B11	P2_E3	P2_D8	P5_A5	P4_H6	P2_F5	P5_D12	P4_G10	P2_H3	P2_D9
Hv_WT_HvSC_only_endo_1	-1.4185149487414	-3.03055238546375	-4.19249164180951	-3.85530279764565	-4.2967108094303	-3.69168069198688	-7.03415762276071	-4.44459002674922	-6.01384605273135	-5.05323435943657	-8.23110642992799	-5.92025474292969	-6.09812389015911	-5.71536137105558	-6.65074876886758	-6.80850293216431	-5.62107672860484	-6.99967872080475	-9.20107763448738	-6.60803278746836	-7.45120193143379	-6.79111469211438	-9.87806927370088	-8.07689822326665	-9.26177356617493	-7.32660851657124	-9.34888422994497	-11.0866217139463	-9.56828660867561	-13.8023419475376	-10.8694561433962	-9.44159460375974	-11.1532491093968	-10.5068860640115	-9.68434473813918	-9.93984547128757	-10.8023419475376	-12.1743107249246	-12.0138460527313	-10.4673576998248	-10.4288835520102	-11.9398454712876	-12.0918485647326	-13.8023419475376	-13.96385338847	-12.0918485647326	-12.1743107249246	-11.9763713473127	-13.0918485647326	-14.3938261499085	-14.1158564819151	-12.7382116101179	-13.9478804102401	-14.8861347579162	-12.6179173764002	-13.2617735661749	-14.4544186441173	-15.0557696356811	-15.3836030519009
Hv_WT_HvSC_only_endo_2	-2.3402445702975	-2.07458469505688	-4.15248122784406	-5.63027685521223	-3.88241661994273	-4.04484708483812	-6.81075563481529	-4.90598509108114	-4.66504227337291	-4.7646292418356	-7.64295068524734	-4.92477712166638	-5.09620750675668	-4.63097804358127	-5.89078980096774	-5.76539888444701	-5.99344793233148	-6.82032049885082	-9.1778725034689	-6.77002538239654	-6.75466107274436	-6.64861943533404	-7.50287780188528	-7.38463868965595	-9.6373041221062	-6.56584175954958	-8.66002419860629	-9.14545102577653	-12.96013533936	-14.96385338847	-10.4278507564773	-8.73041352649768	-9.35190190324395	-10.5929100027477	-8.86911979732927	-9.96487878013471	-9.96487878013471	-13.1743107249246	-10.7304135264977	-9.46737912066389	-13.7739891159023	-11.4673791206639	-11.3153760272188	-12.3153760272188	-9.8299492000486	-9.8299492000486	-11.052341621385	-10.351901903244	-12.1778725034689	-14.3938261499085	-14.1158564819151	-11.1778725034689	-11.9368644039651	-14.8861347579162	-15.5328429109613	-12.3153760272188	-16.3938261499085	-15.0557696356811	-15.3836030519009
Hv_WT_HvSC_only_endo_3	-2.03921040582331	-1.85410297394221	-5.22439409039098	-6.9093854094434	-2.91042618984749	-7.22439409039098	-9.23131350433077	-7.58302506824078	-4.9688572171346	-4.0468195745221	-11.2313135043308	-5.50968845629905	-4.40623241337679	-6.93175322247186	-5.67672465265313	-8.09886320830712	-5.50758693365376	-5.97465118090957	-9.1503935089472	-6.94875964777755	-7.01288998519726	-6.79220187007306	-7.80247020552689	-8.16356889769493	-10.1768657203084	-7.52236228633416	-7.80247020552689	-7.54804892999781	-12.96013533936	-14.96385338847	-11.3467907217507	-8.47232160383456	-10.6098251275845	-9.28789703269713	-9.40819126641485	-12.6098251275845	-9.93175322247186	-13.1743107249246	-11.6098251275845	-10.3467907217507	-11.7618282210295	-9.47232160383456	-11.0248626268633	-12.3467907217507	-8.42395858227316	-13.3467907217507	-12.3467907217507	-11.0248626268633	-12.3467907217507	-14.3938261499085	-14.1158564819151	-11.1243983004143	-13.9478804102401	-12.9317532224719	-12.1243983004143	-11.7618282210295	-16.3938261499085	-15.0557696356811	-15.3836030519009
Hv_WT_HvSC_only_endo_4	-1.74446147636576	-1.96577217384491	-3.5407401457154	-8.88482465425493	-3.34148589719857	-9.02921456359011	-9.61417706431127	-4.55149179609532	-5.30559852308292	-4.85788411143666	-12.2313135043308	-5.63088339704367	-5.51337642352377	-6.28845739026153	-5.86492509681723	-7.45271364161715	-7.63328588725897	-6.03555609046394	-12.2598244165549	-6.72767825753392	-6.71744633492297	-6.75881676934283	-10.4697871549761	-7.76407249479432	-12.0547496556972	-7.5767023588926	-8.37025148142518	-11.0866217139463	-12.96013533936	-14.96385338847	-8.37025148142518	-8.63328588725897	-11.2771420770337	-9.73282156080989	-9.2771420770337	-11.0547496556972	-10.9552139821463	-13.1743107249246	-11.2771420770337	-10.7746417365045	-13.7739891159023	-13.0735493977612	-14.7901448269498	-15.0644901699775	-8.8397367647264	-12.0547496556972	-15.7739891159023	-12.5401764828675	-15.2080628528036	-14.3938261499085	-14.1158564819151	-13.8858446342388	-13.9478804102401	-14.8861347579162	-15.5328429109613	-14.6231003520824	-16.3938261499085	-15.0557696356811	-15.3836030519009
Hv_WT_HvSC_only_endo_5	-1.73319326014038	-1.47484493514716	-4.11008064234954	-7.94585124657123	-4.37926727516493	-6.28963006268025	-9.66466949402718	-7.63492215063313	-5.47814252524773	-4.90755732674919	-12.2313135043308	-5.49474449258486	-5.37926727516493	-6.05487514032608	-6.77389856378193	-5.91424164005441	-6.66466949402718	-7.15159991178781	-12.2598244165549	-7.04017862911938	-7.82336724004624	-6.9735075894741	-10.162169153498	-9.66466949402718	-8.04017862911938	-7.24963199474833	-9.29543568436146	-11.0866217139463	-12.96013533936	-14.96385338847	-12.4784265612998	-9.79020037611104	-10.927703899861	-10.927703899861	-8.12034897780337	-8.18354280429056	-9.44227707269073	-13.1743107249246	-14.1263818305426	-9.92770389986097	-13.7739891159023	-13.0735493977612	-11.927703899861	-12.6646694940272	-8.6950431430707	-9.60577580497361	-15.7739891159023	-12.2496319947483	-11.2496319947483	-14.3938261499085	-14.1158564819151	-13.8858446342388	-12.2496319947483	-14.8861347579162	-15.5328429109613	-14.6231003520824	-16.3938261499085	-15.0557696356811	-12.6646694940272
Hv_symrk_HvSC_only_endo_1	-1.77540599433371	-2.10239745129299	-4.32696533678766	-5.76613558660666	-3.42323904302302	-5.96259019612163	-8.18884619747861	-6.40060947720655	-3.8683960214921	-4.62205181945638	-9.1262152092082	-6.08210685691831	-4.977398046482	-5.08325049157264	-5.84057123164562	-6.54913200191663	-7.03487489766978	-7.04375304901623	-9.32832061639967	-7.3667947642143	-6.52873466864062	-7.2882060291083	-8.31751386144308	-8.56342408948567	-10.6556825973377	-8.1741496862719	-9.05268617378624	-8.48878528859291	-10.0437530490162	-14.96385338847	-10.7397468621261	-9.45286571433797	-11.0982008330386	-11.429406741514	-9.76889320778565	-10.1741496862719	-10.5762481298433	-9.44108854656162	-10.2961402106505	-10.9912856291221	-11.8600410958438	-11.3392089325424	-11.5762481298433	-13.3836030519009	-10.2750785951227	-11.9912856291221	-12.2136780504585	-12.2136780504585	-15.2080628528036	-11.3836030519009	-14.1158564819151	-13.8858446342388	-11.4767124562923	-14.8861347579162	-13.0616749570135	-13.0616749570135	-16.3938261499085	-15.0557696356811	-14.3836030519009
Hv_symrk_HvSC_only_endo_2	-0.893898498891798	-2.45940033153883	-3.66112023386198	-6.61018028371444	-4.84177164189735	-7.05403148049802	-9.00097023674661	-7.1396765075782	-4.69840746672617	-5.83818730454831	-9.51554340957636	-6.12431687156859	-5.95366452196825	-7.22136030517191	-7.37388226035277	-8.42673414261851	-7.00900755581202	-6.79933637557696	-11.033391714439	-9.11778390172936	-7.99297744599308	-9.11778390172936	-10.0665585783742	-8.84896714330156	-10.1005059102975	-10.1708952381889	-9.63484233794871	-8.65993331891154	-12.96013533936	-14.96385338847	-12.4784265612998	-10.4053604918259	-12.322898331634	-11.9078608323551	-12.2598244165549	-13.6098251275845	-11.4928233330763	-13.1743107249246	-11.1708952381889	-11.9078608323551	-13.7739891159023	-13.0735493977612	-12.033391714439	-15.0644901699775	-13.96385338847	-14.8861347579162	-15.7739891159023	-14.3047179997796	-15.2080628528036	-14.3938261499085	-14.1158564819151	-13.8858446342388	-13.9478804102401	-14.8861347579162	-15.5328429109613	-14.6231003520824	-16.3938261499085	-15.0557696356811	-15.3836030519009
Hv_symrk_HvSC_only_endo_3	-1.34102367547957	-2.27840375003612	-4.67798884143818	-6.0378539699138	-3.77402882959001	-5.79292686318264	-8.42159533870311	-6.68772898319579	-4.22745145715174	-4.87215355433322	-9.1462301309586	-6.13603436385271	-4.98143016169415	-5.96949995161117	-6.19964525833008	-6.76614523051418	-6.26064192107888	-7.27455422793414	-9.68586864117026	-7.54094764585784	-6.95039112866347	-7.80196570609313	-7.51099442375622	-8.29142804649853	-9.89346406057863	-8.93705332912631	-8.51099442375622	-8.6133561413859	-10.2196922928996	-13.96385338847	-11.4784265612998	-9.06661296289523	-10.8934640605786	-10.8934640605786	-10.1564984664124	-11.7008189826362	-10.8595167286553	-9.76221952730038	-10.1564984664124	-9.84283798750866	-11.2857814833574	-13.0735493977612	-12.96385338847	-13.4784265612998	-12.96385338847	-12.8263498647201	-11.5308939811939	-12.8263498647201	-15.2080628528036	-14.3938261499085	-13.1158564819151	-12.5853417652163	-11.0003792644951	-14.8861347579162	-12.4784265612998	-13.1158564819151	-16.3938261499085	-15.0557696356811	-13.96385338847
Hv_symrk_HvSC_only_endo_4	-2.07299490702575	-1.25983252311916	-4.4531753506401	-6.43822500917413	-4.46575341671957	-5.86376694488775	-8.09432068675438	-5.86487713735569	-4.23185676265497	-5.29293040385292	-7.66503103254833	-6.08006853182718	-5.14130092041666	-6.79232108451348	-6.78599808663076	-6.82651990161898	-6.38151436551265	-7.32847960319079	-10.0182382939236	-8.17463985126612	-7.3720124977455	-8.33154590623857	-9.06851150040478	-8.82435856032952	-9.79867191666587	-9.70026821260487	-8.85933469857249	-8.38788389038838	-11.96013533936	-14.96385338847	-12.4784265612998	-9.78179809810147	-10.96013533936	-9.31324508949563	-11.0787798358586	-11.5076231346625	-12.6231003520824	-10.7486312341663	-10.4801423982404	-11.1636687334451	-12.400707930746	-13.0735493977612	-13.400707930746	-15.0644901699775	-13.96385338847	-13.8861347579162	-12.6231003520824	-12.8861347579162	-14.2080628528036	-14.3938261499085	-14.1158564819151	-13.8858446342388	-12.1206000115532	-13.8861347579162	-13.400707930746	-13.6231003520824	-14.6231003520824	-15.0557696356811	-15.3836030519009
Hv_symrk_HvSC_only_endo_5	-1.28820586939434	-2.67788130634148	-3.87213425420792	-6.40651345816382	-3.5400697973971	-4.77848223555078	-8.06141619882228	-6.09431994128294	-4.70704148145006	-4.62793303222262	-8.02234663414369	-5.95510729667594	-6.27440992215648	-6.52438817516482	-6.68726317417345	-7.19468272968574	-7.1132551303419	-6.41733372169067	-10.4410597915659	-7.24519800093999	-6.66560067948095	-7.92134331546021	-8.93682856295763	-8.12503229811825	-6.94724517890297	-9.28758531090421	-8.68944742143532	-8.28098257607996	-12.96013533936	-14.96385338847	-10.3833442937096	-8.94724517890297	-11.35532991754	-8.00048720017995	-9.77036741681889	-11.9683067944308	-10.5322076796241	-10.8463162700522	-10.1015733252943	-10.8078421222376	-10.6634522129024	-13.0735493977612	-12.0557696356811	-13.7338415407938	-13.96385338847	-12.47080713496	-12.1488790400726	-12.47080713496	-15.2080628528036	-14.3938261499085	-14.1158564819151	-12.8858446342388	-11.6634522129024	-14.8861347579162	-15.5328429109613	-13.47080713496	-16.3938261499085	-14.0557696356811	-15.3836030519009
