row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,15_N_GA7_1_23828.mzML Peak area,44_N_BD7_1_23810.mzML Peak area,42_N_BB1_1_23779.mzML Peak area,54_N_BD8_1_23811.mzML Peak area,45_N_BC2_1_23788.mzML Peak area,48_N_BC6_1_23800.mzML Peak area,QC2_N_BB7_1_23799.mzML Peak area,47_N_BE7_1_23819.mzML Peak area,36_N_BE6_1_23818.mzML Peak area,17_N_GB4_1_23833.mzML Peak area,QC5_N_BB7_1_23820.mzML Peak area,6_N_GA5_1_23826.mzML Peak area,25_N_GB1_1_23830.mzML Peak area,50_N_GB8_1_23838.mzML Peak area,48_N_BC6_1_23793.mzML Peak area,49_N_BE4_1_23816.mzML Peak area,14_N_BB8_1_23786.mzML Peak area,52_N_BC5_1_23791.mzML Peak area,33_N_GB6_1_23836.mzML Peak area,31_N_BC1_1_23794.mzML Peak area,19_N_BE2_1_23814.mzML Peak area,26_N_BE1_1_23812.mzML Peak area,46_N_BC4_1_23797.mzML Peak area,41_N_GB7_1_23837.mzML Peak area,35_N_BC7_1_23801.mzML Peak area,13_N_BD5_1_23808.mzML Peak area,37_N_BB6_1_23784.mzML Peak area,39_N_GA8_1_23829.mzML Peak area,43_N_BD6_1_23809.mzML Peak area,32_N_BD1_1_23803.mzML Peak area,51_N_GB5_1_23835.mzML Peak area,52_N_BC5_1_23798.mzML Peak area,QC3_N_BB7_1_23806.mzML Peak area,2_N_BB3_1_23781.mzML Peak area,29_N_BD3_1_23805.mzML Peak area,30_N_GB3_1_23832.mzML Peak area,9_N_GA3_1_23824.mzML Peak area,23_N_BB2_1_23780.mzML Peak area,31_N_BC1_1_23787.mzML Peak area,QC4_N_BB7_1_23813.mzML Peak area,18_N_BC8_1_23802.mzML Peak area,8_N_BB5_1_23783.mzML Peak area,24_N_GB2_1_23831.mzML Peak area,45_N_BC2_1_23795.mzML Peak area,11_N_BE8_1_23821.mzML Peak area,12_N_BD4_1_23807.mzML Peak area,QC8_N_BB7_1_23839.mzML Peak area,46_N_BC4_1_23790.mzML Peak area,QC1_N_BB7_1_23785.mzML Peak area,38_N_GA4_1_23825.mzML Peak area,27_N_BB4_1_23782.mzML Peak area,7_N_BE5_1_23817.mzML Peak area,20_N_GA1_1_23822.mzML Peak area,21_N_BE3_1_23815.mzML Peak area,3_N_BD2_1_23804.mzML Peak area,1_N_BC3_1_23796.mzML Peak area,QC7_N_BB7_1_23834.mzML Peak area,5_N_GA2_1_23823.mzML Peak area,QC6_N_BB7_1_23827.mzML Peak area,
1,78.96002795769377,6.585796,,,,,,,,,,,5744.844,0,0,0,0,0,2183.1875,0,2395.565,2984.279,2487.963,0,4449.0215,0,0,0,4870.5024,0,2937.5696,0,2152.0105,2364.192,3136.3406,3272.0183,0,4906.3896,1800.6746,2227.005,2760.6074,0,0,0,2333.1636,0,1731.0107,3107.2834,5514.56,0,0,2628.9072,0,3972.3643,0,0,5021.056,0,2678.8608,3015.3918,2078.4873,0,2757.5664,0,0,3007.5737,0,4063.6558,2577.216,3663.6917,2554.2437,
2,87.00937462632643,1.5516832,,,,,,,,,,,0,0,1956.6819,0,3949.1238,6242.7134,0,0,7681.8926,14739.749,0,6667.012,10683.995,0,6083.9385,0,8243.323,0,7607.5806,9796.274,15820.07,0,6294.955,8360.03,12817.25,9912.954,9748.012,9160.416,9118.006,21524.043,0,0,0,0,11638.195,9646.115,0,8089.317,10457.485,0,10016.052,4486.8438,7734.432,4179.168,8280.881,3814.7227,0,6189.1484,0,14345.543,7910.9077,11913.993,9898.384,13625.418,20488.521,29328.996,0,27602.057,0,
3,87.00939651761529,1.8616554,,,,,,,,,,,18401.326,5247.931,3215.0386,0,9194.041,10562.382,21121.344,15720.825,13664.852,17995.775,22089.094,11355.763,15785.692,0,10198.337,0,13675.801,0,12735.268,16466.477,23002.44,16570.459,10959.921,13044.559,18733.06,16092.855,15451.475,14395.972,14619.72,25744.074,0,0,21876.848,28322.617,20865.732,16029.836,17370.84,16155.218,14793.621,21350.383,13719.087,7296.418,14894.989,9809.468,12702.285,8149.3438,22490.533,11079.635,20306.83,20343.395,14259.207,15939.595,17462.51,20479.895,25492.15,30430.283,23506.53,32770.33,24552.674,
4,87.00950644196519,1.6086738,,,,,,,,,,,9293.358,1538.4731,0,0,0,0,10928.116,5638.5195,0,0,12877.987,0,0,0,0,0,0,0,0,0,0,7397.9023,0,0,0,0,0,0,0,0,0,0,11478.391,15913.349,0,0,9071.452,0,0,11761.382,0,0,0,0,0,0,12700.801,0,11288.05,0,0,0,0,0,0,0,13439.946,0,12551.667,
5,89.02494685432983,3.8548508,,,,,,,,,,,0,0,0,0,1568.7866,2408.533,2545.2366,2158.9578,3433.9229,0,2746.18,0,1483.2668,0,2400.2212,0,0,0,0,4171.1367,4724.838,0,1194.0258,0,0,0,2361.4797,1763.1694,2954.216,8257.993,0,0,2464.447,0,3637.9885,2341.6597,0,4628.5503,4001.8306,2670.7478,0,0,4334.6963,1594.1744,0,0,2578.8743,1116.7902,2401.2993,2606.093,2630.788,0,5193.6885,4985.655,0,0,2593.7957,0,2619.286,
6,89.02501250769569,1.437929,,,,,,,,,,,2738.7607,2807.6218,3439.072,2097.6304,1790.2626,3918.8206,0,2743.2302,0,0,0,0,0,2147.0415,3789.1997,2611.5605,0,2005.3994,0,0,2152.9653,0,3200.9595,0,0,2369.0193,2224.3643,2468.8186,2474.7295,0,2726.944,1863.362,2924.7869,0,0,2279.8196,0,1984.9319,0,2988.406,0,0,1718.8274,1997.6954,0,0,2648.9707,3034.0688,2805.6099,0,0,0,2272.9316,0,0,4537.5625,2936.998,0,2860.536,
7,89.02500355041289,5.1209226,,,,,,,,,,,0,0,1168.3534,0,0,0,0,0,0,0,0,0,1554.759,0,0,0,0,0,0,1596.6741,1569.6147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2762.2341,1031.4545,1381.324,0,0,0,0,0,5795.927,1491.1063,0,0,0,0,0,3561.4436,1330.7975,0,0,0,1503.4735,0,1453.7163,
8,89.02511026645487,11.857008,,,,,,,,,,,4302.516,0,0,0,0,0,2645.1536,0,0,4583.134,3078.6987,1434.3433,0,0,0,0,3582.8123,0,2472.7373,0,0,2837.7485,0,2006.8787,7946.9253,3689.5906,1075.4819,0,0,1100.7468,0,0,2812.288,7666.095,0,0,0,0,0,2905.784,5057.4507,0,0,0,2159.7087,0,3028.6174,0,2540.206,0,0,0,0,0,5506.179,6549.4204,3044.1355,6453.3667,2969.8198,
9,89.02512387676775,5.5440555,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1762.0446,0,0,0,0,0,0,0,1938.0598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1801.2238,0,
10,89.02517418561168,5.018533,,,,,,,,,,,0,0,0,0,0,0,1475.721,0,0,0,1512.0907,1515.6344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1562.1836,0,0,1077.8533,0,0,0,1501.554,0,1279.6316,0,0,0,0,1561.0221,0,1263.0042,1648.3428,0,0,0,0,4856.9014,0,0,0,0,
