formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	C5H12N4O3	[M - H]-	C5H11N4O3-	Amino acids and Peptides	0,999	Small peptides	1,000	Aminoacids	1,000	Organic acids and derivatives	0,998	Carboxylic acids and derivatives	0,997	Amino acids, peptides, and analogues	0,998	Amino acids and derivatives	0,998	Alpha amino acids	0,983	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Guanidines; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	175,083	62	1,027	650278120133620738	650277889157481317	363	
1	C6H9N3O2	[M - H]-	C6H8N3O2-	Amino acids and Peptides	0,999	Small peptides	1,000	Aminoacids	0,999	Organic acids and derivatives	0,999	Carboxylic acids and derivatives	0,999	Amino acids, peptides, and analogues	1,000	Amino acids and derivatives	1,000	Histidine and derivatives	0,983	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Imidazoles; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Azoles; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Imidazolyl carboxylic acids and derivatives; Carbonyl compounds; Substituted imidazoles; Alpha amino acids; Amines; Primary amines; Aralkylamines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Amino acids; Histidine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	154,062	62	1,034	650278120884401414	650277882077495435	215	
1	C6H14N4O2	[M - H]-	C6H13N4O2-	Amino acids and Peptides	0,999	Small peptides	1,000	Aminoacids	1,000	Organic acids and derivatives	0,999	Carboxylic acids and derivatives	0,999	Amino acids, peptides, and analogues	0,999	Amino acids and derivatives	0,999	Arginine and derivatives	0,505	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Guanidines; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Carboximidamides; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Arginine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	173,104	63	1,042	650278120838264048	650277888670941988	349	
1	C9H14N4O5	[M - H]-	C9H13N4O5-	Amino acids and Peptides	0,999	Small peptides	1,000	Aminoacids	0,999	Organic acids and derivatives	0,998	Carboxylic acids and derivatives	0,996	Amino acids, peptides, and analogues	0,997	Amino acids and derivatives	0,997	Alpha amino acids	0,971	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Short-chain hydroxy acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Alkanolamines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	257,087	63	1,044	650278143059693635	650277911026584975	894	
1	C12H10N2O6S2	[M - H]-	C12H9N2O6S2-	Amino acids and Peptides	0,256	β-lactams	0,009	Simple coumarins	0,008	Benzenoids	0,664							Benzenoids	0,664	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Thiophenes; Organic acids and derivatives; Carboxylic acids and derivatives; Organosulfonic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Sulfonyls; Benzenoids; Organic oxides; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	340,991	65	1,082	650278143353295077	650277958816487882	1517	
1	C8H12N4O14	[M - H]-	C8H11N4O14-	Carbohydrates	0,485	Small peptides	0,655	Aminoacids	0,480	Organic acids and derivatives	0,951	Carboxylic acids and derivatives	0,943	Amino acids, peptides, and analogues	0,952	Amino acids and derivatives	0,949	Alpha amino acids	0,756	Organic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Organic nitro compounds; Carboxylic acids; Organic oxoazanium compounds; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Organic zwitterions; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Propargyl-type 1,3-dipolar organic compounds; Organic oxides; C-nitro compounds; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	387,026	66	1,105	650278146700350144	650277976612920938	1749	
1	C5H8N2O8	[M - H]-	C5H7N2O8-	Amino acids and Peptides	0,992	Small peptides	0,995	Aminoacids	0,997	Organic acids and derivatives	0,998	Carboxylic acids and derivatives	0,998	Amino acids, peptides, and analogues	0,995	Amino acids and derivatives	0,995	Alpha amino acids	0,964	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Dicarboxylic acids and derivatives; Amino acids and derivatives; Monoalkylamines; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Aspartic acid and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	223,020	67	1,110	650278124529253044	650277900830230793	660	
4	C7H9O6PS2	[M - H]-	C7H8O6PS2-	Fatty acids	0,255	Fatty Acids and Conjugates	0,015	Cyclitols	0,017	Organic acids and derivatives	0,996	Organic phosphoric acids and derivatives	0,891	Phosphate esters	0,833			Phosphate esters	0,833	Organic compounds; Organic acids and derivatives; Organooxygen compounds; Organic phosphoric acids and derivatives; Phosphate esters; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	282,949	67	1,113	650278138865388491	650277920476352640	1043	
1	C6H17N2O6P3	[M - H]-	C6H16N2O6P3-	Amino acids and Peptides	0,996	Small peptides	0,998	Aminoacids	0,998	Organic acids and derivatives	0,997	Carboxylic acids and derivatives	0,887	Amino acids, peptides, and analogues	0,958	Amino acids and derivatives	0,958	L-alpha-amino acids	0,679	Organic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Organophosphorus compounds; Organic phosphoric acids and derivatives; Phosphate esters; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Phosphoethanolamines; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Organic oxides; L-alpha-amino acids; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	305,023	67	1,113	650278141826567609	650277934585992197	1222	
1	C3H7O4PS2	[M - H]-	C3H6O4PS2-	Fatty acids	0,270	Monoterpenoids	0,053	Oxygenated hydrocarbons	0,007	Organic oxygen compounds	0,999	Organooxygen compounds	0,948					Organooxygen compounds	0,948	Organic compounds; Organic acids and derivatives; Organooxygen compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	200,945	67	1,113	650278132288718215	650277895570572908	526	
