structurePerIdRank	formulaRank	ConfidenceScoreExact	ConfidenceScoreApproximate	CSI:FingerIDScore	ZodiacScore	SiriusScore	molecularFormula	adduct	precursorFormula	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	1	0,288	0,288	-31,940		29,473	C5H12N4O3	[M - H]-	C5H11N4O3-	FSBIGDSBMBYOPN	InChI=1S/C5H12N4O3/c6-3(4(10)11)1-2-12-9-5(7)8/h3H,1-2,6H2,(H,10,11)(H4,7,8,9)	Canavanine	C(CON=C(N)N)C(C(=O)O)N	-2,053	5256200;162914907;25243900;45934396;46224610;36688185;275;222546;439202	PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0002706);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(439202);SUPERNATURAL:(SN0094069 SN0428728);HSDB:(543-38-4);MESH:(439202);FooDB:(FDB000505);PUBCHEM:(5256200 162914907 25243900 45934396 46224610 36688185 275 222546 439202);COCONUT:(CNP0175642 CNP0184019);NORMAN:(NS00014863);METACYC:(CANAVANINE);PLANTCYC:(CANAVANINE);CHEBI:(609827 180947 78902 405237);KEGG:(C00308);DSSTox:(DTXSID5045041);LOTUS:(Q418408);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null);KNAPSACK:(FSBIGDSBMBYOPN-UHFFFAOYSA-N)	138369436542	175,083	62	1,027	650278120133620738	650277889157481317	363	
1	1	0,402	0,746	-26,925		54,425	C6H9N3O2	[M - H]-	C6H8N3O2-	HNDVDQJCIGZPNO	InChI=1S/C6H9N3O2/c7-5(6(10)11)1-4-2-8-3-9-4/h2-3,5H,1,7H2,(H,8,9)(H,10,11)	L-His	C1=C(NC=N1)CC(C(=O)O)N	-3,200	101100551;22058933;9815258;136768573;136768597;136768598;136802402;136951621;6971009;6971048;87528073;15556516;16056331;5247180;16217281;16217564;5288059;5288559;5460934;5460936;5460937;5460941;5460943;5460945;5460948;51342292;118264376;53885979;86580368;129716535;4629346;58203003;124202807;137333494;102176482;102462245;162642344;162642346;162642348;136205229;135705197;136264951;136264952;59048770;135897705;59373198;25240990;25241086;25241571;10261337;10313231;10329518;71725525;71777659;132472196;11159446;11159482;11194454;11378637;130346518;773;6274;71083;135379;46781699;3651426;3651721;3723250;122411932;90472119;71309184;71309586;71309659;71309677;73755104	PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0000177 HMDB0250763);MiMeDB:(MMDBc0000058 MMDBc0055866);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(21947049 6274 66091 71083 773);SUPERNATURAL:(SN0130145);HSDB:(71-00-1);MESH:(773 6274);FooDB:(FDB011856);PUBCHEM:(101100551 22058933 9815258 136768573 136768597 136768598 136802402 136951621 6971009 6971048 87528073 15556516 16056331 5247180 16217281 16217564 5288059 5288559 5460934 5460936 5460937 5460941 5460943 5460945 5460948 51342292 118264376 53885979 86580368 129716535 4629346 58203003 124202807 137333494 102176482 102462245 162642344 162642346 162642348 136205229 135705197 136264951 136264952 59048770 135897705 59373198 25240990 25241086 25241571 10261337 10313231 10329518 71725525 71777659 132472196 11159446 11159482 11194454 11378637 130346518 773 6274 71083 135379 46781699 3651426 3651721 3723250 122411932 90472119 71309184 71309586 71309659 71309677 73755104);GNPS:(CCMSLIB00003136042 CCMSLIB00000577965);COCONUT:(CNP0161367);NORMAN:(NS00005578 NS00079380 NS00079890 NS00079950 NS00081141 NS00081976 NS00082207 NS00089034);METACYC:(CPD-12151 HIS);PLANTCYC:(HIS);CHEBI:(27947 15971 32523 32531 32532 57595 27570 32529 32527 32512 32513 32526 32510 142967);KEGG:(C00768 C06419 C00135);DSSTox:(DTXSID00208089 DTXSID00901785 DTXSID10924465 DTXSID20884263 DTXSID3020700 DTXSID401014452 DTXSID701009143 DTXSID70413027 DTXSID70889344 DTXSID80199704 DTXSID9023126);LOTUS:(Q27103201 Q485277 Q27077043);YMDB:(YMDB00794 YMDB00369);PUBCHEMANNOTATIONDRUG:(null);PUBCHEMANNOTATIONFOOD:(null);PUBMED:(null);KNAPSACK:(HNDVDQJCIGZPNO-UHFFFAOYSA-N)	139577465726	154,062	62	1,034	650278120884401414	650277882077495435	215	
1	1	0,687	0,883	-46,005		50,976	C6H14N4O2	[M - H]-	C6H13N4O2-	ODKSFYDXXFIFQN	InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)	Harg	C(CC(C(=O)O)N)CN=C(N)N	-1,634	154624364;101002480;17753939;58618352;4473077;161563502;161563501;9793996;9815369;6913512;20798608;155634912;159961799;163358946;87559318;76974066;76974115;76974116;5231987;5246487;5260203;16217519;16217580;16217799;5287702;5460857;5460858;5460860;5460861;160927720;135207570;51037639;51037640;51037641;118099679;118264379;129834582;129850676;134817835;22726443;58203011;124202805;101611381;162642132;162642135;52941769;135705201;59119146;59373188;59373181;59373187;59373199;160448860;140533858;10313339;88031296;89059445;151306026;90938205;153693995;153709895;153712626;54144538;54144539;123552702;131801519;131878490;132276652;1549073;1549104;11321257;140491596;59645172;59667378;88901885;88901889;88901891;88901915;59905797;232;6322;28782;71070;444360;46932130;12205337;117064614;117065487;11770759;122363709;142696383;90472354;164899900;57182507;71308530;71309938;71310245;57616918;57616923;57616939;57616947	PUBCHEMANNOTATIONBIO;HMDB:(HMDB0000517 HMDB0003416 HMDB0062762 HMDB0251511 HMDB0303361);MiMeDB:(MMDBc0000112 MMDBc0048340 MMDBc0057189);PUBCHEMANNOTATIONSAFETYANDTOXIC;BloodExposome:(232 1549073 5460861 66250 6322 71070 5287702 5460857);SUPERNATURAL:(SN0262438);HSDB:(74-79-3);MESH:(6322 5287702);FooDB:(FDB002257 FDB011914 FDB023167);PUBCHEM:(154624364 101002480 17753939 58618352 4473077 161563502 161563501 9793996 9815369 6913512 20798608 155634912 159961799 163358946 87559318 76974066 76974115 76974116 5231987 5246487 5260203 16217519 16217580 16217799 5287702 5460857 5460858 5460860 5460861 160927720 135207570 51037639 51037640 51037641 118099679 118264379 129834582 129850676 134817835 22726443 58203011 124202805 101611381 162642132 162642135 52941769 135705201 59119146 59373188 59373181 59373187 59373199 160448860 140533858 10313339 88031296 89059445 151306026 90938205 153693995 153709895 153712626 54144538 54144539 123552702 131801519 131878490 132276652 1549073 1549104 11321257 140491596 59645172 59667378 88901885 88901889 88901891 88901915 59905797 232 6322 28782 71070 444360 46932130 12205337 117064614 117065487 11770759 122363709 142696383 90472354 164899900 57182507 71308530 71309938 71310245 57616918 57616923 57616939 57616947);GNPS:(CCMSLIB00003136581);COCONUT:(CNP0257247);NORMAN:(NS00079284 NS00074187 NS00085581 NS00080232 NS00005927 NS00078080);METACYC:(CPD0-2700 CPD-220);PLANTCYC:(ARG);CHEBI:(32697 15816 32682 31235 29016 32695 32683 32689 192075 32681 32696 16467 32688 32690);KEGG:(C00792 C02385 C00062);DSSTox:(DTXSID00370078 DTXSID10206834 DTXSID10745551 DTXSID201031042 DTXSID20883650 DTXSID30726544 DTXSID30935331 DTXSID40883354 DTXSID50238230 DTXSID6041056 DTXSID60883513 DTXSID80170033 DTXSID8022618);LOTUS:(Q27076987 Q173670 Q27104032);YMDB:(YMDB00592);PUBCHEMANNOTATIONDRUG;PUBCHEMANNOTATIONFOOD;PUBMED;KNAPSACK:(ODKSFYDXXFIFQN-UHFFFAOYSA-N)	139577465726	173,104	63	1,042	650278120838264048	650277888670941988	349	
1	1	0,032	0,032	-223,224		66,585	C9H14N4O5	[M - H]-	C9H13N4O5-	FUEGYTKKNLPCPF	InChI=1S/C9H14N4O5/c1-12-5-10-7(13(16)17)8(12)11-6(9(14)15)3-4-18-2/h5-6,11H,3-4H2,1-2H3,(H,14,15)	4-Methoxy-2-[(3-methyl-5-nitroimidazol-4-yl)amino]butanoic acid	CN1C=NC(=C1NC(CCOC)C(=O)O)[N+](=O)[O-]	0,900	62478995	PUBCHEM:(62478995)	2	257,087	63	1,044	650278143059693635	650277911026584975	894	
1	1	0,014	0,019	-168,588		49,796	C12H10N2O6S2	[M - H]-	C12H9N2O6S2-	BITYYJJEVOSYCE	InChI=1S/C12H10N2O6S2/c15-21(16,17)11-5-1-9(2-6-11)13-14-10-3-7-12(8-4-10)22(18,19)20/h1-8H,(H,15,16,17)(H,18,19,20)		C1=CC(=CC=C1N=NC2=CC=C(C=C2)S(=O)(=O)O)S(=O)(=O)O	1,200	3339891;168962	COCONUT:(CNP0439271);SUPERNATURAL:(SN0026709);MESH:(168962);PUBCHEM:(3339891 168962);PUBMED	3145798	340,991	65	1,082	650278143353295077	650277958816487882	1517	
1	1	-Infinity	-Infinity	-232,030		23,258	C8H12N4O14	[M - H]-	C8H11N4O14-	FQPLSYABSLHMBC	InChI=1S/C8H12N4O14/c1-2-21-7-5(25-11(17)18)4(24-10(15)16)6(26-12(19)20)8(23-7)22-3-9(13)14/h4-8H,2-3H2,1H3	Glucopyranoside, ethyl, tetranitrate, beta-D	CCOC1C(C(C(C(O1)OC[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-]	1,200	165363890	PUBCHEM:(165363890);DSSTox:(DTXSID401030721)	137438953474	387,026	66	1,105	650278146700350144	650277976612920938	1749	
1	1	0,025	0,025	-286,296		73,146	C5H8N2O8	[M - H]-	C5H7N2O8-	FLPXFIZGENKLQT	InChI=1S/C5H8N2O8/c8-5(9)2-1-4(15-7(12)13)3-14-6(10)11/h4H,1-3H2,(H,8,9)	(4R)-4,5-dinitrooxypentanoic acid	C(CC(=O)O)C(CO[N+](=O)[O-])O[N+](=O)[O-]	0,700	153534438;59748995	PUBCHEM:(153534438 59748995)	2	223,020	67	1,110	650278124529253044	650277900830230793	660	
1	4	-Infinity	-Infinity	-153,891		11,793	C7H9O6PS2	[M - H]-	C7H8O6PS2-	UNJOGRONNYGENU	InChI=1S/C7H9O6PS2/c1-14-5-3-2-4-6(15(8,9)10)7(5)16(11,12)13/h2-4,14H,1H3,(H,8,9,10)(H,11,12,13)	3-Methylphosphanylbenzene-1,2-disulfonic acid	CPC1=C(C(=CC=C1)S(=O)(=O)O)S(=O)(=O)O	-1,000	87966371	PUBCHEM:(87966371)	2	282,949	67	1,113	650278138865388491	650277920476352640	1043	
1	1	-Infinity	-Infinity	-123,743		32,760	C6H17N2O6P3	[M - H]-	C6H16N2O6P3-	SJMXQMBFGJLVEF	InChI=1S/C6H18N2O6P3/c1-9-8(17(13-5)14-6)15(10-2)7-16(11-3)12-4/h1-6H3/q+1	(Z)-dimethoxyphosphanylimino-[dimethoxyphosphanyl(methoxy)amino]-methoxyphosphanium	CON(P(OC)OC)[P+](=NP(OC)OC)OC	1,000	87502999;91565815	PUBCHEM:(87502999 91565815)	2	305,023	67	1,113	650278141826567609	650277934585992197	1222	
1	1	0,018	0,018	-73,107		31,694	C3H7O4PS2	[M - H]-	C3H6O4PS2-	JZAOSAALEALZTF	InChI=1S/C3H7O4PS2/c1-2-3(8)9-7-10(4,5)6/h2-3H,1,8H2,(H,4,5,6)	1-Phosphaniumylprop-2-enylsulfanyl sulfate	C=CC(P)SOS(=O)(=O)O	0,000	139510102;139510103	PUBCHEM:(139510102 139510103)	2	200,945	67	1,113	650278132288718215	650277895570572908	526	
