row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,neg_230403_AnnaBatch4_448_RB4_1_16949.mzML Peak area,neg_230403_AnnaBatch4_449_RB5_1_16970.mzML Peak area,neg_230403_AnnaBatch4_450_RB6_1_16973.mzML Peak area,neg_230403_AnnaBatch4_451_RB7_1_16955.mzML Peak area,neg_230403_AnnaBatch4_452_RB8_1_16967.mzML Peak area,neg_230403_AnnaBatch4_453_RC1_1_16972.mzML Peak area,neg_230403_AnnaBatch4_454_RC2_1_16958.mzML Peak area,neg_230403_AnnaBatch4_455_RC3_1_16976.mzML Peak area,neg_230403_AnnaBatch4_456_RC4_1_16961.mzML Peak area,neg_230403_AnnaBatch4_457_RC5_1_16956.mzML Peak area,neg_230403_AnnaBatch4_458_RC6_1_16950.mzML Peak area,neg_230403_AnnaBatch4_459_RC7_1_16962.mzML Peak area,neg_230403_AnnaBatch4_460_RC8_1_16979.mzML Peak area,neg_230403_AnnaBatch4_461_RD1_1_16952.mzML Peak area,neg_230403_AnnaBatch4_462_RD2_1_16977.mzML Peak area,neg_230403_AnnaBatch4_463_RD3_1_16954.mzML Peak area,neg_230403_AnnaBatch4_464_RD4_1_16963.mzML Peak area,neg_230403_AnnaBatch4_465_RD5_1_16966.mzML Peak area,neg_230403_AnnaBatch4_466_RD6_1_16957.mzML Peak area,neg_230403_AnnaBatch4_467_RD7_1_16951.mzML Peak area,neg_230403_AnnaBatch4_468_RD8_1_16968.mzML Peak area,neg_230403_AnnaBatch4_469_RE1_1_16969.mzML Peak area,neg_230403_AnnaBatch4_470_RE2_1_16971.mzML Peak area,neg_230403_AnnaBatch4_471_RE3_1_16959.mzML Peak area,
1,93.03647753626606,7.75625,,,,,,,,,,,0,122.31747,0,123.32008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,96.96142751456217,1.0850105,,,,,,,,,,,0,0,0,0,8329.124,14646.024,7910.4517,13636.137,16234.242,11163.962,6051.9756,11345.922,4060.5522,0,1832.1963,8010.843,9413.462,8314.634,3049.772,8262.279,4920.3203,4544.2144,10118.98,6403.646,
3,96.96144170916907,1.3282915,,,,,,,,,,,0,0,0,0,15791.644,11245.039,10673.3545,13974.039,0,8408.917,8294.5205,14419.98,7736.038,0,2925.03,11795.098,9930.043,14445.75,9087.592,9918.774,12186.63,8949.036,11550.723,7744.3096,
4,96.9614662190832,1.8522325,,,,,,,,,,,0,605.55835,441.79053,0,8955.409,13661.089,6085.169,15386.093,3302.987,9867.2705,7385.299,10260.709,5586.1416,2371.5422,3074.6997,9726.22,9623.123,8610.552,4588.0537,9355.692,5853.277,5085.4243,11858.745,8769.118,
5,96.9617240648298,1.6346033,,,,,,,,,,,263.34445,365.1349,308.10974,498.76752,0,0,0,0,0,0,0,0,0,2103.5398,0,0,0,0,0,0,0,0,0,0,
6,96.96200097379275,2.0089083,,,,,,,,,,,451.56,0,0,860.9415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,99.00966489440682,1.9818367,,,,,,,,,,,0,0,0,0,0,0,0,0,0,99.80418,0,0,0,0,335.6577,0,0,86.86816,0,0,79.92534,0,0,98.18408,
8,99.00990008403217,4.522025,,,,,,,,,,,91.488846,0,0,0,0,0,0,0,0,0,0,0,0,0,90.60908,0,0,0,0,0,0,0,0,0,
9,99.00998494337598,5.1076336,,,,,,,,,,,0,0,0,0,0,2655.6885,298.67432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,99.04635567202995,6.6215844,,,,,,,,,,,0,0,0,0,1219.558,5227.3105,3275.0488,2508.9968,226.73895,1048.4874,789.0611,843.1316,475.4068,396.6048,1648.0402,614.62054,1916.3905,679.87854,1281.3173,2267.719,766.12537,815.42224,851.0844,1104.1315,
11,99.08284769794705,8.395543,,,,,,,,,,,350.94565,525.04,515.361,661.004,0,0,162.05658,0,0,0,0,0,0,220.29349,0,91.2625,0,0,0,0,0,0,0,0,
12,99.08286045029712,6.405158,,,,,,,,,,,0,0,156.97636,176.4614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,100.04158389101673,1.9467402,,,,,,,,,,,0,0,0,0,0,449.54736,97.88004,107.96972,0,319.10397,97.11429,0,275.74945,211.71857,355.51157,310.40427,387.92728,831.5977,439.05014,378.7655,344.88504,589.4746,713.6026,339.69684,
14,101.06205069097177,4.879833,,,,,,,,,,,216.956,205.16489,363.32474,414.58038,0,316.33496,201.4944,128.14053,0,275.5703,223.52876,0,0,378.28265,0,125.67755,118.52868,0,0,89.40748,0,198.98816,183.72481,203.50067,
15,103.0412146693795,2.390385,,,,,,,,,,,598.26776,1358.4327,866.3927,1764.495,0,907.9631,370.56943,360.9604,0,1088.3536,453.63934,0,314.33432,697.8313,235.73444,250.89937,164.74539,294.6865,0,112.03502,0,334.48257,327.71567,296.14758,
16,103.0413289848708,2.2254834,,,,,,,,,,,0,0,0,0,0,103.504135,0,0,0,0,220.88713,0,0,0,0,0,0,0,0,0,209.06563,0,0,0,
17,105.07214435525749,10.38594,,,,,,,,,,,211.20212,0,0,135.34341,0,163.71652,0,0,0,122.00075,0,0,0,118.63712,0,96.4897,0,0,0,0,0,0,0,0,
18,107.05110595076249,6.0116796,,,,,,,,,,,0,0,0,0,0,105.90175,0,0,0,0,286.3464,0,0,0,0,0,0,0,0,0,674.5844,0,0,66.57631,
