formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	C23H20N6O7S3	[M - H]-	C23H19N6O7S3-	Amino acids and Peptides	0,741	β-lactams	0,236	Cephalosporins	0,166	Organic acids and derivatives	0,993	Carboxylic acids and derivatives	0,910	Amino acids, peptides, and analogues	0,530	Amino acids and derivatives	0,528	Amino acids and derivatives	0,528	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Amino acids, peptides, and analogues; Nitrobenzenes; Alkyl aryl ethers; Anisoles; Lactams; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Organic nitro compounds; Thioethers; Organic oxoazanium compounds; Tertiary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Organic zwitterions; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Propargyl-type 1,3-dipolar organic compounds; Organic oxides; C-nitro compounds; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Nitroaromatic compounds; Organic nitrogen compounds; Phenoxy compounds; Chemical entities	587,048	61	1,016	694879292660722462	694877462396462003	3276	
1	C30H22Cl2N6O12	[M - H]-	C30H21Cl2N6O12-	Alkaloids	0,543	Coumarins	0,079	Pyridine alkaloids	0,078	Organic oxygen compounds	1,000	Organooxygen compounds	0,999	Carbohydrates and carbohydrate conjugates	0,894	Glycosyl compounds	0,756	Glycosyl compounds	0,756	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Nitrobenzenes; Pyridines and derivatives; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Aryl chlorides; Carboxylic acid derivatives; Organic nitro compounds; Pyridinecarboxylic acids and derivatives; Pyridinecarboxamides; Organic oxoazanium compounds; Organochlorides; Monosaccharides; Acetals; Secondary alcohols; Glycosyl compounds; Nicotinamides; Benzene and substituted derivatives; Benzenoids; Aryl halides; Organic zwitterions; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Propargyl-type 1,3-dipolar organic compounds; Organic salts; Organic oxides; C-nitro compounds; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Nitroaromatic compounds; Organic nitrogen compounds; Chemical entities	727,061	61	1,018	694879239321752168	694877466838230619	3412	
1	C28H20O17	[M - H]-	C28H19O17-	Shikimates and Phenylpropanoids	0,999	Flavonoids	0,843	Flavonols	0,327	Phenylpropanoids and polyketides	0,994	Flavonoids	0,892	Flavonoid glycosides	0,809	Flavonoid O-glycosides	0,828	Flavonoid O-glycosides	0,828	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Pyrans; Benzopyrans; Alcohols and polyols; Phenols; Chromones; Ethers; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Flavonoids; Pyranones and derivatives; Flavonoid glycosides; Carboxylic acid esters; Monosaccharides; Flavonoid O-glycosides; Flavones; Acetals; Secondary alcohols; Oxanes; Glycosyl compounds; O-glycosyl compounds; Benzene and substituted derivatives; Polyols; Benzenoids; 3'-hydroxyflavonoids; 4'-hydroxyflavonoids; Hydroxyflavonoids; 5-hydroxyflavonoids; 7-hydroxyflavonoids; 1-benzopyrans; Vinylogous acids; Organic oxides; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Phenolic glycosides; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Chemical entities	627,060	61	1,021	694879222645197807	694877464292287676	3329	
1	C12H22O17S2	[M - H]-	C12H21O17S2-	Carbohydrates	0,276	Saccharides	0,475	Monosaccharides	0,114	Organic oxygen compounds	1,000	Organooxygen compounds	0,999	Carbohydrates and carbohydrate conjugates	0,974	Monosaccharides	0,929	Hexoses	0,601	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Sugar acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Organic sulfuric acids and derivatives; Monocarboxylic acids and derivatives; Sulfuric acid monoesters; Thioacetals; Carboxylic acids; Hexoses; Monosaccharides; Secondary alcohols; Carbonyl compounds; Oxanes; Glycosyl compounds; Monothioacetals; Thioglycosides; Polyols; Sulfenyl compounds; Sulfuric acid esters; Alkyl sulfates; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	501,026	61	1,021	694879183889824081	694877455572328551	3109	
7	C26H18Cl2N6O10	[M - H]-	C26H17Cl2N6O10-	Alkaloids	0,805	Coumarins	0,058	Depsides and depsidones	0,025	Organic oxygen compounds	1,000	Organooxygen compounds	1,000	Ethers	0,987	Diarylethers	0,960	Diarylethers	0,960	Organic compounds; Organoheterocyclic compounds; Alkyl aryl ethers; Anisoles; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Aryl chlorides; Carboxylic acids; Organochlorides; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Diarylethers; Aryl halides; Organic oxides; Methoxybenzenes; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Phenoxy compounds; Chemical entities	643,038	61	1,023	694879203544335764	694877465215034701	3358	
1	C11H12N4O6S2	[M - H]-	C11H11N4O6S2-	Amino acids and Peptides	0,764	β-lactams	0,051	Imidazole alkaloids	0,038	Organosulfur compounds	0,973	Thioethers	0,900	Aryl thioethers	0,821	Alkylarylthioethers	0,834	Alkylarylthioethers	0,834	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Thioethers; Carboxylic acid esters; Carbonyl compounds; Sulfenyl compounds; Alkylarylthioethers; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Aryl thioethers; Organic nitrogen compounds; Chemical entities	359,015	61	1,024	694879212234934296	694877426635821730	2411	
1	C26H14O10	[M - H]-	C26H13O10-	Shikimates and Phenylpropanoids	0,951	Terphenyls	0,282	p-Terphenyls	0,290	Phenylpropanoids and polyketides	0,891	Coumarins and derivatives	0,672					Coumarins and derivatives	0,672	Organic compounds; Organoheterocyclic compounds; Lactones; Pyrans; Benzopyrans; Phenols; Coumarins and derivatives; Ethers; Phenylpropanoids and polyketides; Organic acids and derivatives; Organooxygen compounds; Pyranones and derivatives; Benzenoids; 1-benzopyrans; 2-benzopyrans; Organic oxides; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	485,049	61	1,024	694879185278139154	694877453697474388	3054	
1	C4H10O9	[M - H]-	C4H9O9-	Fatty acids	0,985	Fatty Acids and Conjugates	0,689	Dicarboxylic acids	0,378	Organic acids and derivatives	0,611	Carboxylic acids and derivatives	0,356	Carboxylic acids	0,558			Carboxylic acids	0,558	Organic compounds; Alcohols and polyols; Organic acids and derivatives; Organooxygen compounds; Carboxylic acids; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	201,025	62	1,027	694879189363392090	694877368255296049	759	
1	C9H8Cl2N4O3S	[M - H]-	C9H7Cl2N4O3S-	Alkaloids	0,189	Histidine alkaloids	0,048	Imidazole alkaloids	0,047	Organohalogen compounds	1,000	Aryl halides	0,987	Aryl chlorides	0,988			Aryl chlorides	0,988	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Azoles; Aryl chlorides; Organochlorides; Aryl halides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	320,963	62	1,040	694879198397923973	694877411779595016	2024	
1	C6H5N3O9S	[M - H]-	C6H4N3O9S-	Alkaloids	0,684	Histidine alkaloids	0,052	Imidazole alkaloids	0,053	Benzenoids	0,053	Benzene and substituted derivatives	0,120	Nitrobenzenes	0,521			Nitrobenzenes	0,521	Organic compounds; Organosulfur compounds; Nitrobenzenes; Organic acids and derivatives; Organosulfonic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic nitro compounds; Sulfonyls; Organosulfonic acids; Organic oxoazanium compounds; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Propargyl-type 1,3-dipolar organic compounds; Organic salts; Organic oxides; C-nitro compounds; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; Nitroaromatic compounds; Organic nitrogen compounds; Chemical entities	293,967	62	1,040	694879208220985037	694877399146349682	1689	
