structurePerIdRank	formulaRank	ConfidenceScoreExact	ConfidenceScoreApproximate	CSI:FingerIDScore	ZodiacScore	SiriusScoreNormalized	SiriusScore	molecularFormula	adduct	precursorFormula	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	1	-Infinity	-Infinity	-352,590		0,434	28,641	C23H20N6O7S3	[M - H]-	C23H19N6O7S3-	PLQVNVQTEUWBON	InChI=1S/C23H20N6O7S3/c1-35-22(34)14-5-10-6-28(4-3-13(10)39-14)7-11-8-37-20-16(19(31)29(20)17(11)21(32)33)26-18(30)15(27-36-2)12-9-38-23(24)25-12/h3-6,9,16,20H,7-8H2,1-2H3,(H3-,24,25,26,30,32,33)/p+1	(6S)-7-[[2-(2-amino-1,3-thiazol-4-yl)-2-methoxyiminoacetyl]amino]-3-[(2-methoxycarbonylthieno[3,2-c]pyridin-5-ium-5-yl)methyl]-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid	COC(=O)C1=CC2=C(S1)C=C[N+](=C2)CC3=C(N4C(C(C4=O)NC(=O)C(=NOC)C5=CSC(=N5)N)SC3)C(=O)O	1,086	54195732;13580313;13580314;88679028	PUBCHEM:(54195732 13580313 13580314 88679028)	2	587,048	61	1,016	694879292660722462	694877462396462003	3276	
1	1	-Infinity	-Infinity	-357,382		0,999	32,307	C30H22Cl2N6O12	[M - H]-	C30H21Cl2N6O12-	QDWHZSGFTFBNGB	InChI=1S/C30H22Cl2N6O12/c1-11(39)23(25(41)37-35-17-7-3-5-13(27(43)44)21(17)29(47)48)33-19-9-16(32)20(10-15(19)31)34-24(12(2)40)26(42)38-36-18-8-4-6-14(28(45)46)22(18)30(49)50/h3-10,23-24,33-34H,1-2H3,(H,43,44)(H,45,46)(H,47,48)(H,49,50)	3-[[2-[2,5-Dichloro-4-[[1-[(2,3-dicarboxyphenyl)diazenyl]-1,3-dioxobutan-2-yl]amino]anilino]-3-oxobutanoyl]diazenyl]phthalic acid	CC(=O)C(C(=O)N=NC1=CC=CC(=C1C(=O)O)C(=O)O)NC2=CC(=C(C=C2Cl)NC(C(=O)C)C(=O)N=NC3=CC=CC(=C3C(=O)O)C(=O)O)Cl	4,600	21116952	NORMAN:(NS00053699);PUBCHEM:(21116952)	262146	727,061	61	1,018	694879239321752168	694877466838230619	3412	
1	1	-Infinity	-Infinity	-342,937		0,770	11,448	C28H20O17	[M - H]-	C28H19O17-	MKPPVZRIVNBRAM	InChI=1S/C28H20O17/c1-4-8-13-11(20(36)22(38)17(8)33)12-14-10(19(35)23(39)21(12)37)9-5(2-6(30)15(31)18(9)34)26(40)43-7(3-29)16(32)25(45-28(14)42)24(4)44-27(13)41/h2,7,16,25,29-39H,3H2,1H3		CC1=C2C3C(C(OC(=O)C4=CC(=C(C(=C4C5=C(C(=C(C(=C5O)O)O)C6=C(C(=C(C1=C6C(=O)O2)O)O)O)C(=O)O3)O)O)O)CO)O	0,300	57814771	PUBCHEM:(57814771)	2	627,060	61	1,021	694879222645197807	694877464292287676	3329	
1	1	0,068	0,068	-54,713		0,957	20,885	C12H22O17S2	[M - H]-	C12H21O17S2-	RFQBWYKCNJTCKL	InChI=1S/C12H22O17S2/c13-1-3-5(15)9(7(17)11(19)25-3)28-31(23,24)29-12-8(18)10(27-30(20,21)22)6(16)4(2-14)26-12/h3-19H,1-2H2,(H,20,21,22)	[(2S,3R,4S,5S,6R)-3,5-dihydroxy-6-(hydroxymethyl)-4-sulfooxyoxan-2-yl] [(2R,3R,4S,5S,6R)-2,3,5-trihydroxy-6-(hydroxymethyl)oxan-4-yl] sulfate	C(C1C(C(C(C(O1)O)O)OS(=O)(=O)OC2C(C(C(C(O2)CO)O)OS(=O)(=O)O)O)O)O	-4,900	91081992	PUBCHEM:(91081992)	2	501,026	61	1,021	694879183889824081	694877455572328551	3109	
1	7	-Infinity	-Infinity	-301,114		0,033	14,086	C26H18Cl2N6O10	[M - H]-	C26H17Cl2N6O10-	HLVLSVYCOXHWRH	InChI=1S/C26H18Cl2N6O10/c27-15-1-7-25(21(11-15)29-19-5-3-17(31(35)36)13-23(19)33(39)40)43-9-10-44-26-8-2-16(28)12-22(26)30-20-6-4-18(32(37)38)14-24(20)34(41)42/h1-8,11-14,29-30H,9-10H2	N,N'-{ethane-1,2-diylbis[oxy(5-chlorobenzene-2,1-diyl)]}bis(2,4-dinitroaniline)	C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])NC2=C(C=CC(=C2)Cl)OCCOC3=C(C=C(C=C3)Cl)NC4=C(C=C(C=C4)[N+](=O)[O-])[N+](=O)[O-]	8,300	4252377	PUBCHEM:(4252377)	2	643,038	61	1,023	694879203544335764	694877465215034701	3358	
1	1	0,037	0,037	-188,154		1,000	58,825	C11H12N4O6S2	[M - H]-	C11H11N4O6S2-	ULOFBPJJSYOCSP	InChI=1S/C11H12N4O6S2/c1-2-21-8(16)3-6-5-22-11(13-6)15-23(19,20)7-4-12-10(18)14-9(7)17/h4-5H,2-3H2,1H3,(H,13,15)(H2,12,14,17,18)	Ethyl 2-(2-(2,4-dioxo-1,2,3,4-tetrahydropyrimidine-5-sulfonamido)thiazol-4-yl)acetate	CCOC(=O)CC1=CSC(=N1)NS(=O)(=O)C2=CNC(=O)NC2=O	-0,700	16874821	PUBCHEM:(16874821)	2	359,015	61	1,024	694879212234934296	694877426635821730	2411	
1	1	0,028	0,028	-159,676		0,294	14,562	C26H14O10	[M - H]-	C26H13O10-	HKHMNEKLLIZBIP	InChI=1S/C26H14O10/c27-21-11-33-23(29)15-5-7-17(25(31)35-21)19(9-15)13-1-2-14(4-3-13)20-10-16-6-8-18(20)26(32)36-22(28)12-34-24(16)30/h1-12,27-28H	4-Hydroxy-10-[4-(5-hydroxy-2,7-dioxo-3,6-dioxabicyclo[6.2.2]dodeca-1(10),4,8,11-tetraen-9-yl)phenyl]-3,6-dioxabicyclo[6.2.2]dodeca-1(10),4,8,11-tetraene-2,7-dione	C1=CC(=CC=C1C2=C3C=CC(=C2)C(=O)OC=C(OC3=O)O)C4=C5C=CC(=C4)C(=O)OC=C(OC5=O)O	3,300	143181658	PUBCHEM:(143181658)	2	485,049	61	1,024	694879185278139154	694877453697474388	3054	
1	1	0,005	0,005	-85,401		1,000	27,041	C4H10O9	[M - H]-	C4H9O9-	JDHRTIZRFOASCC	InChI=1S/C4H10O9/c5-1(6)11-3(9)13-4(10)12-2(7)8/h1-10H	[[Dihydroxymethoxy(hydroxy)methoxy]-hydroxymethoxy]methanediol	C(O)(O)OC(O)OC(O)OC(O)O	-3,300	20077803	PUBCHEM:(20077803)	2	201,025	62	1,027	694879189363392090	694877368255296049	759	
1	1	0,033	0,033	-145,198		0,716	26,291	C9H8Cl2N4O3S	[M - H]-	C9H7Cl2N4O3S-	PHFPWXIKQNMCNN	InChI=1S/C9H8Cl2N4O3S/c1-18-9-12-8(13-14-9)15-19(16,17)7-5(10)3-2-4-6(7)11/h2-4H,1H3,(H2,12,13,14,15)	2,6-dichloro-N-(3-methoxy-1H-1,2,4-triazol-5-yl)benzenesulfonamide	COC1=NNC(=N1)NS(=O)(=O)C2=C(C=CC=C2Cl)Cl	2,400	83095310	PUBCHEM:(83095310)	2	320,963	62	1,040	694879198397923973	694877411779595016	2024	
1	1	0,064	0,064	-78,026		0,818	56,085	C6H5N3O9S	[M - H]-	C6H4N3O9S-	XONUVSBSRFFZMW	InChI=1S/C6H5N3O9S/c10-7(11)3-1-4(8(12)13)6(19(16,17)18)5(2-3)9(14)15/h1-2,6H,(H,10,11)(H,16,17,18)	N-hydroxy-3,5-dinitro-4-sulfocyclohexa-2,5-dien-1-imine oxide	C1=C(C(C(=CC1=[N+](O)[O-])[N+](=O)[O-])S(=O)(=O)O)[N+](=O)[O-]	-1,600	23268545	PUBCHEM:(23268545)	2	293,967	62	1,040	694879208220985037	694877399146349682	1689	
