Number	Nodule_type	Genotype
4	pink	WT
7	pink	WT
4	pink	WT
2	pink	WT
6	pink	WT
7	pink	WT
5	pink	WT
3	pink	WT
6	pink	WT
6	pink	WT
5	pink	WT
5	pink	WT
2	pink	WT
6	pink	WT
6	pink	WT
5	pink	WT
7	pink	WT
4	pink	WT
8	pink	WT
5	pink	WT
3	pink	WT
4	pink	WT
2	pink	WT
3	pink	WT
4	pink	WT
3	pink	WT
5	pink	WT
7	pink	WT
4	pink	WT
4	pink	WT
3	pink	WT
5	pink	WT
7	pink	WT
5	pink	WT
6	pink	WT
3	pink	WT
7	pink	WT
5	pink	WT
5	pink	WT
3	pink	WT
8	pink	WT
4	pink	WT
3	pink	WT
7	pink	WT
5	pink	WT
3	pink	WT
4	pink	WT
7	pink	WT
7	pink	WT
8	pink	WT
6	pink	WT
7	pink	WT
1	pink	WT
5	pink	WT
13	pink	WT
6	pink	WT
8	pink	WT
5	pink	WT
11	pink	WT
10	pink	WT
5	pink	WT
6	pink	WT
7	pink	WT
4	pink	WT
3	pink	WT
6	pink	WT
9	pink	WT
6	pink	WT
8	pink	WT
4	pink	WT
6	pink	WT
5	pink	WT
4	pink	WT
7	pink	WT
9	pink	WT
2	pink	WT
6	pink	WT
8	pink	WT
8	pink	WT
5	pink	WT
4	pink	WT
4	pink	WT
5	pink	WT
9	pink	WT
5	pink	WT
6	pink	WT
2	pink	WT
7	pink	WT
8	pink	WT
11	pink	WT
9	pink	WT
8	pink	WT
5	pink	WT
0	white	WT
2	white	WT
1	white	WT
1	white	WT
0	white	WT
0	white	WT
1	white	WT
2	white	WT
0	white	WT
0	white	WT
1	white	WT
1	white	WT
3	white	WT
0	white	WT
0	white	WT
1	white	WT
0	white	WT
0	white	WT
3	white	WT
2	white	WT
0	white	WT
0	white	WT
2	white	WT
3	white	WT
2	white	WT
1	white	WT
0	white	WT
1	white	WT
0	white	WT
1	white	WT
0	white	WT
0	white	WT
0	white	WT
1	white	WT
0	white	WT
1	white	WT
2	white	WT
0	white	WT
0	white	WT
1	white	WT
0	white	WT
0	white	WT
0	white	WT
2	white	WT
0	white	WT
0	white	WT
1	white	WT
1	white	WT
0	white	WT
0	white	WT
0	white	WT
0	white	WT
4	white	WT
2	white	WT
2	white	WT
0	white	WT
0	white	WT
1	white	WT
2	white	WT
0	white	WT
2	white	WT
1	white	WT
2	white	WT
0	white	WT
0	white	WT
0	white	WT
1	white	WT
2	white	WT
0	white	WT
1	white	WT
0	white	WT
0	white	WT
0	white	WT
2	white	WT
0	white	WT
0	white	WT
1	white	WT
2	white	WT
0	white	WT
0	white	WT
2	white	WT
0	white	WT
0	white	WT
0	white	WT
1	white	WT
3	white	WT
0	white	WT
0	white	WT
0	white	WT
3	white	WT
0	white	WT
2	white	WT
0	white	WT
0	white	symrk
0	white	symrk
0	white	symrk
0	white	symrk
0	white	symrk
0	white	symrk
0	white	symrk
0	white	symrk
0	white	symrk
0	white	symrk
0	white	symrk
0	white	symrk
0	white	symrk
0	white	symrk
0	white	symrk
0	white	symrk
0	white	symrk
0	white	symrk
0	white	symrk
0	white	symrk
0	white	symrk
0	white	symrk
0	white	symrk
0	white	symrk
0	white	symrk
0	white	symrk
0	white	symrk
0	white	symrk
0	white	symrk
0	white	symrk
0	white	symrk
0	white	symrk
0	white	symrk
0	white	symrk
0	white	symrk
0	white	symrk
0	white	symrk
0	white	symrk
0	white	symrk
0	white	symrk
0	white	symrk
0	white	symrk
0	white	symrk
0	white	symrk
0	white	symrk
0	white	symrk
0	white	symrk
0	white	symrk
0	white	symrk
0	white	symrk
0	white	symrk
0	white	symrk
0	white	symrk
0	white	symrk
0	white	symrk
0	white	symrk
0	white	symrk
0	white	symrk
0	white	symrk
0	white	symrk
0	white	symrk
0	white	symrk
0	white	symrk
0	white	symrk
0	white	symrk
0	white	symrk
0	white	symrk
0	white	symrk
0	white	symrk
0	white	symrk
0	white	symrk
0	white	symrk
0	white	symrk
0	white	symrk
0	white	symrk
0	white	symrk
0	white	symrk
0	white	symrk
0	white	symrk
0	white	symrk
0	white	symrk
0	white	symrk
0	white	symrk
0	white	symrk
0	white	symrk
0	white	symrk
0	white	symrk
0	white	symrk
0	white	symrk
0	white	symrk
0	white	symrk
0	white	symrk
0	white	symrk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	ccamk
0	white	nsp1
0	white	nsp1
0	white	nsp1
0	white	nsp1
0	white	nsp1
0	white	nsp1
0	white	nsp1
0	white	nsp1
0	white	nsp1
0	white	nsp1
0	white	nsp1
0	white	nsp1
0	white	nsp1
0	white	nsp1
0	white	nsp1
0	white	nsp1
0	white	nsp1
0	white	nsp1
0	white	nsp1
0	white	nsp1
0	white	nsp1
0	white	nsp1
0	white	nsp1
0	white	nsp1
0	white	nsp1
0	white	nsp1
0	white	nsp1
0	white	nsp1
0	white	nsp1
0	white	nsp1
0	white	nsp1
0	white	nsp1
0	white	nsp1
0	white	nsp1
0	white	nsp1
0	white	nsp1
0	white	nsp1
0	white	nsp1
0	white	nsp1
0	white	nsp1
0	white	nsp1
0	white	nsp1
0	white	nsp1
0	white	nsp1
0	white	nsp1
0	white	nsp1
0	white	nsp1
0	white	nsp1
0	white	nsp1
0	white	nsp1
0	white	nsp1
0	white	nsp1
0	white	nsp1
0	white	nsp1
0	white	nsp1
0	white	nsp1
0	white	nsp1
0	white	nsp1
0	white	nsp1
0	white	nsp1
0	white	nsp1
0	white	nsp1
0	white	nsp1
0	white	nsp1
0	white	nsp1
0	white	nsp1
0	white	nsp1
0	white	nsp1
0	white	nsp1
0	white	nsp1
0	white	nsp1
0	white	nsp1
0	white	nsp1
0	white	nsp1
0	white	nsp1
0	white	nsp1
0	white	nsp1
0	white	nsp1
0	white	nsp1
0	white	nsp1
0	white	nsp1
0	white	nsp1
0	white	nsp1
