	Lj_Gifu_LjSC_1_endo	Lj_Gifu_LjSC_1_nod	Lj_Gifu_LjSC_1_rhizo	Lj_Gifu_LjSC_2_endo	Lj_Gifu_LjSC_2_nod	Lj_Gifu_LjSC_2_rhizo	Lj_Gifu_LjSC_3_endo	Lj_Gifu_LjSC_3_nod	Lj_Gifu_LjSC_3_rhizo	Lj_Gifu_LjSC_4_endo	Lj_Gifu_LjSC_4_nod	Lj_Gifu_LjSC_4_rhizo	Lj_ccamk_LjSC_1_endo	Lj_ccamk_LjSC_1_rhizo	Lj_ccamk_LjSC_2_endo	Lj_ccamk_LjSC_2_rhizo	Lj_ccamk_LjSC_3_endo	Lj_ccamk_LjSC_3_rhizo	Lj_ccamk_LjSC_4_endo	Lj_ccamk_LjSC_4_rhizo	Lj_nsp1_LjSC_1_endo	Lj_nsp1_LjSC_1_rhizo	Lj_nsp1_LjSC_2_endo	Lj_nsp1_LjSC_2_rhizo	Lj_nsp1_LjSC_3_endo	Lj_nsp1_LjSC_3_rhizo	Lj_nsp1_LjSC_4_endo	Lj_nsp1_LjSC_4_rhizo	Lj_nsp2_LjSC_1_endo	Lj_nsp2_LjSC_1_rhizo	Lj_nsp2_LjSC_2_endo	Lj_nsp2_LjSC_2_rhizo	Lj_nsp2_LjSC_3_endo	Lj_nsp2_LjSC_3_rhizo	Lj_nsp2_LjSC_4_endo	Lj_nsp2_LjSC_4_rhizo	Lj_symrk_LjSC_1_endo	Lj_symrk_LjSC_1_rhizo	Lj_symrk_LjSC_2_endo	Lj_symrk_LjSC_2_rhizo	Lj_symrk_LjSC_3_endo	Lj_symrk_LjSC_3_rhizo	Lj_symrk_LjSC_4_endo	Lj_symrk_LjSC_4_rhizo
LjRoot221	10036	433	7453	5750	374	9283	4780	120	4233	7126	535	5202	6383	8563	2785	4159	12359	13152	8796	9691	9192	7120	7810	11214	7180	5496	751	3388	14120	7075	11249	3204	7716	7908	6014	6910	8529	9768	14263	10089	12263	8887	18128	5879
LjRoot149	6937	430	13119	1825	235	9965	2612	91	8749	2221	433	8052	5161	6009	1685	4755	9348	12525	16370	6244	8196	5217	4698	8479	7946	6794	744	3440	7536	7285	3829	3702	2290	6537	2578	4272	3040	9961	4166	9326	4872	6001	11923	5011
LjRoot223	5481	81	2346	5216	218	2029	1097	19	1725	1043	43	1777	603	1080	3032	608	108	160	46	54	11212	1866	2014	3049	1421	2412	67	638	1149	609	3887	1965	1319	3241	37025	6338	14842	1797	15512	2397	22335	1717	2854	2801
G37_LjNodule209	2353	15676	284	7240	37238	223	15598	34529	128	17337	23350	368	34	23	36	0	0	126	0	37	0	54	52	115	78	61	26	30	0	0	74	32	0	69	0	38	0	0	131	60	213	395	0	0
G21_LjRoot111	3439	171	5089	1831	228	4968	1038	79	5458	972	232	5263	1239	1916	2055	1570	2265	2996	2562	2161	2864	3386	2660	3399	2349	2274	416	1321	4546	3473	2112	1396	1699	3545	4735	3559	8995	3907	10419	3538	7384	3934	4080	2142
LjRoot228	16678	37511	129	8260	21985	484	2264	7901	56	518	10533	567	0	0	0	58	87	0	22	0	369	68	30	0	0	0	0	0	93	74	0	0	60	0	66	36	63	42	43	0	162	107	43	31
G3_LjRoot129	1816	910	1219	842	1753	1569	737	63	1288	641	217	1365	2687	3017	983	1440	4459	5856	5039	3872	1407	1950	1515	4225	1612	2588	182	805	4109	3061	3192	1807	2762	3203	2176	2298	2317	4155	4034	5091	2698	3496	5861	2160
LjRoot196	5409	184	2890	809	75	4568	680	24	3291	1822	168	3505	1384	936	727	2105	2136	5078	1337	658	5628	4909	2967	5297	890	2453	189	1421	1968	3219	994	1801	309	1405	266	1257	1544	3856	1362	1418	4507	3509	1986	4012
G32_LjRoot291	2904	276	1263	1526	145	1385	1487	54	1399	1679	191	1220	1009	1109	854	868	3051	1770	1948	805	3768	1467	2343	2304	4323	1601	361	840	3671	1551	2226	786	1991	1689	2428	1786	2991	1350	2419	1124	3141	1186	2202	1129
LjRoot259	2815	125	3165	986	136	2936	1255	69	3451	1411	143	2756	355	541	704	903	1894	1982	732	512	1866	2041	1772	2621	1856	3226	202	1210	2146	1638	1991	1387	1308	2541	1176	2842	1401	2244	1808	2392	1992	1760	1036	3481
G11_LjRoot25	1412	59	1702	2174	96	1547	392	0	1403	725	144	1152	688	686	468	545	1467	523	795	257	4330	2234	2117	3089	3921	3244	142	1192	1845	862	2298	971	640	2683	2392	2480	3140	1855	4348	2990	3190	1616	1753	1657
