ASVid	Lj_Gifu_LjSC_1_endo	Lj_Gifu_LjSC_1_nod	Lj_Gifu_LjSC_1_rhizo	Lj_Gifu_LjSC_2_endo	Lj_Gifu_LjSC_2_nod	Lj_Gifu_LjSC_2_rhizo	Lj_Gifu_LjSC_3_endo	Lj_Gifu_LjSC_3_nod	Lj_Gifu_LjSC_3_rhizo	Lj_Gifu_LjSC_4_endo	Lj_Gifu_LjSC_4_nod	Lj_Gifu_LjSC_4_rhizo	Lj_ccamk_LjSC_1_endo	Lj_ccamk_LjSC_1_rhizo	Lj_ccamk_LjSC_2_endo	Lj_ccamk_LjSC_2_rhizo	Lj_ccamk_LjSC_3_endo	Lj_ccamk_LjSC_3_rhizo	Lj_ccamk_LjSC_4_endo	Lj_ccamk_LjSC_4_rhizo	Lj_nsp1_LjSC_1_endo	Lj_nsp1_LjSC_1_rhizo	Lj_nsp1_LjSC_2_endo	Lj_nsp1_LjSC_2_rhizo	Lj_nsp1_LjSC_3_endo	Lj_nsp1_LjSC_3_rhizo	Lj_nsp1_LjSC_4_endo	Lj_nsp1_LjSC_4_rhizo	Lj_nsp2_LjSC_1_endo	Lj_nsp2_LjSC_1_rhizo	Lj_nsp2_LjSC_2_endo	Lj_nsp2_LjSC_2_rhizo	Lj_nsp2_LjSC_3_endo	Lj_nsp2_LjSC_3_rhizo	Lj_nsp2_LjSC_4_endo	Lj_nsp2_LjSC_4_rhizo	Lj_symrk_LjSC_1_endo	Lj_symrk_LjSC_1_rhizo	Lj_symrk_LjSC_2_endo	Lj_symrk_LjSC_2_rhizo	Lj_symrk_LjSC_3_endo	Lj_symrk_LjSC_3_rhizo	Lj_symrk_LjSC_4_endo	Lj_symrk_LjSC_4_rhizo
LjRoot221	626	44	523	627	24	688	568	15	328	807	74	429	927	916	773	717	1064	782	678	785	706	662	942	784	789	535	762	700	1146	705	1248	551	1335	776	408	671	709	761	853	813	782	731	951	604
LjRoot149	414	33	993	195	14	703	323	11	759	294	65	676	738	657	460	822	788	794	1290	549	665	503	576	543	899	657	735	730	625	720	434	615	354	601	194	401	272	800	267	724	288	511	623	541
LjRoot223	324	7	160	513	17	127	141	2	140	112	5	148	95	123	826	92	6	9	4	8	942	186	253	200	157	221	49	150	111	53	407	361	203	276	2587	603	1254	142	974	193	1408	149	149	295
G37_LjNodule209	133	1322	24	816	2893	9	1867	3942	10	1929	3112	33	11	1	11	0	0	10	0	3	0	3	8	13	11	4	22	8	0	0	7	6	0	3	0	2	0	0	8	3	13	28	0	0
G21_LjRoot111	216	10	379	183	15	326	129	11	452	109	28	426	167	196	542	260	179	188	196	184	207	337	323	220	258	230	424	226	363	320	197	247	291	355	319	326	726	280	668	281	483	334	203	210
LjRoot228	1020	3252	12	819	1720	32	275	872	7	47	1352	48	0	0	0	7	5	0	0	0	33	5	4	0	0	0	0	0	7	9	0	0	12	0	3	5	6	3	4	0	13	12	3	6
G3_LjRoot129	122	70	70	94	121	102	102	5	124	62	18	116	374	322	277	276	358	365	391	323	120	177	172	253	179	247	213	183	336	300	321	341	438	285	139	206	210	306	260	372	187	332	313	222
LjRoot196	341	13	223	80	6	353	63	1	263	221	17	301	189	98	187	345	196	309	105	69	451	451	350	365	116	239	171	298	173	326	87	335	52	120	22	109	129	284	97	91	289	279	95	424
G32_LjRoot291	175	32	81	171	9	97	148	7	113	181	27	105	173	107	227	130	256	101	140	67	299	138	274	161	510	139	359	194	297	128	248	159	334	172	182	160	254	118	161	98	200	88	96	107
LjRoot259	197	20	235	117	14	213	135	6	290	143	20	248	57	66	206	138	150	127	46	40	153	215	243	185	211	335	197	252	191	139	192	249	204	204	76	280	112	187	118	186	122	140	58	409
G11_LjRoot25	80	6	131	245	9	124	50	0	106	95	18	95	89	59	151	81	148	28	58	23	353	216	237	196	440	319	131	249	138	79	221	167	98	272	154	205	254	149	281	225	201	149	96	173
G8_LjRoot126	142	87	290	175	99	343	96	48	319	99	91	344	75	124	80	226	63	171	80	163	36	166	81	210	89	184	111	216	79	252	64	233	87	229	29	238	42	126	26	131	41	164	112	128
LjRoot17	92	4	169	95	4	195	80	1	104	44	6	159	211	404	83	119	139	295	86	575	71	185	82	215	67	136	132	133	109	193	58	80	82	61	46	107	38	164	26	132	52	245	383	124
G2_LjRoot102	75	0	74	49	0	98	94	0	114	40	12	111	261	209	154	223	203	239	166	196	73	125	151	192	117	161	172	191	135	187	258	288	106	185	129	174	81	159	124	190	112	173	234	108
G16_LjRoot125	115	23	142	79	9	172	113	8	99	62	22	157	334	292	103	124	208	209	308	433	90	104	110	115	103	111	171	120	98	128	159	108	116	92	71	145	36	115	42	104	64	184	289	104
LjRoot82	76	4	405	46	4	217	26	0	311	59	4	201	164	179	90	172	156	130	119	139	94	175	122	163	130	233	127	139	82	120	69	142	61	84	26	102	31	332	39	140	71	171	160	370
G20_LjRoot162	72	7	233	64	4	285	45	0	305	42	9	347	93	84	76	213	123	82	104	90	76	217	118	117	119	153	118	165	147	183	95	143	139	227	114	176	225	166	203	201	67	236	102	131
LjRoot183	40	5	79	46	3	94	98	0	218	56	16	116	314	147	230	204	204	121	482	208	108	105	130	120	126	126	158	97	212	165	249	179	265	174	94	128	87	130	289	196	140	155	140	189
G1_LjRoot134	143	22	131	63	4	79	72	57	94	82	11	74	55	51	53	67	70	45	77	51	64	90	118	129	110	158	105	135	59	69	80	81	91	115	34	96	65	79	86	75	31	59	51	75
LjRoot71	1	0	45	4	0	62	0	0	99	0	4	125	16	267	5	69	12	212	18	241	0	64	6	86	14	45	33	64	4	102	1	58	5	77	2	55	1	56	3	59	4	55	232	40
LjRoot289	81	7	62	36	3	58	60	1	78	85	19	106	4	17	35	95	27	33	45	54	33	134	34	86	25	142	110	128	57	91	15	35	38	80	4	39	40	91	17	63	43	77	5	93
LjRoot3	60	4	48	43	3	45	110	4	30	28	8	33	90	76	68	43	87	57	99	88	38	55	74	42	35	45	65	67	43	35	31	27	34	28	11	19	21	51	47	44	42	55	52	66
G4_LjRoot26	15	3	27	11	3	52	20	0	49	14	3	74	25	54	25	59	19	57	35	83	12	53	31	82	13	44	42	68	26	94	27	55	47	54	24	77	16	42	24	55	20	46	66	26
LjRoot18	20	1	23	4	1	17	15	1	50	11	2	44	1	17	30	62	6	11	0	4	14	39	50	49	25	51	41	39	23	21	68	74	78	66	40	91	21	47	33	121	11	85	20	110
G6_LjRoot130	27	0	22	25	0	41	21	0	33	21	8	50	32	26	44	60	57	35	38	34	25	45	28	42	30	52	57	45	39	68	38	42	31	59	18	56	23	34	31	65	28	41	20	52
G17_LjRoot232	12	2	57	0	0	86	5	0	93	2	4	50	13	24	14	31	40	34	31	21	33	69	38	41	34	33	0	22	27	98	25	32	21	48	58	57	19	34	14	29	17	34	31	44
LjRoot227	40	1	23	35	2	20	52	3	19	37	1	17	7	7	45	26	12	3	2	8	21	34	29	19	39	45	46	22	38	13	66	30	81	25	30	50	35	14	29	14	32	24	11	45
LjRoot219	27	4	20	53	0	39	32	1	13	40	4	34	32	25	12	35	38	25	21	23	17	37	17	15	32	20	32	35	37	21	11	20	29	12	10	21	12	23	15	15	22	19	23	24
LjRoot122	28	0	56	14	0	59	8	0	41	11	0	37	77	155	22	50	67	230	55	201	3	61	11	52	5	33	28	54	18	68	8	39	13	44	18	73	6	33	3	57	10	45	157	35
