Genotype,SampleID,PCo1,PCo2,Compartment,Description,Bio_rep,Rev_barcode,seg_x,seg_y,Host
WT,Lj_Gifu_LjSC_1_endo,0.0822970311480617,-0.140815031248472,Root,Lj_Gifu_LjSC_1_endo,1,B5-R-14,0.153802472736507,-0.233698918223511,Lotus
WT,Lj_Gifu_LjSC_2_endo,0.240388692745745,-0.172126538020302,Root,Lj_Gifu_LjSC_2_endo,2,B5-R-17,0.153802472736507,-0.233698918223511,Lotus
WT,Lj_Gifu_LjSC_3_endo,0.152239175057517,-0.324425801560939,Root,Lj_Gifu_LjSC_3_endo,3,B5-R-20,0.153802472736507,-0.233698918223511,Lotus
WT,Lj_Gifu_LjSC_4_endo,0.140284991994705,-0.29742830206433,Root,Lj_Gifu_LjSC_4_endo,4,B5-R-23,0.153802472736507,-0.233698918223511,Lotus
symrk,Lj_symrk_LjSC_1_endo,0.179432356054439,0.167673654086531,Root,Lj_symrk_LjSC_1_endo,1,B5-R-26,0.057533541855953,0.111818338361385,Lotus
symrk,Lj_symrk_LjSC_2_endo,0.100225000659272,0.157343501570993,Root,Lj_symrk_LjSC_2_endo,2,B5-R-28,0.057533541855953,0.111818338361385,Lotus
symrk,Lj_symrk_LjSC_3_endo,0.14694141275605,0.134459575613998,Root,Lj_symrk_LjSC_3_endo,3,B5-R-30,0.057533541855953,0.111818338361385,Lotus
symrk,Lj_symrk_LjSC_4_endo,-0.196464602045949,-0.0122033778259801,Root,Lj_symrk_LjSC_4_endo,4,B5-R-32,0.057533541855953,0.111818338361385,Lotus
ccamk,Lj_ccamk_LjSC_1_endo,-0.231382804821297,-0.0122312575552765,Root,Lj_ccamk_LjSC_1_endo,1,B5-R-34,-0.16388874884655,0.0140791636047482,Lotus
ccamk,Lj_ccamk_LjSC_2_endo,0.0201687327150945,0.105778365872849,Root,Lj_ccamk_LjSC_2_endo,2,B5-R-36,-0.16388874884655,0.0140791636047482,Lotus
ccamk,Lj_ccamk_LjSC_3_endo,-0.203310403849076,-0.0162886870724587,Root,Lj_ccamk_LjSC_3_endo,3,B5-R-38,-0.16388874884655,0.0140791636047482,Lotus
ccamk,Lj_ccamk_LjSC_4_endo,-0.241030519430923,-0.0209417668261203,Root,Lj_ccamk_LjSC_4_endo,4,B5-R-40,-0.16388874884655,0.0140791636047482,Lotus
nsp1,Lj_nsp1_LjSC_1_endo,0.0493367641647018,0.0918957018769055,Root,Lj_nsp1_LjSC_1_endo,1,B5-R-42,-0.0513342445436912,0.0283011921561732,Lotus
nsp1,Lj_nsp1_LjSC_2_endo,-0.0601668084249081,0.0216140206393293,Root,Lj_nsp1_LjSC_2_endo,2,B5-R-44,-0.0513342445436912,0.0283011921561732,Lotus
nsp1,Lj_nsp1_LjSC_3_endo,-0.0837635306945405,0.00600015287618403,Root,Lj_nsp1_LjSC_3_endo,3,B5-R-46,-0.0513342445436912,0.0283011921561732,Lotus
nsp1,Lj_nsp1_LjSC_4_endo,-0.110743403220018,-0.00630510676772618,Root,Lj_nsp1_LjSC_4_endo,4,B5-R-48,-0.0513342445436912,0.0283011921561732,Lotus
nsp2,Lj_nsp2_LjSC_1_endo,-0.115871352123532,0.0174072518970302,Root,Lj_nsp2_LjSC_1_endo,1,B5-R-74,0.00388697879778123,0.0795002241012039,Lotus
nsp2,Lj_nsp2_LjSC_2_endo,-0.0508476728337588,0.0413878898535793,Root,Lj_nsp2_LjSC_2_endo,2,B5-R-76,0.00388697879778123,0.0795002241012039,Lotus
nsp2,Lj_nsp2_LjSC_3_endo,-0.0735320152967204,0.00869938387208304,Root,Lj_nsp2_LjSC_3_endo,3,B5-R-78,0.00388697879778123,0.0795002241012039,Lotus
nsp2,Lj_nsp2_LjSC_4_endo,0.255798955445136,0.250506370782123,Root,Lj_nsp2_LjSC_4_endo,4,B5-R-80,0.00388697879778123,0.0795002241012039,Lotus
WT,Lj_Gifu_LjSC_1_rhizo,-0.11298760821553,-0.0793388076868821,Rhizosphere,Lj_Gifu_LjSC_1_rhizo,1,B5-R-13,-0.0985088776623931,-0.0920637966107489,Lotus
WT,Lj_Gifu_LjSC_2_rhizo,-0.0576265463233426,-0.0840846754843966,Rhizosphere,Lj_Gifu_LjSC_2_rhizo,2,B5-R-16,-0.0985088776623931,-0.0920637966107489,Lotus
WT,Lj_Gifu_LjSC_3_rhizo,-0.123828297311975,-0.102514795696666,Rhizosphere,Lj_Gifu_LjSC_3_rhizo,3,B5-R-19,-0.0985088776623931,-0.0920637966107489,Lotus
WT,Lj_Gifu_LjSC_4_rhizo,-0.0995930587987245,-0.102316907575051,Rhizosphere,Lj_Gifu_LjSC_4_rhizo,4,B5-R-22,-0.0985088776623931,-0.0920637966107489,Lotus
symrk,Lj_symrk_LjSC_1_rhizo,-0.00278036289680471,-0.0375002615152577,Rhizosphere,Lj_symrk_LjSC_1_rhizo,1,B5-R-25,-0.0064324542756128,0.0180757068918874,Lotus
symrk,Lj_symrk_LjSC_2_rhizo,0.0241172948128142,0.0496574523911145,Rhizosphere,Lj_symrk_LjSC_2_rhizo,2,B5-R-27,-0.0064324542756128,0.0180757068918874,Lotus
symrk,Lj_symrk_LjSC_3_rhizo,0.0224878193520224,-0.00165854961624036,Rhizosphere,Lj_symrk_LjSC_3_rhizo,3,B5-R-29,-0.0064324542756128,0.0180757068918874,Lotus
symrk,Lj_symrk_LjSC_4_rhizo,-0.0695545683704831,0.0618041863079333,Rhizosphere,Lj_symrk_LjSC_4_rhizo,4,B5-R-31,-0.0064324542756128,0.0180757068918874,Lotus
ccamk,Lj_ccamk_LjSC_1_rhizo,0.21564723203344,-0.0195885778668883,Rhizosphere,Lj_ccamk_LjSC_1_rhizo,1,B5-R-33,0.169937200994045,-0.0235252383035421,Lotus
ccamk,Lj_ccamk_LjSC_2_rhizo,-0.00557343854314639,-0.00878872366450043,Rhizosphere,Lj_ccamk_LjSC_2_rhizo,2,B5-R-35,0.169937200994045,-0.0235252383035421,Lotus
ccamk,Lj_ccamk_LjSC_3_rhizo,0.171397129411706,-0.0629706837102345,Rhizosphere,Lj_ccamk_LjSC_3_rhizo,3,B5-R-37,0.169937200994045,-0.0235252383035421,Lotus
ccamk,Lj_ccamk_LjSC_4_rhizo,0.298277881074179,-0.00275296797254539,Rhizosphere,Lj_ccamk_LjSC_4_rhizo,4,B5-R-39,0.169937200994045,-0.0235252383035421,Lotus
nsp1,Lj_nsp1_LjSC_1_rhizo,-0.0535340931308088,0.0260492501264697,Rhizosphere,Lj_nsp1_LjSC_1_rhizo,1,B5-R-41,-0.0402033598064098,0.033329570350339,Lotus
nsp1,Lj_nsp1_LjSC_2_rhizo,0.0104851636256898,0.0358576943415089,Rhizosphere,Lj_nsp1_LjSC_2_rhizo,2,B5-R-43,-0.0402033598064098,0.033329570350339,Lotus
nsp1,Lj_nsp1_LjSC_3_rhizo,-0.0676018808185048,0.0475362868878437,Rhizosphere,Lj_nsp1_LjSC_3_rhizo,3,B5-R-45,-0.0402033598064098,0.033329570350339,Lotus
nsp1,Lj_nsp1_LjSC_4_rhizo,-0.0501626289020153,0.0238750500455337,Rhizosphere,Lj_nsp1_LjSC_4_rhizo,4,B5-R-47,-0.0402033598064098,0.033329570350339,Lotus
nsp2,Lj_nsp2_LjSC_1_rhizo,0.0164820756087054,-0.0304083430606313,Rhizosphere,Lj_nsp2_LjSC_1_rhizo,1,B5-R-73,-0.0247925092496291,0.0641837576720647,Lotus
nsp2,Lj_nsp2_LjSC_2_rhizo,-0.0266837612423722,0.0632132860099161,Rhizosphere,Lj_nsp2_LjSC_2_rhizo,2,B5-R-75,-0.0247925092496291,0.0641837576720647,Lotus
nsp2,Lj_nsp2_LjSC_3_rhizo,-0.0381450030425189,0.0889739589436724,Rhizosphere,Lj_nsp2_LjSC_3_rhizo,3,B5-R-77,-0.0247925092496291,0.0641837576720647,Lotus
nsp2,Lj_nsp2_LjSC_4_rhizo,-0.0508233483223306,0.134956128795301,Rhizosphere,Lj_nsp2_LjSC_4_rhizo,4,B5-R-79,-0.0247925092496291,0.0641837576720647,Lotus
