feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Pseudomonadales	Genotype	symrk	1.75690877195821	0.275742414372892	20	20	1.25524695515962e-05	0.000401679025651078
Rhizobiales	Genotype	symrk	-1.33863476352539	0.278256309663239	20	20	0.000228988027631117	0.00359071206156163
Rhizobiales	Genotype	ccamk	-1.24397958531109	0.278256309663239	20	20	0.000448839007695204	0.00359071206156163
Rhizobiales	Genotype	nsp1	-1.25938803261228	0.278256309663239	20	20	0.000401934950332881	0.00359071206156163
Rhizobiales	Genotype	nsp2	-1.18186001480739	0.278256309663239	20	20	0.000702430926993541	0.00449555793275867
Pseudomonadales	Genotype	nsp1	1.03311607993395	0.275742414372893	20	20	0.00194415284514	0.00888755586349716
Pseudomonadales	Genotype	nsp2	1.04493433122223	0.275742414372893	20	20	0.00178094770900631	0.00888755586349716
Flavobacteriales	Genotype	ccamk	1.43792466655211	0.392732583887478	20	20	0.00231543798903488	0.00926175195613952
Burkholderiales	Genotype	symrk	0.873295266787463	0.263933253921969	20	20	0.00477227883898629	0.0152712922847561
Flavobacteriales	Genotype	nsp1	1.31637695579706	0.392732583887478	20	20	0.00436881624662794	0.0152712922847561
Pseudomonadales	Genotype	ccamk	0.857281750051098	0.275742414372892	20	20	0.00718399891002093	0.0208989059200609
Burkholderiales	Genotype	nsp2	0.768636527730317	0.263933253921969	20	20	0.0107250997603107	0.0286002660274952
Xanthomonadales	Genotype	ccamk	1.16096918513435	0.471116325837865	20	20	0.0262920964243446	0.064719006583002
Burkholderiales	Genotype	ccamk	0.602532629496806	0.263933253921969	20	20	0.0374404250813427	0.0839863795178436
Caulobacterales	Genotype	nsp1	0.572184142383934	0.253535551873154	20	20	0.0393686153989892	0.0839863795178436
Burkholderiales	Genotype	nsp1	0.578749964683795	0.263933253921969	20	20	0.0445035313326236	0.0890070626652473
Actinomycetales	Genotype	nsp2	-2.59496426224256	1.25890677258527	20	17	0.0570520251289946	0.107392047301637
Actinomycetales	Genotype	nsp1	-2.42876753951899	1.25890677258527	20	17	0.0728364091338985	0.129486949571375
Sphingomonadales	Genotype	nsp2	0.401588027857622	0.222457023924495	20	20	0.0911457397448475	0.153508614307112
Actinomycetales	Genotype	symrk	-1.74390555596633	1.25890677258527	20	17	0.186230609483038	0.283779976355106
Actinomycetales	Genotype	ccamk	-1.77565939512957	1.25890677258527	20	17	0.178799248594162	0.283779976355106
Sphingomonadales	Genotype	symrk	-0.275002520518903	0.222457023924495	20	20	0.23539094678244	0.34238683168355
Xanthomonadales	Genotype	nsp2	0.474190555596393	0.471116325837865	20	20	0.330124579585803	0.459303762901987
Caulobacterales	Genotype	nsp2	0.206916887487537	0.253535551873154	20	20	0.427199185140117	0.525783612480144
Flavobacteriales	Genotype	nsp2	0.326499441812616	0.392732583887478	20	20	0.418812041489157	0.525783612480144
Xanthomonadales	Genotype	nsp1	0.395196466363538	0.471116325837865	20	20	0.414721646486033	0.525783612480144
Flavobacteriales	Genotype	symrk	0.279231301379117	0.392732583887477	20	20	0.487996086946321	0.578365732677122
Sphingomonadales	Genotype	nsp1	0.059366433929764	0.222457023924495	20	20	0.793205548094037	0.906520626393185
Caulobacterales	Genotype	symrk	-0.03750757157849	0.253535551873154	20	20	0.884361926102698	0.943319387842878
Sphingomonadales	Genotype	ccamk	-0.0346404917726141	0.222457023924495	20	20	0.878331803435476	0.943319387842878
Caulobacterales	Genotype	ccamk	0.00914316606161416	0.253535551873154	20	20	0.971707944821707	0.994933760716097
Xanthomonadales	Genotype	symrk	-0.00304165475180162	0.471116325837865	20	20	0.994933760716097	0.994933760716097
