feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Pseudomonadales	Genotype	symrk	1.75690877195821	0.275742414372893	20	20	1.25524695515963e-05	0.000401679025651082
Rhizobiales	Genotype	symrk	-1.33863476352539	0.278256309663239	20	20	0.000228988027631117	0.00359071206156162
Rhizobiales	Genotype	ccamk	-1.24397958531109	0.278256309663239	20	20	0.000448839007695203	0.00359071206156162
Rhizobiales	Genotype	nsp1	-1.25938803261228	0.278256309663239	20	20	0.00040193495033288	0.00359071206156162
Rhizobiales	Genotype	nsp2	-1.18186001480739	0.278256309663239	20	20	0.000702430926993537	0.00449555793275864
Pseudomonadales	Genotype	nsp1	1.03311607993395	0.275742414372893	20	20	0.00194415284514001	0.00888755586349718
Pseudomonadales	Genotype	nsp2	1.04493433122223	0.275742414372893	20	20	0.00178094770900632	0.00888755586349718
Flavobacteriales	Genotype	ccamk	1.43792466655211	0.392732583887478	20	20	0.00231543798903486	0.00926175195613945
Burkholderiales	Genotype	symrk	0.873295266787464	0.263933253921969	20	20	0.00477227883898627	0.0152712922847561
Flavobacteriales	Genotype	nsp1	1.31637695579706	0.392732583887478	20	20	0.00436881624662792	0.0152712922847561
Pseudomonadales	Genotype	ccamk	0.857281750051097	0.275742414372893	20	20	0.00718399891002098	0.020898905920061
Burkholderiales	Genotype	nsp2	0.768636527730317	0.263933253921969	20	20	0.0107250997603106	0.028600266027495
Xanthomonadales	Genotype	ccamk	1.16096918513435	0.471116325837865	20	20	0.0262920964243445	0.0647190065830018
Burkholderiales	Genotype	ccamk	0.602532629496807	0.263933253921969	20	20	0.0374404250813426	0.0839863795178438
Caulobacterales	Genotype	nsp1	0.572184142383934	0.253535551873154	20	20	0.0393686153989893	0.0839863795178438
Burkholderiales	Genotype	nsp1	0.578749964683796	0.263933253921969	20	20	0.0445035313326235	0.089007062665247
Actinomycetales	Genotype	nsp2	-2.59496426224256	1.25890677258527	20	17	0.0570520251289946	0.107392047301637
Actinomycetales	Genotype	nsp1	-2.42876753951899	1.25890677258527	20	17	0.0728364091338985	0.129486949571375
Sphingomonadales	Genotype	nsp2	0.401588027857622	0.222457023924495	20	20	0.0911457397448473	0.153508614307111
