"","ASVid","Lfc_symrk","Lfc_ccamk","Lfc_nsp1","Lfc_nsp2","DA_symrk","DA_ccamk","DA_nsp1","DA_nsp2","kingdom","phylum","class","order","family","genus","Lj_Gifu_LjSC_1_endo","Lj_Gifu_LjSC_2_endo","Lj_Gifu_LjSC_3_endo","Lj_Gifu_LjSC_4_endo","Lj_symrk_LjSC_1_endo","Lj_symrk_LjSC_2_endo","Lj_symrk_LjSC_3_endo","Lj_symrk_LjSC_4_endo","Lj_ccamk_LjSC_1_endo","Lj_ccamk_LjSC_2_endo","Lj_ccamk_LjSC_3_endo","Lj_ccamk_LjSC_4_endo","Lj_nsp1_LjSC_1_endo","Lj_nsp1_LjSC_2_endo","Lj_nsp1_LjSC_3_endo","Lj_nsp1_LjSC_4_endo","Lj_nsp2_LjSC_1_endo","Lj_nsp2_LjSC_2_endo","Lj_nsp2_LjSC_3_endo","Lj_nsp2_LjSC_4_endo"
"1","G1_LjRoot134",-0.620553415145948,-0.44315951356982,0.389471971939616,-0.464442737901379,0,0,0,0,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax",0.0284730223322629,0.010544400300655,0.0159077024296255,0.0152230617017449,0.0113411310662356,0.0173315027773229,0.00763908179499482,0.00866585016930313,0.0113827260615189,0.00947633654688869,0.0138898230981368,0.0142069583211081,0.0135748784518862,0.0242315784382482,0.0248847926267281,0.0259792166266986,0.0126750723576965,0.0143904830938473,0.0161575696878651,0.00680709503375592
"2","G11_LjRoot25",1.03096041882905,0.0875307366374205,1.55144472605844,0.786465998810718,0,0,0,0,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Herbaspirillum",0.0173068908881426,0.0466874261784602,0.00921095916161474,0.0163023925166397,0.0531509724596713,0.0547655334853199,0.0402787949190636,0.0180418472052119,0.0199270115275445,0.025635407537248,0.0246687294006861,0.0122766650709576,0.0694789878211197,0.0511958598341032,0.0881420703607958,0.0283772981614708,0.0306896437007219,0.04899160022172,0.0213653814054415,0.0334344380302755
"3","G12_LjRoot70",-0.0180344828821764,0.152481862475568,0.0510903612329478,-0.763813484396267,0,0,0,0,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Pseudoduganella",0.00365258745372981,0.00188983141844733,0,0.0033504227379025,0,0.00214124670940763,0.00297987322912195,0.00344781449728806,0.0029832589932225,0,0.00644043855518935,0.00183763917414334,0.00336965067954622,0.00860922347706222,0,0,0.00329352273861406,0,0,0
"4","G14_LjRoot22",-1.09534970265772,-2.87791763482477,-0.680834488413275,0.0654270877469352,0,-1,0,0,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia",0.00557693721962101,0.00191130677547514,0.00392405658160628,0.00395754632128081,0.00162499788411734,0.00531533006688247,0.00146468345160231,0.000627810998013647,0,0.00175284837861525,0.00047084146095379,0.000370616304028908,0.00128367644935094,0.00224903871732243,0.00269753849612229,0.00319744204636291,0.00201270834026415,0.00349635441094956,0.00460691036554832,0.00612219224801867
"5","G15_LjRoot29",-0.178098013361333,-Inf,-1.56498130399246,-1.27443830522423,0,-1,0,0,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia",0.00041673816586179,0.000214753570278106,0.000234973448000376,0.000359776938298255,0.000203124735514667,0.000705351857216631,0.000391424025859239,8.23358685919537e-05,0,0,0,0,9.62757337013206e-05,0.000604580300355493,0,0,0,0.000405065450049034,0,0.000321484981060341
"6","G16_LjRoot125",-0.187124099936722,1.28525748588313,0.28652632128367,0.185382633553628,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Pseudoxanthomonas",0.0254700561370823,0.017352088478471,0.023144884628037,0.0112205432631768,0.00870050950454492,0.00982454372551736,0.0131821510644208,0.0606300752343999,0.0670509181486416,0.0208150744960561,0.0415685746956346,0.0698302886174468,0.0157410824601659,0.0243041280742908,0.0196470720467573,0.0335731414868106,0.0212415582687381,0.0279495160533834,0.0237689868135537,0.0136002124596397
"7","G17_LjRoot232",1.23637679543368,1.51545931845169,1.3670578031372,2.09475059253759,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",0.00326036329762459,0,0.00117486724000188,0.00179888469149128,0.00247135094876179,0.00283400299774539,0.00299249981060128,0.00594876650576866,0.0029253316341308,0.00284837861524978,0.00595278132777292,0.00545114813842519,0.0061776929125014,0.00715823075620904,0.00690120265257952,0,0.00538940084500482,0.00545772395855541,0.0057085628442664,0.00802314691863634
"8","G2_LjRoot102",0.861804146479346,1.62217432504585,0.982712317663673,1.1351046307001,0,1,0,0,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax",0.0170862648003334,0.00996456566090411,0.0152732741200244,0.0094441446303292,0.0148111786312778,0.0219036942803522,0.0201015177150938,0.0410753064438109,0.0496727104211319,0.0336327782646801,0.0422916526535279,0.0312244236144355,0.0163187368623738,0.0292375033251917,0.0222996515679443,0.0349720223820943,0.0245517149605775,0.0522108045878992,0.0203304957436154,0.0219308667514642
"9","G20_LjRoot162",1.44029103560145,0.87069490051154,1.07744616061617,1.15558669125784,1,0,1,1,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",0.0123305469075577,0.011682594223129,0.00932844588561493,0.00793757870120525,0.0437056722582393,0.0428753164636681,0.0157706002676835,0.019575352757737,0.0195215200139026,0.0148992112182296,0.0206833927490415,0.0198279722655466,0.0155645769483802,0.0251021740707601,0.0205462515454648,0.0261790567545963,0.0273462191024319,0.0170553873704857,0.0249707895176097,0.0225598591057126
"10","G21_LjRoot111",1.61704939321826,0.695969357858043,0.971495234356276,0.963593974327002,1,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",0.0421518397764322,0.0393213787179212,0.024390243902439,0.021856449001619,0.152258916329536,0.13123323214893,0.0932346776433748,0.0419912929818964,0.0358859989573075,0.112565731814198,0.0380877110378691,0.0395632904550859,0.0459556168867637,0.0643273439578245,0.0528043160615938,0.0831334932054357,0.0756179513623208,0.0450262226580821,0.056718410949758,0.0661839732748137
