ASV_ID,Lfc_symrk,Lfc_ccamk,Lfc_nsp1,Lfc_nsp2,DA_symrk,DA_ccamk,DA_nsp1,DA_nsp2,kingdom,phylum,class,order,family,genus,Lj_Gifu_LjSC_1_rhizo,Lj_Gifu_LjSC_2_rhizo,Lj_Gifu_LjSC_3_rhizo,Lj_Gifu_LjSC_4_rhizo,Lj_symrk_LjSC_1_rhizo,Lj_symrk_LjSC_2_rhizo,Lj_symrk_LjSC_3_rhizo,Lj_symrk_LjSC_4_rhizo,Lj_ccamk_LjSC_1_rhizo,Lj_ccamk_LjSC_2_rhizo,Lj_ccamk_LjSC_3_rhizo,Lj_ccamk_LjSC_4_rhizo,Lj_nsp1_LjSC_1_rhizo,Lj_nsp1_LjSC_2_rhizo,Lj_nsp1_LjSC_3_rhizo,Lj_nsp1_LjSC_4_rhizo,Lj_nsp2_LjSC_1_rhizo,Lj_nsp2_LjSC_2_rhizo,Lj_nsp2_LjSC_3_rhizo,Lj_nsp2_LjSC_4_rhizo
G11_LjRoot25,0.581816937776018,-1.28247217397538,1.08382017438899,0.577281415761401,0,-1,0,0,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Herbaspirillum,0.0257212374000695,0.0218709795993384,0.0235477752974942,0.0195241000610128,0.028795405153679,0.046308485758979,0.0278486248018198,0.0349519068511644,0.0143960379417443,0.0186114810640986,0.00624090117180974,0.00441732554142317,0.0423138116523979,0.0401868186194156,0.0634027167008697,0.0484021602306412,0.0162693694203801,0.0348791264054025,0.049036809591695,0.0460615516056537
G12_LjRoot70,-0.696582150288398,-1.36260412708947,0.104782066373889,-0.742554592318156,0,0,0,0,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Pseudoduganella,0.00755618019978541,0.00381717161720838,0.0104563535355231,0.00928750593180123,0.00398944427196523,0.0028962163334211,0.007858275315365,0.00447181910226122,0.00465877612692017,0,0.00727906255220639,0,0.0109477990756876,0.0131007207347852,0.00584383856151666,0.0044666423031632,0.00698337202498915,0.00585509536980495,0.00318017326461235,0.00274883453130514
G14_LjRoot22,0.854996770127146,-1.24348209120317,0.00268905821160042,0.534757812514304,0,0,0,0,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,0.00167747200435236,0.00159755701016499,0.00256793273023279,0.00174564436309403,0.00173859049984477,0.00444499512134682,0.00360170951954229,0.00461947350658117,0.000608578863426509,0.00180992384660042,0.000560845803202788,0.000618769336541767,0.00143950299265096,0.00123591705045144,0.00232580865826248,0.00292362041661591,0.00120793462053866,0.00240669564280326,0.00303395840187155,0.00599914563251054
G15_LjRoot29,1.53582183663801,-1.51212951301106,1.07590067178431,0.954738235759567,1,-1,0,0,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,0.000483595532786266,0.000381717161720838,0.000402812977291418,0.000305064063453325,0.000651971437441788,0.00094475506063469,0.00132694561246295,0.00196169422882214,0,0.000239046545777414,0.000178993341447698,0,0.000909159784832184,0.000689511617620274,0.00117267663441806,0.000609087586794981,0.000434101504256082,0.00107762491468803,0.00058485945096319,0.00117011199643394
G16_LjRoot125,-0.176761176043248,0.828250743204255,-0.306560188259194,-0.288022834094866,0,0,0,0,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Pseudoxanthomonas,0.0281089903432017,0.032134929947832,0.0204595424715933,0.0307606263982103,0.0245731139397703,0.0223953412734059,0.0318122285793065,0.0198911576105299,0.0607109879963066,0.0253389338524058,0.0430180663945968,0.0853729804056377,0.02288052125161,0.0252127078292093,0.020736831818626,0.0203029195598327,0.0239510786478682,0.0200797442436869,0.0176554446759513,0.0301257406066009
G17_LjRoot232,-0.923716497482646,-1.2042520129714,-0.751156497300857,-0.338034508571491,0,-1,0,0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,0.00959634885372746,0.0148869693071127,0.0183951259629748,0.0126771066368382,0.00797888854393046,0.00580792045472145,0.00792720755497346,0.00700303746203173,0.00631662889280618,0.00618106068367312,0.00701653898474977,0.00431419731866621,0.0136942192590348,0.00776676293810007,0.00662562298446203,0.00588784667235148,0.0221203027386143,0.00675311613204497,0.00901049091640165,0.00969521368473839
G1_LjRoot134,-0.323598298710713,-0.677017005183498,0.435911807011878,-0.0489856699829271,0,0,0,0,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,0.0250865182632875,0.0151273097422702,0.0179587452375757,0.0140159989153278,0.0140329090344613,0.0137376678489011,0.0129247949265872,0.0156302733715829,0.00862503147821707,0.0165283611651812,0.0103935466933963,0.00986593331041595,0.0159292370634139,0.0251086306039081,0.0285742206586534,0.0279774231534495,0.0140799879206538,0.0152663529580804,0.0223160434258142,0.0173845210898757
G20_LjRoot162,-0.544935707614564,-1.3464433371395,-0.710135595782657,-0.660476750837344,0,-1,0,0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,0.0430702271387768,0.0569041324417175,0.0586764236921166,0.0679275981289404,0.036230984166408,0.0451314138801555,0.0466498931550286,0.028265271684104,0.0181524385125493,0.0384181948570843,0.019128421756044,0.0175146098315572,0.0411205394348057,0.0278796867275518,0.0312518323072413,0.0380476712551265,0.0378234528056169,0.0272279895111175,0.0453814380231751,0.0334874909455619
G21_LjRoot111,-0.529073043581818,-0.986641701778352,-0.676509138356357,-0.412142692384106,-1,-1,-1,0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,0.0769068020734159,0.0702359577566341,0.0916063845856901,0.0891973425530473,0.0606488668115492,0.054795793516812,0.0677948576549252,0.0451822477219035,0.040208175942248,0.0536147252672199,0.0357509367318202,0.0371433482296322,0.0641336464883703,0.0442198110998361,0.0444444444444444,0.053640313477078,0.0655493271426684,0.0501454793634829,0.0647914610520159,0.0661020411953716
G22_LjRoot238,0.310874190005079,0.325947365068695,0.0726183149277134,0.0808815656961864,0,0,0,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,0.00321893276510858,0.0036757948906451,0.00532048807505749,0.00262694054640363,0.00420676808444582,0.00662877321232208,0.00449782863445233,0.00312183597705029,0.0048056744732645,0.00426868831745381,0.0048447531085177,0.00410794087315229,0.00340934919312069,0.00405901178674577,0.00304895924948695,0.00479148901612052,0.00318970235735991,0.00427457882826251,0.00336294184303834,0.00451328912910236
