feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
LjRoot58	Genotype	symrk	-1.31051036735257	0.118721853314878	20	4	1.34172376639297e-08	9.92875587130795e-07
LjRoot58	Genotype	ccamk	-1.31051036735257	0.118721853314878	20	4	1.34172376639296e-08	9.92875587130795e-07
LjRoot58	Genotype	nsp1	-1.31051036735257	0.118721853314878	20	4	1.34172376639295e-08	9.92875587130795e-07
LjRoot58	Genotype	nsp2	-1.31051036735257	0.118721853314878	20	4	1.34172376639296e-08	9.92875587130795e-07
LjRoot237	Genotype	ccamk	1.41956837205607	0.164194843659085	20	20	3.26896567894776e-07	1.93522768193707e-05
G8_LjRoot126	Genotype	symrk	-1.18074315037631	0.142657421720758	20	20	5.65007933221291e-07	2.78737247055837e-05
G3_LjRoot129	Genotype	symrk	1.5235048139243	0.19362704327836	20	20	1.05587034241538e-06	3.90672026693689e-05
G3_LjRoot129	Genotype	ccamk	1.53668513063566	0.19362704327836	20	20	9.50033128663938e-07	3.90672026693689e-05
G8_LjRoot126	Genotype	ccamk	-1.03608329735743	0.142657421720759	20	20	2.77322025032436e-06	9.12081326773345e-05
G7_LjRoot117	Genotype	nsp1	1.90486021193439	0.265148907157589	20	20	3.15473898297636e-06	9.33802738961002e-05
G3_LjRoot129	Genotype	nsp2	1.3797051491255	0.19362704327836	20	20	3.47433650439386e-06	9.34912368455076e-05
G2_LjRoot102	Genotype	ccamk	1.12489731858867	0.169070030459474	20	20	7.69552332639748e-06	0.000175221146508743
LjRoot237	Genotype	nsp1	1.09366836935431	0.164194843659085	20	20	7.59899946098626e-06	0.000175221146508743
G2_LjRoot102	Genotype	nsp2	1.11488231720862	0.169070030459474	20	20	8.52115671160355e-06	0.000180161599045332
LjRoot89	Genotype	nsp1	-2.26052462770341	0.34752578971289	20	19	9.95013640411161e-06	0.000196349358374469
G21_LjRoot111	Genotype	ccamk	-0.986641701778351	0.163447433973102	20	20	2.27786829898275e-05	0.000421405635311808
LjRoot237	Genotype	nsp2	0.979767143508615	0.164194843659085	20	20	2.58179366684408e-05	0.000449535838462264
G20_LjRoot162	Genotype	ccamk	-1.3464433371395	0.252947594624348	20	20	8.52419525403661e-05	0.00140175655288602
G3_LjRoot129	Genotype	nsp1	1.00961507328525	0.19362704327836	20	20	0.000104862209959175	0.0016336428498903
G2_LjRoot102	Genotype	nsp1	0.822883893503437	0.169070030459474	20	20	0.000205093774434112	0.00303538786162485
G8_LjRoot126	Genotype	nsp1	-0.684416212735712	0.142657421720759	20	20	0.000234981015442255	0.00331211336051941
LjRoot82	Genotype	nsp2	-1.40125493764461	0.310993079767252	20	20	0.000418480848955071	0.00563046960412277
LjRoot221	Genotype	ccamk	0.712297279330347	0.159150303177892	20	20	0.000444381353673532	0.00571899481249414
G6_LjRoot130	Genotype	nsp2	1.03373638646284	0.237304707773928	20	20	0.000564395411186452	0.00696087673796624
LjRoot259	Genotype	ccamk	-1.5509593071967	0.370367283651703	20	20	0.000792470376162296	0.00938284925376159
