feature	LjRoot221	LjRoot149	LjRoot223	G37_LjNodule209	G21_LjRoot111	LjRoot228	G3_LjRoot129	LjRoot196	G32_LjRoot291	LjRoot259	G11_LjRoot25	G8_LjRoot126	LjRoot17	G2_LjRoot102	G16_LjRoot125	LjRoot82	G20_LjRoot162	LjRoot183	G1_LjRoot134	LjRoot71	LjRoot289	LjRoot3	G4_LjRoot26	LjRoot18	G6_LjRoot130	G17_LjRoot232	LjRoot227	LjRoot219	LjRoot122	LjRoot243	G12_LjRoot70	G29_LjRoot226	G22_LjRoot238	LjRoot237	G7_LjRoot117	LjRoot10	LjRoot229	G5_LjRoot105	LjRoot11	G36_LjRoot142	G14_LjRoot22	LjRoot285	LjRoot240	LjRoot248	G35_LjRoot145	LjRoot89	LjRoot1	G30_LjRoot2	LjRoot277	LjRoot152	G33_LjRoot104	G27_LjRoot78	LjRoot30	LjRoot295	LjRoot296	LjRoot257	G9_LjRoot131	G24_LjRoot12	LjRoot244	G15_LjRoot29	LjRoot230	LjRoot258	LjRoot8	LjRoot220	G34_LjRoot233	LjRoot80	LjRoot247	LjRoot58	LjRoot261	G31_LjRoot101	LjRoot28	G25_LjRoot27	LjRoot288	LjRoot100
Lj_Gifu_LjSC_1_rhizo	-3.15030591747485	-2.33454132799394	-4.81792416376779	-7.86416434229162	-3.7007449858191	-9.00268420637305	-5.76242905117609	-4.51705768440826	-5.71127253800875	-4.3859216774806	-5.28089614011034	-4.23378184217099	-4.92976745118116	-6.0670051873399	-5.15282455580091	-3.71498972082655	-4.53716525785683	-5.93576065406165	-5.31694393556201	-6.95591973903712	-6.23583433226094	-6.90800295322514	-7.49427520895309	-7.45166903757523	-7.95321553010875	-6.70329868013677	-7.92115432087645	-7.78509277130042	-6.71470344340902	-8.554479843159	-7.04812717713421	-8.17470767369936	-8.27920184157046	-9.11909369848836	-9.44405585346535	-8.18736297450539	-10.1559304666687	-9.19373249938111	-8.02522677502413	-8.37005527202158	-9.21949559544619	-10.7583723947397	-9.80445809616735	-8.65635945717822	-10.9067812963895	-9.96951734243785	-9.35569997904451	-9.96951734243785	-9.32741093461308	-10.1312684124345	-12.0210247298833	-9.16842141085193	-10.3992016176811	-12.843986460354	-9.90538700501813	-10.4903495057393	-9.52205836546663	-10.2325517482716	-11.3700552720216	-11.0139114617963	-12.3134717436552	-11.6390717749128	-12.6919833669089	-13.8952654362885	-12.0139114617963	-14.0579071345008	-11.926448620546	-10.6215940390175	-14.0171066631399	-11.7659839483527	-14.0327689600384	-14.6565812808403	-16.9752210402702	-14.9785093757276
Lj_Gifu_LjSC_2_rhizo	-2.92972042807279	-2.82744174147452	-5.12354268144428	-8.30919593128064	-3.83164637298046	-7.19123259392635	-5.49446619423284	-3.9527488958381	-5.67442557026439	-4.59045957835773	-5.51483834975191	-3.88669741648931	-4.61024994411774	-5.70921639491876	-4.9597138623831	-4.40749022909069	-4.1353227633116	-5.50276551745133	-6.04670074991243	-6.32546098564342	-6.16318955674454	-6.82469361233869	-6.65066421256365	-7.51763879393286	-7.22135258230268	-6.06980611017523	-7.82007698426832	-7.54024022287	-6.33366279875621	-8.63436240023455	-8.03328023415011	-8.04400664074317	-8.08772801817249	-9.15589952081407	-9.08772801817249	-7.98081281425598	-9.60230119100225	-8.85270798850829	-8.06024728175038	-8.42359530401772	-9.28991686878575	-10.7583723947397	-8.74377361695513	-9.63436240023455	-10.9067812963895	-9.57093702009291	-9.28991686878575	-10.132815907701	-8.65066421256365	-9.42359530401772	-10.6506642125636	-9.54024022287	-9.63436240023455	-11.7881677363136	-10.1558995208141	-9.88127714070506	-10.631097954076	-10.3287361176763	-12.4096561130599	-11.3552083290375	-11.4662396414262	-11.6390717749128	-12.7881677363136	-13.8952654362885	-11.7881677363136	-12.2032052355924	-11.5865338751439	-9.78816773631358	-14.0171066631399	-12.5251333304798	-14.0327689600384	-14.6565812808403	-16.9752210402702	-14.9785093757276
Lj_Gifu_LjSC_3_rhizo	-3.81509994403354	-2.76766230460055	-5.11018407079907	-8.86256471735196	-3.44840803807782	-10.0552097952944	-5.53164783923734	-4.17825440622761	-5.41238447018721	-4.10976595891645	-5.40826542373206	-3.9478058784101	-5.56679578293145	-5.40313309871466	-5.61108230673175	-4.02967470318722	-4.09107524785136	-4.5887691181377	-5.79916963606345	-5.32340590624393	-6.0536005424327	-7.2738500817697	-6.89389792415675	-7.07466215796053	-7.22594009680831	-5.76453263439143	-8.23320809727235	-8.12785509712612	-7.03919747730573	-8.58644031207772	-6.57947636432796	-8.61463720390838	-7.55422568721255	-9.27760221663081	-9.19013937538047	-7.92005021201272	-9.33900276129495	-8.73328170040699	-8.10101348490748	-8.61463720390838	-8.60517687465931	-9.63374602685608	-8.56794396846033	-8.07466215796053	-10.9067812963895	-9.84019690432351	-9.77510187610162	-9.61463720390838	-8.95567412174344	-9.27760221663081	-10.4031330987147	-10.0552097952944	-10.9083684069651	-11.1076772151885	-10.2187085275772	-9.16212499921087	-10.631097954076	-10.1346442627888	-10.9556741217434	-11.2776022166308	-11.2776022166308	-11.6390717749128	-11.1621249992109	-12.4031330987147	-12.1621249992109	-11.5406366224646	-11.6926397159096	-10.5406366224646	-14.0171066631399	-14.1082794130339	-14.0327689600384	-14.6565812808403	-16.9752210402702	-14.9785093757276
Lj_Gifu_LjSC_4_rhizo	-3.50367445659878	-2.87339368362043	-5.05329717451309	-7.32496318448476	-3.486855461049	-6.70132021559954	-5.43383990473456	-4.07332641164379	-5.59585970809152	-4.42016496783748	-5.67860013909946	-3.84290059134789	-5.07044801100641	-5.49207317032002	-5.02277130765866	-4.61071766681864	-3.87985834734656	-5.3025953714563	-6.1567816213705	-5.37888332330226	-5.39525450653115	-7.32496318448476	-6.26732455861681	-6.94163454493325	-6.94163454493325	-6.30163068065413	-7.98433899588749	-7.36470936327752	-6.95067968453626	-8.71924212359681	-6.75049305758124	-8.1831892233566	-8.57240073526753	-9.04117021848417	-8.75049305758125	-8.20466895076705	-9.29393628886413	-8.77170954349094	-8.51760826242715	-8.48220292629595	-9.16202461335855	-9.27866953221082	-9.60059762709819	-9.782435950084	-10.9067812963895	-9.87124521704185	-9.52659704565441	-9.782435950084	-9.08034081576485	-9.9905441454142	-12.0210247298833	-9.30936632943374	-10.9416345449333	-11.2635626398206	-10.015635126377	-10.0671654270171	-10.631097954076	-10.6005976270982	-11.204668950767	-11.6786001390995	-11.5265970456544	-10.6390717749128	-10.8041310211833	-12.1480854224007	-13.1678661182126	-11.456207717763	-11.5265970456544	-10.2939362888641	-14.0171066631399	-14.1082794130339	-14.0327689600384	-12.6786001390995	-16.9752210402702	-14.9785093757276
Lj_symrk_LjSC_1_rhizo	-2.72137355528277	-2.69314617168609	-5.16384634676024	-12.0166871901886	-4.0433755000865	-10.5829036174914	-3.95458827861247	-4.06233170404022	-5.57647734833198	-4.84336407966138	-5.11801756876201	-5.26699931023182	-4.8166113520557	-5.14549830518412	-5.346775500133	-3.97592565324677	-4.78663219456283	-5.23459699578076	-6.15504207785499	-6.59367808908559	-5.90510009579335	-6.86147887422099	-6.89307199891631	-6.73204705679723	-7.06233170404022	-6.9695964910763	-7.97522104027018	-7.86147887422099	-6.94731504370029	-8.39779221223443	-7.9695964910763	-8.28872051308696	-7.89307199891631	-8.28173408277085	-8.58290361749142	-8.45952120198613	-9.49948760930378	-8.87718895730965	-8.68060029137855	-8.49948760930378	-9.16786611821257	-9.46742640007148	-9.26097552260405	-9.78539648139016	-9.30279569829868	-9.72729352682659	-9.19386132674552	-9.24730058570698	-9.08040327696223	-9.19386132674552	-11.0210247298833	-9.56583010413248	-10.360511196155	-10.6898188214079	-10.4206321885925	-10.5157894216329	-10.631097954076	-11.0683304446617	-12.1678661182126	-10.5829036174914	-10.6176690356521	-11.6390717749128	-11.4516590842132	-13.8952654362885	-12.1678661182126	-12.390258539549	-12.1678661182126	-11.6215940390175	-14.0171066631399	-11.8877581990198	-11.1678661182126	-13.390258539549	-15.9752210402702	-14.9785093757276
Lj_symrk_LjSC_2_rhizo	-2.6780138114799	-2.79146666138774	-4.7514951820785	-10.0716187801191	-4.18979104303718	-11.5829036174914	-3.66477602546382	-5.50886755848812	-5.84408305550671	-4.75450770152953	-4.43257960664217	-5.02649621083815	-5.4687343714007	-4.64479494963367	-5.48065753877652	-5.30962439146139	-4.46972421366312	-4.7831371683249	-6.18571908142657	-6.23535798161514	-6.22028616100091	-6.73533539225469	-6.74010463640256	-5.29376075530601	-6.47667219082534	-7.42776259034439	-7.97288482653376	-8.28502241822831	-6.80608186708215	-8.02431306534076	-8.43161491584	-9.04777203816475	-7.23704238932649	-8.43935056461961	-8.27806965758655	-7.82369126667553	-9.1456193615629	-7.87522156731562	-8.74010463640256	-8.38605233845956	-7.81360244905195	-10.7583723947397	-9.17115445367003	-9.62095737110955	-9.34915275564803	-10.17115445367	-9.25058892116444	-9.15833041331245	-9.07161878011912	-11.4549474196706	-9.45494741967062	-8.69310715686539	-10.2236218735642	-9.95614156269918	-9.78868481684762	-9.76905601009869	-10.631097954076	-10.6565812808403	-11.7305818622841	-10.0477720381648	-10.8085843742853	-11.6390717749128	-12.6565812808403	-11.8910465344773	-11.5861919529489	-12.9785093757276	-10.8085843742853	-11.6215940390175	-14.0171066631399	-11.9785093757276	-14.0327689600384	-13.6565812808403	-16.9752210402702	-13.9785093757276
Lj_symrk_LjSC_3_rhizo	-2.70698081236449	-3.27347437067596	-5.07878726119534	-7.19875274213301	-3.88268034291894	-9.08299459879633	-4.05297211569688	-4.04761735279531	-5.61257329065147	-5.04310187167282	-5.16625010244568	-5.06873943155519	-4.47628671766192	-4.93800288949377	-4.9742747475517	-4.87463487443836	-4.42198241298251	-5.07459215780063	-6.27371479981423	-6.38775004306026	-5.99632510100337	-6.60287446393267	-6.49354470708286	-5.93116005433691	-6.56707374250482	-6.9789715342531	-7.51157862991312	-7.84146801050317	-6.64704204720824	-8.40660907031158	-6.99157157103273	-7.7423125438436	-7.79655558862759	-8.46690958057939	-7.84718166169756	-8.08975196497164	-9.05627726042055	-8.49354470708286	-8.36502996656018	-8.26987273351984	-8.11710245311659	-9.7583723947397	-8.9664805900699	-9.26987273351984	-9.36502996656018	-9.48461158231285	-8.99157157103273	-9.30089962914046	-8.70552051247397	-9.19510496511787	-10.6545365837552	-8.78006746583902	-9.67471446569279	-10.4669095805794	-10.9664805900699	-11.5157894216329	-10.631097954076	-9.61500821956852	-10.5025334903101	-9.55767504450257	-10.917570989589	-11.6390717749128	-10.3981968304954	-13.8952654362885	-12.0171066631399	-11.3650299665602	-11.6545365837552	-11.6215940390175	-13.0171066631399	-14.1082794130339	-14.0327689600384	-12.0171066631399	-14.2394990844763	-14.9785093757276
Lj_symrk_LjSC_4_rhizo	-3.01148784840302	-3.2419600885317	-4.08111664288678	-12.0166871901886	-4.46810014621103	-10.5786466005744	-4.45602731391045	-3.5627370203491	-5.39201314018828	-3.7675568122376	-4.83848502373983	-5.27192337729838	-5.347967568053	-5.3040242204654	-5.65172895028619	-3.68970699984993	-5.14482562561615	-5.04299495052198	-5.99951317865545	-7.12345197482358	-5.86395792669504	-6.68109386954522	-7.6021055733984	-5.33071908713082	-6.8254837788804	-7.15780347961436	-6.93293006877416	-7.74494035156985	-7.28017747851103	-8.15780347961436	-7.80492245639808	-8.08163179912895	-8.32338954533233	-8.87463142820949	-8.45602731391045	-8.99368409985325	-8.99368409985325	-8.77795540879781	-9.07341129232399	-8.43481082800075	-7.75805585136011	-8.93293006877416	-8.96298730263034	-9.77795540879781	-10.9067812963895	-9.32338954533233	-9.04098981463161	-9.88898672118656	-9.53284291096128	-9.57864660057441	-10.4884487916028	-10.073411292324	-10.4453800697109	-11.7254879889037	-10.7254879889037	-11.5157894216329	-10.631097954076	-10.6748619158337	-10.8324031928202	-8.99368409985325	-9.19299290807666	-11.6390717749128	-11.7254879889037	-13.8952654362885	-13.1678661182126	-12.2109148160739	-13.3713138188677	-11.6215940390175	-14.0171066631399	-14.1082794130339	-12.5328429109613	-14.6565812808403	-15.5328429109613	-14.9785093757276
Lj_ccamk_LjSC_1_rhizo	-2.47634853611673	-2.98733993971176	-5.46343354919479	-11.0166871901886	-4.63636730050944	-11.5829036174914	-3.98135016509892	-5.66988442666222	-5.42520549608391	-6.46076436241881	-6.11818438007281	-5.37408606359951	-3.63975966141098	-4.51926920734141	-4.04189853831602	-4.85025117482618	-5.78369282372154	-5.08184253300909	-6.85725456256394	-4.24104112785835	-8.68226815111805	-6.35042458736561	-6.16738408613304	-8.8260036285795	-7.55156445947346	-7.30662946948592	-9.29232163280204	-7.47415995578785	-4.89099296872831	-8.64543138293768	-7.74583327989552	-8.32108062578346	-7.70104535814868	-7.62735981001566	-8.02454930796158	-7.60361120724305	-9.11398439154353	-7.14793172346686	-8.43172468946745	-8.68226815111805	-10.6822681511181	-10.7583723947397	-10.3307957806167	-10.292321632802	-8.85374861906241	-8.63335855063711	-9.51788133321717	-9.83980942810453	-10.8398094281045	-8.91089252616601	-10.7853616440822	-11.0808175276083	-11.1479317234669	-10.1826971416275	-10.4527863049953	-9.56296922274571	-10.631097954076	-10.0483960499159	-10.6333585506371	-13.4478064593172	-13.3134717436552	-11.6390717749128	-10.0808175276083	-11.0166871901886	-13.1678661182126	-12.0808175276083	-13.3713138188677	-11.6215940390175	-14.0171066631399	-14.1082794130339	-12.9552866455245	-14.6565812808403	-15.5402491462456	-14.9785093757276
Lj_ccamk_LjSC_2_rhizo	-2.81575477306781	-2.62254611696624	-5.58984822927058	-12.0166871901886	-4.22122689893518	-8.9797947475866	-4.34592264638449	-3.79817122476041	-5.07622451026969	-5.01919356523331	-5.74766332304988	-4.53856772432689	-5.33395000471842	-4.49570107471503	-5.30250036609337	-4.86049581921425	-4.70206645660977	-4.61618862144936	-5.91891250543957	-6.36204231174777	-5.78792719326361	-6.88940851112949	-6.55237352385192	-6.40732319104864	-6.62832237708522	-7.33792985563096	-7.42838480657647	-7.39483224686544	-6.59937100338909	-7.7084927257692	-9.50696421959018	-8.42838480657647	-7.87199145805208	-8.12353022504805	-8.00488572854943	-7.91891250543957	-8.46273631136724	-8.26792013438322	-9.25281324199301	-8.10985528815097	-9.10985528815097	-10.7583723947397	-11.3307957806167	-10.0304208206566	-10.9067812963895	-9.48022373809609	-10.7503129014638	-9.7084927257692	-8.90703840515128	-9.83777574271417	-12.0210247298833	-9.79338162335572	-11.0304208206566	-9.55237352385192	-9.79338162335572	-11.5157894216329	-10.631097954076	-10.5158476478268	-13.4096561130599	-12.0304208206566	-13.3134717436552	-9.88357943232729	-11.0304208206566	-13.8952654362885	-13.1678661182126	-11.3783441240769	-12.0304208206566	-11.6215940390175	-14.0171066631399	-14.1082794130339	-11.252813241993	-12.252813241993	-16.9752210402702	-12.252813241993
