feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
G37_LjNodule209	Genotype	ccamk	-7.58578090610772	0.906485929576672	20	12	4.92499504953036e-07	6.7964931683519e-05
G37_LjNodule209	Genotype	nsp2	-7.91624926024261	0.906485929576672	20	12	2.87875228933545e-07	6.7964931683519e-05
G37_LjNodule209	Genotype	symrk	-7.28769110359063	0.906485929576672	20	12	8.10373119518144e-07	7.45543269956692e-05
G37_LjNodule209	Genotype	nsp1	-6.68741084447658	0.906485929576672	20	12	2.30174204866986e-06	0.00015882020135822
G3_LjRoot129	Genotype	ccamk	1.98164126632534	0.293420968519594	20	20	6.48471011550376e-06	0.000357955998375808
LjRoot228	Genotype	ccamk	-7.63601977177992	1.23526780964309	20	15	1.75610021090071e-05	0.000807806097014328
G3_LjRoot129	Genotype	nsp2	1.7551061001767	0.293420968519594	20	20	2.51524613052406e-05	0.000991725617178058
LjRoot183	Genotype	ccamk	2.45884251857814	0.433310775845779	20	20	4.41097220625226e-05	0.00152178541115703
LjRoot228	Genotype	nsp1	-6.85833379126534	1.23526780964309	20	15	5.53841389117879e-05	0.00169844692662816
LjRoot258	Genotype	ccamk	-2.16572314940599	0.412045594348875	20	7	9.68213687653079e-05	0.00242933616174773
LjRoot258	Genotype	nsp1	-2.16572314940599	0.412045594348875	20	7	9.68213687653076e-05	0.00242933616174773
LjRoot228	Genotype	symrk	-6.33924464739147	1.23526780964309	20	15	0.000122787080572502	0.00260686417215467
LjRoot228	Genotype	nsp2	-6.36577711448176	1.23526780964309	20	15	0.000117825926883043	0.00260686417215467
G20_LjRoot162	Genotype	symrk	1.44029103560145	0.303319739858212	20	20	0.000258820211161263	0.00510245559146491
G3_LjRoot129	Genotype	symrk	1.33728260769193	0.293420968519594	20	20	0.000377484049762467	0.0069457065156294
G2_LjRoot102	Genotype	ccamk	1.62217432504585	0.358954880514245	20	20	0.000407445992262435	0.00702844336652701
LjRoot183	Genotype	nsp2	1.85037747233685	0.433310775845779	20	20	0.000670693099612341	0.0108888997348827
G14_LjRoot22	Genotype	ccamk	-2.87791763482477	0.682896374394159	20	19	0.000750932609425062	0.0115143000111843
LjRoot258	Genotype	nsp2	-1.7149920573063	0.412045594348875	20	7	0.000834369933671766	0.0121203211417583
LjRoot89	Genotype	nsp1	-2.11759305064374	0.545752671070321	20	19	0.00148001846762507	0.020424254853226
G21_LjRoot111	Genotype	symrk	1.61704939321826	0.422409274893469	20	20	0.00164573717886788	0.0214359521562933
