"","Fresh_weight","Genotype","Inoculum","Replicate","Host"
"1",0.2898,"WT","SC_only",1,"Hordeum"
"2",0.2523,"WT","SC_only",1,"Hordeum"
"3",0.2454,"WT","SC_only",1,"Hordeum"
"4",0.363,"WT","SC_only",2,"Hordeum"
"5",0.2909,"WT","SC_only",2,"Hordeum"
"6",0.3441,"WT","SC_only",2,"Hordeum"
"7",0.2871,"WT","SC_only",3,"Hordeum"
"8",0.2873,"WT","SC_only",3,"Hordeum"
"9",0.2624,"WT","SC_only",3,"Hordeum"
"10",0.5724,"WT","SC_only",4,"Hordeum"
"11",0.2506,"WT","SC_only",4,"Hordeum"
"12",0.2624,"WT","SC_only",4,"Hordeum"
"13",0.2562,"WT","SC_only",5,"Hordeum"
"14",0.2928,"WT","SC_only",5,"Hordeum"
"15",0.242,"WT","SC_only",5,"Hordeum"
"16",0.3441,"WT","SC_only",6,"Hordeum"
"17",0.4841,"WT","SC_only",6,"Hordeum"
"18",0.3009,"WT","SC_only",6,"Hordeum"
"19",0.2038,"symrk","SC_only",1,"Hordeum"
"20",0.2476,"symrk","SC_only",1,"Hordeum"
"21",0.2794,"symrk","SC_only",1,"Hordeum"
"22",0.3305,"symrk","SC_only",2,"Hordeum"
"23",0.1948,"symrk","SC_only",2,"Hordeum"
"24",0.3107,"symrk","SC_only",2,"Hordeum"
"25",0.1826,"symrk","SC_only",3,"Hordeum"
"26",0.2553,"symrk","SC_only",3,"Hordeum"
"27",0.3034,"symrk","SC_only",3,"Hordeum"
"28",0.1603,"symrk","SC_only",4,"Hordeum"
"29",0.4551,"symrk","SC_only",4,"Hordeum"
"30",0.1452,"symrk","SC_only",4,"Hordeum"
"31",0.2592,"symrk","SC_only",5,"Hordeum"
"32",0.2375,"symrk","SC_only",5,"Hordeum"
"33",0.316,"symrk","SC_only",5,"Hordeum"
"34",0.22,"symrk","SC_only",6,"Hordeum"
"35",0.235,"symrk","SC_only",6,"Hordeum"
"36",0.2415,"symrk","SC_only",6,"Hordeum"
"37",0.1787,"ccamk","SC_only",1,"Hordeum"
"38",0.1765,"ccamk","SC_only",1,"Hordeum"
"39",0.1577,"ccamk","SC_only",1,"Hordeum"
"40",0.1745,"ccamk","SC_only",2,"Hordeum"
"41",0.1649,"ccamk","SC_only",2,"Hordeum"
"42",0.2997,"ccamk","SC_only",2,"Hordeum"
"43",0.221,"ccamk","SC_only",3,"Hordeum"
"44",0.207,"ccamk","SC_only",3,"Hordeum"
"45",0.1465,"ccamk","SC_only",3,"Hordeum"
"46",0.2392,"ccamk","SC_only",4,"Hordeum"
"47",0.1453,"ccamk","SC_only",4,"Hordeum"
"48",0.1153,"ccamk","SC_only",4,"Hordeum"
"49",0.1964,"ccamk","SC_only",5,"Hordeum"
"50",0.1875,"ccamk","SC_only",5,"Hordeum"
"51",0.1495,"ccamk","SC_only",5,"Hordeum"
"52",0.288,"ccamk","SC_only",6,"Hordeum"
"53",0.1277,"ccamk","SC_only",6,"Hordeum"
"54",0.1312,"ccamk","SC_only",6,"Hordeum"
"55",0.2295,"nsp1","SC_only",1,"Hordeum"
"56",0.2284,"nsp1","SC_only",1,"Hordeum"
"57",0.1823,"nsp1","SC_only",1,"Hordeum"
"58",0.2421,"nsp1","SC_only",2,"Hordeum"
"59",0.2561,"nsp1","SC_only",2,"Hordeum"
"60",0.3148,"nsp1","SC_only",2,"Hordeum"
"61",0.1784,"nsp1","SC_only",3,"Hordeum"
"62",0.2001,"nsp1","SC_only",3,"Hordeum"
"63",0.1807,"nsp1","SC_only",3,"Hordeum"
"64",0.3024,"nsp1","SC_only",4,"Hordeum"
"65",0.3679,"nsp1","SC_only",4,"Hordeum"
"66",0.2739,"nsp1","SC_only",4,"Hordeum"
"67",0.2642,"nsp1","SC_only",5,"Hordeum"
"68",0.2485,"nsp1","SC_only",5,"Hordeum"
"69",0.247,"nsp1","SC_only",5,"Hordeum"
"70",0.2638,"nsp1","SC_only",6,"Hordeum"
"71",0.216,"nsp1","SC_only",6,"Hordeum"
"72",0.1627,"nsp1","SC_only",6,"Hordeum"
"73",0.1499,"nsp2","SC_only",1,"Hordeum"
"74",0.2593,"nsp2","SC_only",1,"Hordeum"
"75",0.2241,"nsp2","SC_only",1,"Hordeum"
"76",0.1531,"nsp2","SC_only",2,"Hordeum"
"77",0.1613,"nsp2","SC_only",2,"Hordeum"
"78",0.2013,"nsp2","SC_only",2,"Hordeum"
"79",0.1623,"nsp2","SC_only",3,"Hordeum"
"80",0.1513,"nsp2","SC_only",3,"Hordeum"
"81",0.1738,"nsp2","SC_only",3,"Hordeum"
"82",0.21,"nsp2","SC_only",4,"Hordeum"
"83",0.4156,"nsp2","SC_only",4,"Hordeum"
"84",0.1712,"nsp2","SC_only",4,"Hordeum"
"85",0.1792,"nsp2","SC_only",5,"Hordeum"
"86",0.2325,"nsp2","SC_only",5,"Hordeum"
"87",0.2207,"nsp2","SC_only",5,"Hordeum"
"88",0.1809,"nsp2","SC_only",6,"Hordeum"
"89",0.2844,"nsp2","SC_only",6,"Hordeum"
"90",0.2261,"nsp2","SC_only",6,"Hordeum"
