Fresh_weight	Genotype	Inoculum	Replicate
0.2898	WT	SC_only	1
0.2523	WT	SC_only	1
0.2454	WT	SC_only	1
0.363	WT	SC_only	2
0.2909	WT	SC_only	2
0.3441	WT	SC_only	2
0.2871	WT	SC_only	3
0.2873	WT	SC_only	3
0.2624	WT	SC_only	3
0.5724	WT	SC_only	4
0.2506	WT	SC_only	4
0.2624	WT	SC_only	4
0.2562	WT	SC_only	5
0.2928	WT	SC_only	5
0.242	WT	SC_only	5
0.3441	WT	SC_only	6
0.4841	WT	SC_only	6
0.3009	WT	SC_only	6
0.2038	symrk	SC_only	1
0.2476	symrk	SC_only	1
0.2794	symrk	SC_only	1
0.3305	symrk	SC_only	2
0.1948	symrk	SC_only	2
0.3107	symrk	SC_only	2
0.1826	symrk	SC_only	3
0.2553	symrk	SC_only	3
0.3034	symrk	SC_only	3
0.1603	symrk	SC_only	4
0.4551	symrk	SC_only	4
0.1452	symrk	SC_only	4
0.2592	symrk	SC_only	5
0.2375	symrk	SC_only	5
0.316	symrk	SC_only	5
0.22	symrk	SC_only	6
0.235	symrk	SC_only	6
0.2415	symrk	SC_only	6
0.1787	ccamk	SC_only	1
0.1765	ccamk	SC_only	1
0.1577	ccamk	SC_only	1
0.1745	ccamk	SC_only	2
0.1649	ccamk	SC_only	2
0.2997	ccamk	SC_only	2
0.221	ccamk	SC_only	3
0.207	ccamk	SC_only	3
0.1465	ccamk	SC_only	3
0.2392	ccamk	SC_only	4
0.1453	ccamk	SC_only	4
0.1153	ccamk	SC_only	4
0.1964	ccamk	SC_only	5
0.1875	ccamk	SC_only	5
0.1495	ccamk	SC_only	5
0.288	ccamk	SC_only	6
0.1277	ccamk	SC_only	6
0.1312	ccamk	SC_only	6
0.2295	nsp1	SC_only	1
0.2284	nsp1	SC_only	1
0.1823	nsp1	SC_only	1
0.2421	nsp1	SC_only	2
0.2561	nsp1	SC_only	2
0.3148	nsp1	SC_only	2
0.1784	nsp1	SC_only	3
0.2001	nsp1	SC_only	3
0.1807	nsp1	SC_only	3
0.3024	nsp1	SC_only	4
0.3679	nsp1	SC_only	4
0.2739	nsp1	SC_only	4
0.2642	nsp1	SC_only	5
0.2485	nsp1	SC_only	5
0.247	nsp1	SC_only	5
0.2638	nsp1	SC_only	6
0.216	nsp1	SC_only	6
0.1627	nsp1	SC_only	6
0.1499	nsp2	SC_only	1
0.2593	nsp2	SC_only	1
0.2241	nsp2	SC_only	1
0.1531	nsp2	SC_only	2
0.1613	nsp2	SC_only	2
0.2013	nsp2	SC_only	2
0.1623	nsp2	SC_only	3
0.1513	nsp2	SC_only	3
0.1738	nsp2	SC_only	3
0.21	nsp2	SC_only	4
0.4156	nsp2	SC_only	4
0.1712	nsp2	SC_only	4
0.1792	nsp2	SC_only	5
0.2325	nsp2	SC_only	5
0.2207	nsp2	SC_only	5
0.1809	nsp2	SC_only	6
0.2844	nsp2	SC_only	6
0.2261	nsp2	SC_only	6
