	chao1
Hv_WT_HvSC_only_endo_1	110.61538461538461
Hv_WT_HvSC_only_endo_2	82.0
Hv_WT_HvSC_only_endo_3	96.5
Hv_WT_HvSC_only_endo_4	85.27272727272727
Hv_WT_HvSC_only_endo_5	80.3
Hv_WT_HvSC_only_rhizo_1	106.27272727272727
Hv_WT_HvSC_only_rhizo_2	92.14285714285714
Hv_WT_HvSC_only_rhizo_3	95.75
Hv_WT_HvSC_only_rhizo_4	115.27272727272728
Hv_WT_HvSC_only_rhizo_5	139.66666666666666
Hv_WT_HvSC_only_rhizo_6	102.46153846153847
Hv_ccamk_HvSC_only_endo_1	81.07692307692308
Hv_ccamk_HvSC_only_endo_2	100.0
Hv_ccamk_HvSC_only_endo_3	92.2
Hv_ccamk_HvSC_only_endo_4	79.33333333333333
Hv_ccamk_HvSC_only_endo_5	78.0
Hv_ccamk_HvSC_only_endo_6	70.875
Hv_ccamk_HvSC_only_rhizo_2	129.07692307692307
Hv_ccamk_HvSC_only_rhizo_3	127.0
Hv_ccamk_HvSC_only_rhizo_4	89.0
Hv_ccamk_HvSC_only_rhizo_5	85.0
Hv_ccamk_HvSC_only_rhizo_6	98.76923076923077
Hv_nsp1_HvSC_only_endo_1	84.5
Hv_nsp1_HvSC_only_endo_2	89.0909090909091
Hv_nsp1_HvSC_only_endo_3	90.14285714285714
Hv_nsp1_HvSC_only_endo_4	92.0
Hv_nsp1_HvSC_only_endo_5	85.5
Hv_nsp1_HvSC_only_endo_6	93.0
Hv_nsp1_HvSC_only_rhizo_1	110.2
Hv_nsp1_HvSC_only_rhizo_2	115.6
Hv_nsp1_HvSC_only_rhizo_3	118.57142857142857
Hv_nsp1_HvSC_only_rhizo_4	121.66666666666667
Hv_nsp1_HvSC_only_rhizo_5	103.5
Hv_nsp1_HvSC_only_rhizo_6	110.83333333333333
Hv_nsp2_HvSC_only_endo_1	102.5
Hv_nsp2_HvSC_only_endo_2	96.25
Hv_nsp2_HvSC_only_endo_3	112.58823529411765
Hv_nsp2_HvSC_only_endo_4	82.25
Hv_nsp2_HvSC_only_endo_5	99.75
Hv_nsp2_HvSC_only_endo_6	86.14285714285714
Hv_nsp2_HvSC_only_rhizo_1	107.46153846153847
Hv_nsp2_HvSC_only_rhizo_2	139.5
Hv_nsp2_HvSC_only_rhizo_3	89.6
Hv_nsp2_HvSC_only_rhizo_4	113.8
Hv_nsp2_HvSC_only_rhizo_5	100.6
Hv_nsp2_HvSC_only_rhizo_6	107.58333333333333
Hv_symrk_HvSC_only_endo_1	107.0
Hv_symrk_HvSC_only_endo_2	63.5
Hv_symrk_HvSC_only_endo_3	112.42857142857143
Hv_symrk_HvSC_only_endo_4	77.5
Hv_symrk_HvSC_only_endo_5	93.0
Hv_symrk_HvSC_only_endo_6	105.8
Hv_symrk_HvSC_only_rhizo_1	96.57142857142857
Hv_symrk_HvSC_only_rhizo_2	107.33333333333333
Hv_symrk_HvSC_only_rhizo_3	118.5625
Hv_symrk_HvSC_only_rhizo_4	96.21428571428571
Hv_symrk_HvSC_only_rhizo_5	95.8
Hv_symrk_HvSC_only_rhizo_6	99.76923076923077
