	chao1
Hv_WT_HvSC_only_endo_1	50.75
Hv_WT_HvSC_only_endo_2	51.0
Hv_WT_HvSC_only_endo_3	54.5
Hv_WT_HvSC_only_endo_4	37.0
Hv_WT_HvSC_only_endo_5	39.333333333333336
Hv_WT_HvSC_only_rhizo_1	40.0
Hv_WT_HvSC_only_rhizo_2	36.333333333333336
Hv_WT_HvSC_only_rhizo_3	37.0
Hv_WT_HvSC_only_rhizo_4	41.0
Hv_WT_HvSC_only_rhizo_5	41.0
Hv_WT_HvSC_only_rhizo_6	43.0
Hv_ccamk_HvSC_only_endo_1	41.166666666666664
Hv_ccamk_HvSC_only_endo_2	48.666666666666664
Hv_ccamk_HvSC_only_endo_3	46.75
Hv_ccamk_HvSC_only_endo_4	38.0
Hv_ccamk_HvSC_only_endo_5	38.0
Hv_ccamk_HvSC_only_endo_6	36.5
Hv_ccamk_HvSC_only_rhizo_2	53.0
Hv_ccamk_HvSC_only_rhizo_3	56.0
Hv_ccamk_HvSC_only_rhizo_4	44.0
Hv_ccamk_HvSC_only_rhizo_5	35.0
Hv_ccamk_HvSC_only_rhizo_6	43.0
Hv_nsp1_HvSC_only_endo_1	39.0
Hv_nsp1_HvSC_only_endo_2	48.5
Hv_nsp1_HvSC_only_endo_3	42.75
Hv_nsp1_HvSC_only_endo_4	51.0
Hv_nsp1_HvSC_only_endo_5	41.0
Hv_nsp1_HvSC_only_endo_6	42.6
Hv_nsp1_HvSC_only_rhizo_1	47.6
Hv_nsp1_HvSC_only_rhizo_2	55.6
Hv_nsp1_HvSC_only_rhizo_3	57.0
Hv_nsp1_HvSC_only_rhizo_4	46.333333333333336
Hv_nsp1_HvSC_only_rhizo_5	43.0
Hv_nsp1_HvSC_only_rhizo_6	42.5
Hv_nsp2_HvSC_only_endo_1	47.0
Hv_nsp2_HvSC_only_endo_2	40.0
Hv_nsp2_HvSC_only_endo_3	49.166666666666664
Hv_nsp2_HvSC_only_endo_4	41.0
Hv_nsp2_HvSC_only_endo_5	46.0
Hv_nsp2_HvSC_only_endo_6	45.0
Hv_nsp2_HvSC_only_rhizo_1	43.75
Hv_nsp2_HvSC_only_rhizo_2	47.5
Hv_nsp2_HvSC_only_rhizo_3	37.0
Hv_nsp2_HvSC_only_rhizo_4	42.0
Hv_nsp2_HvSC_only_rhizo_5	40.0
Hv_nsp2_HvSC_only_rhizo_6	45.0
Hv_symrk_HvSC_only_endo_1	50.2
Hv_symrk_HvSC_only_endo_2	36.5
Hv_symrk_HvSC_only_endo_3	48.0
Hv_symrk_HvSC_only_endo_4	49.5
Hv_symrk_HvSC_only_endo_5	48.5
Hv_symrk_HvSC_only_endo_6	47.0
Hv_symrk_HvSC_only_rhizo_1	43.0
Hv_symrk_HvSC_only_rhizo_2	45.2
Hv_symrk_HvSC_only_rhizo_3	45.0
Hv_symrk_HvSC_only_rhizo_4	36.0
Hv_symrk_HvSC_only_rhizo_5	44.166666666666664
Hv_symrk_HvSC_only_rhizo_6	51.0
