SampleID	Genotype	Compartment	Inoculum	Description	Bio_rep
Hv_WT_HvSC_only_rhizo_1	WT	rhizo	SC	Hv_WT_HvSC_only_rhizo_1	1
Hv_WT_HvSC_only_rhizo_2	WT	rhizo	SC	Hv_WT_HvSC_only_rhizo_2	2
Hv_WT_HvSC_only_rhizo_3	WT	rhizo	SC	Hv_WT_HvSC_only_rhizo_3	3
Hv_WT_HvSC_only_rhizo_4	WT	rhizo	SC	Hv_WT_HvSC_only_rhizo_4	4
Hv_WT_HvSC_only_rhizo_5	WT	rhizo	SC	Hv_WT_HvSC_only_rhizo_5	5
Hv_WT_HvSC_only_rhizo_6	WT	rhizo	SC	Hv_WT_HvSC_only_rhizo_6	6
Hv_symrk_HvSC_only_rhizo_1	symrk	rhizo	SC	Hv_symrk_HvSC_only_rhizo_1	1
Hv_symrk_HvSC_only_rhizo_2	symrk	rhizo	SC	Hv_symrk_HvSC_only_rhizo_2	2
Hv_symrk_HvSC_only_rhizo_3	symrk	rhizo	SC	Hv_symrk_HvSC_only_rhizo_3	3
Hv_symrk_HvSC_only_rhizo_4	symrk	rhizo	SC	Hv_symrk_HvSC_only_rhizo_4	4
Hv_symrk_HvSC_only_rhizo_5	symrk	rhizo	SC	Hv_symrk_HvSC_only_rhizo_5	5
Hv_symrk_HvSC_only_rhizo_6	symrk	rhizo	SC	Hv_symrk_HvSC_only_rhizo_6	6
Hv_ccamk_HvSC_only_rhizo_1	ccamk	rhizo	SC	Hv_ccamk_HvSC_only_rhizo_1	1
Hv_ccamk_HvSC_only_rhizo_2	ccamk	rhizo	SC	Hv_ccamk_HvSC_only_rhizo_2	2
Hv_ccamk_HvSC_only_rhizo_3	ccamk	rhizo	SC	Hv_ccamk_HvSC_only_rhizo_3	3
Hv_ccamk_HvSC_only_rhizo_4	ccamk	rhizo	SC	Hv_ccamk_HvSC_only_rhizo_4	4
Hv_ccamk_HvSC_only_rhizo_5	ccamk	rhizo	SC	Hv_ccamk_HvSC_only_rhizo_5	5
Hv_ccamk_HvSC_only_rhizo_6	ccamk	rhizo	SC	Hv_ccamk_HvSC_only_rhizo_6	6
Hv_nsp1_HvSC_only_rhizo_1	nsp1	rhizo	SC	Hv_nsp1_HvSC_only_rhizo_1	1
Hv_nsp1_HvSC_only_rhizo_2	nsp1	rhizo	SC	Hv_nsp1_HvSC_only_rhizo_2	2
Hv_nsp1_HvSC_only_rhizo_3	nsp1	rhizo	SC	Hv_nsp1_HvSC_only_rhizo_3	3
Hv_nsp1_HvSC_only_rhizo_4	nsp1	rhizo	SC	Hv_nsp1_HvSC_only_rhizo_4	4
Hv_nsp1_HvSC_only_rhizo_5	nsp1	rhizo	SC	Hv_nsp1_HvSC_only_rhizo_5	5
Hv_nsp1_HvSC_only_rhizo_6	nsp1	rhizo	SC	Hv_nsp1_HvSC_only_rhizo_6	6
Hv_nsp2_HvSC_only_rhizo_1	nsp2	rhizo	SC	Hv_nsp2_HvSC_only_rhizo_1	1
Hv_nsp2_HvSC_only_rhizo_2	nsp2	rhizo	SC	Hv_nsp2_HvSC_only_rhizo_2	2
Hv_nsp2_HvSC_only_rhizo_3	nsp2	rhizo	SC	Hv_nsp2_HvSC_only_rhizo_3	3
Hv_nsp2_HvSC_only_rhizo_4	nsp2	rhizo	SC	Hv_nsp2_HvSC_only_rhizo_4	4
Hv_nsp2_HvSC_only_rhizo_5	nsp2	rhizo	SC	Hv_nsp2_HvSC_only_rhizo_5	5
