Genotype,SampleID,PCo1,PCo2,Compartment,Inoculum,Description,Bio_rep,seg_x,seg_y,Host
WT,Hv_WT_HvSC_only_endo_1,-0.262652921597342,-0.00238570812513986,Root,SC,Hv_WT_HvSC_only_endo_1,1,-0.0926190440237908,-0.0817466702959323,Hordeum
WT,Hv_WT_HvSC_only_endo_2,-0.0391197388986507,-0.0765461956954545,Root,SC,Hv_WT_HvSC_only_endo_2,2,-0.0926190440237908,-0.0817466702959323,Hordeum
WT,Hv_WT_HvSC_only_endo_3,-0.0318846647128077,-0.163264634483385,Root,SC,Hv_WT_HvSC_only_endo_3,3,-0.0926190440237908,-0.0817466702959323,Hordeum
WT,Hv_WT_HvSC_only_endo_4,-0.103746246246316,-0.0880010812428752,Root,SC,Hv_WT_HvSC_only_endo_4,4,-0.0926190440237908,-0.0817466702959323,Hordeum
WT,Hv_WT_HvSC_only_endo_5,-0.025691648663837,-0.0785357319328075,Root,SC,Hv_WT_HvSC_only_endo_5,5,-0.0926190440237908,-0.0817466702959323,Hordeum
symrk,Hv_symrk_HvSC_only_endo_1,-0.0756189913807708,-0.0933940843133717,Root,SC,Hv_symrk_HvSC_only_endo_1,1,-0.105799040892863,-0.0267849270637301,Hordeum
symrk,Hv_symrk_HvSC_only_endo_2,-0.194015598607544,0.0690665023821859,Root,SC,Hv_symrk_HvSC_only_endo_2,2,-0.105799040892863,-0.0267849270637301,Hordeum
symrk,Hv_symrk_HvSC_only_endo_3,-0.145347618613955,-0.0739432371022819,Root,SC,Hv_symrk_HvSC_only_endo_3,3,-0.105799040892863,-0.0267849270637301,Hordeum
symrk,Hv_symrk_HvSC_only_endo_4,0.0708949139221665,-0.0509642454143847,Root,SC,Hv_symrk_HvSC_only_endo_4,4,-0.105799040892863,-0.0267849270637301,Hordeum
symrk,Hv_symrk_HvSC_only_endo_5,-0.185810512631832,-0.0207052828910733,Root,SC,Hv_symrk_HvSC_only_endo_5,5,-0.105799040892863,-0.0267849270637301,Hordeum
symrk,Hv_symrk_HvSC_only_endo_6,-0.104896438045245,0.00923078495654523,Root,SC,Hv_symrk_HvSC_only_endo_6,6,-0.105799040892863,-0.0267849270637301,Hordeum
ccamk,Hv_ccamk_HvSC_only_endo_1,0.168372279853187,-0.0490763049101495,Root,SC,Hv_ccamk_HvSC_only_endo_1,1,0.146412703067761,0.0451413694740791,Hordeum
ccamk,Hv_ccamk_HvSC_only_endo_2,0.193429332945781,-0.135135992984886,Root,SC,Hv_ccamk_HvSC_only_endo_2,2,0.146412703067761,0.0451413694740791,Hordeum
ccamk,Hv_ccamk_HvSC_only_endo_3,0.00684802737146578,0.141156147897191,Root,SC,Hv_ccamk_HvSC_only_endo_3,3,0.146412703067761,0.0451413694740791,Hordeum
ccamk,Hv_ccamk_HvSC_only_endo_4,0.113383865180958,0.128510581317956,Root,SC,Hv_ccamk_HvSC_only_endo_4,4,0.146412703067761,0.0451413694740791,Hordeum
ccamk,Hv_ccamk_HvSC_only_endo_5,0.25296912142146,0.0832430788068667,Root,SC,Hv_ccamk_HvSC_only_endo_5,5,0.146412703067761,0.0451413694740791,Hordeum
ccamk,Hv_ccamk_HvSC_only_endo_6,0.143473591633717,0.102150706717496,Root,SC,Hv_ccamk_HvSC_only_endo_6,6,0.146412703067761,0.0451413694740791,Hordeum
nsp1,Hv_nsp1_HvSC_only_endo_1,-0.113077471482971,0.0318292227992835,Root,SC,Hv_nsp1_HvSC_only_endo_1,1,-0.0129676875078369,0.0741968718816084,Hordeum
nsp1,Hv_nsp1_HvSC_only_endo_2,0.103139044842695,-0.0413303608813861,Root,SC,Hv_nsp1_HvSC_only_endo_2,2,-0.0129676875078369,0.0741968718816084,Hordeum
nsp1,Hv_nsp1_HvSC_only_endo_3,-0.0678758396115981,0.128582646515917,Root,SC,Hv_nsp1_HvSC_only_endo_3,3,-0.0129676875078369,0.0741968718816084,Hordeum
