Genotype,SampleID,PCo1,PCo2,Compartment,Inoculum,Description,Bio_rep,seg_x,seg_y,Host
WT,Hv_WT_HvSC_only_endo_1,-0.268846116414258,0.032614889900006,Root,SC,Hv_WT_HvSC_only_endo_1,1,-0.0793022921873793,0.0542217837066609,Hordeum
WT,Hv_WT_HvSC_only_endo_2,-0.0361217702429101,0.0635434777394288,Root,SC,Hv_WT_HvSC_only_endo_2,2,-0.0793022921873793,0.0542217837066609,Hordeum
WT,Hv_WT_HvSC_only_endo_3,-0.0112129105191136,0.0953714348728504,Root,SC,Hv_WT_HvSC_only_endo_3,3,-0.0793022921873793,0.0542217837066609,Hordeum
WT,Hv_WT_HvSC_only_endo_4,-0.0818033012649488,0.0323369812709121,Root,SC,Hv_WT_HvSC_only_endo_4,4,-0.0793022921873793,0.0542217837066609,Hordeum
WT,Hv_WT_HvSC_only_endo_5,0.00147263750433397,0.047242134750107,Root,SC,Hv_WT_HvSC_only_endo_5,5,-0.0793022921873793,0.0542217837066609,Hordeum
symrk,Hv_symrk_HvSC_only_endo_1,-0.0713123559874712,0.10092907595549,Root,SC,Hv_symrk_HvSC_only_endo_1,1,-0.105866029782269,0.0488468231090422,Hordeum
symrk,Hv_symrk_HvSC_only_endo_2,-0.200504675472123,-0.0211316452501795,Root,SC,Hv_symrk_HvSC_only_endo_2,2,-0.105866029782269,0.0488468231090422,Hordeum
symrk,Hv_symrk_HvSC_only_endo_3,-0.143009175991864,0.0980150616581767,Root,SC,Hv_symrk_HvSC_only_endo_3,3,-0.105866029782269,0.0488468231090422,Hordeum
symrk,Hv_symrk_HvSC_only_endo_4,0.0792407607205619,0.0536064100685623,Root,SC,Hv_symrk_HvSC_only_endo_4,4,-0.105866029782269,0.0488468231090422,Hordeum
symrk,Hv_symrk_HvSC_only_endo_5,-0.190956504293272,0.0535618534402765,Root,SC,Hv_symrk_HvSC_only_endo_5,5,-0.105866029782269,0.0488468231090422,Hordeum
symrk,Hv_symrk_HvSC_only_endo_6,-0.108654227669446,0.00810018278192716,Root,SC,Hv_symrk_HvSC_only_endo_6,6,-0.105866029782269,0.0488468231090422,Hordeum
ccamk,Hv_ccamk_HvSC_only_endo_1,0.176606704836777,0.065361829828663,Root,SC,Hv_ccamk_HvSC_only_endo_1,1,0.144455318532418,-0.0430669580253934,Hordeum
ccamk,Hv_ccamk_HvSC_only_endo_2,0.204995821972425,0.143017643591527,Root,SC,Hv_ccamk_HvSC_only_endo_2,2,0.144455318532418,-0.0430669580253934,Hordeum
ccamk,Hv_ccamk_HvSC_only_endo_3,-0.00367657453396258,-0.14693540141993,Root,SC,Hv_ccamk_HvSC_only_endo_3,3,0.144455318532418,-0.0430669580253934,Hordeum
ccamk,Hv_ccamk_HvSC_only_endo_4,0.104532763609018,-0.138876777480487,Root,SC,Hv_ccamk_HvSC_only_endo_4,4,0.144455318532418,-0.0430669580253934,Hordeum
ccamk,Hv_ccamk_HvSC_only_endo_5,0.24657987458387,-0.075243046287865,Root,SC,Hv_ccamk_HvSC_only_endo_5,5,0.144455318532418,-0.0430669580253934,Hordeum
ccamk,Hv_ccamk_HvSC_only_endo_6,0.13769332072638,-0.105725996384268,Root,SC,Hv_ccamk_HvSC_only_endo_6,6,0.144455318532418,-0.0430669580253934,Hordeum
nsp1,Hv_nsp1_HvSC_only_endo_1,-0.119135320793783,-0.00483967766754602,Root,SC,Hv_nsp1_HvSC_only_endo_1,1,-0.0198689753238545,-0.062762717259474,Hordeum
