feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Sphingomonadales	Genotype	ccamk	-3.69179051284834	0.452763430964067	29	29	2.2487241396242e-08	1.25928551818955e-06
Sphingomonadales	Genotype	nsp1	-2.59924574844423	0.452763430964068	29	29	6.46525585184756e-06	0.000181027163851732
Xanthomonadales	Genotype	ccamk	-1.45432107387789	0.302886872735526	29	29	6.87882487903031e-05	0.00128404731075232
Sphingomonadales	Genotype	symrk	-1.9798346552824	0.452763430964067	29	29	0.000204701285434952	0.00286581799608933
Sphingomonadales	Genotype	nsp2	-1.85884186499972	0.452763430964068	29	29	0.00040341948730634	0.00451829825783101
Rhizobiales	Genotype	nsp1	-0.921047847838685	0.281111117177398	29	29	0.00318986567027693	0.0297720795892514
Rhizobiales	Genotype	ccamk	-0.893191542032282	0.281111117177398	29	29	0.00405684161140535	0.0313010933161034
Xanthomonadales	Genotype	nsp1	-0.950157502149376	0.302886872735526	29	29	0.00447158475944334	0.0313010933161034
Sphingobacteriales	Genotype	nsp2	-0.778567048091706	0.263451098205732	29	29	0.00689999893732683	0.0429333267211447
Rhodobacterales	Genotype	ccamk	-1.528747349749	0.532494010387123	29	29	0.00841525463211298	0.0471254259398327
Sphingobacteriales	Genotype	ccamk	-0.713038770312886	0.263451098205732	29	29	0.0123207045041969	0.0627235865668204
Micrococcales	Genotype	nsp2	1.52383240707002	0.619225443384268	29	29	0.0214371137874529	0.100039864341447
Caulobacterales	Genotype	nsp1	1.14185662021006	0.474285604028742	29	29	0.0241089104714528	0.103204153384628
Xanthomonadales	Genotype	symrk	-0.719811392992424	0.302886872735526	29	29	0.0258010383461571	0.103204153384628
Burkholderiales	Genotype	ccamk	0.542972786032598	0.236559974675789	29	29	0.0307596629269743	0.114836074927371
Bacillales	Genotype	symrk	-1.69034626607014	0.850253513402313	29	12	0.0583285097315912	0.194924292066438
Caulobacterales	Genotype	ccamk	0.925980287384891	0.474285604028742	29	29	0.0626542367356407	0.194924292066438
Caulobacterales	Genotype	nsp2	0.938608723154387	0.474285604028742	29	29	0.059400558798808	0.194924292066438
Propionibacteriales	Genotype	nsp1	-1.43060919350441	0.803630170524609	29	18	0.0877115071777989	0.258518126418776
Propionibacteriales	Genotype	ccamk	-1.37216886126803	0.803630170524609	29	18	0.100642333511509	0.281798533832225
Rhodobacterales	Genotype	nsp2	-0.88457884866669	0.532494010387124	29	29	0.109682870056285	0.292487653483426
Propionibacteriales	Genotype	symrk	-1.28502657945569	0.803630170524609	29	18	0.122897960979849	0.299229818037894
Rhodospirillales	Genotype	nsp1	-1.16293339725815	0.720969035659823	29	29	0.119814811100413	0.299229818037894
