feature	Bacillales	Burkholderiales	Caulobacterales	Corynebacteriales	Enterobacterales	Micrococcales	Propionibacteriales	Pseudomonadales	Rhizobiales	Rhodobacterales	Rhodospirillales	Sphingobacteriales	Sphingomonadales	Xanthomonadales
Hv_WT_HvSC_only_endo_1	23	33006	9653	11	12165	205	18	19868	15729	69	108	58751	1018	6045
Hv_WT_HvSC_only_endo_2	0	20832	3390	0	3088	320	10	3426	6753	78	33	10064	581	2252
Hv_WT_HvSC_only_endo_3	6	13171	1083	4	175	152	6	565	7146	21	50	7604	185	1087
Hv_WT_HvSC_only_endo_4	0	10937	2865	0	57	33	0	1398	4913	12	36	8888	163	596
Hv_WT_HvSC_only_endo_5	8	8985	1282	0	187	20	4	280	2038	10	10	5859	132	670
Hv_symrk_HvSC_only_endo_1	0	34725	5260	0	1374	340	8	3142	13063	48	31	24760	316	2112
Hv_symrk_HvSC_only_endo_2	0	12379	3826	0	353	64	0	1001	3044	9	12	24755	41	589
Hv_symrk_HvSC_only_endo_3	0	27612	3794	5	1441	522	7	2483	10090	42	42	31457	176	2150
Hv_symrk_HvSC_only_endo_4	4	40784	3946	5	1301	194	3	2895	6418	38	121	17936	100	1811
Hv_symrk_HvSC_only_endo_5	0	17496	5340	0	2483	183	5	2828	10241	26	266	27849	124	1246
Hv_symrk_HvSC_only_endo_6	0	20421	6590	7	903	153	0	2666	9705	37	84	21408	108	1147
Hv_ccamk_HvSC_only_endo_1	0	46135	3128	0	834	103	9	987	4421	5	16	14024	34	1438
Hv_ccamk_HvSC_only_endo_2	8	27079	1758	0	993	207	4	1006	5967	19	62	5123	54	764
Hv_ccamk_HvSC_only_endo_3	7	20440	12527	0	861	42	4	3042	4258	8	40	14107	32	491
Hv_ccamk_HvSC_only_endo_4	0	16596	8087	0	349	39	0	1426	2172	14	61	7444	9	299
Hv_ccamk_HvSC_only_endo_5	0	32833	8440	0	498	27	0	1707	3620	12	35	5283	18	756
Hv_ccamk_HvSC_only_endo_6	0	17347	6315	0	352	29	0	1018	2293	9	4	6572	29	299
Hv_nsp1_HvSC_only_endo_1	0	15542	4025	0	529	50	0	1762	2953	13	12	16522	65	1291
Hv_nsp1_HvSC_only_endo_2	0	30375	5759	8	1887	386	6	2093	8224	40	15	9372	109	1844
Hv_nsp1_HvSC_only_endo_3	9	16700	6803	0	305	78	0	1657	2016	19	10	16401	36	563
Hv_nsp1_HvSC_only_endo_4	12	28466	6922	9	1181	324	0	7095	5537	45	23	19556	175	1260
Hv_nsp1_HvSC_only_endo_5	0	27442	11219	0	574	75	4	2181	4120	10	41	21522	50	845
Hv_nsp1_HvSC_only_endo_6	0	16246	12790	0	353	68	5	1413	3471	17	43	9525	25	447
Hv_nsp2_HvSC_only_endo_1	2	6937	11223	3	692	297	0	2209	4948	19	25	6185	63	1256
Hv_nsp2_HvSC_only_endo_2	4	17070	2481	0	437	138	0	796	5018	8	31	3591	55	1098
Hv_nsp2_HvSC_only_endo_3	19	19725	6897	8	1311	543	12	1918	14384	64	245	8464	269	1465
Hv_nsp2_HvSC_only_endo_4	8	10255	2884	0	420	75	2	1170	3398	7	102	2974	31	929
Hv_nsp2_HvSC_only_endo_5	0	18632	1848	0	261	479	6	778	6530	8	40	6190	82	1071
Hv_nsp2_HvSC_only_endo_6	0	12499	3979	0	339	102	7	933	5910	4	65	7501	31	829
