feature	Bacillales	Burkholderiales	Caulobacterales	Corynebacteriales	Enterobacterales	Micrococcales	Propionibacteriales	Pseudomonadales	Rhizobiales	Rhodobacterales	Rhodospirillales	Sphingobacteriales	Sphingomonadales	Xanthomonadales
Hv_WT_HvSC_only_endo_1	-12.7337982612363	-2.24691952892686	-4.02059855372176	-13.797928598656	-3.68691151746755	-9.5778801177879	-13.087435215851	-2.9792011858561	-3.31622088605583	-11.1488357605152	-10.5024727151299	-1.41503442976391	-7.26583837121765	-4.69583359315685
Hv_WT_HvSC_only_endo_2	-15.2052587057739	-1.28679372641569	-3.90623790155762	-14.9625526377534	-4.04085042231325	-7.31137936469397	-12.311379364694	-3.89099802349733	-2.91199461740602	-9.34790524071908	-10.5889133402229	-2.33639125270204	-6.4509131061768	-4.4963163475011
Hv_WT_HvSC_only_endo_3	-12.346836881345	-1.24672211703836	-4.85098185445786	-12.9317993820662	-7.48058827023386	-7.6838718686226	-12.346836881345	-5.78969232476364	-2.12887918348092	-10.5394819592874	-9.28794319229146	-2.03925656541764	-7.40041792154988	-4.84566315703888
Hv_WT_HvSC_only_endo_4	-15.2052587057739	-1.45083191619109	-3.38344193576042	-14.9625526377534	-9.03487134523995	-9.82336724004623	-15.6202962050528	-4.41861271402925	-2.60537283565367	-11.2827988586835	-9.69783635796238	-1.7501182580156	-7.51903320517361	-5.64859283894253
Hv_WT_HvSC_only_endo_5	-11.2500763110564	-1.1167735226591	-3.92589576443766	-14.9625526377534	-6.70318185116876	-9.92814821616904	-12.2500763110564	-6.12079329411143	-3.25713797489059	-10.928148216169	-10.928148216169	-1.73363757644845	-7.20568219169795	-4.86205902571126
Hv_symrk_HvSC_only_endo_1	-15.2052587057739	-1.29452309856595	-4.0173630881424	-14.9625526377534	-5.95404388350397	-7.96881923618437	-13.3782101723221	-4.76074270702787	-2.70501153385928	-10.7932476716009	-11.4240138619352	-1.78248647822044	-8.07442942414497	-5.33381605296362
Hv_symrk_HvSC_only_endo_2	-15.2052587057739	-1.8960267652169	-3.59001276193274	-14.9625526377534	-7.02810954700767	-9.49163392027885	-15.6202962050528	-5.52440766144286	-3.91988127677531	-12.3217089188365	-11.9066714195577	-0.896201591429331	-10.1340819156608	-6.28951009644839
Hv_symrk_HvSC_only_endo_3	-15.2052587057739	-1.53147296369548	-4.39497676922925	-13.9625526377534	-5.79162611246598	-7.25657473607084	-13.4771258105831	-5.00661218646388	-2.98384217864701	-10.892163309862	-10.892163309862	-1.34338726312271	-8.82504911400343	-5.2143597881639
Hv_symrk_HvSC_only_endo_4	-14.2052587057739	-0.889543047751732	-4.25908346505037	-13.8833306108866	-5.85985345905614	-8.60534586358681	-14.6202962050528	-4.70591107289733	-3.55735063149213	-10.9573311923303	-9.28639546849934	-2.07468814296851	-9.56140251599921	-5.38268787482377
Hv_symrk_HvSC_only_endo_5	-15.2052587057739	-1.96035424210893	-3.67246772058211	-14.9625526377534	-4.77722320098018	-8.53939190887298	-13.7331636522697	-4.58952534234762	-2.73302277096093	-11.3546520290159	-7.99980931165583	-1.28975384330771	-9.10089543677015	-5.77200339413302
Hv_symrk_HvSC_only_endo_6	-15.2052587057739	-1.63053288714378	-3.26223603236301	-13.1409438602008	-6.12971660477757	-8.69091093956578	-15.6202962050528	-4.56783771716945	-2.7037862846574	-10.7388454166295	-9.55598135947967	-1.56243638161697	-9.19341128009496	-5.7846491062426
Hv_ccamk_HvSC_only_endo_1	-15.2052587057739	-0.624677634620903	-4.50722687354796	-14.9625526377534	-6.41434809741065	-9.4317511436721	-12.948326669413	-6.17134539639892	-4.00809465190125	-13.796323575968	-12.1182516708553	-2.34264139009578	-11.030788829605	-5.62840371041602
Hv_ccamk_HvSC_only_endo_2	-12.3935245306787	-0.668637688496942	-4.61380517553528	-14.9625526377534	-5.43787462315031	-7.70003757317936	-13.3935245306787	-5.41910994087315	-2.85073446912378	-11.1455970172351	-9.43932822029181	-3.07075135422412	-9.63863702851521	-5.81609570264293
Hv_ccamk_HvSC_only_endo_3	-12.9621472038996	-1.45039455013226	-2.15674879091259	-14.9625526377534	-6.0196326985604	-10.3771847031785	-13.7695021259572	-4.19869768823275	-3.71354189150495	-12.7695021259572	-10.4475740310699	-1.9853785299323	-10.7695021259572	-6.82992291164255
Hv_ccamk_HvSC_only_endo_4	-15.2052587057739	-1.13690278944049	-2.17406183519493	-14.9625526377534	-6.70836750510249	-9.87004851244989	-15.6202962050528	-4.67769246486825	-4.07064234350778	-11.3480958092545	-9.22471339374925	-2.29358839125299	-11.9855257298698	-6.93144905711403
Hv_ccamk_HvSC_only_endo_5	-15.2052587057739	-0.697065885841299	-2.65689755891955	-14.9625526377534	-6.73992291044602	-10.9450373403506	-15.6202962050528	-4.96267749948636	-3.87815086054353	-12.1149623417929	-10.5706418255691	-3.33278314796173	-11.5299998410718	-6.13768241829302
Hv_ccamk_HvSC_only_endo_6	-15.2052587057739	-0.982133708749833	-2.43996525350273	-14.9625526377534	-6.60510065354034	-10.2065512770501	-15.6202962050528	-5.07301042610194	-3.90151163259685	-11.8946072707353	-13.0645322721776	-2.38241550722757	-10.2065512770501	-6.84053059797954
Hv_nsp1_HvSC_only_endo_1	-15.2052587057739	-1.46022463735127	-3.40933611584726	-14.9625526377534	-6.33698527162258	-9.74025299396188	-15.6202962050528	-4.60111097481619	-3.85614354260265	-11.6836694655955	-11.7991466830155	-1.37200846758504	-9.36174137070815	-5.04983589842942
Hv_nsp1_HvSC_only_endo_2	-15.2052587057739	-0.984912605890538	-3.3839067874623	-12.8755093941584	-4.99363068655796	-7.28305235689033	-13.2905468934373	-4.8441527979027	-2.86988484496453	-10.553581299271	-11.9686187985499	-2.68136815529527	-9.10732506938148	-5.02688645372907
