feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Sphingomonadales	Genotype	ccamk	-3.69179051284834	0.452763430964067	29	29	2.24872413962421e-08	1.25928551818956e-06
Sphingomonadales	Genotype	nsp1	-2.59924574844423	0.452763430964068	29	29	6.4652558518476e-06	0.000181027163851733
Xanthomonadales	Genotype	ccamk	-1.45432107387789	0.302886872735526	29	29	6.87882487903032e-05	0.00128404731075233
Sphingomonadales	Genotype	symrk	-1.9798346552824	0.452763430964068	29	29	0.000204701285434953	0.00286581799608935
Sphingomonadales	Genotype	nsp2	-1.85884186499972	0.452763430964068	29	29	0.00040341948730634	0.00451829825783101
Rhizobiales	Genotype	nsp1	-0.921047847838685	0.281111117177398	29	29	0.00318986567027692	0.0297720795892513
Rhizobiales	Genotype	ccamk	-0.893191542032283	0.281111117177398	29	29	0.00405684161140534	0.0313010933161036
Xanthomonadales	Genotype	nsp1	-0.950157502149376	0.302886872735526	29	29	0.00447158475944337	0.0313010933161036
Sphingobacteriales	Genotype	nsp2	-0.778567048091706	0.263451098205732	29	29	0.00689999893732683	0.0429333267211447
Rhodobacterales	Genotype	ccamk	-1.528747349749	0.532494010387123	29	29	0.00841525463211298	0.0471254259398327
Sphingobacteriales	Genotype	ccamk	-0.713038770312886	0.263451098205732	29	29	0.0123207045041968	0.0627235865668203
Micrococcales	Genotype	nsp2	1.52383240707002	0.619225443384268	29	29	0.0214371137874529	0.100039864341447
Caulobacterales	Genotype	nsp1	1.14185662021006	0.474285604028742	29	29	0.0241089104714528	0.103204153384629
Xanthomonadales	Genotype	symrk	-0.719811392992423	0.302886872735526	29	29	0.0258010383461572	0.103204153384629
Burkholderiales	Genotype	ccamk	0.542972786032598	0.236559974675789	29	29	0.0307596629269743	0.114836074927371
Bacillales	Genotype	symrk	-1.69034626607014	0.850253513402313	29	12	0.0583285097315903	0.194924292066438
Caulobacterales	Genotype	ccamk	0.92598028738489	0.474285604028742	29	29	0.0626542367356408	0.194924292066438
Caulobacterales	Genotype	nsp2	0.938608723154387	0.474285604028742	29	29	0.0594005587988079	0.194924292066438
