"","Order","Compartment","Genotype","mean_RA","sd","N","se","Sig","Host"
"6","Burkholderiales","Rhizosphere","WT",0.0996542299939699,0.031402440489364,6,0.012819992646176,"","Hordeum"
"7","Burkholderiales","Rhizosphere","symrk",0.0542642667663922,0.0139779672110549,6,0.00570648121807309,"*","Hordeum"
"8","Burkholderiales","Rhizosphere","ccamk",0.0825209862608897,0.0336404880903385,6,0.0137336717532506,"","Hordeum"
"9","Burkholderiales","Rhizosphere","nsp1",0.071176643217261,0.0180823125101565,6,0.0073820731699047,"","Hordeum"
"10","Burkholderiales","Rhizosphere","nsp2",0.0504852257431379,0.0100046896051958,6,0.00408439742794275,"*","Hordeum"
"16","Corynebacteriales","Rhizosphere","WT",0.000340530462346257,0.000488388731469775,6,0.00019938386470435,"","Hordeum"
"17","Corynebacteriales","Rhizosphere","symrk",0.000590490036836537,0.000381615391350793,6,0.000155793831133659,"","Hordeum"
"18","Corynebacteriales","Rhizosphere","ccamk",0.00293521223695624,0.00328586367706885,6,0.00134144822886066,"*","Hordeum"
"19","Corynebacteriales","Rhizosphere","nsp1",0.0014378134537808,0.000288059908494746,6,0.000117599965194157,"*","Hordeum"
"20","Corynebacteriales","Rhizosphere","nsp2",0.000733377485270958,0.000444513842802042,6,0.000181472016411456,"","Hordeum"
"21","Enterobacterales","Rhizosphere","WT",0.0295610064794672,0.0280509500140075,6,0.0114517523891058,"","Hordeum"
"22","Enterobacterales","Rhizosphere","symrk",0.11431443781593,0.0512593562449094,6,0.0209265445572624,"*","Hordeum"
"23","Enterobacterales","Rhizosphere","ccamk",0.0491915246262032,0.0189741045989152,6,0.00774614576558966,"","Hordeum"
"24","Enterobacterales","Rhizosphere","nsp1",0.164777982232672,0.065434628911065,6,0.0267135753900796,"*","Hordeum"
"25","Enterobacterales","Rhizosphere","nsp2",0.155880324778774,0.163300832989535,6,0.0666672858993026,"*","Hordeum"
"26","Micrococcales","Rhizosphere","WT",0.00265244522202488,0.00131822142722614,6,0.000538161644117907,"","Hordeum"
"27","Micrococcales","Rhizosphere","symrk",0.00372398922441073,0.000787910474083055,6,0.000321663104082979,"","Hordeum"
"28","Micrococcales","Rhizosphere","ccamk",0.00917373541744767,0.00729919247186514,6,0.00297988284840564,"","Hordeum"
"29","Micrococcales","Rhizosphere","nsp1",0.01220168126948,0.00510770415928465,6,0.00208521149122312,"*","Hordeum"
"30","Micrococcales","Rhizosphere","nsp2",0.00482212587300021,0.00110837424186833,6,0.000452491889436925,"","Hordeum"
"36","Pseudomonadales","Rhizosphere","WT",0.226815072299706,0.205238779299537,6,0.0837883807859259,"","Hordeum"
"37","Pseudomonadales","Rhizosphere","symrk",0.439037596718787,0.0473668764000635,6,0.019337446314939,"*","Hordeum"
"38","Pseudomonadales","Rhizosphere","ccamk",0.430600292106283,0.11752196918796,6,0.0479781430129313,"*","Hordeum"
"39","Pseudomonadales","Rhizosphere","nsp1",0.38687531760477,0.0916946407386528,6,0.0374341803262531,"*","Hordeum"
"40","Pseudomonadales","Rhizosphere","nsp2",0.321976413346283,0.0985744960980707,6,0.0402428695153741,"","Hordeum"
"41","Rhizobiales","Rhizosphere","WT",0.136146287045151,0.0465093172046116,6,0.0189873492394242,"","Hordeum"
"42","Rhizobiales","Rhizosphere","symrk",0.0687873002674378,0.0121036549528246,6,0.00494129644285511,"*","Hordeum"
"43","Rhizobiales","Rhizosphere","ccamk",0.103053621065855,0.0387007730036056,6,0.015799524418352,"","Hordeum"
"44","Rhizobiales","Rhizosphere","nsp1",0.0791937960677689,0.0201907528906434,6,0.00824284035078347,"*","Hordeum"
"45","Rhizobiales","Rhizosphere","nsp2",0.0741651083345891,0.0182343411444786,6,0.00744413859996828,"*","Hordeum"
"56","Sphingobacteriales","Rhizosphere","WT",0.2902302197066,0.113028667111069,6,0.0461437601215028,"","Hordeum"
"57","Sphingobacteriales","Rhizosphere","symrk",0.182532582445115,0.040669889075062,6,0.016603412688249,"","Hordeum"
"58","Sphingobacteriales","Rhizosphere","ccamk",0.129320442364353,0.102327294717764,6,0.041774943136319,"*","Hordeum"
"59","Sphingobacteriales","Rhizosphere","nsp1",0.118636959576296,0.0735499420337563,6,0.0300266380989972,"*","Hordeum"
"60","Sphingobacteriales","Rhizosphere","nsp2",0.182261883606808,0.087730490871878,6,0.0358158229199997,"","Hordeum"
"66","Xanthomonadales","Rhizosphere","WT",0.0284336689143691,0.00965464238846872,6,0.0039414912501323,"","Hordeum"
"67","Xanthomonadales","Rhizosphere","symrk",0.019751934785777,0.00758893825676946,6,0.00309817106976194,"","Hordeum"
"68","Xanthomonadales","Rhizosphere","ccamk",0.0136435379538432,0.00887006527627715,6,0.00362118898534302,"*","Hordeum"
"69","Xanthomonadales","Rhizosphere","nsp1",0.0393929941482656,0.02230128783803,6,0.00910446263501829,"","Hordeum"
"70","Xanthomonadales","Rhizosphere","nsp2",0.024345681415995,0.0119768336769061,6,0.00488952187376694,"","Hordeum"
"411","Rhizobiales","Root","WT",0.146162580043398,0.0527520182721143,5,0.0235914197613517,"","Hordeum"
"421","Rhizobiales","Root","symrk",0.122446686052173,0.038214778071517,6,0.0156011178181528,"","Hordeum"
"431","Rhizobiales","Root","ccamk",0.0785734414052542,0.0299743223941901,6,0.0122369658752408,"*","Hordeum"
"441","Rhizobiales","Root","nsp1",0.0780271415425599,0.0313645528377341,6,0.0128045250771684,"*","Hordeum"
"451","Rhizobiales","Root","nsp2",0.181239780314463,0.0414181026458706,6,0.0169088695994335,"","Hordeum"
"46","Rhodobacterales","Root","WT",0.000712301766203985,0.000471188266470598,5,0.000210721798805708,"","Hordeum"
"47","Rhodobacterales","Root","symrk",0.000459169299191719,0.000147480717096166,6,6.02087506308942e-05,"","Hordeum"
"48","Rhodobacterales","Root","ccamk",0.000254434078703102,0.000140591948531454,6,5.73964226409495e-05,"*","Hordeum"
"49","Rhodobacterales","Root","nsp1",0.000427079159411768,0.000198297038780918,6,8.0954427086356e-05,"","Hordeum"
"50","Rhodobacterales","Root","nsp2",0.000439963216449236,0.000380384283776851,6,0.00015529123357122,"","Hordeum"
"561","Sphingobacteriales","Root","WT",0.282853023891886,0.066674635319257,5,0.0298178033897734,"","Hordeum"
"571","Sphingobacteriales","Root","symrk",0.367843705287282,0.104813429155617,6,0.0427899032704357,"","Hordeum"
"581","Sphingobacteriales","Root","ccamk",0.17728656113016,0.0573858058580055,6,0.0234276571384219,"","Hordeum"
"591","Sphingobacteriales","Root","nsp1",0.286268469825548,0.0891980578239524,6,0.0364149546193254,"","Hordeum"
"601","Sphingobacteriales","Root","nsp2",0.165236785632067,0.041056737250339,6,0.0167613427944749,"*","Hordeum"
"61","Sphingomonadales","Root","WT",0.00721481449273621,0.00241198544967698,5,0.00107867268524363,"","Hordeum"
