"","ASVid","Lfc_symrk","Lfc_ccamk","Lfc_nsp1","Lfc_nsp2","DA_symrk","DA_ccamk","DA_nsp1","DA_nsp2","Kingdom","Phylum","Class","Order","Family","Genus","Hv_WT_HvSC_only_endo_1","Hv_WT_HvSC_only_endo_2","Hv_WT_HvSC_only_endo_3","Hv_WT_HvSC_only_endo_4","Hv_WT_HvSC_only_endo_5","Hv_symrk_HvSC_only_endo_1","Hv_symrk_HvSC_only_endo_2","Hv_symrk_HvSC_only_endo_3","Hv_symrk_HvSC_only_endo_4","Hv_symrk_HvSC_only_endo_5","Hv_symrk_HvSC_only_endo_6","Hv_ccamk_HvSC_only_endo_1","Hv_ccamk_HvSC_only_endo_2","Hv_ccamk_HvSC_only_endo_3","Hv_ccamk_HvSC_only_endo_4","Hv_ccamk_HvSC_only_endo_5","Hv_ccamk_HvSC_only_endo_6","Hv_nsp1_HvSC_only_endo_1","Hv_nsp1_HvSC_only_endo_2","Hv_nsp1_HvSC_only_endo_3","Hv_nsp1_HvSC_only_endo_4","Hv_nsp1_HvSC_only_endo_5","Hv_nsp1_HvSC_only_endo_6","Hv_nsp2_HvSC_only_endo_1","Hv_nsp2_HvSC_only_endo_2","Hv_nsp2_HvSC_only_endo_3","Hv_nsp2_HvSC_only_endo_4","Hv_nsp2_HvSC_only_endo_5","Hv_nsp2_HvSC_only_endo_6"
"1","P1_A1",0.427824252861967,0.0671060160361895,1.10659658643526,0.646506586936588,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",0.0693564138406449,0.020323843626419,0.00831866901295793,0.00210716435881999,0.00400307929176289,0.0184552530553305,0.0102446118116901,0.0152466142994951,0.0115543437979777,0.0118084215782749,0.0148665960239763,0.00960159698597014,0.00655143574017285,0.0159329740954904,0.00838448049101271,0.0122489620319751,0.012665246447019,0.0191983911701431,0.0181310090156026,0.0217951880171312,0.0502938885348063,0.0158189268980509,0.0163052046032926,0.0322513954930742,0.0135385817033879,0.0212927481743909,0.0177937542125365,0.00954766875434934,0.0091928320755303
"2","P1_A6",-0.206283463465195,0.131681082100284,0.0935302298955038,0.693261100804874,0,0,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Neorhizobium",0.00783818113347248,0.00887323666555177,0.0159974404095345,0.0151849622048298,0.00703104952527585,0.00760750889303702,0.00902914939335402,0.00646446423873417,0.00624702207634073,0.0118231086697901,0.0158946053235066,0.00906739393257795,0.0125917665644457,0.0110098641221647,0.0153989478298992,0.0103890736252795,0.0105640995710158,0.0106164063230755,0.014754316510862,0.00701840931004328,0.0107924367962609,0.0121910021591293,0.0125441974641353,0.0233615877610089,0.0105770169557718,0.0218530836526643,0.0171646820939115,0.0151148225469729,0.0156837168856176
"3","P1_A8",-0.175021724915469,-1.45386218216699,-1.29698121865778,0.324477088394001,0,-1,-1,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobium",0.0510375377387996,0.067995356798552,0.13300271956487,0.0986353602247642,0.0482935591480626,0.0936263633055096,0.03490113515508,0.073226343944576,0.0454232622161046,0.0860516691879507,0.0838381122586155,0.0299997188404982,0.0866322832450516,0.0271039581804186,0.0141111354669005,0.0214544703075391,0.018005661423527,0.0276634552427275,0.0670015635916032,0.0169293898692737,0.031357552581262,0.0236035427346034,0.0317771321757539,0.0718863522254054,0.0950304292641651,0.130684693803774,0.0695574028308245,0.0951148225469729,0.105997080654679
"4","P1_A9",-0.631538347024827,-2.52319501080668,-1.8317533897121,0.237916637856507,0,-1,-1,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobium",0.000708500086168929,0.00110177661479135,0.000767877139657655,0.000568599906348251,0.00102643058763151,0.000669179022998626,0.000260456232500597,0.00108993873792611,0.000436762136693314,0.000558109477580155,0.000442834775182274,8.43478505356088e-05,0.000511104915900009,0.000143217744678566,0,0.000206654267410622,0.000145912977500219,0.000350762323449631,0.000748527895139559,0.000179384263515483,0.000283266057644643,0,0.000247731009166047,0.000443013674355415,0.00133433136980506,0.00189791049092618,0.000898674455178612,0.000974251913709116,0.00077642162800087
"5","P1_B10",-0.441684733317492,-0.783889677210002,-0.790653612458088,0.378427508747002,0,0,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Boseaceae","Bosea",0.00144253170697458,0.00245932280087355,0.00281554951207807,0.00270921131848284,0.00112907364639466,0.00143227790887425,0.000737959325418358,0.00186667668909184,0.0011382285986553,0.00204150572062215,0.0021034651821158,0.000674782804284871,0.00248582845460459,0.000895110904241035,0.000904208680403332,0.00122113885288095,0.0014007645840021,0.00105228697034889,0.00172993113543365,0.000672690988183062,0.00107641101904964,0.00107222067182703,0.00159899105916267,0.00251041082134735,0.00195268005337325,0.0043561564601258,0.00283082453381263,0.00180932498260264,0.00267089040032299
"6","P1_C1",-0.514546376336797,-0.324808979771543,-0.00310209438664538,-0.0709462175470108,0,0,0,0,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Polaromonas",0.0165954975138668,0.0330336238613335,0.0223004319308911,0.0211719847481437,0.0224788298691301,0.0148158583688468,0.0143685021596163,0.0142318437503915,0.0150484408915242,0.0162586103074008,0.0208132344335669,0.00946101723507746,0.0116160208159093,0.0260119228772445,0.0244410346339325,0.0194255011365985,0.0250094843435375,0.0174211953979983,0.0201769852623174,0.0262797946050183,0.0220522625876354,0.0234419752361089,0.0271152850032655,0.0315130393691485,0.0138965730465063,0.0208227893861615,0.0221073915973938,0.0206541405706333,0.0234479331656263
"7","P1_C2",-0.526848281350118,-1.52856666481042,-0.706202460977686,-0.884564286562147,0,0,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacter",0.000440418972483389,0.0015346174277451,0.000671892497200448,0.000401364639775236,0.000513215293815756,0.000563519177262001,0.000195342174375448,0.000526177321757432,0.000502938218010482,0.000381864379396948,0.000585174524348005,7.02898754463407e-05,0.000441408791004553,0.000143217744678566,0.000383603682595353,0.000225441018993406,0.000262643359500394,0.000303994013656346,0.000665358129012941,0.000426037625849272,0.000637348629700446,0.000146879544085895,0.00038285701416571,0.000561150654183526,0.000260357340449767,0.00115682163256453,0.000314536059312514,0.000222686151704941,0.000124227460480139
"8","P1_C9",NA,NA,NA,NA,NA,NA,NA,NA,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Chitinimonas",0,0,0,0,0,0,0,0.000175392440585811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","P1_D2",NA,NA,NA,NA,NA,NA,NA,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","P1_D3",-0.528179836253742,-1.61001468285486,-0.581794180955534,0.502185939010412,0,-1,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Luteibacter",0.00897433442480644,0.0185728057921971,0.003711406175012,0.00568599906348251,0.0165768539902489,0.0107186043508376,0.00306036073188201,0.00919557509928465,0.00882788924771031,0.00687355882914506,0.00317892106470132,0.0012371018078556,0.00443731995167735,0.00213036395209366,0.00246602367382727,0.00529786394634504,0.00423147634750635,0.00598634365354036,0.0105292923916298,0.00459672175258425,0.00746406061893634,0.00440638632257685,0.00488705718082112,0.0209102454295756,0.017378852475022,0.0127250379582098,0.0279487755560548,0.00848990953375087,0.00385105127488431
"11","P1_E1",-0.244889934941897,-0.550636731107265,-0.67702347907492,0.390919579039038,0,0,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobium",0.0302229541262151,0.0369095165955103,0.0605023196288594,0.0343501237540973,0.0334616371567873,0.0407612204886181,0.0174939769496234,0.0341764698512923,0.0255307321721637,0.0404629371245612,0.0421009346976862,0.018767396744173,0.0270885605427005,0.0301831396910077,0.0232902235861464,0.0285370756542486,0.0291242303090437,0.0237816855298849,0.0421171695665192,0.0152925084646949,0.0255789250053112,0.0182571273298768,0.0245704119091052,0.0359431761127027,0.0448465518924724,0.0763321524112501,0.0491125589755111,0.0535281837160752,0.0461194447032517
"12","P1_E8",-0.497685817510686,-0.878814157523859,-0.897152387985006,-0.0938143505271139,0,-1,-1,0,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Polaromonas",0.0101615507854138,0.016900466287603,0.01993281075028,0.0172921265636497,0.00939183987682833,0.0175160544265605,0.00603390271959716,0.0136179702083412,0.00907935835671555,0.00972285458310691,0.00778123962105996,0.00535608850901116,0.00782919802992287,0.00871838020730769,0.00775427444103463,0.00794679591951756,0.00898823941401348,0.00972780843700309,0.0103130509997006,0.00576271946543489,0.0102542312867361,0.00603674926193029,0.00524739319415355,0.00779704066865531,0.0124971523415888,0.0132492227604656,0.0172545495394293,0.0225469728601253,0.0105593341408118
"13","P1_F10",0.887944216092489,0.86853855041634,0.753906732907291,0.996785164089437,0,0,0,0,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Rhizobacter",0.0155295559427838,0.0395262360556397,0.0319308910574308,0.0252525252525253,0.0226327944572748,0.0687141196773853,0.0385258177240466,0.0538955913857256,0.053337921541638,0.0383039346718169,0.0396495279064986,0.0643011780583125,0.0651194126939875,0.0281243846112533,0.0330173169662429,0.060662420860809,0.0451746578340678,0.0511879150687494,0.0652716324561695,0.035226584747853,0.0322073507541959,0.0562401774304893,0.031056460149089,0.0210283824094037,0.110326423015589,0.0388077507049382,0.0392271399685464,0.0821990257480863,0.0626106400819901
"14","P2_A1",-1.38143215698747,-1.56541167306724,-1.36238538880768,-0.408192000698576,0,-1,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Nitrobacteraceae","Bradyrhizobium",0.00121913077890329,0.00218387864717571,0.00147176451767717,0.00160545855910094,0.00369515011547344,0.00115051832024325,0,0.000876962202929054,0.000661760813171687,0.00114559313819084,0.00129687327017666,0.000281159501785363,0.000952513706904563,0.000411751015950876,0.00063020604997808,0.000864190572808056,0.00107975603350162,0.000631372182209335,0.000881599520942147,0.000695114021122497,0.00120388074498973,0.000411262723440506,0.000788235029164696,0.00147671224785138,0.00100888469424285,0.0024401706311908,0.00116827679173219,0.00242171189979123,0.00077642162800087
"15","P2_A8",-1.0335451696665,-0.838599540441235,-0.663762974017469,-0.306187246551699,0,0,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Mesorhizobium",0.000465950507120107,0.000885356208314479,0.000479923212286034,0.000501705799719045,0.000564536823197331,0.000622219091560126,0.00023875154645888,0.000225504566467471,9.26465138440362e-05,0.000396551470912215,0.000347941609071787,9.8405825624877e-05,0.000185856333054549,0.000268533271272311,0.00068500657606313,0.000544815795900731,0.000525286719000788,0.000397530633242915,0.000648724175787618,0.000515729757607014,0.000283266057644643,0.000146879544085895,0.000360336013332432,0.00050208216426947,0.000195268005337325,0.000795314872388114,0.000718939564142889,0.000389700765483647,0.000403739246560452
"16","P2_B1",-1.3846510443961,-2.78550629524123,-0.992949855487653,-2.6391078369703,0,-1,0,-1,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Asticcacaulis",0.00102126138546873,0.0010230782851634,0.000159974404095345,0.000468258746404442,0.00343854246856556,0.000868758731612252,0,0.000300672755289961,0.000344115622849277,0.000249680555759543,0.000363757136756868,0.00022492760142829,0.000209088374686367,0,0,0,0,0.000795061266485829,0.000166339532253235,0.00134538197636612,0.000637348629700446,0.000367198860214738,0,0.000265808204613249,0.000325446675562209,0,0,0,0
"17","P2_B12",-0.162483315043931,-0.125574699589924,-0.24498011388215,0.982662705083216,0,0,0,1,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Boseaceae","Bosea",0.00153827496186227,0.00247899738328054,0.00447928331466965,0.00321091711820189,0.00159096741082884,0.00189013724039963,0.00125887179041955,0.0027436388920209,0.0021573402509397,0.00242337010001909,0.00317892106470132,0.00106840610678438,0.00304339745376824,0.0031149859467588,0.00172621657167909,0.00227319694151684,0.00318090290950477,0.00217472640538771,0.00304401344023421,0.00123326681166895,0.00213865873521705,0.00165973884817062,0.00265747809832669,0.00398712306919874,0.00309174341784099,0.00780854601981057,0.00678499213659852,0.00384133611691023,0.00506226901456567
"18","P2_B3",NA,NA,NA,NA,NA,NA,NA,NA,"Bacteria","Actinobacteria","Actinomycetia","Micrococcales","Microbacteriaceae","Agromyces",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","P2_C12",-0.425353679769575,-1.50568104098851,-0.733043694888431,-0.136300698064948,0,-1,0,0,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Sphaerotilaceae","Ideonella",0.019091205024606,0.0405493143408031,0.00819068948968165,0.0127433273128637,0.0153964588144727,0.0296082367719743,0.00672845267293209,0.0160233522506609,0.00906612314045212,0.0111181282770573,0.010912714102706,0.00556695813535018,0.0113372363163275,0.00538856764353103,0.00969969311705392,0.00202896917094065,0.0058657016955088,0.0169768964549621,0.00906550450780132,0.0132071664013274,0.0226754479144536,0.00591924562666158,0.00358083913249105,0.0100711775303464,0.0122042503335828,0.0260284867327019,0.0113232981352505,0.0194850382741823,0.0165533091089785
"20","P2_C2=P4_E2",NA,NA,NA,NA,NA,NA,NA,NA,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia",0.000217018044412105,0,0,0,0,0.00116225830310288,0,0.0010022425176332,0.000582349515591085,0.000543422386064888,0.000237232915276218,0.000435797227767312,0,0,0.000493204734765454,0.000281801273741757,0,0.000467683097932841,0.001131108819322,0.000269076395273225,0.00116139083634304,0.000484702495483454,0.0010810080399973,0.000974630083581913,0.000976340026686627,0.000271130070132311,0,0.00100208768267223,0
