feature	P2_H11	P5_A1	P4_H10	P1_A1	P1_A8	P4_A8	P1_F10	P1_E1	P4_C7	P4_B4	P1_C1	P2_D12	P5_B3.P4_C1	P2_C12	P1_E8	P1_D3	P5_A10	P1_A6	P4_B10	P4_E5	P4_B2	P4_F10	P4_D7	P4_C9	P4_G1	P4_G3	P2_B12	P5_E7	P5_B10	P1_B10	P4_B5	P1_C2	P2_A1	P2_B1	P1_A9	P5_C1	P2_C2.P4_E2	P5_C5	P3_A2	P2_A8	P4_E4	P2_E10	P5_D10	P2_G8	P2_H12	P3_C6	P5_D4.P4_F1	P2_D3	P4_B11	P4_H6	P4_H7	P4_G10	P2_D9	P2_H9
Hv_WT_HvSC_only_rhizo_1	2743	133	1990	3313	1111	1430	34	280	2237	1532	447	26	1327	54	186	185	128	51	181	78	69	78	22	204	51	35	16	35	0	0	22	35	0	30	0	9	6	0	0	8	5	41	4	0	0	8	8	0	0	0	0	0	0	0
Hv_WT_HvSC_only_rhizo_2	2360	105	1917	3140	807	674	43	284	1277	1755	384	30	1255	43	148	79	107	53	86	49	50	31	0	180	22	10	13	37	0	12	6	27	0	12	10	14	0	0	0	5	8	35	13	0	0	0	0	0	0	0	0	0	0	0
Hv_WT_HvSC_only_rhizo_3	2683	120	1243	371	675	142	12	128	158	170	258	26	83	9	231	88	118	37	175	39	71	27	63	0	25	18	16	40	0	12	0	17	0	7	0	0	8	0	25	0	0	0	7	4	0	0	4	0	0	0	0	0	0	0
Hv_WT_HvSC_only_rhizo_4	3022	192	2356	431	1540	97	22	418	260	251	464	28	208	36	231	186	92	54	215	73	82	34	0	37	52	29	18	49	0	0	5	41	0	34	22	13	0	0	24	9	0	17	13	9	0	13	16	6	0	0	0	0	0	0
Hv_WT_HvSC_only_rhizo_5	4356	179	1940	482	1329	258	25	347	244	187	540	52	138	40	196	234	121	57	281	86	85	20	54	27	23	54	11	41	0	25	3	56	21	41	14	24	0	0	11	11	0	0	6	10	0	10	12	9	0	0	0	0	0	0
Hv_WT_HvSC_only_rhizo_6	5499	255	3081	273	1594	38	40	291	286	90	665	26	95	32	312	24	233	69	190	112	67	12	0	0	56	34	30	151	23	16	6	38	3	24	8	8	7	0	0	0	17	0	4	0	0	2	23	4	0	0	0	0	0	0
Hv_symrk_HvSC_only_rhizo_1	3451	191	2321	5595	1119	5916	75	299	1867	2169	411	61	1726	107	223	682	140	62	262	138	92	137	460	280	56	108	0	97	33	15	9	68	3	86	6	15	40	0	0	10	9	0	10	9	0	9	21	7	0	0	0	0	4	0
Hv_symrk_HvSC_only_rhizo_2	7698	255	3172	8214	1622	2785	101	412	2890	3352	624	34	2547	51	283	356	210	98	168	127	86	119	123	403	82	66	37	76	35	24	25	56	10	29	14	20	31	0	0	6	31	0	18	6	0	5	8	7	0	0	6	0	0	0
Hv_symrk_HvSC_only_rhizo_3	5476	141	2382	5553	1294	3205	50	266	2447	3271	319	22	3356	21	269	226	171	59	171	127	73	89	102	234	59	32	21	69	42	17	48	66	4	15	0	12	0	0	0	1	20	15	14	0	0	0	13	12	0	6	0	0	0	0
Hv_symrk_HvSC_only_rhizo_4	3177	193	2051	3164	850	2560	82	252	1322	1717	324	35	1880	22	187	292	136	60	131	78	63	76	42	139	43	40	21	30	0	6	56	21	7	11	6	8	18	0	0	0	0	0	3	0	0	0	14	1	0	0	0	0	0	0
Hv_symrk_HvSC_only_rhizo_5	5068	171	3025	3096	1267	1567	30	344	1368	1620	523	18	1355	43	195	138	67	60	123	73	78	62	208	157	55	44	29	80	0	16	45	57	9	22	3	13	21	0	6	8	11	0	14	15	0	6	0	1	0	0	7	0	0	0
Hv_symrk_HvSC_only_rhizo_6	3685	196	2772	3635	1115	1828	81	368	1369	1949	603	55	1588	64	261	118	78	75	194	102	94	88	288	216	49	44	30	133	64	25	19	78	10	18	16	20	40	1	0	4	15	12	8	0	0	16	7	8	0	6	0	0	0	0
Hv_ccamk_HvSC_only_rhizo_1	129	16	14	73	71	8	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hv_ccamk_HvSC_only_rhizo_2	3931	368	5743	2749	1607	1161	112	500	998	992	1604	63	674	57	185	105	127	254	149	87	183	360	303	274	166	82	50	199	126	46	72	62	24	0	8	17	23	11	5	10	142	33	39	13	33	0	11	8	17	0	15	6	5	0
Hv_ccamk_HvSC_only_rhizo_3	2930	539	3102	5787	1423	1673	137	418	1359	1350	1081	72	952	90	180	163	123	232	199	43	128	481	680	324	146	60	52	86	241	23	25	44	26	17	11	23	0	7	33	13	198	0	40	14	51	0	22	10	15	0	20	10	4	0
Hv_ccamk_HvSC_only_rhizo_4	972	139	4050	3926	977	851	51	307	1746	3137	320	21	3227	16	148	127	48	138	62	61	41	145	121	191	59	23	30	104	52	25	42	48	17	0	8	17	29	0	0	10	8	10	22	0	0	0	10	8	0	6	13	0	0	0
Hv_ccamk_HvSC_only_rhizo_5	869	179	3859	2144	704	1092	39	269	998	1742	326	14	1816	40	91	42	82	95	58	23	46	110	153	133	29	14	30	86	39	0	54	39	10	13	0	0	0	0	0	10	11	0	0	0	0	0	8	0	0	0	0	0	0	0
Hv_ccamk_HvSC_only_rhizo_6	1466	221	3634	4110	897	965	52	370	1831	2650	472	12	1571	29	146	407	91	162	76	30	37	109	101	265	65	29	32	80	38	23	29	68	15	14	0	8	4	0	10	1	36	0	10	9	0	0	11	0	0	10	6	0	0	0
Hv_nsp1_HvSC_only_rhizo_1	793	139	2012	4083	511	4925	36	245	1627	1538	379	21	1093	24	128	918	111	67	110	31	48	183	318	286	38	11	23	47	36	15	2	35	16	18	6	8	34	0	0	4	38	10	13	18	33	0	40	3	5	0	0	0	0	0
Hv_nsp1_HvSC_only_rhizo_2	1673	249	1736	9767	1147	3415	95	498	2200	2454	700	44	2011	173	259	1369	962	139	202	73	86	668	105	348	95	90	43	68	0	38	25	109	30	38	0	20	94	13	9	7	44	0	12	19	55	10	25	15	26	0	0	12	0	7
Hv_nsp1_HvSC_only_rhizo_3	2063	188	3560	3487	1426	4150	70	537	1336	1835	706	30	1121	46	209	326	155	121	137	41	86	238	16	160	66	27	32	50	0	20	24	71	0	28	9	25	0	0	14	10	21	0	12	7	10	0	18	6	0	8	0	4	0	6
Hv_nsp1_HvSC_only_rhizo_4	4485	246	2561	2928	953	1271	69	464	1253	1448	967	21	848	75	97	196	66	122	104	44	65	203	25	136	48	30	36	44	42	22	12	58	11	41	0	19	25	5	23	15	32	0	25	15	0	1	0	6	0	0	0	0	3	5
Hv_nsp1_HvSC_only_rhizo_5	1877	185	2089	2018	844	3054	72	303	739	771	734	43	463	98	108	394	104	123	141	41	46	150	47	116	33	23	21	46	0	31	17	98	16	28	12	10	41	0	0	4	17	19	10	0	0	7	0	10	0	0	0	0	0	0
Hv_nsp1_HvSC_only_rhizo_6	2846	142	1761	3246	696	3052	65	326	839	1209	473	29	583	22	163	279	113	96	101	43	67	159	140	88	44	31	14	49	34	26	36	33	0	30	6	0	13	0	15	6	17	0	7	0	0	7	0	8	0	0	0	0	0	0
Hv_nsp2_HvSC_only_rhizo_1	2104	88	1939	3201	619	12312	46	211	953	1215	346	27	604	25	154	435	186	41	60	47	43	98	50	99	46	24	0	32	44	18	23	40	0	23	6	16	28	0	10	5	24	0	9	0	6	0	12	0	0	0	0	0	0	4
Hv_nsp2_HvSC_only_rhizo_2	3110	113	2777	3502	1102	1568	66	307	1133	1882	376	57	1465	67	253	704	135	81	152	158	87	115	128	173	49	40	28	117	37	8	13	46	11	36	12	11	18	0	0	5	18	12	12	5	19	2	2	0	0	0	0	0	0	5
Hv_nsp2_HvSC_only_rhizo_3	1236	60	3075	2262	820	797	37	198	816	1394	235	35	1205	30	129	166	49	36	61	70	46	63	73	104	24	22	0	78	0	0	9	27	0	16	8	6	0	0	0	0	0	0	0	0	0	0	9	1	0	0	0	0	2	0
Hv_nsp2_HvSC_only_rhizo_4	5032	196	5205	1951	1274	2443	59	428	834	981	390	30	619	34	325	339	105	85	95	80	76	128	127	109	48	23	18	35	46	15	79	33	0	0	21	18	8	0	10	7	26	0	0	0	0	24	8	7	0	0	0	0	0	0
Hv_nsp2_HvSC_only_rhizo_5	9076	174	5674	3271	1417	2937	80	467	1499	1255	532	47	712	14	391	136	101	107	145	125	87	90	371	143	91	53	26	44	47	21	67	41	0	19	8	0	0	0	11	18	12	0	9	0	0	15	8	9	0	0	0	0	4	0
Hv_nsp2_HvSC_only_rhizo_6	5612	97	4164	3546	1412	2466	90	324	1872	2245	420	40	1486	27	208	296	111	91	139	92	70	131	263	155	75	39	31	146	33	11	18	32	9	32	12	8	38	0	0	6	24	10	0	4	0	7	13	0	0	0	0	0	0	2
