feature	P2_H11	P5_A1	P4_H10	P1_A1	P1_A8	P4_A8	P1_F10	P1_E1	P4_C7	P4_B4	P1_C1	P2_D12	P5_B3.P4_C1	P2_C12	P1_E8	P1_D3	P5_A10	P1_A6	P4_B10	P4_E5	P4_B2	P4_F10	P4_D7	P4_C9	P4_G1	P4_G3	P2_B12	P5_E7	P5_B10	P1_B10	P4_B5	P1_C2	P2_A1	P2_B1	P1_A9	P5_C1	P2_C2.P4_E2	P5_C5	P3_A2	P2_A8	P4_E4	P2_E10	P5_D10	P2_G8	P2_H12	P3_C6	P5_D4.P4_F1	P2_D3	P4_B11	P4_H6	P4_H7	P4_G10	P2_D9	P2_H9
Hv_WT_HvSC_only_rhizo_1	0.151112825033054	0.00732701630674306	0.109629792860291	0.182514323490524	0.0612053768179815	0.0787791978845306	0.00187307183781402	0.0154252974878801	0.123237108858528	0.0843984133979727	0.0246253856324372	0.00143234905244601	0.0731048920229176	0.00297487880123402	0.0102468047598061	0.0101917144116351	0.00705156456588806	0.00280960775672102	0.00997135301895108	0.00429704715733803	0.00380123402379903	0.00429704715733803	0.00121198765976201	0.0112384310268841	0.00280960775672102	0.00192816218598502	0.000881445570736007	0.00192816218598502	0	0	0.00121198765976201	0.00192816218598502	0	0.00165271044513001	0	0.000495813133539004	0.000330542089026003	0	0	0.000440722785368004	0.000275451740855002	0.00225870427501102	0.000220361392684002	0	0	0.000440722785368004	0.000440722785368004	0	0	0	0	0	0	0
Hv_WT_HvSC_only_rhizo_2	0.15648829653206	0.00696240302367217	0.127113586632186	0.208209004707911	0.0535110403819375	0.0446919965519528	0.00285126980969432	0.0188316424640276	0.0846760824878987	0.116371593395663	0.0254625024865725	0.00198925800676348	0.0832172932829388	0.00285126980969432	0.00981367283336649	0.00523837941781049	0.00709502022412307	0.00351435581194881	0.00570253961938863	0.00324912141104701	0.00331543001127246	0.00205556660698893	0	0.0119355480405809	0.00145878920495988	0.000663086002254492	0.00086201180293084	0.00245341820834162	0	0.000795703202705391	0.000397851601352695	0.00179033220608713	0	0.000795703202705391	0.000663086002254492	0.000928320403156289	0	0	0	0.000331543001127246	0.000530468801803594	0.00232080100789072	0.00086201180293084	0	0	0	0	0	0	0	0	0	0	0
Hv_WT_HvSC_only_rhizo_3	0.377355836849508	0.0168776371308017	0.174824191279887	0.0521800281293952	0.0949367088607595	0.019971870604782	0.00168776371308017	0.0180028129395218	0.0222222222222222	0.0239099859353024	0.0362869198312236	0.00365682137834037	0.0116736990154712	0.00126582278481013	0.0324894514767932	0.0123769338959212	0.0165963431786217	0.00520393811533052	0.0246132208157525	0.00548523206751055	0.009985935302391	0.00379746835443038	0.00886075949367089	0	0.00351617440225035	0.00253164556962025	0.00225035161744023	0.00562587904360056	0	0.00168776371308017	0	0.00239099859353024	0	0.000984528832630098	0	0	0.00112517580872011	0	0.00351617440225035	0	0	0	0.000984528832630098	0.000562587904360056	0	0	0.000562587904360056	0	0	0	0	0	0	0
Hv_WT_HvSC_only_rhizo_4	0.282456304327507	0.017945602392747	0.220207496027666	0.0402841387045518	0.143938685858491	0.00906626787550238	0.00205626694083559	0.0390690718758763	0.0243013365735115	0.0234601364613515	0.0433685391158052	0.00261706701560894	0.0194410692588092	0.00336480044864006	0.0215908028787737	0.0173848023179736	0.00859893447985793	0.00504720067296009	0.0200953360127115	0.00682306757640901	0.00766426768856903	0.00317786709038228	0	0.00345826712776895	0.00486026731470231	0.00271053369473783	0.00168240022432003	0.00457986727731564	0	0	0.000467333395644453	0.00383213384428451	0	0.00317786709038228	0.00205626694083559	0.00121506682867558	0	0	0.00224320029909337	0.000841200112160015	0	0.00158893354519114	0.00121506682867558	0.000841200112160015	0	0.00121506682867558	0.00149546686606225	0.000560800074773343	0	0	0	0	0	0
Hv_WT_HvSC_only_rhizo_5	0.373584905660377	0.0153516295025729	0.166380789022298	0.0413379073756432	0.113979416809605	0.0221269296740995	0.00214408233276158	0.0297598627787307	0.020926243567753	0.0160377358490566	0.0463121783876501	0.00445969125214408	0.0118353344768439	0.00343053173241852	0.0168096054888508	0.0200686106346484	0.010377358490566	0.0048885077186964	0.0240994854202401	0.00737564322469983	0.00728987993138937	0.00171526586620926	0.00463121783876501	0.0023156089193825	0.00197255574614065	0.00463121783876501	0.000943396226415094	0.00351629502572899	0	0.00214408233276158	0.000257289879931389	0.00480274442538594	0.00180102915951973	0.00351629502572899	0.00120068610634648	0.00205831903945111	0	0	0.000943396226415094	0.000943396226415094	0	0	0.000514579759862779	0.000857632933104631	0	0.000857632933104631	0.00102915951972556	0.000771869639794168	0	0	0	0	0	0
Hv_WT_HvSC_only_rhizo_6	0.400276605037123	0.0185616538069588	0.224268452467608	0.0198718881933324	0.116028533993303	0.00276605037123308	0.00291163196971903	0.0211821225797059	0.020818168583491	0.00655117193186781	0.0484058814965788	0.00189256078031737	0.00691512592808269	0.00232930557577522	0.0227107293638084	0.00174697918183142	0.0169602562236133	0.00502256514776532	0.0138302518561654	0.00815256951521328	0.00487698354927937	0.000873489590915708	0	0	0.00407628475760664	0.00247488717426117	0.00218372397728927	0.0109914106856893	0.00167418838258844	0.00116465278788761	0.000436744795457854	0.00276605037123308	0.000218372397728927	0.00174697918183142	0.000582326393943806	0.000582326393943806	0.00050953559470083	0	0	0	0.00123744358713059	0	0.000291163196971903	0	0	0.000145581598485951	0.00167418838258844	0.000291163196971903	0	0	0	0	0	0
Hv_symrk_HvSC_only_rhizo_1	0.121518363322652	0.00672558892918765	0.0817282298672488	0.197013979365471	0.0394027958730941	0.208317194267404	0.00264093806119934	0.0105285397373147	0.0657417514701222	0.0763759287298849	0.0144723405753724	0.00214796295644213	0.0607767879150674	0.00376773830064439	0.0078523891686327	0.0240149301031726	0.0049297510475721	0.00218317546392479	0.00922567696045635	0.00485932603260678	0.00323955068840452	0.00482411352512412	0.0161977534420226	0.0098595020951442	0.00197190041902884	0.00380295080812705	0	0.00341561322581781	0.00116201274692771	0.000528187612239868	0.000316912567343921	0.00239445050882073	0.000105637522447974	0.00302827564350857	0.000211275044895947	0.000528187612239868	0.00140850029930631	0	0	0.000352125074826578	0.000316912567343921	0	0.000352125074826578	0.000316912567343921	0	0.000316912567343921	0.000739462657135815	0.000246487552378605	0	0	0	0	0.000140850029930631	0
Hv_symrk_HvSC_only_rhizo_2	0.211937668630582	0.00702053851660151	0.0873299928418039	0.226143934805352	0.0446561312703045	0.0766752932107263	0.00278068388304609	0.0113429877209405	0.0795661031881504	0.0922856670888167	0.0171796707229778	0.000936071802213535	0.0701227905952315	0.0014041077033203	0.00779142117724795	0.0098012223996476	0.0057816199548483	0.00269808931226254	0.00462529596387864	0.0034965034965035	0.00236771102912835	0.00327625130774737	0.00338637740212543	0.0110952040085898	0.00225758493475029	0.00181708055723804	0.00101866637299708	0.00209239579318319	0.00096360332580805	0.000660756566268377	0.000688288089862893	0.00154176532129288	0.000275315235945157	0.000798414184240956	0.00038544133032322	0.000550630471890314	0.000853477231429987	0	0	0.000165189141567094	0.000853477231429987	0	0.000495567424701283	0.000165189141567094	0	0.000137657617972579	0.000220252188756126	0.00019272066516161	0	0	0.000165189141567094	0	0	0
Hv_symrk_HvSC_only_rhizo_3	0.183820073850285	0.00473313192346425	0.0799597180261833	0.186404833836858	0.0434373950990265	0.107586438402148	0.00167841557569654	0.00892917086270561	0.0821416582745888	0.109801946962068	0.0107082913729439	0.000738502853306479	0.112655253440752	0.000704934541792548	0.0090298757972474	0.00758643840214837	0.00574018126888218	0.00198053037932192	0.00574018126888218	0.00426317556226922	0.00245048674051695	0.00298757972473985	0.00342396777442095	0.00785498489425982	0.00198053037932192	0.00107418596844579	0.000704934541792548	0.00231621349446123	0.0014098690835851	0.000570661295736824	0.00161127895266868	0.00221550855991944	0.000134273246055723	0.000503524672708963	0	0.00040281973816717	0	0	0	3.35683115139308e-05	0.000671366230278617	0.000503524672708963	0.000469956361195032	0	0	0	0.000436388049681101	0.00040281973816717	0	0.000201409869083585	0	0	0	0
Hv_symrk_HvSC_only_rhizo_4	0.166178470551313	0.010095198242494	0.10728109634899	0.165498483104927	0.0444607176482896	0.133905220211319	0.00428915158489382	0.0131812951145517	0.0691494926247515	0.0898106496495449	0.0169473794329951	0.00183073543257663	0.0983366460926875	0.00115074798619102	0.00978135788262371	0.0152735641803536	0.00711371482372633	0.00313840359870279	0.0068521811905011	0.00407992467831363	0.00329532377863793	0.00397531122502354	0.00219688251909196	0.00727063500366147	0.002249189245737	0.00209226906580186	0.00109844125954598	0.0015692017993514	0	0.000313840359870279	0.00292917669212261	0.00109844125954598	0.000366147086515326	0.000575373993095512	0.000313840359870279	0.000418453813160372	0.000941521079610838	0	0	0	0	0	0.00015692017993514	0	0	0	0.000732294173030652	5.23067266450466e-05	0	0	0	0	0	0
Hv_symrk_HvSC_only_rhizo_5	0.23998484704991	0.00809735770432806	0.143242731319254	0.146604792120466	0.0599962117624775	0.074202102471825	0.00142058907093475	0.0162894213467184	0.0647788616346245	0.0767118098304764	0.0247656028032958	0.000852353442560849	0.0641632730372194	0.0020361776683398	0.00923382896107586	0.00653470972629984	0.0031726489250876	0.0028411781418695	0.00582441519083247	0.00345676673927455	0.00369353158443034	0.00293588407993181	0.00984941755848092	0.00743441613789185	0.0026044132967137	0.00208353063737096	0.00137323610190359	0.00378823752249266	0	0.000757647504498532	0.00213088360640212	0.00269911923477602	0.000426176721280424	0.00104176531868548	0.000142058907093475	0.000615588597405057	0.000994412349654323	0	0.00028411781418695	0.000378823752249266	0.000520882659342741	0	0.000662941566436216	0.000710294535467374	0	0.00028411781418695	0	4.73529690311583e-05	0	0	0.000331470783218108	0	0	0
Hv_symrk_HvSC_only_rhizo_6	0.171834926556307	0.00913965959431103	0.129260899976685	0.169503380741432	0.0519934716717183	0.0852413149918396	0.00377710422009793	0.0171601771974819	0.0638377244112847	0.0908836558638377	0.0281184425273957	0.00256470039636279	0.0740498950804383	0.00298437864304034	0.0121706691536489	0.00550244812310562	0.00363721147120541	0.00349731872231289	0.00904639776171602	0.00475635346234553	0.00438330613196549	0.00410352063418046	0.0134297038936815	0.0100722779202611	0.00228491489857776	0.00205176031709023	0.00139892748892516	0.0062019118675682	0.00298437864304034	0.00116577290743763	0.0008859874096526	0.00363721147120541	0.000466309162975052	0.000839356493355094	0.000746094660760084	0.000932618325950105	0.00186523665190021	4.66309162975052e-05	0	0.000186523665190021	0.000699463744462579	0.000559570995570063	0.000373047330380042	0	0	0.000746094660760084	0.000326416414082537	0.000373047330380042	0	0.000279785497785031	0	0	0	0
Hv_ccamk_HvSC_only_rhizo_1	0.339473684210526	0.0421052631578947	0.0368421052631579	0.192105263157895	0.186842105263158	0.0210526315789474	0	0	0.181578947368421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hv_ccamk_HvSC_only_rhizo_2	0.165105632323911	0.0154563400394809	0.241211306648746	0.115460540131883	0.0674954849006678	0.0487630727876013	0.00470410349027679	0.0210004620101642	0.0419169221722878	0.0416649166281658	0.0673694821286068	0.00264605821328069	0.0283086227897014	0.00239405266915872	0.00777017094376076	0.00441009702213449	0.00533411735058171	0.0106682347011634	0.00625813767902894	0.00365408038976857	0.00768616909572011	0.0151203326473182	0.0127262799781595	0.01150825318157	0.00697215338737452	0.00344407576966693	0.00210004620101642	0.00835818388004536	0.00529211642656138	0.00193204250493511	0.00302406652946365	0.00260405728926036	0.00100802217648788	0	0.000336007392162628	0.000714015708345584	0.000966021252467554	0.000462010164223613	0.000210004620101642	0.000420009240203284	0.00596413121088664	0.00138603049267084	0.00163803603679281	0.00054601201226427	0.00138603049267084	0	0.000462010164223613	0.000336007392162628	0.000714015708345584	0	0.000630013860304927	0.000252005544121971	0.000210004620101642	0
Hv_ccamk_HvSC_only_rhizo_3	0.118830352435414	0.0218599180760028	0.125806059131281	0.234700085168512	0.0577118059780184	0.067850914547593	0.00555623149612686	0.0169525895283287	0.0551161941842073	0.0547511862757026	0.0438415054548404	0.00292006326803747	0.0386097254329399	0.00365007908504684	0.00730015817009368	0.00661069878736262	0.00498844141623069	0.0094090927525652	0.00807073042138135	0.00174392667396682	0.00519122358762218	0.0195076448878615	0.0275783753092428	0.0131402847061686	0.00592123940463154	0.0024333860566979	0.00210893458247151	0.00348785334793365	0.00977410066106988	0.00093279798840086	0.00101391085695746	0.00178448310824512	0.00105446729123575	0.00068945938273107	0.000446120777061281	0.00093279798840086	0	0.000283895039948088	0.00133836233118384	0.000527233645617877	0.00803017398710305	0	0.00162225737113193	0.000567790079896175	0.00206837814819321	0	0.000892241554122562	0.000405564342782983	0.000608346514174474	0	0.000811128685565965	0.000405564342782983	0.000162225737113193	0
