feature	P2_H11	P5_A1	P4_H10	P1_A1	P1_A8	P4_A8	P1_F10	P1_E1	P4_C7	P4_B4	P1_C1	P2_D12	P5_B3.P4_C1	P2_C12	P1_E8	P1_D3	P5_A10	P1_A6	P4_B10	P4_E5	P4_B2	P4_F10	P4_D7	P4_C9	P4_G1	P4_G3	P2_B12	P5_E7	P5_B10	P1_B10	P4_B5	P1_C2	P2_A1	P2_B1	P1_A9	P5_C1	P2_C2.P4_E2	P5_C5	P3_A2	P2_A8	P4_E4	P2_E10	P5_D10	P2_G8	P2_H12	P3_C6	P5_D4.P4_F1	P2_D3	P4_B11	P4_H6	P4_H7	P4_G10	P2_D9	P2_H9
Hv_WT_HvSC_only_rhizo_1	-2.72630198682406	-7.09255845817115	-3.18928817824133	-2.45391840559132	-4.03019779228325	-3.66604146200659	-9.060378052422	-6.01855787672737	-3.02049135261322	-3.56664031174738	-5.34370987248902	-9.44740117553125	-3.77388823830214	-8.39295339150887	-6.60868208256431	-6.61645943315603	-7.14784089367234	-8.47541555170084	-6.64799500658913	-7.86243867481009	-8.03931643689417	-7.86243867481009	-9.68840927503504	-6.47541555170084	-8.47541555170084	-9.01855787672737	-10.1478408936723	-9.01855787672737	-11.0192730066056	-12.6376814847305	-9.68840927503504	-9.01855787672737	-14.2085900085427	-9.24095029806382	-13.781223088207	-10.97791589223	-11.5628783929512	-15.3883536955229	-13.217291312018	-11.1478408936723	-11.825912798785	-8.79028888905425	-12.1478408936723	-13.6610543423578	-13.0403468065947	-11.1478408936723	-11.1478408936723	-15.3661855889281	-12.9714717047991	-13.2775780024157	-13.5635935228294	-13.4584066132365	-13.8412694889141	-14.6610543423578
Hv_WT_HvSC_only_rhizo_2	-2.67587333016732	-7.1661989567504	-2.97580985274837	-2.26389563063753	-4.22401961113874	-4.48383969323466	-8.45417971971442	-5.73069735491184	-3.5619016647138	-3.1031891592246	-5.29548197369537	-8.973553878808	-3.58697282557839	-8.45417971971442	-6.67099110878757	-7.57666372623942	-7.13897748801538	-8.15252401985332	-7.45417971971442	-8.26573463030132	-8.2365882846418	-8.92624816402965	-11.4584066132365	-6.38859137808685	-9.42101285577923	-10.5585163795292	-10.1800047562754	-8.67099110878757	-11.0192730066056	-10.2954819736954	-11.2954819736954	-9.12555697225305	-14.2085900085427	-10.2954819736954	-10.5585163795292	-10.0730895523589	-13.3022105065488	-15.3883536955229	-13.217291312018	-11.5585163795292	-10.8804444744165	-8.75116145747156	-10.1800047562754	-13.6610543423578	-13.0403468065947	-15.2261863776879	-14.2889381494558	-15.3661855889281	-12.9714717047991	-13.2775780024157	-13.5635935228294	-13.4584066132365	-13.8412694889141	-14.6610543423578
Hv_WT_HvSC_only_rhizo_3	-1.40600250524626	-5.88874324889826	-2.51602326345429	-4.26035846788597	-3.39689015256858	-5.6458867250021	-9.21067134378562	-5.79563384450678	-5.49185309632967	-5.38624290836908	-4.78440658908352	-8.09519412636569	-6.42059441315985	-9.62570884306447	-4.94388480309072	-6.33620222586948	-5.91299079514494	-7.58618047887783	-5.34442273267445	-7.51023162564453	-6.6458867250021	-8.04074634234331	-6.81835392100686	-9.75439266592439	-8.15177765473205	-8.62570884306447	-8.79563384450678	-7.47370574961942	-11.0192730066056	-9.21067134378562	-14.2933997996865	-8.70817100325644	-14.2085900085427	-9.98827892244917	-13.781223088207	-12.6610543423578	-9.79563384450678	-15.3883536955229	-8.15177765473205	-15.8625405031369	-12.825912798785	-12.3391262474705	-9.98827892244917	-10.7956338445068	-13.0403468065947	-15.2261863776879	-10.7956338445068	-15.3661855889281	-12.9714717047991	-13.2775780024157	-13.5635935228294	-13.4584066132365	-13.8412694889141	-14.6610543423578
Hv_WT_HvSC_only_rhizo_4	-1.82390039339789	-5.80022583784156	-2.18306451473226	-4.63364427947362	-2.79647370298045	-6.78527549637559	-8.92575671992542	-4.67782920648184	-5.36282052553426	-5.41364478461195	-4.52720734343515	-8.57783341650511	-5.68474862042163	-8.2152633371204	-5.53343929714666	-5.84602952745469	-6.8616263825057	-7.63030083639925	-5.63699548897326	-7.1953637796827	-7.02763633394463	-8.29772549731238	-11.4584066132365	-8.17573497293377	-7.68474862042163	-8.52720734343515	-9.2152633371204	-7.77047849444751	-11.0192730066056	-12.6376814847305	-11.0632602436754	-8.02763633394463	-14.2085900085427	-8.29772549731238	-8.92575671992542	-9.68474862042163	-13.3022105065488	-15.3883536955229	-8.80022583784156	-10.2152633371204	-12.825912798785	-9.29772549731238	-9.68474862042163	-10.2152633371204	-13.0403468065947	-9.68474862042163	-9.38518833856272	-10.8002258378416	-12.9714717047991	-13.2775780024157	-13.5635935228294	-13.4584066132365	-13.8412694889141	-14.6610543423578
Hv_WT_HvSC_only_rhizo_5	-1.42049192937095	-6.0254643908236	-2.58743923101337	-4.5963908318579	-3.13315477881168	-5.4980529126646	-8.86542397831313	-5.0704883155096	-5.57854283052497	-5.96238570820022	-4.43246457103703	-7.80884044994677	-6.40075571130969	-8.1873520732005	-5.89457032397265	-5.63891544850445	-6.59041693081326	-7.67639015392312	-5.37485384786693	-7.08301541338576	-7.09988923195016	-9.1873520732005	-7.75439266592439	-8.75439266592439	-8.98571821203085	-7.75439266592439	-10.0498485494506	-8.15172816346977	-11.0192730066056	-8.86542397831313	-11.9243176673667	-7.70192524603025	-9.1169627453091	-8.15172816346977	-9.70192524603025	-8.9243176673667	-13.3022105065488	-15.3883536955229	-10.0498485494506	-10.0498485494506	-12.825912798785	-12.3391262474705	-10.9243176673667	-10.1873520732005	-13.0403468065947	-10.1873520732005	-9.9243176673667	-10.3393551666455	-12.9714717047991	-13.2775780024157	-13.5635935228294	-13.4584066132365	-13.8412694889141	-14.6610543423578
Hv_WT_HvSC_only_rhizo_6	-1.320930797881	-5.75153093228318	-2.15670140210269	-5.65312722822219	-3.10744845515157	-8.49795685569845	-8.42395627425468	-5.56100902623376	-5.58601303236365	-7.25403127281236	-4.36867383875349	-9.04544465100095	-7.17602876081109	-8.74588436914204	-5.46048215027979	-9.16092186842088	-5.88169822448776	-7.63735991236387	-6.17602876081109	-6.93852944708444	-7.67979517868427	-10.1609218684209	-11.4584066132365	-9.75439266592439	-7.93852944708444	-8.6584215278917	-8.83899377353352	-6.50747962981696	-9.22232241308503	-9.74588436914204	-11.1609218684209	-8.49795685569845	-12.1609218684209	-9.16092186842088	-10.745884369142	-10.745884369142	-10.9385294470844	-15.3883536955229	-13.217291312018	-15.8625405031369	-9.6584215278917	-12.3391262474705	-11.745884369142	-13.6610543423578	-13.0403468065947	-12.745884369142	-9.22232241308503	-11.745884369142	-12.9714717047991	-13.2775780024157	-13.5635935228294	-13.4584066132365	-13.8412694889141	-14.6610543423578
Hv_symrk_HvSC_only_rhizo_1	-3.04075375082836	-7.21612368122813	-3.61302170191939	-2.34363009340012	-4.66555818828748	-2.26314617216481	-8.564733818768	-6.56955083506577	-3.92704629703767	-3.7107381715916	-6.11055792558219	-8.86281517170099	-4.04033576008492	-8.05208552286273	-6.99265260934357	-5.3799245802397	-7.66426949231891	-8.839356198877	-6.76012950772643	-7.68502805248571	-8.26999055320686	-7.69552042630335	-5.9480624583195	-6.66426949231891	-8.98619758720627	-8.03866500710041	-11.4702230803581	-8.19363966707675	-9.74915838990542	-10.8866619136554	-11.6236275078216	-8.70608966801354	-13.2085900085427	-8.36728775456178	-12.2085900085427	-10.8866619136554	-9.47162441437651	-15.3883536955229	-13.217291312018	-11.4716244143765	-11.6236275078216	-12.3391262474705	-11.4716244143765	-11.6236275078216	-13.0403468065947	-11.6236275078216	-10.4012350864851	-11.9861975872063	-12.9714717047991	-13.2775780024157	-13.5635935228294	-13.4584066132365	-12.7935525092639	-14.6610543423578
Hv_symrk_HvSC_only_rhizo_2	-2.23828806773972	-7.1542025866917	-3.51737896784658	-2.1446867915715	-4.48499791933328	-3.70509441132316	-8.49034454079876	-6.46205549636734	-3.65170224616251	-3.4377495898512	-5.86315380468831	-10.0610931823002	-3.83397277927636	-9.47613068157906	-7.00389778071867	-6.67282259258416	-7.43431050588443	-8.53384617943535	-7.75623860077179	-8.15987133677839	-8.72229126884846	-8.25373826024261	-8.20604151821131	-6.49391999502259	-8.79100401893247	-9.1041619041921	-9.93910265792161	-8.90062851010697	-10.0192730066056	-10.5635935228294	-10.5046998337758	-9.34120110149295	-11.8266279286632	-10.290575028423	-11.341201101493	-10.8266279286632	-10.1943597131637	-15.3883536955229	-13.217291312018	-12.5635935228294	-10.1943597131637	-12.3391262474705	-10.9786310221082	-12.5635935228294	-13.0403468065947	-12.8266279286632	-12.1485560235506	-12.341201101493	-12.9714717047991	-13.2775780024157	-12.5635935228294	-13.4584066132365	-13.8412694889141	-14.6610543423578
Hv_symrk_HvSC_only_rhizo_3	-2.44363377187899	-7.7229891507381	-3.64458280527278	-2.42348882254516	-4.52491860114438	-3.21643186163079	-9.21868431336217	-6.8072580676357	-3.6057421170575	-3.18702445905411	-6.54512788937202	-10.4031088844996	-3.15001350269707	-10.4702230803581	-6.79107814058027	-7.0423615407217	-7.44468798825099	-8.97989745377505	-7.44468798825099	-7.87385581636473	-8.67271594425688	-8.38680707217049	-8.1901151611654	-6.99217578355349	-8.97989745377505	-9.86254050313689	-10.4702230803581	-8.75401604635872	-9.47022308035813	-10.7750776618866	-9.27757800241574	-8.81814638377844	-12.8625405031369	-10.9556499075284	-13.781223088207	-11.2775780024157	-13.3022105065488	-15.3883536955229	-13.217291312018	-14.8625405031369	-10.5406124082495	-10.9556499075284	-11.0551855810793	-13.6610543423578	-13.0403468065947	-15.2261863776879	-11.1621007849958	-11.2775780024157	-12.9714717047991	-12.2775780024157	-13.5635935228294	-13.4584066132365	-13.8412694889141	-14.6610543423578
Hv_symrk_HvSC_only_rhizo_4	-2.5891946107382	-6.63018694818362	-3.22053220897185	-2.59511010097891	-4.49132495442663	-2.90071589056434	-7.86509198083361	-6.24536406195178	-3.85413752394401	-3.47696966144956	-5.88279398256707	-9.09336096850673	-3.3461270388867	-9.7632123668144	-6.67574952556406	-6.03281942657168	-7.13518114420136	-8.31575338984318	-7.18922098391425	-7.93724176658945	-8.24536406195178	-7.97471647200811	-8.83032656267294	-7.10370291272819	-8.7963792307496	-8.90071589056434	-9.83032656267294	-9.31575338984318	-11.0192730066056	-11.6376814847305	-8.41528906339409	-9.83032656267294	-11.4152890633941	-10.7632123668144	-11.6376814847305	-11.2226439854517	-10.0527189840094	-15.3883536955229	-13.217291312018	-15.8625405031369	-12.825912798785	-12.3391262474705	-12.6376814847305	-13.6610543423578	-13.0403468065947	-15.2261863776879	-10.4152890633941	-14.2226439854517	-12.9714717047991	-13.2775780024157	-13.5635935228294	-13.4584066132365	-13.8412694889141	-14.6610543423578
