feature	P2_H11	P5_A1	P4_H10	P1_A1	P1_A8	P4_A8	P1_F10	P1_E1	P4_C7	P4_B4	P1_C1	P2_D12	P5_B3.P4_C1	P2_C12	P1_E8	P1_D3	P5_A10	P1_A6	P4_B10	P4_E5	P4_B2	P4_F10	P4_D7	P4_C9	P4_G1	P4_G3	P2_B12	P5_E7	P5_B10	P1_B10	P2_H2	P4_B5	P1_C2	P2_A1	P2_B1	P1_A9	P5_C1	P2_C2.P4_E2	P5_C5	P3_A2	P2_A8	P4_E4	P2_E10	P5_D10	P2_G8	P2_H12	P3_C6	P5_D4.P4_F1	P2_D3	P2_F5	P4_B11	P5_D12	P5_A5	P2_D8	P2_E3	P4_H6	P4_G10	P2_D9	P2_H3
Hv_WT_HvSC_only_endo_1	58746	19252	8595	10866	7996	12165	2433	4735	6761	1197	2600	2295	521	2991	1592	1406	3193	1228	1566	898	1446	167	256	267	583	979	241	84	119	226	0	108	69	191	160	111	88	34	38	117	73	11	0	11	38	40	39	18	47	25	0	16	0	14	0	0	7	0	0
Hv_WT_HvSC_only_endo_2	10064	12116	2866	1033	3456	3088	2009	1876	1536	454	1679	1496	251	2061	859	944	800	451	467	472	508	290	64	88	306	542	126	37	0	125	90	33	78	111	52	56	51	0	30	0	45	0	56	10	56	18	39	0	24	0	0	10	0	4	0	0	0	0	0
Hv_WT_HvSC_only_endo_3	7604	8646	836	260	4157	175	998	1891	150	52	697	1476	13	256	623	116	689	500	252	242	282	140	35	55	109	170	140	12	0	88	167	50	21	46	5	24	32	0	10	9	15	0	96	6	3	44	15	6	6	7	0	9	0	14	0	4	0	0	0
Hv_WT_HvSC_only_endo_4	8888	7626	2568	63	2949	57	755	1027	1290	38	633	652	0	381	517	170	151	454	283	283	275	21	7	0	137	158	96	90	0	81	0	36	12	48	14	17	15	0	12	0	15	0	67	0	7	0	5	0	0	0	0	0	0	0	0	0	0	0	0
Hv_WT_HvSC_only_endo_5	5859	7011	1129	78	941	187	441	652	103	25	438	472	0	300	183	323	192	137	140	86	155	17	74	0	39	128	31	0	0	22	0	10	10	72	67	20	19	0	0	0	11	0	47	4	43	0	4	8	0	0	0	0	4	0	0	0	0	3	0
Hv_symrk_HvSC_only_endo_1	24760	19874	4260	1572	7975	1374	5853	3472	938	293	1262	2714	153	2522	1492	913	652	648	518	926	547	268	53	133	226	298	161	50	39	122	237	31	48	98	74	57	56	99	68	34	53	0	69	8	21	33	18	0	18	13	32	10	30	0	0	0	0	4	0
Hv_symrk_HvSC_only_endo_2	24755	8413	3645	472	1608	353	1775	806	311	90	662	744	64	310	278	141	365	416	83	181	83	43	42	22	83	41	58	0	0	34	114	12	9	0	0	12	16	0	21	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hv_symrk_HvSC_only_endo_3	31457	16492	3124	1217	5845	1441	4302	2728	709	233	1136	2529	143	1279	1087	734	1058	516	429	646	358	438	84	97	255	165	219	28	33	149	203	42	42	70	24	87	43	80	70	32	18	5	10	7	11	0	11	0	27	14	0	9	39	12	9	0	0	5	0
Hv_symrk_HvSC_only_endo_4	17936	31566	3462	873	3432	1301	4030	1929	1211	277	1137	2148	373	685	686	667	908	472	262	458	236	141	88	73	167	90	163	0	0	86	226	121	38	50	26	33	12	44	53	14	7	0	0	0	5	0	10	4	12	7	0	6	17	0	0	5	3	0	0
Hv_symrk_HvSC_only_endo_5	27849	10706	4652	804	5859	2483	2608	2755	906	255	1107	890	262	757	662	468	497	805	451	671	281	139	552	49	244	112	165	51	0	139	223	266	26	78	17	38	46	37	44	27	27	0	0	5	12	0	12	0	15	0	0	6	21	4	0	0	0	0	4
Hv_symrk_HvSC_only_endo_6	21408	13920	6044	940	5301	903	2507	2662	1001	376	1316	839	212	690	492	201	734	1005	407	523	212	71	62	75	185	92	201	53	0	133	155	84	37	82	23	28	21	15	76	32	22	0	9	0	11	10	16	0	7	0	17	6	0	0	0	7	0	6	0
Hv_ccamk_HvSC_only_endo_1	14024	37321	2973	683	2134	834	4574	1335	113	38	673	2022	33	396	381	88	1028	645	435	139	322	57	91	29	80	34	76	42	50	48	210	16	5	20	16	6	11	31	46	31	7	0	0	9	19	0	0	0	0	0	0	0	9	0	0	0	0	0	0
Hv_ccamk_HvSC_only_endo_2	5123	21054	1596	282	3729	993	2803	1166	165	106	500	1360	40	488	337	191	391	542	336	153	182	180	385	28	90	49	131	34	0	107	153	62	19	41	9	22	15	0	27	33	8	0	18	3	8	10	5	8	4	14	4	7	0	0	0	0	1	0	0
Hv_ccamk_HvSC_only_endo_3	14107	15324	12158	890	1514	861	1571	1686	641	372	1453	732	455	301	487	119	270	615	279	369	102	31	598	86	141	25	174	137	55	50	88	40	8	23	0	8	8	0	11	8	15	0	0	4	5	13	7	7	2	0	0	0	0	0	0	0	0	0	0
Hv_ccamk_HvSC_only_endo_4	7444	12800	7837	306	515	349	1205	850	508	237	892	753	264	354	283	90	115	562	81	250	94	24	88	23	87	9	63	140	0	33	70	61	14	23	0	0	0	18	8	14	25	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0
Hv_ccamk_HvSC_only_endo_5	5283	26989	8261	652	1142	498	3229	1519	476	291	1034	732	183	108	423	282	334	553	198	179	140	27	61	44	81	18	121	37	0	65	68	35	12	46	0	11	0	15	0	23	29	0	17	0	7	0	0	0	6	0	0	0	0	0	0	0	0	0	0
Hv_ccamk_HvSC_only_endo_6	6572	13539	6212	434	617	352	1548	998	235	191	857	597	116	201	308	145	64	362	93	103	90	20	42	0	61	29	109	53	0	48	151	4	9	37	0	5	0	0	9	0	18	0	29	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hv_nsp1_HvSC_only_endo_1	16522	10059	3779	821	1183	529	2189	1017	659	126	745	862	85	726	416	256	901	454	351	212	134	50	18	53	83	65	93	28	43	45	103	12	13	27	34	15	0	20	0	19	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hv_nsp1_HvSC_only_endo_2	9372	22112	5421	1090	4028	1887	3924	2532	495	248	1213	1251	156	545	620	633	919	887	385	328	292	337	34	70	231	109	183	35	49	104	148	15	40	53	10	45	18	68	49	45	39	8	0	6	20	14	0	0	16	0	0	8	15	0	0	0	0	0	11
Hv_nsp1_HvSC_only_endo_3	16401	12375	6553	972	755	305	1571	682	374	139	1172	543	117	589	257	205	195	313	129	190	163	73	28	27	83	29	55	52	0	30	0	10	19	31	60	8	0	12	5	22	23	0	0	0	11	0	7	9	3	0	0	0	0	0	0	0	0	0	0
Hv_nsp1_HvSC_only_endo_4	19556	20465	6620	3551	2214	1181	2274	1806	1924	602	1557	1290	597	1601	724	527	384	762	246	257	349	294	214	207	246	168	151	46	0	76	137	23	45	85	45	20	41	82	22	41	20	0	14	0	18	35	7	12	32	11	9	0	0	0	8	9	0	0	0
Hv_nsp1_HvSC_only_endo_5	21522	19024	10909	1077	1607	574	3829	1243	515	247	1596	1842	171	403	411	300	391	830	175	285	154	62	140	31	164	50	113	75	54	73	0	41	10	28	25	0	10	33	13	26	10	0	0	4	5	0	0	0	0	11	0	0	0	0	0	0	0	0	0
Hv_nsp1_HvSC_only_endo_6	9525	12540	12605	724	1411	353	1379	1091	366	165	1204	434	99	159	233	217	167	557	76	185	63	68	17	42	127	19	118	86	83	71	0	43	17	35	0	11	4	48	0	21	16	0	0	5	6	0	6	0	0	3	0	0	0	0	0	0	0	0	4
Hv_nsp2_HvSC_only_endo_1	6185	4164	11035	1092	2434	692	712	1217	607	267	1067	193	187	341	264	708	415	791	72	179	133	278	26	30	149	50	135	43	48	85	0	25	19	50	9	15	9	33	11	28	17	3	9	0	0	0	13	2	3	5	0	0	0	0	8	0	0	0	0
Hv_nsp2_HvSC_only_endo_2	3591	11156	2313	416	2920	437	3390	1378	164	56	427	988	29	375	384	534	365	325	158	158	199	76	112	19	121	55	95	0	0	60	162	31	8	31	10	41	14	30	57	27	6	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
Hv_nsp2_HvSC_only_endo_3	8464	12382	6294	1178	7230	1311	2147	4223	419	183	1152	1405	81	1440	733	704	407	1209	222	603	354	451	16	41	475	252	432	53	33	241	81	245	64	135	0	105	103	15	80	86	44	8	0	5	5	32	17	19	18	21	30	8	29	17	12	0	7	0	0
Hv_nsp2_HvSC_only_endo_4	2974	7461	2782	396	1548	420	873	1093	533	85	492	548	17	252	384	622	227	382	104	102	80	58	139	0	63	31	151	36	25	63	80	102	7	26	0	20	16	0	17	15	16	0	0	2	0	0	0	8	0	5	0	0	0	0	0	0	0	0	0
Hv_nsp2_HvSC_only_endo_5	6190	11545	1510	343	3417	261	2953	1923	186	95	742	1487	74	700	810	305	500	543	190	338	266	318	49	31	212	82	138	28	0	65	115	40	8	87	0	35	20	36	161	25	14	0	12	6	5	18	0	0	5	0	8	12	17	0	0	0	0	0	0
Hv_nsp2_HvSC_only_endo_6	7501	8120	3779	296	3413	339	2016	1485	489	55	755	591	33	533	340	124	546	505	80	200	159	58	30	30	121	31	163	45	0	86	0	65	4	25	0	25	13	0	40	41	13	0	0	7	0	19	0	0	0	0	0	0	20	0	4	0	0	0	0
