feature	P2_H11	P5_A1	P4_H10	P1_A1	P1_A8	P4_A8	P1_F10	P1_E1	P4_C7	P4_B4	P1_C1	P2_D12	P5_B3.P4_C1	P2_C12	P1_E8	P1_D3	P5_A10	P1_A6	P4_B10	P4_E5	P4_B2	P4_F10	P4_D7	P4_C9	P4_G1	P4_G3	P2_B12	P5_E7	P5_B10	P1_B10	P2_H2	P4_B5	P1_C2	P2_A1	P2_B1	P1_A9	P5_C1	P2_C2.P4_E2	P5_C5	P3_A2	P2_A8	P4_E4	P2_E10	P5_D10	P2_G8	P2_H12	P3_C6	P5_D4.P4_F1	P2_D3	P2_F5	P4_B11	P5_D12	P5_A5	P2_D8	P2_E3	P4_H6	P4_G10	P2_D9	P2_H3
Hv_WT_HvSC_only_endo_1	0.374992818797516	0.122891120203755	0.0548643869806395	0.069360841062435	0.0510407956134024	0.0776527361977288	0.0155305472395458	0.0302248833453552	0.0431574311083308	0.00764079944337702	0.0165965568527822	0.0146496530681289	0.00332569466165366	0.0190924236717967	0.0101621994267805	0.00897490728269681	0.0203818484734359	0.00783868146739096	0.00999623385825264	0.00573219540530707	0.00923023892658577	0.00106600961323639	0.00163412252088932	0.00170433872295878	0.00372145870968154	0.0062492419841822	0.00153837315443096	0.000536196452166808	0.000759611640569645	0.0014426237879726	0	0.000689395438500182	0.00044044708570845	0.00121920859956977	0.00102132657555583	0.000708545311791854	0.000561729616555704	0.000217031897305613	0.000242565061694508	0.000746845058375197	0.000465980250097345	7.0216202069463e-05	0	7.0216202069463e-05	0.000242565061694508	0.000255331643888956	0.000248948352791732	0.00011489923975003	0.000300014681569524	0.000159582277430598	0	0.000102132657555583	0	8.93660753611347e-05	0	0	4.46830376805673e-05	0	0
Hv_WT_HvSC_only_endo_2	0.198004997343931	0.238377240443072	0.0563873531784288	0.020323843626419	0.067995356798552	0.0607551104727802	0.0395262360556397	0.0369095165955103	0.0302201585771342	0.00893226041277274	0.0330336238613335	0.0294331752808547	0.00493832018415409	0.0405493143408031	0.016900466287603	0.0185728057921971	0.0157396659255907	0.00887323666555177	0.00918802998406359	0.00928640289609853	0.00999468786275011	0.00570562889802664	0.00125917327404726	0.00173136325181498	0.00602042221653845	0.0106636236645877	0.00247899738328054	0.000727959549058571	0	0.00245932280087355	0.00177071241662896	0.000649261219430618	0.0015346174277451	0.00218387864717571	0.0010230782851634	0.00110177661479135	0.00100340370275641	0	0.000590237472209652	0	0.000885356208314479	0	0.00110177661479135	0.000196745824069884	0.00110177661479135	0.000354142483325791	0.000767308713872548	0	0.000472189977767722	0	0	0.000196745824069884	0	7.86983296279536e-05	0	0	0	0	0
Hv_WT_HvSC_only_endo_3	0.243304642754296	0.276645442037564	0.0267494320545228	0.00831920135666976	0.133011230921832	0.00559946245160465	0.0319329344382939	0.0605061914056251	0.00479953924423255	0.00166384027133395	0.0223018590215339	0.0472274661632483	0.000415960067833488	0.00819121364349023	0.0199340863277125	0.00371164368220651	0.0220458835951749	0.0159984641474418	0.00806322593031069	0.00774325664736185	0.0090231337791572	0.00447956996128372	0.00111989249032093	0.0017598310562186	0.00348766518414232	0.00543947781013023	0.00447956996128372	0.000383963139538604	0	0.00281572968994976	0.00534348702524558	0.00159984641474418	0.000671935494192558	0.00147185870156465	0.000159984641474418	0.000767926279077209	0.00102390170543628	0	0.000319969282948837	0.000287972354653953	0.000479953924423255	0	0.00307170511630883	0.000191981569769302	9.59907848846511e-05	0.00140786484497488	0.000479953924423255	0.000191981569769302	0.000191981569769302	0.000223978498064186	0	0.000287972354653953	0	0.000447956996128372	0	0.000127987713179535	0	0	0
Hv_WT_HvSC_only_endo_4	0.297277409860191	0.255067228577162	0.0858920329119005	0.00210716435881999	0.0986353602247642	0.00190648203893237	0.0252525252525253	0.0343501237540973	0.0431466987758378	0.00127098802595491	0.0211719847481437	0.0218074787611211	0	0.0127433273128637	0.0172921265636497	0.00568599906348251	0.00505050505050505	0.0151849622048298	0.00946551608803264	0.00946551608803264	0.00919793966151582	0.000702388119606663	0.000234129373202221	0	0.00458224630410061	0.00528463442370727	0.00321091711820189	0.00301023479831427	0	0.00270921131848284	0	0.00120409391932571	0.000401364639775236	0.00160545855910094	0.000468258746404442	0.000568599906348251	0.000501705799719045	0	0.000401364639775236	0	0.000501705799719045	0	0.0022409525720784	0	0.000234129373202221	0	0.000167235266573015	0	0	0	0	0	0	0	0	0	0	0	0
Hv_WT_HvSC_only_endo_5	0.300692840646651	0.359815242494226	0.0579420066717988	0.00400307929176289	0.0482935591480626	0.00959712599435463	0.0226327944572748	0.0334616371567873	0.00528611752630228	0.00128303823453939	0.0224788298691301	0.0242237618681037	0	0.0153964588144727	0.00939183987682833	0.0165768539902489	0.00985373364126251	0.00703104952527585	0.00718501411342058	0.0044136515268155	0.00795483705414421	0.000872465999486785	0.00379779317423659	0	0.00200153964588145	0.00656915576084167	0.00159096741082884	0	0	0.00112907364639466	0	0.000513215293815756	0.000513215293815756	0.00369515011547344	0.00343854246856556	0.00102643058763151	0.000975109058249936	0	0	0	0.000564536823197331	0	0.00241211188093405	0.000205286117526302	0.00220682576340775	0	0.000205286117526302	0.000410572235052605	0	0	0	0	0.000205286117526302	0	0	0	0	0.000153964588144727	0
Hv_symrk_HvSC_only_endo_1	0.290681975604316	0.233320419352188	0.0500123269820026	0.0184552530553305	0.0936263633055096	0.0161307364491248	0.0687141196773853	0.0407612204886181	0.0110121039223283	0.00343981497787013	0.0148158583688468	0.0318623134810223	0.00179621737752263	0.0296082367719743	0.0175160544265605	0.0107186043508376	0.00765446882447552	0.00760750889303702	0.00608131112128576	0.0108712241280128	0.00642177062421489	0.00314631540637951	0.000622219091560126	0.00156141772033013	0.00265323612627526	0.00349851489216826	0.00189013724039963	0.000586999142981251	0.000457859331525376	0.00143227790887425	0.00278237593773113	0.000363939468648376	0.000563519177262001	0.00115051832024325	0.000868758731612252	0.000669179022998626	0.000657439040139001	0.00116225830310288	0.000798318834454502	0.000399159417227251	0.000622219091560126	0	0.000810058817314127	9.39198628770002e-05	0.000246539640052126	0.000387419434367626	0.00021131969147325	0	0.00021131969147325	0.000152619777175125	0.000375679451508001	0.00011739982859625	0.000352199485788751	0	0	0	0	4.69599314385001e-05	0
Hv_symrk_HvSC_only_endo_2	0.53729950296269	0.18260152366896	0.0791135806220563	0.0102446118116901	0.03490113515508	0.00766175417272589	0.0385258177240466	0.0174939769496234	0.0067501573589738	0.00195342174375448	0.0143685021596163	0.016148286415037	0.00138909990666985	0.00672845267293209	0.00603390271959716	0.00306036073188201	0.00792221040522649	0.00902914939335402	0.00180148894146246	0.00392854817355067	0.00180148894146246	0.000933301499793806	0.000911596813752089	0.000477503092917761	0.00180148894146246	0.000889892127710373	0.00125887179041955	0	0	0.000737959325418358	0.00247433420875567	0.000260456232500597	0.000195342174375448	0	0	0.000260456232500597	0.000347274976667463	0	0.000455798406876045	0	0.00023875154645888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hv_symrk_HvSC_only_endo_3	0.394193055224872	0.206664076891267	0.039147379105525	0.0152504354582023	0.0732446961817521	0.0180574178268443	0.0539090988834726	0.0341850352752472	0.00888460044360346	0.00291976291023922	0.0142354105838273	0.0316913321888197	0.00179195749426699	0.0160273680780943	0.0136213831906868	0.00919787972581797	0.013257979223318	0.00646608438490746	0.00537587248280097	0.0080951366524229	0.00448615932131176	0.00548865302439819	0.00105261838824075	0.00121552361499229	0.00319544867858799	0.00206764326261576	0.0027443265121991	0.00035087279608025	0.000413528652523151	0.00186714452199847	0.00254382777158181	0.000526309194120374	0.000526309194120374	0.000877181990200624	0.000300748110925928	0.00109021190210649	0.000538840365408955	0.00100249370308643	0.000877181990200624	0.000400997481234571	0.000225561083194446	6.26558564429017e-05	0.000125311712885803	8.77181990200624e-05	0.000137842884174384	0	0.000137842884174384	0	0.000338341624791669	0.000175436398040125	0	0.000112780541597223	0.000488715680254633	0.000150374055462964	0.000112780541597223	0	0	6.26558564429017e-05	0
Hv_symrk_HvSC_only_endo_4	0.23740569159497	0.417816015883521	0.0458239576439444	0.0115552614162806	0.0454268696227664	0.0172203838517538	0.0533421575115817	0.0255327597617472	0.0160291197882197	0.00366644606221046	0.0150496360026473	0.0284315023163468	0.00493712772998015	0.00906684315023163	0.00908007941760424	0.00882859033752482	0.0120185307743216	0.00624751819986764	0.00346790205162144	0.00606221045665122	0.00312375909993382	0.00186631369953673	0.00116479152878888	0.000966247518199868	0.00221045665122435	0.00119126406353408	0.00215751158173395	0	0	0.00113831899404368	0.00299139642620781	0.00160158835208471	0.000502978160158835	0.000661813368630046	0.000344142951687624	0.000436796823295831	0.000158835208471211	0.000582395764394441	0.000701522170747849	0.000185307743216413	9.26538716082065e-05	0	0	0	6.61813368630046e-05	0	0.000132362673726009	5.29450694904037e-05	0.000158835208471211	9.26538716082065e-05	0	7.94176042356056e-05	0.000225016545334216	0	0	6.61813368630046e-05	3.97088021178028e-05	0	0
Hv_symrk_HvSC_only_endo_5	0.409020811608677	0.157240001762451	0.0683243497290232	0.0118084215782749	0.0860516691879507	0.0364680482324085	0.0383039346718169	0.0404629371245612	0.0133065049128321	0.00374520833639314	0.0162586103074008	0.0130715114485878	0.00384801797700001	0.0111181282770573	0.00972285458310691	0.00687355882914506	0.00729948448308781	0.0118231086697901	0.00662387827338552	0.00985503840674431	0.00412707271579009	0.00204150572062215	0.00810727451642751	0.000719667484248094	0.0035836503297252	0.00164495424970993	0.00242337010001909	0.000749041667278629	0	0.00204150572062215	0.00327522140790459	0.00390676634306108	0.000381864379396948	0.00114559313819084	0.000249680555759543	0.000558109477580155	0.000675606209702293	0.000543422386064888	0.000646232026671758	0.000396551470912215	0.000396551470912215	0	0	7.34354575763362e-05	0.000176245098183207	0	0.000176245098183207	0	0.000220306372729008	0	0	8.81225490916034e-05	0.000308428921820612	5.87483660610689e-05	0	0	0	0	5.87483660610689e-05
