feature	P2_H11	P5_A1	P4_H10	P1_A1	P1_A8	P4_A8	P1_F10	P1_E1	P4_C7	P4_B4	P1_C1	P2_D12	P5_B3.P4_C1	P2_C12	P1_E8	P1_D3	P5_A10	P1_A6	P4_B10	P4_E5	P4_B2	P4_F10	P4_D7	P4_C9	P4_G1	P4_G3	P2_B12	P5_E7	P5_B10	P1_B10	P2_H2	P4_B5	P1_C2	P2_A1	P2_B1	P1_A9	P5_C1	P2_C2.P4_E2	P5_C5	P3_A2	P2_A8	P4_E4	P2_E10	P5_D10	P2_G8	P2_H12	P3_C6	P5_D4.P4_F1	P2_D3	P2_F5	P4_B11	P5_D12	P5_A5	P2_D8	P2_E3	P4_H6	P4_G10	P2_D9	P2_H3
Hv_WT_HvSC_only_endo_1	-1.41506512697061	-3.02454742084347	-4.18798620444292	-3.84973479713702	-4.29220537206371	-3.68681942898255	-6.00874752386991	-5.0481194184526	-4.53424719699631	-7.03206069186484	-5.91297222089253	-6.09298969050717	-8.23212856652983	-5.71085593368899	-6.62064350826469	-6.79988724973581	-5.61657129123825	-6.99517328343816	-6.6443996315173	-7.4466964940672	-6.75941629185722	-9.87356383633429	-9.25726812880834	-9.19657219712079	-8.06991605560785	-7.32210307920465	-9.34437879257838	-10.8649507060296	-10.3624503655004	-9.43708916639315	-10.6124620012638	-10.5023806266449	-11.1487436720302	-9.67983930077259	-9.93534003392098	-10.4628522624582	-10.797836510171	-12.169805287558	-12.0093406153648	-10.3869034092249	-11.0674435699283	-13.797836510171	-13.9621911098817	-13.797836510171	-12.0093406153648	-11.935340033921	-11.9718659099461	-13.087343127366	-11.7026792771307	-12.6134119390336	-14.3924515957657	-13.2572681288083	-13.948326669413	-13.4499132067507	-14.1141942033267	-14.8832160400522	-14.4499132067507	-15.3782101723221	-15.055091747157
Hv_WT_HvSC_only_endo_2	-2.33639125270204	-2.06868159678596	-4.14848456531918	-5.62068292071627	-3.87841995741786	-4.04085042231325	-4.66104561084804	-4.75986334706595	-5.04834495886017	-6.80675897229041	-4.9199209446443	-5.08641299969369	-7.66176390563056	-4.62417867004207	-5.88679313844287	-5.75066441021949	-5.98945126980661	-6.81632383632595	-6.76602871987167	-6.75066441021949	-6.64462277280916	-7.4533983695664	-9.63330745958133	-9.17387584094403	-7.37591961688868	-6.55115841822746	-8.65602753608141	-10.4238540939524	-12.2397250854106	-8.66752317491924	-9.14145436325166	-10.5889133402229	-9.34790524071908	-8.83889159323122	-9.93286774144024	-9.82595253752373	-9.96088211760983	-13.169805287558	-10.7264168639728	-13.769269660258	-10.1414543632517	-14.9621911098817	-9.82595253752373	-12.311379364694	-9.82595253752373	-11.463382458139	-10.3479052407191	-15.2051441349396	-11.0483449588602	-14.8534070315053	-14.3924515957657	-12.311379364694	-13.948326669413	-13.6333074595813	-14.1141942033267	-14.8832160400522	-16.3924515957657	-15.3782101723221	-15.055091747157
Hv_WT_HvSC_only_endo_3	-2.03916424475203	-1.85388994050468	-5.2243479293197	-6.90933924837213	-2.91038002877621	-7.48049594956826	-4.96881105606333	-4.04677341345082	-7.7028883709047	-9.23126734325949	-5.48669221553216	-4.40423005534019	-11.2312673432595	-6.93170706140059	-5.64861870837658	-8.07372606627301	-5.50334688869629	-5.9659227767385	-6.95442713790067	-7.01284382412599	-6.79215570900179	-7.80242404445562	-9.80242404445562	-9.15034734787593	-8.16352273662366	-7.52231612526288	-7.80242404445562	-11.3467445606794	-12.2397250854106	-8.47227544276329	-7.54800276892653	-9.28785087162586	-10.5393896386218	-9.40814510534357	-12.6097789665132	-10.3467445606794	-9.93170706140059	-13.169805287558	-11.6097789665132	-11.7617820599583	-11.0248164657921	-14.9621911098817	-8.34674456067943	-12.3467445606794	-13.3467445606794	-9.47227544276329	-11.0248164657921	-12.3467445606794	-12.3467445606794	-12.124352139343	-14.3924515957657	-11.7617820599583	-13.948326669413	-11.124352139343	-14.1141942033267	-12.9317070614006	-16.3924515957657	-15.3782101723221	-15.055091747157
Hv_WT_HvSC_only_endo_4	-1.7501182580156	-1.97105054367857	-3.54133187228239	-8.89048143590477	-3.34175125234295	-9.03487134523995	-5.30742852519225	-4.86354089308649	-4.53460600909407	-9.6198338459611	-5.56169966997635	-5.51903320517361	-12.2312673432595	-6.29411417191137	-5.85374088908975	-7.45837042326699	-7.62935662007961	-6.04121287211377	-6.72310311657281	-6.72310311657281	-6.76447355099267	-10.4754439366259	-12.0604064373471	-12.2602706757277	-7.76972927644416	-7.56398061122759	-8.28279885868353	-8.37590826307501	-12.2397250854106	-8.52791135652006	-10.6124620012638	-9.69783635796238	-11.2827988586835	-9.28279885868353	-11.0604064373471	-10.7802985181543	-10.9608707637962	-13.169805287558	-11.2827988586835	-13.769269660258	-10.9608707637962	-14.9621911098817	-8.80167216894692	-15.0550069886909	-12.0604064373471	-13.6263706873711	-12.5458332645173	-15.2051441349396	-15.769269660258	-14.8534070315053	-14.3924515957657	-14.6201816342184	-13.948326669413	-15.055091747157	-14.1141942033267	-14.8832160400522	-16.3924515957657	-15.3782101723221	-15.055091747157
Hv_WT_HvSC_only_endo_5	-1.73363757644845	-1.47467179155242	-4.1092465402834	-7.96467409219415	-4.37202539832786	-6.70318185116876	-5.46544146549888	-4.90134815682532	-7.56357578387318	-9.60622012128167	-5.47528925145523	-5.36743326169456	-12.2312673432595	-6.02125762056052	-6.73437647277236	-5.91468595636247	-6.66511381033524	-7.15204422809587	-7.12079329411143	-7.8238115563543	-6.97395190578216	-10.1626134698061	-8.04062294542745	-12.2602706757277	-8.96467409219415	-7.2500763110564	-9.29588000066953	-12.4767642827114	-12.2397250854106	-9.7906446924191	-10.6124620012638	-10.928148216169	-10.928148216169	-8.08015130961409	-8.18398712059863	-9.92814821616904	-10.0021487976128	-13.169805287558	-14.1227309492764	-13.769269660258	-10.7906446924191	-14.9621911098817	-8.69548745937876	-12.2500763110564	-8.8238115563543	-13.6263706873711	-12.2500763110564	-11.2500763110564	-15.769269660258	-14.8534070315053	-14.3924515957657	-14.6201816342184	-12.2500763110564	-15.055091747157	-14.1141942033267	-14.8832160400522	-16.3924515957657	-12.6651138103352	-15.055091747157
Hv_symrk_HvSC_only_endo_1	-1.78248647822044	-2.09961552263154	-4.32157245720887	-5.75982467006346	-3.41694136878247	-5.95404388350397	-3.86324960899189	-4.61665893987759	-6.50476605980669	-8.18345331789982	-6.07671397733952	-4.97200516690322	-9.12082232962942	-5.07785761199385	-5.83517835206683	-6.54373912233785	-7.02948201809099	-7.03836016943744	-7.36140188463551	-6.52334178906183	-7.28281314952951	-8.3121209818643	-10.6502897177589	-9.32292773682088	-8.55803120990688	-8.15904165185991	-9.04729329420745	-10.7343539825473	-11.0928079534598	-9.44747283475918	-8.48946692342381	-11.4240138619352	-10.7932476716009	-9.76350032820686	-10.1687568066931	-10.5453201581573	-10.5708552502645	-9.74885355224246	-10.2907473310717	-11.2907473310717	-10.6502897177589	-14.9621911098817	-10.2696857155439	-13.3782101723221	-11.9858927495433	-11.3338160529636	-12.2082851708798	-15.2051441349396	-12.2082851708798	-12.677770454181	-11.3782101723221	-13.0562820774347	-11.4713195767136	-15.055091747157	-14.1141942033267	-14.8832160400522	-16.3924515957657	-14.3782101723221	-15.055091747157
Hv_symrk_HvSC_only_endo_2	-0.896201591429331	-2.45322929133696	-3.65993082106455	-6.60899087091701	-4.84058222909993	-7.02810954700767	-4.69803061099945	-5.83699789175089	-7.21086315014825	-8.99978082394918	-6.12094651347164	-5.95247510917082	-9.49163392027885	-7.21550951500462	-7.37269284755535	-8.35208256788006	-6.97988126651147	-6.79119420213776	-9.11659448893193	-7.99178803319565	-9.11659448893193	-10.0653691655768	-10.0993164975001	-11.0322023016416	-9.11659448893193	-10.1340819156608	-9.63365292515128	-12.4767642827114	-12.2397250854106	-10.4041710790285	-8.65874390611411	-11.9066714195577	-12.3217089188365	-12.796323575968	-13.6097789665132	-11.9066714195577	-11.4916339202789	-13.169805287558	-11.0993164975001	-13.769269660258	-12.0322023016416	-14.9621911098817	-13.9621911098817	-15.0550069886909	-14.8832160400522	-13.6263706873711	-14.3001278112402	-15.2051441349396	-15.769269660258	-14.8534070315053	-14.3924515957657	-14.6201816342184	-13.948326669413	-15.055091747157	-14.1141942033267	-14.8832160400522	-16.3924515957657	-15.3782101723221	-15.055091747157
Hv_symrk_HvSC_only_endo_3	-1.343025735251	-2.27464045888095	-4.67494046662704	-6.03500575205529	-3.77113189535	-5.79126458459427	-4.21332739534596	-4.87049127574485	-6.8144773875295	-8.41993306011474	-6.13437208526434	-4.97976788310578	-9.12424786799063	-5.96331865588738	-6.19798297974171	-6.76448295192581	-6.23699529265499	-7.27289194934577	-7.53928536726947	-6.94872885007509	-7.80030342750476	-7.50933214516785	-9.89180178199026	-9.68420636258189	-8.28976576791016	-8.9177969905232	-8.50933214516785	-11.4767642827114	-11.2397250854106	-9.06495068430686	-8.61878328758384	-10.8918017819903	-10.8918017819903	-10.1548361878241	-11.6991567040479	-9.84117570892029	-10.8578544500669	-9.96219110988166	-10.1548361878241	-11.284119204769	-12.1141942033267	-13.9621911098817	-12.9621911098817	-13.4767642827114	-12.8246875861317	-13.6263706873711	-12.8246875861317	-15.2051441349396	-11.5292317026055	-12.4767642827114	-14.3924515957657	-13.1141942033267	-10.9987169859068	-12.6991567040479	-13.1141942033267	-14.8832160400522	-16.3924515957657	-13.9621911098817	-15.055091747157
Hv_symrk_HvSC_only_endo_4	-2.07457357213413	-1.25906029948361	-4.44775412557292	-6.43530629131011	-4.46031029744001	-5.85973888822176	-4.22858001152422	-5.29150670689045	-5.96316098524523	-8.09140196889036	-6.05412759604731	-5.13636585695414	-7.66211231468432	-6.78518395709166	-6.78307936876674	-6.82360118375497	-6.37859564764864	-7.32250108557771	-8.1717211334021	-7.36594034684261	-8.32250108557771	-9.06559278254076	-9.74571251630226	-10.0153195760595	-8.8214398424655	-9.71329103860988	-8.85641598070848	-12.4767642827114	-12.2397250854106	-9.77887938023746	-8.38496517252437	-9.28628089766496	-10.957216621496	-10.5612879451648	-11.5047044167985	-11.1607500155811	-12.6201816342184	-10.7457125163023	-10.4772236803764	-12.3977892128819	-13.3977892128819	-14.9621911098817	-13.9621911098817	-15.0550069886909	-13.8832160400522	-13.6263706873711	-12.8832160400522	-14.2051441349396	-12.6201816342184	-13.3977892128819	-14.3924515957657	-13.6201816342184	-12.1176812936892	-15.055091747157	-14.1141942033267	-13.8832160400522	-14.6201816342184	-15.3782101723221	-15.055091747157
Hv_symrk_HvSC_only_endo_5	-1.28975384330771	-2.66895980984203	-3.8714563656838	-6.40404005597809	-3.53865301254907	-4.77722320098018	-4.70636359292594	-4.6272551436985	-6.23172450711079	-8.06073831029816	-5.94265224037547	-6.25743022130326	-8.02166874561957	-6.49094225717129	-6.6844043403498	-7.18472702757362	-7.09798970559474	-6.40224677415504	-7.23810812390164	-6.66492279095684	-7.9206654269361	-8.93615067443351	-6.94656729037885	-10.4403819030418	-8.12435440959413	-9.24773682509942	-8.68876953291121	-10.3826664051855	-12.2397250854106	-8.93615067443351	-8.25419184723672	-7.99980931165583	-11.3546520290159	-9.76968952829477	-11.9676289059067	-10.8071642337134	-10.5315297911	-10.8456383815281	-10.5956601285197	-11.3002042449936	-11.3002042449936	-14.9621911098817	-13.9621911098817	-13.7331636522697	-12.4701292464359	-13.6263706873711	-12.4701292464359	-15.2051441349396	-12.1482011515485	-14.8534070315053	-14.3924515957657	-13.4701292464359	-11.6627743243783	-14.055091747157	-14.1141942033267	-14.8832160400522	-16.3924515957657	-15.3782101723221	-14.055091747157
