"Order","Compartment","P_Value","WT","symrk","ccamk","nsp1","nsp2"
"Actinomycetales","Root",0.234037209081371,"a","a","a","a","a"
"Bacillales","Root",NA,NA,NA,NA,NA,NA
"Burkholderiales","Root",0.112098130617292,"a","a","a","a","a"
"Caulobacterales","Root",0.0757217658761977,"a","a","a","a","a"
"Flavobacteriales","Root",0.00493618632807108,"b","ab","c","ac","ab"
"Pseudomonadales","Root",0.00122692701431466,"b","a","b","b","b"
"Rhizobiales","Root",1.44257129876639e-05,"b","a","a","a","a"
"Sphingomonadales","Root",0.100287951235041,"a","a","a","a","a"
"Xanthomonadales","Root",0.136035458395625,"a","a","a","a","a"
"Actinomycetales","Rhizosphere",0.606789466523064,"a","a","a","a","a"
"Bacillales","Rhizosphere",0.4380008112066,"a","a","a","a","a"
"Burkholderiales","Rhizosphere",0.00051772129419783,"a","ab","a","b","b"
"Caulobacterales","Rhizosphere",0.393414842740194,"a","a","a","a","a"
"Flavobacteriales","Rhizosphere",0.0489681261038543,"b","ab","ab","ab","a"
"Pseudomonadales","Rhizosphere",0.00346056355611095,"b","a","a","a","ab"
"Rhizobiales","Rhizosphere",0.00692431941305692,"b","ab","a","ab","ab"
"Sphingomonadales","Rhizosphere",0.709089604473256,"a","a","a","a","a"
"Xanthomonadales","Rhizosphere",0.0524097008803284,"a","a","a","a","a"
