ASV,symrk,ccamk,nsp1,nsp2,f6h1
LjRoot221,1,1,0,0,0
LjRoot149,1,1,1,0,0
G37_LjNodule209,-1,-1,-1,-1,0
LjRoot228,-1,-1,-1,-1,0
LjRoot223,1,0,0,0,0
G21_LjRoot111,1,1,1,1,0
G3_LjRoot129,1,1,1,1,0
LjRoot196,0,0,0,-1,0
G8_LjRoot126,0,0,-1,-1,0
G32_LjRoot291,0,0,1,1,0
G11_LjRoot25,1,0,0,0,0
G16_LjRoot125,0,1,0,0,0
LjRoot17,0,1,0,0,0
LjRoot82,1,1,1,0,0
G2_LjRoot102,1,1,1,1,0
G20_LjRoot162,1,1,1,1,0
LjRoot183,1,1,0,1,0
LjRoot71,0,1,0,0,0
LjRoot289,0,0,-1,-1,0
LjRoot3,0,0,0,-1,0
G4_LjRoot26,1,1,0,1,0
G6_LjRoot130,1,1,0,0,0
LjRoot219,0,0,0,-1,0
LjRoot243,0,0,1,0,0
LjRoot122,0,1,0,0,0
G29_LjRoot226,1,1,0,0,0
LjRoot237,1,1,0,0,0
LjRoot10,0,0,-1,-1,0
G7_LjRoot117,0,1,1,0,0
G36_LjRoot142,0,0,0,-1,0
G5_LjRoot105,0,1,0,0,0
G14_LjRoot22,0,-1,-1,0,0
LjRoot89,1,1,-1,1,0
LjRoot1,0,0,0,-1,-1
G35_LjRoot145,1,1,0,0,0
G30_LjRoot2,0,0,-1,0,0
LjRoot277,1,-1,0,0,0
G33_LjRoot104,1,1,0,0,0
G27_LjRoot78,0,-1,0,-1,0
G24_LjRoot12,0,0,-1,-1,0
LjRoot295,1,1,0,0,0
G9_LjRoot131,0,1,0,0,0
LjRoot258,0,-1,-1,-1,0
G15_LjRoot29,0,-1,0,0,0
G34_LjRoot233,0,0,-1,-1,0
LjRoot261,0,0,1,0,0
LjRoot28,0,1,0,0,0
