ASV,symrk,ccamk,nsp1,nsp2,f6h1
LjRoot221,1,1,0,1,0
G37_LjNodule209,0,-1,-1,-1,0
LjRoot228,0,-1,-1,-1,0
LjRoot223,0,-1,0,0,0
G21_LjRoot111,-1,-1,-1,0,0
G3_LjRoot129,1,1,1,1,1
G8_LjRoot126,-1,-1,-1,0,1
LjRoot259,0,-1,0,0,0
G32_LjRoot291,0,0,1,1,0
G11_LjRoot25,1,-1,1,1,0
G16_LjRoot125,0,0,-1,0,0
LjRoot82,0,-1,-1,-1,0
G2_LjRoot102,1,1,1,1,0
G20_LjRoot162,-1,-1,-1,-1,0
LjRoot183,0,0,0,1,0
G1_LjRoot134,0,-1,0,0,0
LjRoot3,0,1,0,0,0
G4_LjRoot26,0,1,0,1,0
LjRoot18,1,0,1,1,0
G6_LjRoot130,1,0,0,1,1
G17_LjRoot232,-1,-1,-1,0,0
LjRoot227,0,0,0,1,0
LjRoot243,1,0,0,1,0
LjRoot122,0,1,0,0,0
LjRoot237,1,1,1,1,1
LjRoot10,0,1,0,0,0
G7_LjRoot117,1,1,1,1,0
LjRoot229,1,1,0,1,0
LjRoot11,-1,0,-1,0,0
G5_LjRoot105,0,1,1,1,0
G14_LjRoot22,1,-1,0,0,0
LjRoot248,0,-1,-1,0,0
LjRoot89,0,1,-1,1,0
LjRoot1,1,0,0,0,0
G35_LjRoot145,1,1,1,1,1
G30_LjRoot2,1,0,0,1,0
LjRoot277,0,-1,-1,1,0
G27_LjRoot78,0,-1,0,0,0
LjRoot296,0,0,0,1,0
G24_LjRoot12,0,0,-1,0,0
LjRoot295,1,1,0,1,0
LjRoot257,0,0,-1,0,-1
G15_LjRoot29,1,-1,1,1,0
LjRoot230,1,-1,0,0,0
G34_LjRoot233,0,-1,0,0,0
LjRoot58,-1,-1,-1,-1,0
LjRoot247,0,-1,0,0,-1
LjRoot28,0,1,0,1,0
LjRoot288,1,0,0,0,0
LjRoot100,0,0,0,1,0
