feature	LjRoot221	LjRoot149	LjRoot223	G37_LjNodule209	G21_LjRoot111	LjRoot228	G3_LjRoot129	LjRoot196	G32_LjRoot291	LjRoot259	G11_LjRoot25	G8_LjRoot126	LjRoot17	G2_LjRoot102	G16_LjRoot125	LjRoot82	G20_LjRoot162	LjRoot183	G1_LjRoot134	LjRoot71	LjRoot289	LjRoot3	G4_LjRoot26	LjRoot18	G6_LjRoot130	G17_LjRoot232	LjRoot227	LjRoot219	LjRoot122	LjRoot243	G12_LjRoot70	G29_LjRoot226	G22_LjRoot238	LjRoot237	G7_LjRoot117	LjRoot10	LjRoot229	G5_LjRoot105	LjRoot11	G36_LjRoot142	G14_LjRoot22	LjRoot285	LjRoot240	LjRoot248	G35_LjRoot145	LjRoot89	LjRoot1	G30_LjRoot2	LjRoot277	LjRoot152	G33_LjRoot104	G27_LjRoot78	LjRoot30	LjRoot295	LjRoot296	LjRoot257	G9_LjRoot131	G24_LjRoot12	LjRoot244	G15_LjRoot29	LjRoot230	LjRoot258	LjRoot8	LjRoot220	G34_LjRoot233	LjRoot80	LjRoot247	LjRoot58	LjRoot261	G31_LjRoot101	LjRoot28	G25_LjRoot27	LjRoot288	LjRoot100
Lj_Gifu_LjSC_1_rhizo	7453	13119	2346	284	5089	129	1219	2890	1263	3165	1702	3517	2171	987	1860	5039	2850	1081	1660	533	878	551	367	378	267	635	273	300	630	176	500	229	213	119	95	227	58	113	254	200	111	0	74	164	0	66	101	66	103	59	0	115	49	9	69	46	90	55	25	32	13	0	10	0	16	0	17	42	0	19	0	0	0	0
Lj_Gifu_LjSC_2_rhizo	9283	9965	2029	223	4968	484	1569	4568	1385	2936	1547	4782	2896	1352	2273	3333	4025	1560	1070	882	987	624	704	386	474	1053	313	380	877	178	270	268	260	124	130	280	91	153	265	206	113	0	165	89	0	93	113	63	176	103	44	95	89	20	62	75	0	55	13	27	25	0	10	0	20	15	23	80	0	12	0	0	0	0
Lj_Gifu_LjSC_3_rhizo	4233	8749	1725	128	5458	56	1288	3291	1399	3451	1403	3861	1257	1408	1219	3648	3496	2476	1070	1488	897	385	501	442	398	1096	198	213	453	155	623	152	317	96	102	246	92	140	217	152	153	75	157	221	0	65	68	76	120	96	44	56	31	27	50	104	0	53	30	24	24	0	26	11	13	20	18	40	0	0	0	0	0	0
Lj_Gifu_LjSC_4_rhizo	5202	8052	1777	368	5263	567	1365	3505	1220	2756	1152	4112	1756	1311	1815	2415	4008	1495	827	1418	1402	368	766	480	480	748	233	358	477	140	548	203	155	112	137	200	94	135	161	165	103	95	76	67	0	63	80	67	109	58	0	93	30	24	57	55	0	38	25	18	20	37	33	13	0	21	20	47	0	0	0	9	0	0
Lj_symrk_LjSC_1_rhizo	9768	9961	1797	0	3907	42	4155	3856	1350	2244	1855	1673	2286	1820	1583	4094	2334	1711	904	667	1075	554	542	606	482	514	256	277	522	191	257	206	271	207	168	183	89	137	157	178	112	91	105	73	102	76	110	106	119	110	31	85	49	39	47	44	0	30	14	42	41	0	23	0	14	12	14	0	0	17	28	6	1	0
Lj_symrk_LjSC_2_rhizo	10089	9326	2397	60	3538	0	5091	1418	1124	2392	2990	1981	1458	2581	1446	1628	2914	2345	887	857	866	606	604	1646	725	375	257	207	577	248	187	122	428	186	208	285	114	275	151	193	287	0	112	82	99	56	106	113	120	23	92	156	54	65	73	74	0	40	19	61	36	0	10	17	21	8	36	0	0	16	0	5	0	4
Lj_symrk_LjSC_3_rhizo	8887	6001	1717	395	3934	107	3496	3509	1186	1760	1616	1729	2607	1893	1846	1978	2707	1722	750	693	909	597	644	951	612	460	318	253	579	171	456	271	261	164	252	213	109	161	176	188	209	67	116	94	88	81	114	92	139	99	36	132	71	41	29	0	0	74	40	77	30	0	43	0	14	22	18	0	7	0	0	14	3	0
Lj_symrk_LjSC_4_rhizo	5879	5011	2801	0	2142	31	2160	4012	1129	3481	1657	1227	1164	1200	943	3674	1340	1438	741	340	814	462	244	1178	418	332	388	221	305	166	212	175	148	101	135	93	93	108	88	137	219	97	95	54	0	74	90	50	64	62	33	44	34	14	28	0	0	29	26	93	81	0	14	0	0	10	0	0	0	0	8	0	1	0
Lj_ccamk_LjSC_1_rhizo	8563	6009	1080	23	1916	0	3017	936	1109	541	686	1149	3823	2078	2893	1652	865	1407	411	2520	116	584	663	105	254	301	76	268	1606	119	222	149	229	241	183	245	86	336	138	116	29	0	37	38	103	120	65	52	26	99	27	22	21	41	34	63	0	45	30	0	0	0	44	23	0	11	0	0	0	0	6	0	1	0
Lj_ccamk_LjSC_2_rhizo	4159	4755	608	0	1570	58	1440	2105	868	903	545	1260	726	1298	742	1008	1125	1194	484	356	530	247	312	345	296	181	170	174	302	140	0	85	125	105	114	121	83	95	48	106	53	0	0	28	0	41	17	35	61	32	0	33	14	39	33	0	0	20	0	7	0	31	14	0	0	11	7	0	0	0	12	6	0	6
Lj_ccamk_LjSC_3_rhizo	13152	12525	160	126	2996	0	5856	5078	1770	1982	523	2516	4773	3803	3605	2443	1603	2055	871	4148	556	1028	902	175	609	588	127	377	4203	233	610	290	406	431	179	534	144	387	128	207	47	108	70	77	157	157	120	136	91	69	98	80	55	80	60	98	0	65	26	15	0	0	26	11	0	30	0	0	0	17	10	0	0	0
Lj_ccamk_LjSC_4_rhizo	9691	6244	54	37	2161	0	3872	658	805	512	257	1714	6696	2246	4967	1653	1019	2209	574	2723	499	1156	983	67	281	251	70	311	2390	107	0	348	239	308	297	449	102	515	237	175	36	0	65	21	151	260	55	49	43	143	30	31	27	19	44	76	76	66	20	0	0	0	14	0	0	14	0	0	9	20	34	0	0	0
Lj_nsp1_LjSC_1_rhizo	7120	5217	1866	54	3386	68	1950	4909	1467	2041	2234	1813	2057	1597	1208	1861	2171	1216	841	628	1438	550	485	556	418	723	328	314	487	155	578	162	180	195	493	144	87	209	141	115	76	83	79	30	55	16	87	106	96	164	31	99	62	11	52	0	0	50	10	48	66	0	40	0	22	13	17	0	9	12	0	0	0	0
Lj_nsp1_LjSC_2_rhizo	11214	8479	3049	115	3399	0	4225	5297	2304	2621	3089	3226	3211	2914	1938	2542	2143	1904	1930	1248	1410	729	1067	725	700	597	328	371	863	222	1007	337	312	250	491	218	153	500	162	156	95	0	101	53	96	19	77	97	93	67	37	88	74	22	86	76	0	31	17	53	79	0	21	22	22	15	26	0	0	0	0	11	0	8
Lj_nsp1_LjSC_3_rhizo	5496	6794	2412	61	2274	0	2588	2453	1601	3226	3244	1895	1332	1677	1061	2274	1599	1361	1462	440	1377	527	401	606	557	339	398	272	459	157	299	184	156	196	325	123	110	168	125	147	119	103	65	52	0	16	41	48	83	69	0	54	48	11	50	0	0	21	20	60	26	0	30	19	0	6	20	0	22	0	0	6	0	0
Lj_nsp1_LjSC_4_rhizo	3388	3440	638	30	1321	0	805	1421	840	1210	1192	1122	675	960	500	710	937	475	689	333	630	307	318	279	264	145	128	200	225	144	110	83	118	107	134	112	0	74	33	61	72	0	0	38	46	0	27	42	41	0	0	28	25	0	47	0	0	11	0	15	5	38	12	0	0	11	11	0	0	0	0	0	0	0
Lj_nsp2_LjSC_1_rhizo	7075	7285	609	0	3473	74	3061	3219	1551	1638	862	2789	2095	2239	1269	1256	2004	1856	746	1252	927	377	815	257	611	1172	155	294	851	173	370	137	169	219	169	113	125	241	84	125	64	0	81	73	75	108	83	72	127	39	41	126	31	20	86	54	0	49	10	23	0	0	26	10	0	32	10	0	0	6	0	0	0	0
Lj_nsp2_LjSC_2_rhizo	3204	3702	1965	32	1396	0	1807	1801	786	1387	971	1391	367	1553	559	715	758	996	425	327	192	143	265	391	338	188	134	73	199	102	163	87	119	81	80	106	69	199	90	68	67	0	47	35	40	37	30	31	60	28	0	40	18	35	37	0	0	12	0	30	25	0	10	0	0	9	9	0	9	0	0	0	1	0
Lj_nsp2_LjSC_3_rhizo	7908	6537	3241	69	3545	0	3203	1405	1689	2541	2683	2714	629	2127	966	778	2483	1797	1221	795	919	326	614	691	818	493	316	208	468	261	174	168	184	232	204	142	142	162	103	115	166	115	113	95	58	84	69	52	178	55	52	90	25	36	68	51	69	27	18	32	76	0	26	9	13	33	26	0	0	0	0	7	0	0
Lj_nsp2_LjSC_4_rhizo	6910	4272	6338	38	3559	36	2298	1257	1786	2842	2480	2667	1147	1935	1622	1149	1803	1185	936	556	373	296	739	1250	664	522	431	233	856	239	148	269	243	154	112	198	100	124	118	148	323	126	93	95	79	127	77	64	187	61	43	62	54	32	54	37	0	49	21	63	89	0	12	0	20	18	15	0	0	0	0	7	0	0
