"Order","Compartment","P_Value","WT","symrk","ccamk","nsp1","nsp2"
"Bacillales","Root",0.202182583353754,"a","a","a","a","a"
"Burkholderiales","Root",0.0476857580225051,"ab","a","b","ab","ab"
"Caulobacterales","Root",0.113331744345543,"a","a","a","a","a"
"Corynebacteriales","Root",0.594576083651676,"a","a","a","a","a"
"Enterobacterales","Root",0.389587897449377,"a","a","a","a","a"
"Micrococcales","Root",0.0133321570276541,"ab","ab","a","ab","b"
"Propionibacteriales","Root",0.0908320065308566,"a","a","a","a","a"
"Pseudomonadales","Root",0.572143231240188,"a","a","a","a","a"
"Rhizobiales","Root",0.000381370850330109,"ab","ab","a","a","b"
"Rhodobacterales","Root",0.178502875295901,"a","a","a","a","a"
"Rhodospirillales","Root",0.0592842566107714,"ab","ab","ab","a","b"
"Sphingobacteriales","Root",0.000472500088248134,"ab","a","b","ab","b"
"Sphingomonadales","Root",1.56710249721476e-07,"b","a","a","a","a"
"Xanthomonadales","Root",9.95420894227748e-05,"c","ab","a","a","bc"
"Bacillales","Rhizosphere",0.400754385290944,"a","a","a","a","a"
"Burkholderiales","Rhizosphere",0.00691299992488024,"b","a","ab","ab","a"
"Caulobacterales","Rhizosphere",0.0806227925950458,"a","a","a","a","a"
"Corynebacteriales","Rhizosphere",0.0435166221785907,"b","ab","a","ab","ab"
"Enterobacterales","Rhizosphere",0.0282607475960996,"a","a","a","a","a"
"Micrococcales","Rhizosphere",0.00178246262547234,"a","a","ab","b","a"
"Propionibacteriales","Rhizosphere",0.123643741025407,"a","a","a","a","a"
"Pseudomonadales","Rhizosphere",0.0350669823858155,"b","a","ab","ab","ab"
"Rhizobiales","Rhizosphere",0.00382115146800375,"b","a","ab","a","a"
"Rhodobacterales","Rhizosphere",0.134809843623316,"a","a","a","a","a"
"Rhodospirillales","Rhizosphere",0.176424843167053,"a","a","a","a","a"
"Sphingobacteriales","Rhizosphere",0.0178702747081921,"b","ab","a","a","ab"
"Sphingomonadales","Rhizosphere",0.231549990959454,"a","a","a","a","a"
"Xanthomonadales","Rhizosphere",0.0285017698907741,"ab","ab","a","b","ab"
