Genotype,x,y,SampleID,Compartment,Description,Bio_rep,Rev_barcode,seg_x,seg_y,Host
ccamk,0.202164652073749,0.0199086370319142,Lj_ccamk_LjSC_1_rhizo,Rhizosphere,Lj_ccamk_LjSC_1_rhizo,1,B5-R-33,0.16081750754829,0.0263649080982706,Lotus
ccamk,0.000785046752909266,0.0117175251438513,Lj_ccamk_LjSC_2_rhizo,Rhizosphere,Lj_ccamk_LjSC_2_rhizo,2,B5-R-35,0.16081750754829,0.0263649080982706,Lotus
ccamk,0.161778833653233,0.0667837693783084,Lj_ccamk_LjSC_3_rhizo,Rhizosphere,Lj_ccamk_LjSC_3_rhizo,3,B5-R-37,0.16081750754829,0.0263649080982706,Lotus
ccamk,0.278541497713269,0.00704970083900852,Lj_ccamk_LjSC_4_rhizo,Rhizosphere,Lj_ccamk_LjSC_4_rhizo,4,B5-R-39,0.16081750754829,0.0263649080982706,Lotus
nsp1,-0.0414087833464424,-0.0263518316623508,Lj_nsp1_LjSC_1_rhizo,Rhizosphere,Lj_nsp1_LjSC_1_rhizo,1,B5-R-41,-0.0308519830166037,-0.0340838745797824,Lotus
nsp1,0.0201204150253071,-0.0381914600735605,Lj_nsp1_LjSC_2_rhizo,Rhizosphere,Lj_nsp1_LjSC_2_rhizo,2,B5-R-43,-0.0308519830166037,-0.0340838745797824,Lotus
nsp1,-0.0623842318194358,-0.0513756725687317,Lj_nsp1_LjSC_3_rhizo,Rhizosphere,Lj_nsp1_LjSC_3_rhizo,3,B5-R-45,-0.0308519830166037,-0.0340838745797824,Lotus
nsp1,-0.0397353319258435,-0.0204165340144866,Lj_nsp1_LjSC_4_rhizo,Rhizosphere,Lj_nsp1_LjSC_4_rhizo,4,B5-R-47,-0.0308519830166037,-0.0340838745797824,Lotus
nsp2,0.0212669092355851,0.0327103262748394,Lj_nsp2_LjSC_1_rhizo,Rhizosphere,Lj_nsp2_LjSC_1_rhizo,1,B5-R-73,-0.0238646075048187,-0.064287986084443,Lotus
nsp2,-0.0321419117007914,-0.0624413923186962,Lj_nsp2_LjSC_2_rhizo,Rhizosphere,Lj_nsp2_LjSC_2_rhizo,2,B5-R-75,-0.0238646075048187,-0.064287986084443,Lotus
nsp2,-0.0301630043761238,-0.0903098331924936,Lj_nsp2_LjSC_3_rhizo,Rhizosphere,Lj_nsp2_LjSC_3_rhizo,3,B5-R-77,-0.0238646075048187,-0.064287986084443,Lotus
nsp2,-0.0544204231779446,-0.137111045101421,Lj_nsp2_LjSC_4_rhizo,Rhizosphere,Lj_nsp2_LjSC_4_rhizo,4,B5-R-79,-0.0238646075048187,-0.064287986084443,Lotus
symrk,-0.000649652804795147,0.0351139654404354,Lj_symrk_LjSC_1_rhizo,Rhizosphere,Lj_symrk_LjSC_1_rhizo,1,B5-R-25,-0.00490126529437379,-0.0199437287816455,Lotus
