ASV_ID	Lj_Gifu_LjSC_1_endo	Lj_Gifu_LjSC_1_nod	Lj_Gifu_LjSC_1_rhizo	Lj_Gifu_LjSC_2_endo	Lj_Gifu_LjSC_2_nod	Lj_Gifu_LjSC_2_rhizo	Lj_Gifu_LjSC_3_endo	Lj_Gifu_LjSC_3_nod	Lj_Gifu_LjSC_3_rhizo	Lj_Gifu_LjSC_4_endo	Lj_Gifu_LjSC_4_nod	Lj_Gifu_LjSC_4_rhizo	Lj_ccamk_LjSC_1_endo	Lj_ccamk_LjSC_1_rhizo	Lj_ccamk_LjSC_2_endo	Lj_ccamk_LjSC_2_rhizo	Lj_ccamk_LjSC_3_endo	Lj_ccamk_LjSC_3_rhizo	Lj_ccamk_LjSC_4_endo	Lj_ccamk_LjSC_4_rhizo	Lj_f6h1_LjSC_1_endo	Lj_f6h1_LjSC_1_nod	Lj_f6h1_LjSC_1_rhizo	Lj_f6h1_LjSC_2_endo	Lj_f6h1_LjSC_2_nod	Lj_f6h1_LjSC_2_rhizo	Lj_f6h1_LjSC_3_endo	Lj_f6h1_LjSC_3_nod	Lj_f6h1_LjSC_3_rhizo	Lj_f6h1_LjSC_4_endo	Lj_f6h1_LjSC_4_nod	Lj_f6h1_LjSC_4_rhizo	Lj_nsp1_LjSC_1_endo	Lj_nsp1_LjSC_1_rhizo	Lj_nsp1_LjSC_2_endo	Lj_nsp1_LjSC_2_rhizo	Lj_nsp1_LjSC_3_endo	Lj_nsp1_LjSC_3_rhizo	Lj_nsp1_LjSC_4_endo	Lj_nsp1_LjSC_4_rhizo	Lj_nsp2_LjSC_1_endo	Lj_nsp2_LjSC_1_rhizo	Lj_nsp2_LjSC_2_endo	Lj_nsp2_LjSC_2_rhizo	Lj_nsp2_LjSC_3_endo	Lj_nsp2_LjSC_3_rhizo	Lj_nsp2_LjSC_4_endo	Lj_nsp2_LjSC_4_rhizo	Lj_symrk_LjSC_1_endo	Lj_symrk_LjSC_1_rhizo	Lj_symrk_LjSC_2_endo	Lj_symrk_LjSC_2_rhizo	Lj_symrk_LjSC_3_endo	Lj_symrk_LjSC_3_rhizo	Lj_symrk_LjSC_4_endo	Lj_symrk_LjSC_4_rhizo	Mag_unplanted_1	Mag_unplanted_2	Mag_unplanted_3
LjRoot221	10036	433	7453	5750	374	9283	4780	120	4232	7126	535	5202	6383	8563	2785	4159	12359	13153	8796	9691	5086	355	5248	5803	284	1571	10193	370	4713	7610	239	6184	9192	7120	7810	11214	7180	5496	751	3388	14120	7075	11249	3204	7716	7908	6014	6910	8529	9768	14263	10089	12263	8887	18128	5879	57	18	52
LjRoot149	6937	430	13119	1825	235	9965	2612	91	8749	2221	433	8052	5161	6009	1685	4755	9348	12525	16370	6238	2618	412	6481	2432	296	2821	3187	277	6280	3196	206	5431	8196	5217	4698	8479	7946	6794	744	3440	7536	7286	3829	3703	2290	6536	2578	4270	3040	9961	4166	9326	4872	6001	11923	5011	24	0	38
G37_LjNodule209	2354	15677	284	7241	37239	223	15598	34529	128	17337	23349	368	34	23	36	0	0	126	0	37	7444	6353	67	13404	12344	94	1346	34041	138	7120	21903	198	0	54	52	115	78	61	26	30	0	0	74	32	0	69	0	38	0	0	131	60	213	395	0	0	59	16	0
LjRoot228	16677	37510	129	8259	21985	484	2264	7901	56	518	10534	567	0	0	0	58	87	0	22	0	1180	22981	107	1265	39970	0	238	51309	88	824	16779	139	369	68	30	0	0	0	0	0	93	74	0	0	60	0	66	36	63	42	43	0	162	107	43	31	0	0	34
LjRoot223	5481	81	2346	5216	218	2029	1097	19	1725	1043	43	1777	603	1080	3032	608	108	160	46	54	197	13	160	666	11	470	679	31	749	3898	20	1363	11212	1866	2014	3049	1421	2412	67	638	1149	609	3887	1965	1319	3241	37024	6339	14842	1797	15512	2397	22335	1717	2854	2801	16	0	13
G21_LjRoot111	3437	171	5089	1831	228	4968	1038	79	5458	972	232	5263	1239	1916	2055	1570	2265	2996	2562	2161	1232	259	3401	983	246	1190	1455	186	5194	2440	175	2445	2864	3386	2660	3399	2349	2274	416	1321	4546	3473	2112	1396	1699	3545	4735	3558	8995	3907	10419	3538	7384	3934	4080	2142	93	136	78
G3_LjRoot129	1817	910	1219	842	1753	1569	737	63	1288	641	217	1365	2687	3017	983	1440	4459	5856	5040	3872	1158	287	1892	784	236	426	1513	216	1601	1059	125	1353	1407	1949	1515	4225	1612	2588	182	805	4109	3061	3192	1839	2760	3204	2176	2298	2317	4155	4034	5092	2698	3496	5864	2160	0	14	16
LjRoot196	5410	184	2890	809	75	4568	680	24	3291	1822	168	3505	1384	936	726	2104	2136	5078	1337	658	1728	94	3423	1367	54	1053	2741	46	3561	1241	0	1657	5692	4909	2967	5299	890	2453	189	1421	1967	3219	992	1801	309	1405	266	1257	1544	3856	1362	1418	4505	3509	1986	4012	0	0	0
G8_LjRoot126	2305	1242	3517	1576	1119	4782	931	380	3861	836	730	4112	455	1149	323	1260	755	2516	1022	1714	1294	1084	3733	1299	1189	1351	1286	853	3888	1162	733	3415	539	1813	679	3226	812	1896	101	1122	875	2789	704	1391	536	2715	570	2667	493	1673	409	1981	825	1729	2207	1227	13	0	0
LjRoot259	2815	124	3165	986	136	2936	1255	69	3451	1411	143	2756	355	541	704	903	1893	1982	732	512	570	54	1274	1497	134	1012	2351	141	2579	1538	53	2321	1866	2041	1772	2621	1856	3226	202	1210	2146	1638	1991	1387	1308	2541	1176	2842	1401	2244	1808	2392	1992	1760	1036	3481	0	0	0
G32_LjRoot291	2904	276	1263	1526	145	1385	1487	54	1399	1679	191	1220	1009	1109	854	868	3051	1770	1948	805	854	105	939	1511	110	494	2257	153	1067	2182	72	985	3768	1467	2343	2304	4323	1601	361	840	3671	1550	2226	786	1991	1689	2428	1786	2991	1350	2419	1124	3141	1186	2202	1129	0	0	0
G11_LjRoot25	1412	59	1702	2174	96	1547	392	0	1403	725	144	1152	688	686	468	545	1467	523	795	257	235	22	595	576	21	423	840	36	1371	3724	75	1538	4329	2234	2117	3089	3921	3244	142	1192	1845	862	2298	972	640	2683	2392	2480	3140	1855	4348	2990	3190	1616	1753	1657	22	0	19
