feature	LjRoot221	LjRoot149	LjRoot223	G37_LjNodule209	G21_LjRoot111	LjRoot228	G3_LjRoot129	LjRoot196	G32_LjRoot291	LjRoot259	G11_LjRoot25	G8_LjRoot126	LjRoot17	G2_LjRoot102	G16_LjRoot125	LjRoot82	G20_LjRoot162	LjRoot183	G1_LjRoot134	LjRoot71	LjRoot289	LjRoot3	G4_LjRoot26	LjRoot18	G6_LjRoot130	G17_LjRoot232	LjRoot227	LjRoot219	LjRoot122	LjRoot243	G12_LjRoot70	G29_LjRoot226	G22_LjRoot238	LjRoot237	G7_LjRoot117	LjRoot10	LjRoot229	G5_LjRoot105	LjRoot11	G36_LjRoot142	G14_LjRoot22	LjRoot285	LjRoot240	LjRoot248	G35_LjRoot145	LjRoot89	LjRoot1	G30_LjRoot2	LjRoot277	LjRoot152	G33_LjRoot104	G27_LjRoot78	LjRoot30	LjRoot295	LjRoot296	LjRoot257	G9_LjRoot131	G24_LjRoot12	LjRoot244	G15_LjRoot29	LjRoot230	LjRoot258	LjRoot220	G34_LjRoot233	LjRoot261	G31_LjRoot101	LjRoot28	LjRoot288	LjRoot231
Lj_Gifu_LjSC_1_endo	-3.0228719627044	-3.55567254886948	-3.89554529876493	-5.11548311288928	-4.56799531758678	-2.29011004517007	-5.48922023082266	-3.91462253596008	-4.81194298011782	-4.85684951114598	-5.85224434484239	-5.14521768279687	-5.73551015061379	-5.87075387224515	-5.29478877920936	-6.10631535248462	-6.34135412830805	-6.87282522226485	-5.13399527930477	-11.3157687181136	-6.09176704391547	-6.24162725536107	-8.50841379605597	-8.27137459875512	-7.84816316803058	-8.26048628261238	-7.30174824779864	-7.4797183630555	-7.65399062034159	-7.52786615872214	-8.09660019765141	-8.19682764539007	-7.84409350372153	-7.8239156217839	-9.4702786671692	-8.32141528125472	-8.84816316803058	-8.76251262511041	-8.76117986643594	-8.18648570116861	-7.48604598302752	-8.22830587686323	-8.94072928676665	-9.03964431283934	-9.85633709947628	-10.4088781225051	-9.61532899997248	-9.53440900458891	-10.8239156217839	-11.3157687181136	-10.2283058768632	-11.3157687181136	-9.70105887399836	-12.508413796056	-10.6719125283388	-10.0869500276177	-9.70105887399836	-9.95821671349549	-13.9938406232262	-11.2283058768632	-11.4088781225051	-9.58784826355037	-13.8503089457501	-11.9234512953348	-12.4088781225051	-12.1458437166713	-13.0433839743103	-16.8748853184301	-13.9214380664922
Lj_Gifu_LjSC_2_endo	-3.01705432649424	-4.6727198185586	-3.15767241298226	-2.68462658524277	-4.667984491416	-2.49447450090653	-5.78872414414694	-5.84640467478336	-4.93086132037881	-5.56095673083543	-4.42026434218603	-4.88434874775696	-5.76999863589505	-6.64841957208577	-5.84818908446154	-6.88069172414887	-6.418937725963	-7.24901272452069	-6.56682135289865	-10.418937725963	-6.96724175610531	-6.7716909469875	-9.16655056432871	-9.14884856259525	-7.9907007289293	-10.7332865432012	-7.11408314443458	-6.87340537007038	-8.57566322965045	-7.33647556577103	-9.04696894857604	-8.3264914771984	-8.31657600833332	-8.08854805232744	-9.6735105530486	-8.38745949448983	-8.83397522524184	-8.76251262511041	-8.57566322965045	-8.69904564515573	-9.03066713624694	-8.77848011265014	-9.25847305376975	-8.12269627473929	-11.6666476692029	-10.5995099716048	-9.39787611043517	-10.0145474708837	-10.9828386111563	-12.9679947228216	-11.5714904361625	-10.8625443774386	-10.184472472326	-11.9214380664922	-11.5064005672133	-9.75151306504987	-11.2310291286554	-10.8625443774386	-7.2302761619391	-12.184472472326	-12.6990456451557	-8.92143806649218	-11.336475565771	-10.9214380664922	-13.4088781225051	-13.8598259360337	-13.0433839743103	-16.8748853184301	-12.9214380664922
Lj_Gifu_LjSC_3_endo	-3.15434783010785	-4.02620355142953	-5.27779492257277	-1.44806929709915	-5.35755200461808	-4.23248449014408	-5.8516219238809	-5.96775179683826	-4.83895380092355	-5.08367108413783	-6.76243288886076	-5.51450537541717	-5.98697377677578	-6.03284682506015	-5.43316281863223	-7.40559917902519	-6.74414753583301	-5.47929727697045	-5.97413070940097	-12.2072177315337	-6.38562088690027	-5.43169889659805	-7.96775179683826	-7.50062578641097	-7.6222552308125	-9.73328654320124	-6.83024827308833	-7.18238587855372	-8.96775179683826	-7.40559917902519	-10.0871730964571	-8.71893125022417	-7.79971390494022	-7.92593162114364	-9.85358077691895	-8.64922227841276	-7.65604354426878	-8.76251262511041	-9.6222552308125	-9.01959072835788	-7.99343844050191	-8.60895840819904	-9.67670301483487	-8.64922227841276	-9.09174051411372	-10.7332865432012	-9.247859716031	-9.67670301483487	-10.6222552308125	-12.9679947228216	-11.5714904361625	-11.9177111143387	-10.9177111143387	-9.70471739100447	-9.91771111433867	-11.289922817709	-11.2310291286554	-11.377142732976	-14.9938406232262	-12.0552146380886	-11.7921802322548	-8.76243288886076	-13.8503089457501	-12.377142732976	-13.4088781225051	-13.8598259360337	-13.0433839743103	-16.8748853184301	-13.9214380664922
Lj_Gifu_LjSC_4_endo	-2.64134355978105	-4.32322665036737	-5.41369688539459	-1.35865367261759	-5.51540782430857	-6.4234120402278	-6.11603978129561	-4.6089130841123	-4.72683381297732	-4.97771805531709	-5.93838314301206	-5.73286119583347	-6.57603418326007	-6.72597481024823	-6.47732432257709	-6.60416997285628	-6.97669595464317	-6.54540256460641	-6.03720830433936	-11.118292233027	-5.90883886739804	-7.11379084079205	-8.8552578271932	-8.37413113745658	-7.90883886739804	-9.11829223302699	-6.8703647195834	-7.01395557321225	-9.37413113745658	-7.50358238891178	-8.22105180745219	-8.16409592264012	-8.81086370783474	-8.53332973230583	-9.55757727855251	-7.08266832329627	-8.54540256460641	-8.76251262511041	-8.91665837185734	-8.62004136549916	-7.98078870927706	-8.48602401752748	-8.99727683206562	-8.93242568771566	-11.6666476692029	-10.7397806097733	-9.76779498594286	-9.82551048379914	-10.5333297323058	-10.7397806097733	-9.8552578271932	-10.6853328257509	-10.9807887092771	-13.508413796056	-12.5182888755379	-11.289922817709	-11.2310291286554	-10.6328654058567	-12.6328654058567	-11.4402203279144	-12.6328654058567	-9.08266832329627	-11.4402203279144	-11.7397806097733	-12.270295326472	-13.8598259360337	-13.0433839743103	-16.8748853184301	-13.9214380664922
Lj_symrk_LjSC_1_endo	-2.79214806135141	-4.28045333741915	-1.99291105404881	-10.9879327391444	-2.71540137961125	-9.87302902225018	-4.67226661688527	-5.25785190848202	-4.30389675063074	-5.39806770531928	-4.23376010197111	-6.90486510937218	-7.20285051929518	-6.0771697390304	-6.84468439655622	-7.16731436206841	-4.51603566044291	-5.76284610449976	-6.46229166040496	-11.9434183501416	-6.82240294918021	-7.75755180483024	-8.31892748523378	-8.28806652152902	-7.61190420642502	-8.66048438687008	-7.49716212025201	-8.48398673150428	-9.52838085086273	-7.29188823248143	-10.0871730964571	-7.9314457084755	-8.97994422616669	-8.33460910746605	-10.4579915229713	-9.66048438687008	-8.25785190848202	-8.76251262511041	-9.66048438687008	-9.49275694113201	-9.26534644502894	-6.2522564455885	-9.149869227609	-9.25039610356297	-9.52838085086273	-11.0429540236925	-9.74178448897193	-10.2957200940725	-10.8059148263916	-11.0954214435866	-10.3584558494204	-13.8503089457501	-11.149869227609	-10.424044191048	-12.5182888755379	-11.289922817709	-11.2310291286554	-14.3424682618342	-14.9938406232262	-12.2653464450289	-11.7628461044998	-9.45799152297134	-12.8503089457501	-14.10751431173	-13.4088781225051	-13.8598259360337	-13.0433839743103	-16.8748853184301	-13.9214380664922
Lj_symrk_LjSC_2_endo	-2.47669800629418	-4.2522407239437	-2.35559075987755	-9.24326484644689	-2.9297586518811	-10.8504230932822	-4.29869247937138	-5.86517685997227	-5.03649279400442	-5.45650888556916	-4.19055162295703	-7.60073081504259	-7.70304066049102	-5.51264563067776	-6.66935753423473	-7.06479955343834	-4.54367252629838	-4.10551105033257	-5.85042309328225	-11.8843704252056	-8.14740483103938	-6.89730948091308	-8.03351386451139	-6.86305991896017	-7.49205300242682	-8.46290665676731	-7.45332060793811	-8.32249153759747	-9.7068322396534	-6.64006322744069	-8.86729691184664	-8.83374435213562	-8.34004990898177	-8.24326484644689	-10.6619780038691	-9.21059865752657	-7.61135193079917	-8.76251262511041	-9.93683784509972	-10.1681633912062	-7.55558865927716	-9.10676284654203	-9.63283165820962	-9.17865576502382	-9.49532813445968	-10.5762481298433	-9.91913584336626	-10.817256229347	-11.4187068528568	-12.9679947228216	-9.23229372862589	-14.2766878479843	-11.8843704252056	-10.0287603345408	-10.2994079244844	-11.289922817709	-11.2310291286554	-12.6917253472632	-8.46290665676731	-10.4693329259267	-12.6917253472632	-10.2543200349559	-13.8503089457501	-14.10751431173	-13.4088781225051	-13.8598259360337	-13.0433839743103	-13.6917253472632	-13.9214380664922
Lj_symrk_LjSC_3_endo	-2.69115203742081	-4.02287795979505	-1.82615774351076	-8.53846675747554	-3.4229895400556	-8.93332637481675	-4.87550174475311	-4.13522464298602	-4.65616815004941	-5.3131744456333	-4.63383566904915	-6.5849260685682	-6.49345702255797	-5.63655175715773	-6.24527038113149	-6.11582944233854	-5.98661861609342	-5.16923294780982	-7.03238504553942	-11.185713536451	-6.63293144147903	-7.0276236714457	-8.15943421165219	-8.43397258960444	-7.92888046978556	-8.38443312880312	-7.2647477556308	-7.79744294673498	-8.9244482234703	-7.64381975762177	-8.39053332833954	-8.23425738840908	-9.01578853500873	-8.37835861439344	-8.95124828281402	-9.37835861439344	-8.18571353645104	-8.76251262511041	-8.96939562952427	-9.70332076937043	-9.41519538257381	-8.71858752602374	-9.35431314042678	-9.17514429474085	-9.62932018792665	-10.6007510357299	-9.60075103572988	-10.9156243730833	-11.2731763777014	-10.0637230120724	-9.9156243730833	-12.6882138769802	-10.951248282814	-10.4918166641767	-11.5182888755379	-11.289922817709	-11.2310291286554	-12.5727366595603	-14.9938406232262	-11.3189800673145	-12.4658214556438	-11.2543200349559	-12.5727366595603	-11.8808589549226	-13.4088781225051	-13.8598259360337	-13.0433839743103	-14.6882138769802	-13.9214380664922
Lj_symrk_LjSC_4_endo	-2.42101378454678	-3.02548626631203	-5.08817631089153	-10.9879327391444	-4.57259249350844	-11.1406811756652	-4.0500148083686	-5.61129602283892	-5.46234717680293	-6.55013764268074	-5.79133564960776	-5.45907501608768	-3.6833480229119	-4.60441136685602	-4.04264909270467	-4.87302344228628	-5.67364439950673	-5.03021304053188	-6.8492695073009	-4.37342056986608	-8.88044540318408	-6.45842147358912	-6.18000568504298	-8.47948308911696	-7.69350181785192	-7.39202024786662	-8.92308974059257	-7.66005533475878	-5.06212694273445	-8.30485108499711	-8.17892864502216	-8.02005147047966	-7.6480826930927	-7.98574534844234	-8.02391411011206	-7.38207058745901	-9.22709592748267	-7.45320376431811	-8.02005147047966	-8.64213342676151	-10.6362085928044	-9.45842147358912	-10.0591512901686	-10.1746285075885	-8.91589423918836	-8.43766291342233	-9.95223608625209	-9.81205842820382	-10.4584214735891	-8.74039744307638	-10.10751431173	-11.1406811756652	-10.9819834296461	-10.1575549942296	-10.0750928340376	-9.74676696795211	-10.10751431173	-10.0912124994009	-10.8945205883958	-13.5669459303673	-13.6990456451557	-11.2543200349559	-12.0433839743103	-13.10751431173	-13.4088781225051	-12.397020928925	-12.0433839743103	-16.8748853184301	-13.9214380664922
Lj_ccamk_LjSC_1_endo	-2.43537664793898	-2.74196066511072	-5.83938138849468	-9.98793273914443	-4.80043510825417	-12.5225592411277	-3.6836149743816	-4.64076735275804	-5.09668512128841	-6.60372036600272	-5.64913082569267	-6.24567284530871	-4.83579705114565	-4.33140271933459	-3.89859910224717	-5.02418663948	-5.67879079921291	-3.8967307293883	-6.45701007813616	-8.30721125561784	-9.64913082569267	-5.5795405535076	-7.36115006272865	-10.683078157616	-7.39591548088932	-8.41718409764297	-9.29403586687011	-7.07539558039477	-5.883102765924	-8.10961129573268	-8.38889505321155	-7.18057781708683	-7.98793273914443	-7.61596396175747	-6.80860903969987	-7.46806526664516	-8.49043307967361	-7.76251262511041	-8.20503086081136	-11.7685272832221	-12.3970283590439	-10.4584214735891	-9.19275253103293	-9.90547057895246	-7.90547057895246	-9.009306389937	-9.98793273914443	-9.3205080782313	-12.2680406583372	-9.75346748550741	-9.09811565689485	-15.2766878479843	-10.0753955803948	-8.47548273820764	-9.90547057895246	-9.34747512583157	-8.44603896031516	-10.7534674855074	-14.9938406232262	-14.5669459303673	-13.6990456451557	-11.2543200349559	-13.8503089457501	-10.2680406583372	-13.4088781225051	-13.8598259360337	-11.2680406583372	-16.8748853184301	-13.9214380664922
Lj_ccamk_LjSC_2_endo	-2.71262146406129	-3.43755020021946	-2.59002903811759	-8.98615807484637	-3.15116039771964	-12.5225592411277	-4.2150354699481	-4.65027152236909	-4.41799081666819	-4.69665145765138	-5.28571835670528	-5.82069272159476	-6.51222688651396	-4.8939882309185	-5.58622746795773	-5.64038323800464	-6.06862023503834	-4.36166720993858	-6.72145484865196	-10.5711205755675	-7.28571835670528	-6.51222688651396	-7.68034964532228	-7.20188676590181	-6.99621173951029	-8.45564335814759	-6.87995867101444	-8.60149422461105	-8.27344002692684	-7.41461608988753	-10.0871730964571	-7.87068085742643	-9.40119557412521	-8.08999388583091	-9.11168895693023	-8.83415498140132	-7.27344002692684	-8.76251262511041	-9.57112057556752	-11.7685272832221	-9.15608307628868	-10.4584214735891	-11.0591512901686	-9.9081555628451	-8.11168895693023	-10.4556433581476	-11.7456023014852	-10.3487281542311	-13.2680406583372	-12.9679947228216	-9.15608307628868	-15.2766878479843	-13.0751002641565	-10.2491924806802	-9.83415498140132	-11.289922817709	-11.2310291286554	-14.3424682618342	-14.9938406232262	-14.5669459303673	-11.1560830762887	-11.2543200349559	-13.8503089457501	-14.10751431173	-13.4088781225051	-13.8598259360337	-13.0433839743103	-16.8748853184301	-13.9214380664922
