Feature,symrk_p_adj,ccamk_p_adj,nsp1_p_adj,nsp2_p_adj
Feature75,0.875355696774459,0.897461395128218,0.213697986885029,0.913177362504492
Feature116,0.458993166696534,0.992125084018696,0.259246196570565,0.642231014821256
Feature167,0.956667333861771,0.718627448894199,0.970117047326737,0.929665902135121
Feature168,0.973506807398205,0.938947637678797,0.761211166348007,0.926766727780413
Feature169,0.411453082212691,0.689541682834115,0.314912231179175,0.325130171309311
Feature171,0.927356413804126,0.00788484715265098,7.75304048503678e-05,9.3280897541681e-05
Feature207,0.93812102535235,0.00507189061546683,0.0430981946398057,0.185739743872576
Feature209,1,0.837519165487649,0.935887989565119,0.923384422879722
Feature215,0.308461287988508,0.992424542361219,0.0704963840443095,0.0798704177738294
Feature232,1,0.894002346245541,0.788218801266284,0.926766727780413
Feature263,1,0.146956364396403,1,0.7189199757236
Feature265,1,0.0557069524431703,0.753254990659953,0.00780456508995866
Feature273,0.214341488095857,0.447922847435117,0.3438541990937,0.516508714714533
Feature281,0.497958055366341,0.0110714745041807,0.0398907673200988,0.17910948841333
Feature282,0.301963354209657,0.00163439947836451,0.00130313484869374,0.00544655516480837
Feature287,0.308461287988508,0.616977218264222,0.83351413703548,0.809640480782718
Feature289,0.37939406531433,0.617971596654415,0.662222731969157,0.582508143405157
Feature301,1,1,0.17164699612853,0.0204163288422572
Feature332,0.316845786003244,0.530201244001605,0.243539364387273,0.462982092501366
Feature336,0.906582316471724,0.730441199357211,0.0785046367590277,0.0616093015140994
Feature352,0.834519425562402,0.00251052543071389,0.00208073548752489,0.00184293034561324
Feature357,0.403681112352975,0.0198364797945688,0.108057313780486,0.173279577620781
Feature359,0.762616740143602,0.890466679555547,0.887636850928108,0.208892852558838
Feature375,0.255018302770309,0.373846886151692,0.580969967278125,0.503640345810828
Feature385,0.847737827725514,0.992424542361219,0.477755790431882,0.239722524520043
Feature387,1,0.277646070429063,1,0.0390960774299992
Feature388,0.154940079333966,1,1,1
Feature392,0.526533526209939,0.346219021203543,0.134949906792939,0.34321493495482
Feature398,0.568758550897228,0.500811481936196,0.735921345947862,0.932635299897435
Feature399,0.554229377748223,0.380694066863879,0.954488647333329,0.947703406310246
Feature401,0.833188942111273,0.44526957121172,0.0732773412445856,0.12858571869393
Feature407,0.455523811979696,1.53809917186054e-05,1.23048329986553e-05,7.66711186320398e-05
Feature411,0.650074415236785,0.154857325813005,0.0692635916659988,0.66049290859322
Feature425,0.239764328029189,0.410317737061081,0.299391008279296,0.51197320342662
Feature429,1,0.271287877362989,0.264469798477437,0.303672134386221
Feature442,0.699196036904702,0.992424542361219,0.210736214170642,0.497916020584278
Feature454,0.151507900222822,0.500856184522327,0.852001975487707,0.369391682249496
Feature455,0.151507900222822,0.392823474919793,0.905913731737171,0.45990316154127
Feature456,1,0.022256214562195,0.0211398763663081,0.0201911527239893
Feature483,0.470131259929459,1,0.377646987383047,0.0201911527239893
Feature495,0.66242766994214,0.038096458146439,0.0373293260366851,0.234858035731016
Feature498,0.393228313468883,0.0510416520674928,0.0181671187527675,0.348161925100853
Feature505,0.477211636182309,0.0340786619249881,0.390984316613503,0.462982092501366
Feature506,0.860202968887862,0.158182865904486,0.84379544220223,0.512958919775661
Feature507,0.571441952646281,0.0740052998587485,1,0.322181715456893
Feature514,0.571441952646281,0.755427754953564,0.123028355085378,0.130181019305957
Feature515,1,0.0812102450474569,0.00708131245178129,0.66049290859322
Feature516,0.768784813192571,0.0454528945457558,0.238590236385193,0.414216277150783
Feature520,0.181407754801818,0.000792151624076141,0.000535653638634023,0.000512911704443213
Feature525,0.571441952646281,0.454120588936616,0.735921345947862,0.130196824741283
Feature526,0.768784813192571,0.0720484496937441,0.58532384574323,0.0770203171199269
Feature532,0.920115850108697,0.0544220602972974,0.0522840581533152,0.0536246765820476
Feature535,0.896932409170072,0.00111106769584449,0.00396475349865875,0.0154038471088707
Feature537,0.222507509001854,0.247092398643116,0.205465216288019,0.823458691516032
Feature538,0.521414465856543,0.0198364797945688,0.101539675778203,0.189327792827658
Feature540,0.0115435412218927,0.0358135295791514,0.747031055780449,0.430574996123369
Feature549,0.875355696774459,0.00651785545648486,8.40141274615155e-05,7.66711186320398e-05
Feature569,0.896932409170072,0.13674070212807,0.353230542172557,0.232197730027982
Feature575,0.960841682210917,0.021098727552005,0.0868628200475474,0.490836970093727
Feature588,0.916710514539486,0.273178322992494,0.0762106459402935,0.0268977368947232
Feature589,1,0.108930526494063,0.635282319205112,0.929665902135121
Feature591,0.660868374949272,0.104670992397719,0.0989266917311439,0.105992663214081
Feature614,1,0.00164022104001317,0.00816263537489717,0.0155940584092456
Feature627,0.791857902753863,0.0382960986738692,0.0899638860167593,0.302208639125716
Feature628,0.223354212643234,0.0340786619249881,0.404982328389561,0.984355532506618
Feature632,0.712474420839652,0.399098343819944,0.0954143871818383,0.151618661559991
