"","ASVid","Hv_WT_HvSC_only_endo_1","Hv_WT_HvSC_only_endo_2","Hv_WT_HvSC_only_endo_3","Hv_WT_HvSC_only_endo_4","Hv_WT_HvSC_only_endo_5","Hv_WT_HvSC_only_rhizo_1","Hv_WT_HvSC_only_rhizo_2","Hv_WT_HvSC_only_rhizo_3","Hv_WT_HvSC_only_rhizo_4","Hv_WT_HvSC_only_rhizo_5","Hv_WT_HvSC_only_rhizo_6","Hv_ccamk_HvSC_only_endo_1","Hv_ccamk_HvSC_only_endo_2","Hv_ccamk_HvSC_only_endo_3","Hv_ccamk_HvSC_only_endo_4","Hv_ccamk_HvSC_only_endo_5","Hv_ccamk_HvSC_only_endo_6","Hv_ccamk_HvSC_only_rhizo_2","Hv_ccamk_HvSC_only_rhizo_3","Hv_ccamk_HvSC_only_rhizo_4","Hv_ccamk_HvSC_only_rhizo_5","Hv_ccamk_HvSC_only_rhizo_6","Hv_nsp1_HvSC_only_endo_1","Hv_nsp1_HvSC_only_endo_2","Hv_nsp1_HvSC_only_endo_3","Hv_nsp1_HvSC_only_endo_4","Hv_nsp1_HvSC_only_endo_5","Hv_nsp1_HvSC_only_endo_6","Hv_nsp1_HvSC_only_rhizo_1","Hv_nsp1_HvSC_only_rhizo_2","Hv_nsp1_HvSC_only_rhizo_3","Hv_nsp1_HvSC_only_rhizo_4","Hv_nsp1_HvSC_only_rhizo_5","Hv_nsp1_HvSC_only_rhizo_6","Hv_nsp2_HvSC_only_endo_1","Hv_nsp2_HvSC_only_endo_2","Hv_nsp2_HvSC_only_endo_3","Hv_nsp2_HvSC_only_endo_4","Hv_nsp2_HvSC_only_endo_5","Hv_nsp2_HvSC_only_endo_6","Hv_nsp2_HvSC_only_rhizo_1","Hv_nsp2_HvSC_only_rhizo_2","Hv_nsp2_HvSC_only_rhizo_3","Hv_nsp2_HvSC_only_rhizo_4","Hv_nsp2_HvSC_only_rhizo_5","Hv_nsp2_HvSC_only_rhizo_6","Hv_symrk_HvSC_only_endo_1","Hv_symrk_HvSC_only_endo_2","Hv_symrk_HvSC_only_endo_3","Hv_symrk_HvSC_only_endo_4","Hv_symrk_HvSC_only_endo_5","Hv_symrk_HvSC_only_endo_6","Hv_symrk_HvSC_only_rhizo_1","Hv_symrk_HvSC_only_rhizo_2","Hv_symrk_HvSC_only_rhizo_3","Hv_symrk_HvSC_only_rhizo_4","Hv_symrk_HvSC_only_rhizo_5","Hv_symrk_HvSC_only_rhizo_6"
"P2_H11","P2_H11",4395,2340,2530,2932,2632,1783,1787,2767,1540,1819,2541,2283,1374,2866,2331,1192,2225,1846,1358,527,683,864,4553,1853,4295,3162,3693,2313,454,605,1050,2794,1474,1966,1993,1318,1725,1453,1997,2695,1009,1815,1150,2756,3759,2570,3450,6127,4656,2825,4655,3746,1438,2504,2161,1999,2869,2001
"P5_A1","P5_A1",1442,2795,2865,2429,3164,84,83,120,107,79,118,6021,5434,3045,4074,5993,4557,172,243,84,142,138,2708,4171,3146,3389,3187,3170,82,71,77,149,163,99,1315,4115,2539,3657,3585,2785,34,74,62,100,73,47,2713,2085,2432,4802,1737,2591,57,90,53,106,112,114
"P4_H10","P4_H10",656,666,307,839,474,1323,1554,1213,1228,858,1416,463,398,2561,2562,1834,2127,2810,1431,2242,2897,2117,1074,1107,1715,1116,1732,3050,1152,638,1885,1568,1651,1175,3638,846,1295,1413,497,1327,856,1589,2671,2845,2296,1909,589,876,453,544,783,1101,1059,1016,929,1302,1772,1536
"P1_A1","P1_A1",843,241,79,19,40,2115,2523,393,236,194,126,106,81,181,99,131,125,1320,2683,2235,1632,2450,215,218,258,579,176,181,2384,3697,1814,1840,1504,2275,361,153,220,226,113,103,1529,2043,2012,1054,1360,1647,201,107,177,145,127,160,2359,2755,2198,1930,1709,2054
"P1_A8","P1_A8",607,774,1332,966,430,708,606,682,874,568,794,337,997,309,164,276,197,782,663,520,532,527,312,811,168,328,294,367,306,453,754,581,640,470,809,1080,1485,778,1053,1178,304,692,688,687,540,637,1050,424,821,577,974,947,507,544,506,511,682,661
"P4_A8","P4_A8",902,744,59,26,78,887,568,158,66,108,30,153,264,192,112,105,118,534,775,457,839,514,161,330,93,205,96,85,2946,1351,2168,740,2433,2127,228,163,273,185,81,128,5760,897,682,1334,1157,1141,197,95,244,209,462,156,2457,919,1253,1581,866,1036
"P1_F10","P1_F10",184,480,311,242,221,18,39,10,15,9,14,738,717,319,379,649,495,47,63,33,30,32,562,745,421,358,634,350,15,30,47,42,50,51,223,1228,478,457,956,661,21,55,37,32,43,35,790,453,662,622,443,468,23,28,10,39,9,41
"P1_E1","P1_E1",340,437,607,365,320,202,222,127,239,143,137,190,311,328,278,340,369,239,213,170,211,202,303,455,169,292,201,294,143,207,270,276,229,237,446,487,893,541,565,515,92,186,168,251,186,161,460,198,403,302,452,447,122,124,96,131,178,160
"P4_C7","P4_C7",502,345,47,431,55,1428,1022,145,155,112,140,20,39,124,146,114,86,454,642,961,752,1066,165,113,86,322,81,112,971,831,685,726,607,588,225,48,88,264,73,178,456,642,695,505,578,856,123,84,102,179,157,158,767,941,984,814,764,757
"P4_B4","P4_B4",101,112,26,6,5,1048,1328,155,132,81,45,5,26,90,90,85,74,451,615,1757,1301,1562,28,57,30,96,49,33,937,886,952,859,565,821,81,20,31,39,30,9,620,1129,1289,563,521,993,40,21,29,47,54,71,892,1125,1340,1030,878,941
